none
none
none
none
none
none
none
none
none
none
none
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"d" "o" 1; "e" "e" 1;
"d" "o" 1; "e" "e" 1;
"d" "o" 1; "e" "e" 1;
"d" "o" 1; "e" "e" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"a" "e" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" "o" 1; "c" "t" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "i" "t" 2; "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "i" "t" 2; "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "i" "t" 2; "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "i" "t" 2; "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" 3; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" "j" "k" "n" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" "j" "k" "n" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" "j" "k" "n" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" "j" "k" "n" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" "q" 3;
"a" "e" "h" "z" 2; "b" "h" "j" "k" "n" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "h" "j" "k" "n" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "h" "j" "k" "n" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "h" "j" "k" "n" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "h" "j" "k" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "l" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" "h" "j" "k" "l" "n" "w" 2; "c" "d" "i" "t" 2; "d" "d" "l" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" 3; "c" "d" "i" "t" 2; "d" "d" "l" "o" "w" 2; "e" "p" 4;
"a" "e" "h" "z" 2; "b" "c" 3; "c" "d" "i" "t" 2; "d" "d" "l" "o" "w" 2; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "d" "i" "p" "t" 2; "d" "d" "l" "o" "w" 2; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "d" "i" "p" "t" 2; "d" "d" "l" "o" "w" 2; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "d" "i" "p" "q" "r" "t" 2; "d" "d" "l" "o" "v" "w" 2; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "d" "i" "p" "q" "r" "t" 2; "d" "d" "l" "o" "v" "w" 2; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "d" "i" "p" "q" "r" "t" 2; "d" "d" "l" "o" "v" "w" 2; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "d" "i" "p" "q" "r" "t" 2; "d" "d" "l" "o" "v" "w" 2; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "d" "i" "p" "q" "r" "t" 2; "d" "d" "j" "l" "o" "v" "w" 2; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "d" "j" "l" "o" "v" "w" 2; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "d" "j" "l" "o" "v" "w" 2; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "h" "z" 2; "b" "c" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "c" "d" "i" "p" "q" "r" "t" 2; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "t" 3; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "t" 3; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "t" 3; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "t" 3; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "t" 3; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "t" 3; "d" "l" 3; "e" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "t" 3; "d" "l" 3; "e" "h" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "t" 3; "d" "l" 3; "e" "h" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "t" 3; "d" "l" 3; "e" "h" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "t" 3; "d" "l" 3; "e" "h" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "l" 3; "c" "q" "t" 3; "d" "l" 3; "e" "h" "p" 4;
"a" "c" "e" "g" "h" "z" 2; "b" "c" "k" "l" 3; "c" "c" "q" "t" 3; "d" "l" 3; "e" "h" "p" 4;
"a" "b" "c" "e" "g" "h" "z" 2; "b" "c" "k" "l" 3; "c" "c" "q" "t" 3; "d" "l" 3; "e" "h" "p" 4;
"a" "b" "c" "e" "g" "h" "z" 2; "b" "c" "k" "l" 3; "c" "c" "q" "t" 3; "d" "l" 3; "e" "h" "p" 4;
"a" "b" "c" "e" "g" "h" "z" 2; "b" "c" "k" "l" 3; "c" "c" "q" "t" 3; "d" "l" 3; "e" "h" "p" 4;
"a" "b" "c" "e" "g" "h" "z" 2; "b" "c" "k" "l" 3; "c" "c" "q" "t" 3; "d" "l" 3; "e" "h" "p" 4;
"a" "b" "c" "e" "g" "h" "z" 2; "b" "c" "k" "l" 3; "c" "c" "q" "t" 3; "d" "l" 3; "e" "h" "p" 4;
"a" "b" "c" "e" "g" "h" "z" 2; "b" "c" "k" "l" 3; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "b" "c" "e" "g" "h" "z" 2; "b" "c" "k" "l" 3; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "b" "c" "e" "g" "h" "z" 2; "b" "c" "k" "l" 3; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "g" 3; "b" "c" "d" "k" "l" 3; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" 3; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" "v" 3; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" "v" 3; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" "v" 3; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" "v" 3; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "l" "v" 3; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" 4; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" "p" 4;
"a" "c" "g" 3; "b" "l" 4; "c" "c" "q" "t" 3; "d" "d" "v" 4; "e" "h" "p" 4;
