none
none
none
none
none
none
none
"c" "r" 1;
"c" "r" 1;
"c" "r" 1;
"c" "r" 1;
"c" "r" 1;
"c" "r" 1;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2; "d" "k" 1;
"c" "r" 2; "d" "k" 1;
"c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"a" "k" 1; "b" "r" 1; "c" "r" 2; "d" "k" 1;
"a" "e" "p" 2; "b" "e" "f" "l" "n" "o" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "e" "f" "l" "n" "o" "r" "v" 1; "c" "f" "j" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "e" "f" "l" "n" "o" "r" "v" 1; "c" "f" "j" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "p" 3; "b" "e" "f" "l" "n" "o" "r" "v" 1; "c" "f" "j" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "p" 3; "b" "e" "f" "l" "n" "o" "r" "v" 1; "c" "f" "j" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "p" 3; "b" "e" "f" "l" "n" "o" "r" "v" 1; "c" "f" "j" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "p" 3; "b" "e" "f" "l" "n" "o" "r" "v" 1; "c" "f" "j" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "p" 3; "b" "e" "f" "l" "n" "o" "r" "v" 1; "c" "f" "j" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "p" 3; "b" "e" "f" "l" "n" "o" "r" "v" 1; "c" "f" "j" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "p" 3; "b" "e" "f" "l" "n" "o" "r" "v" 1; "c" "f" "j" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "p" 3; "b" "e" "f" "l" "n" "o" "r" "v" 1; "c" "f" "j" "r" "t" 2; "d" "c" "k" 2; "e" "k" 2;
"a" "p" 3; "b" "e" "f" "l" "n" "o" "r" "v" 1; "c" "f" "j" "r" "t" 2; "d" "c" "k" 2; "e" "k" 2;
"a" "p" 3; "b" "l" 2; "c" "f" "j" "r" "t" 2; "d" "c" "k" 2; "e" "k" 2;
"a" "p" 4; "b" "l" 2; "c" "f" "j" "r" "t" 2; "d" "c" "k" 2; "e" "k" 2;
"a" "p" 4; "b" "l" 2; "c" "j" 3; "d" "c" "k" 2; "e" "k" 2;
"a" "p" 4; "b" "l" 2; "c" "j" 3; "d" "c" "k" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "l" 2; "c" "j" 3; "d" "c" "k" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "l" 2; "c" "j" 3; "d" "c" "k" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "l" 2; "c" "j" 3; "d" "c" "k" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "l" 2; "c" "j" 3; "d" "c" "k" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "l" 2; "c" "j" 3; "d" "c" "k" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "l" 2; "c" "j" 3; "d" "c" "k" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "l" 2; "c" "j" 3; "d" "c" "k" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "c" "k" "x" 2; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" 3; "d" "u" 3; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" "t" 3; "d" "u" 3; "e" "k" "z" 2;
"a" "p" 4; "b" "e" "l" 2; "c" "j" "r" "s" "t" 3; "d" "u" 3; "e" "z" 3;
"a" "p" 4; "b" "e" "l" 2; "c" "j" "r" "s" "t" 3; "d" "u" 3; "e" "z" 3;
"a" "p" 4; "b" "e" "l" 2; "c" "j" "r" "s" "t" 3; "d" "u" 3; "e" "z" 3;
"a" "p" 4; "b" "e" "l" 2; "c" "j" "r" "s" "t" 3; "d" "n" "u" 3; "e" "z" 3;
"a" "p" 4; "b" "e" "l" 2; "c" "j" "r" "s" "t" 3; "d" "n" "u" 3; "e" "z" 3;
"a" "p" 4; "b" "e" "l" 2; "c" "j" "r" "s" "t" 3; "d" "n" "u" 3; "e" "z" 3;
"a" "p" 4; "b" "e" "l" 2; "c" "j" "r" "s" "t" 3; "d" "n" 4; "e" "z" 3;
"a" "p" 4; "b" "e" "l" 2; "c" "j" "r" "s" "t" 3; "d" "n" 4; "e" "z" 3;
"a" "p" 4; "b" "e" "l" 2; "c" "j" "r" "s" "t" 3; "d" "n" 4; "e" "z" 3;
"a" "p" 4; "b" "e" "l" "q" 2; "c" "j" "r" "s" "t" 3; "d" "n" 4; "e" "z" 3;
"a" "p" 4; "b" "e" "l" "q" 2; "c" "j" "r" "s" "t" 3; "d" "n" 4; "e" "z" 3;
"a" "p" 4; "b" "e" "l" "q" 2; "c" "j" "r" "s" "t" 3; "d" "n" 4; "e" "z" 3;
"a" "p" 4; "b" "e" "l" "q" 2; "c" "j" "r" "s" "t" 3; "d" "n" 4; "e" "z" 3;
"a" "p" 4; "b" "e" "l" "q" 2; "c" "j" "r" "s" "t" 3; "d" "n" 4; "e" "z" 3;
"a" "p" 4; "b" "l" 3; "c" "j" "r" "s" "t" 3; "d" "n" 4; "e" "z" 3;
"a" "p" 4; "b" "l" 3; "c" "j" "r" "s" "t" 3; "d" "n" 4; "e" "z" 3;
"a" "p" 4; "b" "l" 3; "c" "j" "r" "s" "t" 3; "d" "n" 4; "e" "z" 3;
"a" "p" 4; "b" "l" 3; "c" "r" 4; "d" "n" 4; "e" "z" 3;
"a" "p" 4; "b" "l" 3; "c" "r" 4; "d" "n" 4; "e" "z" 3;
"a" "p" 4; "b" "l" 3; "c" "r" "s" 4; "d" "n" 4; "e" "z" 3;
"a" "p" 4; "b" "l" 3; "c" "r" "s" 4; "d" "n" 4; "e" "l" "z" 3;
"a" "p" 4; "b" "l" 3; "c" "r" "s" 4; "d" "n" 4; "e" "l" "z" 3;
"a" "p" 4; "b" "l" 3; "c" "r" "s" 4; "d" "n" 4; "e" "l" "z" 3;
"a" "p" 4; "b" "l" 3; "c" "r" "s" 4; "d" "n" 4; "e" "l" "z" 3;
"a" "p" 4; "b" "l" 3; "c" "r" "s" 4; "d" "n" 4; "e" "l" "z" 3;
"a" "p" 4; "b" "l" 3; "c" "r" "s" 4; "d" "n" 4; "e" "l" "z" 3;
"a" "p" 4; "b" "l" 3; "c" "r" "s" 4; "d" "n" 4; "e" "l" "z" 3;
"a" "p" 4; "b" "l" 4; "c" "r" "s" 4; "d" "n" 4; "e" "l" "z" 3;
"a" "p" 4; "b" "l" 4; "c" "r" "s" 4; "d" "n" 4; "e" "l" "z" 3;
"a" "p" 4; "b" "l" 4; "c" "r" "s" 4; "d" "n" 4; "e" "l" "z" 3;
"a" "p" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" "z" 3;
"a" "p" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" "z" 3;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" "z" 3;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" "z" 3;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" "z" 3;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "r" "s" 4; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "s" 5; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "s" 5; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "s" 5; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "s" 5; "d" "d" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "s" 5; "d" "d" "h" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "s" 5; "d" "d" "h" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "s" 5; "d" "d" "h" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "s" 5; "d" "d" "h" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "s" 5; "d" "d" "h" "n" 4; "e" "l" 4;
"a" "p" "v" 4; "b" "l" 4; "c" "s" 5; "d" "d" "h" "n" 4; "e" "l" 4;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
"a" "p" "v" 5; "b" "l" 4; "c" "s" 5; "d" "c" "d" "h" "k" "n" "x" 4; "e" "l" "z" 3;
