none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "w" 1;
"d" "j" 1; "e" "w" 1;
"b" "f" 1; "d" "j" 1; "e" "w" 1;
"b" "f" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" "v" 1; "d" "j" 1; "e" "w" 1;
"b" "f" 2; "d" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "d" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "d" "j" 1; "e" "w" 1;
"a" "b" 1; "b" "f" 2; "d" "j" 1; "e" "w" 1;
"a" "u" 2; "b" "f" "v" 2; "c" "u" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "u" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "u" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "u" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "u" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "u" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "u" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "u" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "u" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "u" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "i" "u" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "i" "u" "z" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "i" "u" "z" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "i" "u" "z" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "i" "u" "z" 2; "d" "c" "g" "j" "o" 1; "e" "v" 2;
"a" "u" 2; "b" "f" "v" 2; "c" "d" "i" "u" "z" 2; "d" "c" "g" "j" "o" 1; "e" "v" 3;
"a" "u" 2; "b" "f" "v" 2; "c" "d" "i" "u" "z" 2; "d" "c" "g" "j" "o" 1; "e" "v" 3;
"a" "u" 2; "b" "f" "v" 2; "c" "d" "i" "u" "z" 2; "d" "c" "g" "j" "o" 1; "e" "v" 3;
"a" "u" 2; "b" "f" "v" 2; "c" "d" "i" "u" "z" 2; "d" "c" "g" "j" "o" 1; "e" "v" 3;
"a" "u" 2; "b" "f" "v" 2; "c" "d" "i" "u" "z" 2; "d" "c" "g" "j" "o" 1; "e" "v" 3;
"a" "u" 2; "b" "f" "v" 2; "c" "d" "i" "u" "z" 2; "d" "c" "g" "j" "o" 1; "e" "v" 3;
"a" "u" 2; "b" "f" "v" 2; "c" "d" "i" "l" "u" "z" 2; "d" "c" "g" "j" "k" "o" "x" 1; "e" "v" 3;
"a" "u" 2; "b" "f" "v" 2; "c" "d" "i" "l" "u" "z" 2; "d" "c" "f" "g" "j" "k" "o" "x" 1; "e" "v" 3;
"a" "u" 2; "b" "f" "v" 2; "c" "d" "i" "l" "u" "z" 2; "d" "c" "f" "g" "j" "k" "o" "w" "x" 1; "e" "v" 3;
"a" "u" 2; "b" "f" "v" 2; "c" "d" "i" "l" "u" "z" 2; "d" "c" "f" "g" "j" "k" "o" "w" "x" 1; "e" "v" 3;
"a" "u" 2; "b" "f" "v" 2; "c" "d" "i" "l" "u" "z" 2; "d" "c" "f" "g" "j" "k" "o" "w" "x" 1; "e" "v" 3;
"a" "u" 2; "b" "v" 3; "c" "d" "i" "l" "u" "z" 2; "d" "c" "f" "g" "j" "k" "o" "w" "x" 1; "e" "v" 3;
"a" "u" 2; "b" "v" 3; "c" "d" "i" "l" "u" "z" 2; "d" "c" "f" "g" "j" "k" "o" "w" "x" 1; "e" "v" 3;
"a" "u" 2; "b" "v" 4; "c" "d" "i" "l" "u" "z" 2; "d" "c" "f" "g" "j" "k" "o" "w" "x" 1; "e" "v" 3;
"a" "u" 2; "b" "v" 4; "c" "d" "i" "l" "u" "z" 2; "d" "c" "f" "g" "j" "k" "o" "w" "x" 1; "e" "v" 3;
"a" "u" 2; "b" "v" 4; "c" "d" "i" "l" "u" "z" 2; "d" "x" 2; "e" "v" 3;
"a" "u" 2; "b" "v" 4; "c" "d" "i" "l" "u" "z" 2; "d" "x" 2; "e" "v" 3;
"a" "u" 2; "b" "v" 4; "c" "d" "i" "l" "u" "z" 2; "d" "x" 2; "e" "v" 3;
"a" "u" 2; "b" "v" 4; "c" "d" "i" "l" "u" "z" 2; "d" "x" 2; "e" "v" 3;
"a" "u" 3; "b" "v" 4; "c" "d" "i" "l" "u" "z" 2; "d" "x" 2; "e" "v" 3;
"a" "u" 3; "b" "v" 4; "c" "d" "i" "l" "u" "z" 2; "d" "x" 2; "e" "v" 3;
"a" "u" 3; "b" "v" 4; "c" "d" "i" "l" "u" "z" 2; "d" "x" 2; "e" "v" 3;
"a" "u" 3; "b" "v" 4; "c" "d" "i" "l" "u" "z" 2; "d" "x" 2; "e" "v" 3;
"a" "u" 3; "b" "v" 4; "c" "d" "i" "l" "p" "u" "z" 2; "d" "x" 3; "e" "v" 3;
"a" "u" 3; "b" "v" 4; "c" "d" "i" "l" "p" "u" "z" 2; "d" "x" 3; "e" "v" 3;
"a" "u" 3; "b" "v" 4; "c" "d" "i" "l" "p" "u" "z" 2; "d" "x" 3; "e" "v" 3;
"a" "u" 3; "b" "v" 4; "c" "d" "i" "l" "p" "u" "z" 2; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "d" "i" "l" "p" "u" "z" 2; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "d" "i" "l" "p" "u" "z" 2; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "d" "i" "l" "p" "u" "z" 2; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "d" "i" "l" "p" "u" "z" 2; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "d" "i" "l" "p" "u" "z" 2; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "d" "i" "l" "p" "u" "z" 2; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "d" "i" "l" "p" "u" "z" 2; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "d" "i" "l" "p" "u" "z" 2; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "d" "i" "l" "p" "u" "z" 2; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "d" "i" "l" "p" "u" "z" 2; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "p" 3; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "p" 3; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "p" 3; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "p" 3; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "p" 3; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "p" 3; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "p" 3; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "p" 3; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "p" 3; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "p" 3; "d" "x" 3; "e" "v" 3;
"a" "m" "u" 3; "b" "v" 4; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 5; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "e" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 3; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" "v" 3;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "l" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "l" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "l" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "l" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "l" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "l" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "l" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "i" "l" "p" 3; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 3; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 4;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
"a" "m" "u" 4; "b" "v" 6; "c" "e" "l" 4; "d" "x" 4; "e" "d" 5;
