none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1; "e" "d" 1;
"b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"a" "z" 1; "b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"a" "z" 1; "b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"a" "z" 1; "b" "g" "z" 1; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "g" "z" 1; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "c" "o" "s" "x" "y" "z" 1; "b" "c" "r" "y" "z" 2; "c" "b" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "h" "o" "s" "x" "y" "z" 1; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" 2;
"a" "c" "h" "o" "s" "x" "y" "z" 1; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" 2;
"a" "c" "h" "o" "s" "x" "y" "z" 1; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" 2;
"a" "c" "h" "o" "s" "x" "y" "z" 1; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" 2;
"a" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" 2;
"a" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" 2;
"a" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" 2;
"a" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" 2;
"a" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" 2;
"a" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" 2;
"a" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" 2;
"a" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" 2;
"a" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" 2;
"a" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" 2;
"a" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" "y" 2;
"a" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" "y" 2;
"a" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" "y" 2;
"a" "y" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" "y" 2;
"a" "y" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "o" "y" 2;
"a" "y" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "i" "o" "y" 2;
"a" "y" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "i" "o" "y" 2;
"a" "y" "z" 2; "b" "c" "r" "y" "z" 2; "c" "q" 2; "d" "h" 3; "e" "i" "o" "y" 2;
"a" "y" "z" 2; "b" "c" "r" "y" "z" 2; "c" "b" "q" 2; "d" "h" 3; "e" "i" "o" "y" 2;
"a" "y" "z" 2; "b" "c" "r" "y" "z" 2; "c" "b" "q" 2; "d" "h" 3; "e" "i" "o" "y" 2;
"a" "y" "z" 2; "b" "c" "r" "y" "z" 2; "c" "b" "q" 2; "d" "h" 3; "e" "i" "o" "y" 2;
"a" "y" "z" 2; "b" "c" "r" "y" "z" 2; "c" "b" "q" 2; "d" "h" 3; "e" "i" "o" "y" 2;
"a" "y" "z" 2; "b" "c" "r" "y" "z" 2; "c" "b" "q" 2; "d" "h" 3; "e" "i" "o" "y" 2;
"a" "y" "z" 2; "b" "c" "r" "y" "z" 2; "c" "b" "q" 2; "d" "e" "h" 3; "e" "i" "o" "y" 2;
"a" "z" 3; "b" "c" "r" "y" "z" 2; "c" "b" "q" 2; "d" "e" "h" 3; "e" "i" "o" "y" 2;
"a" "z" 3; "b" "c" "r" "y" "z" 2; "c" "b" "q" 2; "d" "e" "h" 3; "e" "i" "o" "y" 2;
"a" "z" 3; "b" "c" "r" "y" "z" 2; "c" "b" "q" 2; "d" "e" "h" 3; "e" "i" "o" "y" 2;
"a" "z" 3; "b" "c" "r" "y" "z" 2; "c" "b" "q" 2; "d" "e" "h" 3; "e" "i" "o" "y" 2;
"a" "z" 3; "b" "c" "r" "y" "z" 2; "c" "b" "q" 2; "d" "e" "h" 3; "e" "i" "o" "y" 2;
"a" "z" 3; "b" "c" "r" "y" "z" 2; "c" "b" "q" 2; "d" "e" "h" 3; "e" "i" "o" "y" 2;
"a" "z" 3; "b" "c" "r" "y" "z" 2; "c" "b" "q" 2; "d" "e" "h" 3; "e" "i" "o" "y" 2;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "q" 3; "d" "e" "h" 3; "e" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "z" 3; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "y" "z" 3; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "y" "z" 3; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "y" "z" 3; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" "h" 3; "e" "b" "i" 3;
"a" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "y" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "y" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "y" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "y" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "y" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "y" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "y" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "y" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "y" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "y" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "y" "z" 3; "b" "y" 4; "c" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "f" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "f" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "f" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "f" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "f" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "f" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "f" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "f" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "f" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "f" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "f" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" "i" 3;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "f" "x" "y" "z" 3; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "x" 4; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "x" "y" 4; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "x" "y" 4; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "x" "y" 4; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "x" "y" 4; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "x" "y" 4; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "x" "y" 4; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "x" "y" 4; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "x" "y" 4; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "x" "y" 4; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" 4;
"a" "x" "y" 4; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" "y" 4; "b" "y" 4; "c" "b" "m" "q" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" "y" 4; "b" "y" 4; "c" "b" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" "y" 4; "b" "y" 4; "c" "b" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" "y" 4; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" "y" 4; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
"a" "x" 5; "b" "y" 5; "c" "b" "m" "q" "r" 3; "d" "e" "h" 4; "e" "b" "c" "i" 4;
