none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "e" 1;
"a" "e" 1;
"a" "e" 1;
"a" "e" 1;
"a" "e" "g" 1;
"a" "e" "g" 1;
"a" "e" 2;
"a" "e" 2; "e" "b" 1;
"a" "e" 2; "e" "b" 1;
"a" "e" 2; "e" "b" "m" 1;
"a" "e" 2; "e" "b" "m" 1;
"a" "e" 2; "e" "b" "g" "m" 1;
"a" "e" 2; "e" "b" "g" "m" 1;
"a" "e" 2; "e" "b" "g" "m" 1;
"a" "e" 2; "e" "b" "g" "m" 1;
"a" "e" 2; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" "l" 1; "c" "p" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" "l" 1; "c" "p" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" "l" "s" 1; "c" "f" "p" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" "l" "s" 1; "c" "f" "p" 1; "e" "b" "g" "k" "m" 1;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "c" "k" "l" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "c" "k" "l" "n" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "c" "i" "k" "l" "n" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "c" "i" "k" "l" "n" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "c" "i" "k" "l" "n" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "c" "i" "k" "l" "n" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "c" "i" "k" "l" "n" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "c" "i" "k" "l" "n" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "c" "i" "k" "l" "n" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 2; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 2; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 2; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 2; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 2; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 2; "c" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 2; "c" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 2; "c" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 2; "c" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 2; "c" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 3; "b" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 4; "b" "c" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 4; "b" "c" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 4; "b" "c" "t" 3; "c" "a" "f" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 4; "b" "c" "t" 3; "c" "s" 3; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 4; "b" "c" "t" 3; "c" "s" 3; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 4; "b" "c" "t" 3; "c" "s" 3; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 4; "b" "c" "t" 3; "c" "s" 3; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 4; "b" "c" "t" 3; "c" "s" 3; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 4; "b" "c" "t" 3; "c" "s" 3; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 4; "b" "c" "t" 3; "c" "s" 3; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 4; "b" "c" "t" 3; "c" "s" 3; "d" "g" "p" 3; "e" "k" "x" 3;
"a" "e" 4; "b" "c" "t" 3; "c" "s" 3; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 3; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 3; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 3; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 3; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 3; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 3; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 3; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 3; "e" "b" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 3; "e" "b" "i" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 3; "e" "b" "i" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 3; "e" "b" "i" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 3; "e" "b" "i" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 3; "e" "b" "i" "k" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "p" 4; "e" "b" "i" "k" "n" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "b" "i" "k" "n" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "b" "i" "k" "n" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "b" "i" "k" "n" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "b" "i" "k" "n" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "b" "i" "k" "n" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "b" "i" "k" "n" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "b" "i" "k" "n" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "b" "i" "k" "n" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "b" "i" "k" "n" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "b" "i" "k" "n" "x" 3;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "n" 4;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "n" 4;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "n" 4;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "n" 4;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "n" 4;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "n" 4;
"a" "e" 4; "b" "c" 4; "c" "s" 4; "d" "g" "p" 4; "e" "n" 4;
"a" "e" 4; "b" "c" 4; "c" "f" "s" 4; "d" "g" "p" 4; "e" "n" 4;
"a" "e" 4; "b" "c" 4; "c" "f" "s" 4; "d" "g" "p" 4; "e" "n" 4;
"a" "e" 4; "b" "c" 4; "c" "f" "s" 4; "d" "g" "p" 4; "e" "i" "n" 4;
"a" "e" 4; "b" "c" 4; "c" "f" "s" 4; "d" "g" "p" 4; "e" "i" "n" 4;
"a" "e" 4; "b" "c" "t" 3; "c" "f" "s" 4; "d" "g" "p" 4; "e" "i" "n" 4;
"a" "e" 4; "b" "c" "t" 3; "c" "f" "s" 4; "d" "g" "p" 4; "e" "i" "n" 4;
"a" "e" 4; "b" "c" "t" 3; "c" "f" "s" 4; "d" "g" "p" 4; "e" "i" "n" 4;
"a" "e" 4; "b" "c" "t" 3; "c" "f" "s" 4; "d" "g" "p" 4; "e" "i" "n" 4;
"a" "e" 4; "b" "c" "t" 3; "c" "f" "s" 4; "d" "g" "p" 4; "e" "i" "n" 4;
"a" "e" 4; "b" "c" "t" 3; "c" "f" "s" 4; "d" "g" "p" 4; "e" "i" "n" 4;
"a" "e" 4; "b" "c" "i" "t" 3; "c" "f" "s" 4; "d" "p" 5; "e" "i" "n" 4;
"a" "e" 4; "b" "c" "i" "t" 3; "c" "f" "s" 4; "d" "p" 5; "e" "i" "n" 4;
"a" "e" 4; "b" "c" "i" "q" "t" 3; "c" "f" "s" 4; "d" "p" 5; "e" "i" "n" 4;
"a" "e" 4; "b" "c" "i" "q" "t" "x" 3; "c" "f" "s" 4; "d" "p" 5; "e" "i" "n" 4;
"a" "e" 4; "b" "c" "i" "q" "t" "x" 3; "c" "f" "s" 4; "d" "p" 5; "e" "i" "n" 4;
"a" "e" 4; "b" "c" 4; "c" "f" "s" 4; "d" "p" 5; "e" "i" "n" 4;
"a" "e" 4; "b" "c" 4; "c" "f" "s" 4; "d" "p" 5; "e" "i" "n" 4;
"a" "e" 4; "b" "c" 4; "c" "f" "s" 4; "d" "p" 5; "e" "i" 4;
"a" "e" 4; "b" "c" 4; "c" "f" "s" 4; "d" "p" 5; "e" "i" 4;
"a" "e" 4; "b" "c" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "i" 4;
"a" "e" 4; "b" "c" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "i" 4;
"a" "e" 4; "b" "c" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "i" 4;
"a" "e" 4; "b" "c" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" 4;
"a" "e" 4; "b" "c" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
"a" "e" 4; "b" "c" "i" "q" "x" 4; "c" "f" "s" 4; "d" "p" 5; "e" "b" "i" "w" 4;
