"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"c" "p" 1; "d" "q" 1;
"a" "n" 1; "c" "l" "p" 1; "d" "q" 1;
"a" "n" 1; "c" "l" "p" 1; "d" "q" 1;
"a" "n" "p" 1; "b" "n" 1; "c" "l" "p" 1; "d" "q" 1;
"a" "n" "p" 1; "b" "n" 1; "c" "l" "p" 1; "d" "q" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "x" 1; "b" "a" "e" "n" "r" "s" 1; "c" "g" "l" "p" "y" 1; "d" "e" "q" "r" "u" 1;
"a" "n" "p" "u" "x" 1; "b" "a" "n" 2; "c" "d" "g" "l" "p" "s" "y" 1; "d" "a" "e" "p" "q" "r" "t" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "u" "x" 1; "b" "a" "n" 2; "c" "d" "g" "l" "p" "s" "w" "y" 1; "d" "a" "e" "p" "q" "r" "t" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "u" "x" 1; "b" "a" "n" 2; "c" "d" "g" "l" "p" "s" "w" "y" 1; "d" "a" "e" "p" "q" "r" "t" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "u" "x" 1; "b" "a" "n" 2; "c" "d" "g" "l" "p" "s" "w" "y" 1; "d" "a" "e" "p" "q" "r" "t" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "u" "x" 1; "b" "a" "n" 2; "c" "d" "g" "l" "p" "s" "w" "y" 1; "d" "a" "e" "p" "q" "r" "t" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "u" "x" 1; "b" "a" "n" "q" 2; "c" "d" "g" "l" "p" "s" "w" "y" 1; "d" "a" "e" "g" "p" "q" "r" "t" "u" 1; "e" "i" "o" 1;
"a" "n" "p" "u" "x" 1; "b" "a" "n" "q" 2; "c" "d" "g" "l" "p" "s" "w" "y" "z" 1; "d" "a" "e" "g" "p" "q" "r" "t" "u" 1; "e" "o" 2;
"a" "d" "n" "p" "u" "x" 1; "b" "a" "n" "q" 2; "c" "d" "g" "l" "p" "s" "w" "y" "z" 1; "d" "a" "e" "g" "p" "q" "r" "t" "u" 1; "e" "o" 2;
"a" "d" "n" "p" "u" "x" 1; "b" "a" "n" "q" 2; "c" "d" "g" "l" "p" "s" "w" "y" "z" 1; "d" "a" "e" "g" "p" "q" "r" "t" "u" 1; "e" "o" 2;
"a" "u" 2; "b" "a" "n" "q" 2; "c" "d" "g" "l" "o" "p" "s" "w" "y" "z" 1; "d" "a" "e" "g" "p" "q" "r" "t" "u" 1; "e" "o" 2;
"a" "u" 2; "b" "a" "n" "q" 2; "c" "d" "g" "l" "o" "p" "s" "w" "y" "z" 1; "d" "e" 2; "e" "o" 2;
"a" "u" 2; "b" "a" "n" "q" 2; "c" "d" "g" "l" "o" "p" "s" "w" "y" "z" 1; "d" "e" 2; "e" "o" 2;
"a" "u" 2; "b" "q" 3; "c" "d" "g" "l" "o" "p" "s" "w" "y" "z" 1; "d" "e" 2; "e" "o" 2;
"a" "u" 2; "b" "q" 3; "c" "d" "g" "l" "o" "p" "s" "w" "y" "z" 1; "d" "e" 2; "e" "o" 2;
"a" "u" 2; "b" "q" 3; "c" "d" "g" "l" "o" "p" "s" "w" "y" "z" 1; "d" "e" 2; "e" "o" 2;
"a" "u" 2; "b" "q" 3; "c" "d" "g" "l" "o" "p" "s" "w" "y" "z" 1; "d" "e" 2; "e" "o" 2;
"a" "u" 2; "b" "q" 3; "c" "d" "g" "h" "l" "o" "p" "s" "w" "y" "z" 1; "d" "e" 2; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "d" "g" "h" "l" "o" "p" "s" "v" "w" "y" "z" 1; "d" "e" 2; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "w" 2; "d" "e" 2; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "w" 2; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "w" 2; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "w" 2; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "w" 2; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "w" 2; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "w" 2; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "w" 2; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "w" 2; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "w" 2; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "w" 2; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" "w" 2; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" "w" 2; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" "w" 2; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" "t" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" "t" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" "t" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 3; "d" "e" 3; "e" "o" "t" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "o" "t" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "o" "t" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "o" "t" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "o" "t" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "o" "t" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "l" "m" "o" "t" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "l" "m" "o" "t" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "l" "m" "o" "t" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "l" "m" "o" "t" 2;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "q" 4; "c" "g" 4; "d" "e" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "a" "k" "q" 3; "c" "g" 4; "d" "e" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "a" "k" "q" 3; "c" "g" 4; "d" "e" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "a" "k" "q" 3; "c" "g" 4; "d" "e" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "a" "k" "q" 3; "c" "g" 4; "d" "e" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "a" "k" "q" 3; "c" "g" 4; "d" "e" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "a" "k" "o" "q" 3; "c" "g" 4; "d" "e" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "a" "k" "o" "q" 3; "c" "g" 4; "d" "e" "x" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "a" "k" "o" "q" 3; "c" "g" 4; "d" "e" "x" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "a" "k" "o" "q" 3; "c" "g" 4; "d" "e" "x" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "a" "k" "o" "q" 3; "c" "g" 4; "d" "e" "x" 3; "e" "l" "t" 3;
"a" "u" 2; "b" "k" 4; "c" "g" 4; "d" "e" 4; "e" "l" "t" 3;
"a" "u" 2; "b" "k" 4; "c" "g" 4; "d" "e" 4; "e" "l" "t" 3;
"a" "u" 2; "b" "k" 4; "c" "g" 4; "d" "e" 4; "e" "l" "t" 3;
"a" "i" "u" 2; "b" "k" 4; "c" "g" 4; "d" "e" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 4; "c" "g" 4; "d" "e" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 4; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 4; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 4; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 4; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 4; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 4; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 4; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 4; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 4; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 4; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 4; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 4; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "i" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" "x" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" "x" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" "x" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" "x" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" "x" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" "x" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" "x" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" "x" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" "x" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" "x" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" "x" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" "i" "k" "x" 3; "b" "k" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" 4; "b" "k" "q" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" 4; "b" "k" "q" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" 4; "b" "k" "q" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" 4; "b" "k" "q" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" 4; "b" "k" "q" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" 4; "b" "k" "q" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" 4; "b" "k" "q" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" 4; "b" "k" "q" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" 4; "b" "k" "q" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" 4; "b" "k" "q" 5; "c" "g" 4; "d" "e" "x" 4; "e" "l" "t" 3;
"a" "e" 4; "b" "k" "q" 5; "c" "g" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" "q" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" "q" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
"a" "e" 4; "b" "k" 5; "c" "g" "n" 4; "d" "x" 5; "e" "l" "t" 3;
