none
none
none
none
none
none
none
none
none
"d" "w" 1;
"d" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "v" "w" 1;
"d" "g" "j" "v" "w" 1;
"d" "g" "j" "v" "w" 1;
"d" "g" "j" "v" "w" 1;
"d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"c" "r" 1; "d" "g" "j" "v" "w" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" 1;
"a" "g" "q" "v" 1; "c" "r" "v" 1; "d" "g" "j" "v" "w" 1; "e" "a" "d" "h" 1;
"a" "j" "p" 3; "b" "l" "n" "q" "t" 2; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "a" "m" 3;
"a" "j" "p" 3; "b" "l" "n" "q" "t" 2; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "a" "m" 3;
"a" "j" "p" 3; "b" "l" "n" "q" "t" 2; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "a" "m" 3;
"a" "j" "p" 3; "b" "t" 3; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "a" "m" 3;
"a" "j" "p" 3; "b" "t" 3; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "a" "m" 3;
"a" "j" "p" 3; "b" "t" 3; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "m" 4;
"a" "j" "p" 3; "b" "t" 3; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "m" 4;
"a" "j" "p" 3; "b" "t" 3; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "m" 4;
"a" "j" "p" 3; "b" "t" 3; "c" "f" "i" "n" "r" 2; "d" "h" "o" "t" 2; "e" "m" 4;
"a" "j" "p" 3; "b" "t" 3; "c" "f" "i" "n" "r" "v" 2; "d" "h" "o" "t" 2; "e" "m" 4;
"a" "p" 4; "b" "t" 3; "c" "f" "i" "n" "r" "v" 2; "d" "h" "o" "t" 2; "e" "m" 4;
"a" "p" 4; "b" "t" 3; "c" "f" "i" "n" "r" "v" 2; "d" "h" "o" "t" 2; "e" "m" 4;
"a" "p" 4; "b" "t" 3; "c" "f" "i" "n" "r" "v" 2; "d" "h" "o" "t" "w" 2; "e" "m" 4;
"a" "p" 4; "b" "t" 3; "c" "f" "i" "n" "r" "v" 2; "d" "h" "o" "t" "w" 2; "e" "m" 4;
"a" "p" 4; "b" "t" 3; "c" "f" "i" "n" "r" "v" 2; "d" "h" "o" "t" "w" 2; "e" "m" 4;
"a" "p" 4; "b" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "h" "o" "t" "w" 2; "e" "m" 4;
"a" "p" 4; "b" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "h" "o" "t" "w" 2; "e" "m" 4;
"a" "p" 4; "b" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "h" "o" "t" "w" 2; "e" "m" 4;
"a" "p" 4; "b" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "h" "j" "o" "t" "w" 2; "e" "m" 4;
"a" "p" 4; "b" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "h" "j" "o" "t" "w" 2; "e" "m" 4;
"a" "p" 4; "b" "n" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "h" "j" "o" "s" "t" "w" 2; "e" "m" 4;
"a" "p" 4; "b" "n" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "b" "h" "j" "o" "s" "t" "w" 2; "e" "m" 4;
"a" "p" 4; "b" "n" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "b" "h" "j" "o" "s" "t" "w" 2; "e" "m" 4;
"a" "p" 4; "b" "n" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" "n" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" "n" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" "n" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" "n" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "h" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" "n" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "h" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" "n" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "h" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" "n" "t" 3; "c" "f" "i" "n" "r" "v" "x" 2; "d" "h" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" "n" "t" 3; "c" "f" "i" "n" "r" "s" "v" "x" 2; "d" "h" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" "n" "t" 3; "c" "f" "i" "n" "r" "s" "v" "x" 2; "d" "h" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" "n" "t" 3; "c" "f" "i" "n" "r" "s" "v" "x" 2; "d" "h" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" "n" "t" 3; "c" "f" "i" "n" "r" "s" "v" "x" 2; "d" "h" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" "n" "t" 3; "c" "f" "i" "n" "r" "s" "v" "x" 2; "d" "h" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "f" "i" "n" "r" "s" "v" "x" 2; "d" "h" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "f" "i" "n" "r" "s" "v" "x" 2; "d" "h" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "f" "i" "n" "r" "s" "v" "x" 2; "d" "h" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "f" "i" "n" "r" "s" "v" "x" 2; "d" "h" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "f" "i" "n" "r" "s" "v" "x" 2; "d" "h" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "n" 3; "d" "h" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "n" 3; "d" "h" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "n" 3; "d" "h" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" "n" 3; "d" "h" "j" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" "n" 3; "d" "h" "j" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" 4; "d" "h" "j" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" 4; "d" "h" "j" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" 4; "d" "h" "j" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" 4; "d" "h" "j" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "h" "j" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "h" "j" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "h" "j" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "h" "j" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "h" "j" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "h" "j" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "h" "j" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 4;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" 3; "e" "m" 5;
"a" "p" 4; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" 3; "e" "m" 5;
"a" "p" 4; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" 3; "e" "m" 5;
"a" "p" 4; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" 3; "e" "m" 5;
"a" "p" 4; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 4; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 4; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "f" "h" "j" "o" "s" "t" "u" 3; "e" "m" 5;
"a" "p" 5; "b" "j" "t" 4; "c" "i" 5; "d" "t" 4; "e" "m" 5;
