none
none
none
none
none
none
none
none
none
none
none
none
"a" "a" 1;
"a" "a" 1;
"a" "a" 1;
"a" "a" 1;
"a" "a" 1;
"a" "a" 1;
"a" "a" 1;
"a" "a" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" 1; "c" "o" 1; "e" "u" 1;
"a" "a" "w" 1; "c" "o" 1; "d" "z" 1; "e" "u" 1;
"a" "a" "w" 1; "c" "o" 1; "d" "z" 1; "e" "u" 1;
"a" "a" "w" 1; "c" "o" 1; "d" "z" 1; "e" "u" 1;
"a" "a" "w" 1; "c" "o" 1; "d" "z" 1; "e" "m" "u" 1;
"a" "a" "w" 1; "c" "o" 1; "d" "z" 1; "e" "m" "u" 1;
"a" "a" "w" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "u" 1;
"a" "a" "w" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "u" 1;
"a" "a" "w" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "u" 1;
"a" "a" "w" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "u" 1;
"a" "a" "w" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "u" 1;
"a" "a" "w" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "r" "u" 1;
"a" "a" "w" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "r" "u" 1;
"a" "a" "w" "z" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "r" "u" 1;
"a" "a" "w" "z" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "r" "u" 1;
"a" "a" "w" "z" 1; "c" "o" "z" 1; "d" "z" 1; "e" "m" "r" "u" 1;
"a" "a" "w" "z" 1; "c" "o" "z" 1; "d" "z" 1; "e" "l" "m" "r" "u" 1;
"a" "a" "g" "w" "z" 1; "b" "l" "u" "w" "y" 1; "c" "g" "n" "o" "z" 1; "d" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "l" "u" "w" "y" 1; "c" "g" "n" "o" "z" 1; "d" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" "n" "o" "z" 1; "d" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "b" "l" "u" "w" "y" 1; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "w" 2; "c" "g" 2; "d" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "w" 2; "c" "g" 2; "d" "h" "o" "u" "y" "z" 1; "e" "l" "r" 2;
"a" "a" "g" "w" "z" 1; "b" "w" 2; "c" "g" 2; "d" "z" 2; "e" "l" "r" 2;
"a" "a" "g" "m" "r" "w" "x" "z" 1; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "l" "r" 2;
"a" "a" "g" "m" "r" "w" "x" "z" 1; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "l" "r" 2;
"a" "a" "g" "m" "r" "w" "x" "z" 1; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "l" "r" 2;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "l" "r" 2;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" "w" 2; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 2; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 3; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 3; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 3; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 3; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 3; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 3; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 3; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 3; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 3; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 3; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 3; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 3; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 3; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 3; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" 3; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" 3; "b" "u" 3; "c" "g" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 3; "c" "g" "w" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 3; "c" "g" "w" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 3; "c" "g" "w" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 3; "c" "g" "w" 3; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 3; "c" "g" 4; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 3; "c" "g" 4; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 3; "c" "g" 4; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 3; "c" "g" 4; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 3; "c" "g" 4; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" 3;
"a" "m" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" 3;
"a" "m" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "m" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "m" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "m" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "m" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "m" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "m" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "m" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "m" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "m" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "m" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "m" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "m" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "m" "n" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "m" "n" "q" "w" "x" 2; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "j" "r" "t" "u" 3;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "t" 4;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "t" 4;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" 4;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" 4;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" 4;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" 4;
"a" "m" "n" "x" 3; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "z" 5; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
"a" "x" 4; "b" "k" "u" 4; "c" "g" "z" 4; "d" "c" "y" "z" 4; "e" "r" "t" 4;
