none
none
none
none
none
none
none
none
none
none
none
"c" "k" "o" "s" 1;
"c" "k" "o" "s" 1;
"c" "k" "o" "s" 1;
"b" "a" 1; "c" "k" "o" "s" 1;
"b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" "k" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" "k" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "l" "m" "n" "o" "q" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" 1;
"a" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" 1;
"a" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" 1;
"a" "e" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" 1;
"a" "e" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" "w" 1;
"a" "e" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" "w" 1;
"a" "e" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" "w" 1;
"a" "e" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" "w" 1;
"a" "e" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" "w" 1;
"a" "e" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" "w" 1;
"a" "e" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" "w" 1;
"a" "e" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" "w" 1;
"a" "e" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" "w" 1;
"a" "e" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" "w" 1;
"a" "e" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" "w" 1;
"a" "e" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" "w" 1;
"a" "e" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 3; "c" "e" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" "w" 1;
"a" "e" "i" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 4; "c" "e" "i" "k" "o" "s" "u" "z" 1; "d" "z" 2; "e" "c" "j" "k" "w" 1;
"a" "e" "i" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 4; "c" "e" "i" "k" "o" "s" "u" "z" 1; "d" "z" 2; "e" "c" "j" "k" "w" 1;
"a" "e" "i" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 4; "c" "e" "i" "k" "o" "s" "u" "y" "z" 1; "d" "z" 2; "e" "c" "j" "k" "w" 1;
"a" "e" "i" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 4; "c" "e" "i" "k" "o" "s" "u" "y" "z" 1; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "e" "i" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 4; "c" "e" "i" "k" "o" "s" "u" "y" "z" 1; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "e" "i" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 4; "c" "e" "i" "k" "o" "s" "u" "y" "z" 1; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "e" "i" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 4; "c" "e" "i" "k" "o" "s" "u" "y" "z" 1; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "e" "i" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 4; "c" "e" "i" "k" "o" "s" "u" "y" "z" 1; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "e" "i" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 4; "c" "e" "i" "k" "o" "s" "u" "y" "z" 1; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "e" "i" "j" "l" "m" "n" "o" "q" "s" 1; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" 1;
"a" "s" 2; "b" "k" 4; "c" "y" 2; "d" "z" 2; "e" "c" "j" "k" "q" "w" "y" 1;
"a" "s" 2; "b" "k" 4; "c" "p" "y" 2; "d" "e" "z" 2; "e" "c" "j" "k" "q" "w" "y" 1;
"a" "s" 2; "b" "k" 4; "c" "p" "y" 2; "d" "e" "z" 2; "e" "c" "j" "k" "q" "w" "y" 1;
"a" "s" 2; "b" "k" 4; "c" "p" "y" 2; "d" "e" "z" 2; "e" "c" "j" "k" "q" "w" "y" 1;
"a" "s" 2; "b" "k" 4; "c" "p" "y" 2; "d" "e" "z" 2; "e" "c" "j" "k" "q" "w" "y" 1;
"a" "s" 2; "b" "k" 4; "c" "p" "y" 2; "d" "e" "m" "z" 2; "e" "c" "j" "k" "q" "w" "y" 1;
"a" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "z" 2; "e" "c" "j" "k" "q" "w" "y" 1;
"a" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "z" 2; "e" "c" "j" "k" "p" "q" "w" "y" 1;
"a" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "c" "j" "k" "p" "q" "r" "w" "y" 1;
"a" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "c" "j" "k" "p" "q" "r" "w" "y" 1;
"a" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "c" "j" "k" "p" "q" "r" "w" "y" 1;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 2;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "i" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "i" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "i" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "g" "i" "n" "s" 2; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" 3; "e" "q" 3;
"a" "n" 3; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" "u" 3; "e" "q" 3;
"a" "n" 3; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" "u" 3; "e" "q" 3;
"a" "n" 3; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" "u" 3; "e" "q" 3;
"a" "n" 3; "b" "k" 4; "c" "y" 3; "d" "e" "m" "n" "u" 3; "e" "q" 3;
"a" "n" 3; "b" "k" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "u" 4; "e" "q" 3;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "n" "u" 4; "e" "q" 4;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "n" "u" 4; "e" "q" 4;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "n" "u" 4; "e" "q" 4;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "n" "u" 4; "e" "q" 4;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "n" "u" 4; "e" "q" 4;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "n" "u" 4; "e" "q" 4;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "n" "u" 4; "e" "q" 4;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "n" "u" 4; "e" "q" 4;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 4;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 4;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 4;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 4;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
"a" "n" "y" 3; "b" "k" "o" 4; "c" "y" 4; "d" "e" "m" "n" "u" 4; "e" "q" 5;
