none
none
none
none
none
none
none
none
none
none
none
none
"b" "a" 1;
"b" "a" 1;
"b" "a" 1;
"b" "a" 1;
"b" "a" 1; "c" "y" 1;
"b" "a" 1; "c" "y" 1;
"a" "o" 1; "b" "a" "r" "y" 1; "c" "y" 1;
"a" "o" "z" 1; "b" "a" "r" "y" 1; "c" "y" 1;
"a" "o" "z" 1; "b" "a" "r" "y" 1; "c" "y" 1;
"a" "o" "z" 1; "b" "a" "r" "y" 1; "c" "y" 1; "e" "p" 1;
"a" "o" "z" 1; "b" "a" "g" "r" "y" 1; "c" "y" 1; "e" "p" 1;
"a" "o" "z" 1; "b" "a" "g" "r" "y" 1; "c" "y" 1; "e" "p" 1;
"a" "o" "z" 1; "b" "a" "g" "r" "y" 1; "c" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "x" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "x" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "o" "x" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "o" "x" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 1; "b" "a" "g" "l" "r" "y" 1; "c" "o" "x" "y" 1; "e" "p" "x" 1;
"a" "o" "z" 2; "b" "g" 3; "c" "o" "x" 2; "d" "r" "u" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "o" "x" 2; "d" "r" "u" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "o" "x" 2; "d" "r" "u" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "i" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "i" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "i" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "i" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "i" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 3; "c" "i" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 4; "c" "i" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 4; "c" "i" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 4; "c" "i" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 4; "c" "i" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 4; "c" "i" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 4; "c" "i" "o" "x" 2; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 4; "c" "o" 3; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 4; "c" "o" 3; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 4; "c" "o" 3; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 4; "c" "o" 3; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 4; "c" "o" 3; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "o" "z" 2; "b" "g" 4; "c" "o" 3; "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "l" "o" "z" 2; "b" "g" 4; "c" "o" 3; "d" "d" "r" "u" "y" 2; "e" "x" "z" 2;
"a" "l" "o" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" "r" "u" "y" "z" 2; "e" "x" "z" 2;
"a" "l" "o" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" "r" "u" "y" "z" 2; "e" "x" "z" 2;
"a" "l" "o" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" "r" "u" "y" "z" 2; "e" "x" "z" 2;
"a" "l" "o" "q" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" "r" "u" "y" "z" 2; "e" "x" "z" 2;
"a" "l" "o" "q" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" "j" "r" "u" "y" "z" 2; "e" "x" "z" 2;
"a" "c" "l" "o" "q" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" "j" "r" "u" "y" "z" 2; "e" "x" "z" 2;
"a" "c" "l" "o" "q" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "c" "l" "o" "q" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "c" "l" "o" "q" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "c" "l" "m" "o" "q" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "c" "l" "m" "o" "q" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "c" "g" "l" "m" "o" "q" "t" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "c" "g" "l" "m" "o" "q" "t" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "c" "g" "l" "m" "o" "q" "t" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "c" "g" "l" "m" "o" "q" "t" "z" 2; "b" "g" 4; "c" "o" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "c" "g" "l" "m" "o" "q" "t" "z" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "c" "g" "l" "m" "o" "q" "t" "z" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "g" "l" "m" "o" "q" "t" "z" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "g" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "g" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "e" "g" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "e" "g" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "x" "z" 2;
"a" "c" "e" "g" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "h" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "h" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "h" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "h" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "h" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "h" "l" "m" "o" "q" "t" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "h" "l" "m" "o" "q" "t" "z" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "h" "l" "m" "o" "q" "t" "z" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" "u" 3; "e" "p" "x" "z" 2;
"a" "c" "e" "g" "h" "l" "m" "o" "q" "t" "z" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" "u" 3; "e" "e" "p" "x" "z" 2;
"a" "c" "e" "g" "h" "l" "m" "o" "q" "t" "z" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" "u" 3; "e" "e" "p" "x" "z" 2;
"a" "c" "e" "g" "h" "l" "m" "o" "q" "t" "z" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" "u" 3; "e" "z" 3;
"a" "c" "e" "g" "h" "j" "l" "m" "o" "q" "t" "z" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" "u" 3; "e" "z" 3;
"a" "c" "e" "g" "h" "j" "l" "m" "o" "q" "t" "z" 2; "b" "g" 4; "c" "o" "t" "y" 3; "d" "d" "u" 3; "e" "z" 3;
"a" "c" "e" "g" "h" "j" "l" "m" "o" "q" "t" "z" 2; "b" "g" "u" 4; "c" "o" "t" "y" 3; "d" "d" "u" 3; "e" "z" 3;
"a" "c" "e" "g" "h" "j" "l" "m" "o" "q" "s" "t" "z" 2; "b" "g" "u" 4; "c" "o" "t" "y" 3; "d" "d" "u" 3; "e" "z" 3;
"a" "c" "e" "g" "h" "j" "l" "m" "o" "q" "s" "t" "z" 2; "b" "g" "u" 4; "c" "o" "t" "y" 3; "d" "d" "u" "y" 3; "e" "z" 3;
"a" "c" "e" "g" "h" "j" "l" "m" "o" "q" "s" "t" "z" 2; "b" "g" "u" 4; "c" "o" "t" "y" 3; "d" "d" "u" "y" 3; "e" "z" 3;
"a" "c" "e" "g" "h" "j" "l" "m" "o" "q" "s" "t" "z" 2; "b" "g" "u" 4; "c" "o" "t" "y" 3; "d" "d" "u" "y" 3; "e" "z" 3;
"a" "c" "e" "g" "h" "j" "l" "m" "o" "q" "s" "t" "z" 2; "b" "g" "u" 4; "c" "o" "t" "y" 3; "d" "d" "u" "y" 3; "e" "z" 3;
"a" "c" "e" "g" "h" "j" "l" "m" "o" "q" "s" "t" "z" 2; "b" "g" "u" 4; "c" "o" "t" "y" 3; "d" "d" "u" "y" 3; "e" "z" 3;
"a" "c" "e" "g" "h" "j" "l" "m" "o" "q" "s" "t" "z" 2; "b" "g" "u" 4; "c" "o" "p" "t" "y" 3; "d" "d" "u" "y" 3; "e" "z" 3;
"a" "c" "e" "g" "h" "j" "l" "m" "o" "q" "s" "t" "z" 2; "b" "g" "u" 4; "c" "o" "p" "t" "y" 3; "d" "d" "u" "y" 3; "e" "z" 3;
"a" "c" "e" "f" "g" "h" "j" "l" "m" "o" "q" "s" "t" "z" 2; "b" "g" "u" 4; "c" "o" "p" "t" "y" 3; "d" "d" "u" "y" 3; "e" "z" 3;
"a" "c" "e" "f" "g" "h" "j" "l" "m" "o" "q" "s" "t" "z" 2; "b" "g" "u" 4; "c" "o" "p" "t" "y" 3; "d" "d" "u" "y" 3; "e" "z" 3;
"a" "h" 4; "b" "g" "u" 4; "c" "o" "p" "t" 3; "d" "d" "u" "y" 3; "e" "z" 3;
"a" "h" 4; "b" "g" "u" 4; "c" "o" "p" "t" 3; "d" "d" "u" "y" 3; "e" "z" 3;
"a" "h" 4; "b" "g" "u" 4; "c" "o" "p" "t" "y" 3; "d" "d" "u" "y" 3; "e" "z" 3;
"a" "h" 4; "b" "g" 5; "c" "o" "p" "t" "y" 3; "d" "d" "u" "y" 3; "e" "z" 3;
"a" "h" 4; "b" "g" 5; "c" "o" "p" "t" "y" 3; "d" "y" 4; "e" "z" 3;
"a" "h" 4; "b" "g" 5; "c" "o" "p" "t" "y" 3; "d" "y" 4; "e" "z" 3;
"a" "h" 4; "b" "g" 5; "c" "o" "p" "t" "y" 3; "d" "y" 4; "e" "z" 3;
"a" "h" 4; "b" "g" 5; "c" "o" "p" "t" "y" 3; "d" "y" 4; "e" "u" "z" 3;
"a" "h" 4; "b" "g" 5; "c" "o" "p" "t" "y" 3; "d" "y" 4; "e" "u" "z" 3;
"a" "h" 4; "b" "g" 5; "c" "o" "p" "t" "y" 3; "d" "y" 4; "e" "u" "z" 3;
"a" "h" 4; "b" "g" 5; "c" "o" "p" "t" "y" 3; "d" "y" 4; "e" "u" "z" 3;
"a" "h" 4; "b" "g" 5; "c" "o" "p" "t" "y" 3; "d" "y" 4; "e" "u" "z" 3;
"a" "h" 4; "b" "g" 5; "c" "o" "p" "q" "y" 3; "d" "y" 4; "e" "u" "z" 3;
"a" "h" 4; "b" "g" 5; "c" "o" "p" "q" "y" 3; "d" "y" 4; "e" "u" "z" 3;
"a" "h" 4; "b" "g" "u" 5; "c" "o" "p" "q" "y" 3; "d" "y" 4; "e" "c" "u" "z" 3;
"a" "h" 4; "b" "g" "u" 5; "c" "o" "p" "q" "y" 3; "d" "y" 4; "e" "c" "u" "z" 3;
"a" "h" 4; "b" "g" "u" 5; "c" "o" "p" "q" "x" "y" 3; "d" "y" 4; "e" "c" "u" "z" 3;
"a" "h" 4; "b" "g" "u" 5; "c" "o" "p" "q" "x" "y" 3; "d" "y" 4; "e" "c" "u" "z" 3;
"a" "h" 4; "b" "g" "u" 5; "c" "o" "p" "q" "x" "y" 3; "d" "y" 4; "e" "c" "u" "z" 3;
"a" "h" 4; "b" "g" "u" 5; "c" "o" "p" "q" "x" "y" 3; "d" "y" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "i" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "i" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "i" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "i" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "i" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "i" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "i" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "i" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "i" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "m" "u" "z" 3;
"a" "h" "q" 4; "b" "g" "u" 5; "c" "i" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "m" "u" "z" 3;
"a" "b" "h" "q" 4; "b" "g" "u" 5; "c" "i" "o" "p" "q" "x" "y" 3; "d" "y" "z" 4; "e" "c" "m" "p" "u" "z" 3;
