none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"a" "o" 1; "b" "o" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "o" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "o" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "c" "o" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 2; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 2; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 2; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 2; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 2; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 2; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 2; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 3; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 3; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 3; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 3; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 3; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 3; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 3; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 3; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 3; "c" "c" 2; "d" "h" "o" 2; "e" "c" "d" "h" "m" "u" "v" "w" "y" 1;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" "o" 2; "e" "h" 2;
"a" "d" "f" "i" "o" "q" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" "o" 2; "e" "h" 2;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" "o" 2; "e" "h" 2;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" "o" "r" 2; "e" "h" 2;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "h" "u" 2;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "h" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "h" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "h" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "h" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "h" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "h" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "h" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "h" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "h" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "h" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "h" "u" 3;
"a" "d" "f" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "g" "h" "o" "r" 2; "e" "h" "u" 3;
"a" "d" "f" "g" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "h" "u" 3;
"a" "d" "f" "g" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "h" "u" 3;
"a" "d" "f" "g" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "h" "u" 3;
"a" "d" "f" "g" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "h" "u" 3;
"a" "d" "f" "g" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "h" "u" 3;
"a" "d" "f" "g" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "h" "u" 3;
"a" "d" "f" "g" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "h" "u" 3;
"a" "d" "f" "g" "i" "o" "q" "r" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "h" "u" 3;
"a" "d" "f" "g" "i" "o" "q" "r" "t" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "h" "u" 3;
"a" "d" "f" "g" "i" "o" "q" "r" "t" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "h" "u" 3;
"a" "d" "f" "g" "i" "o" "q" "r" "t" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "h" "u" 3;
"a" "d" "f" "g" "i" "o" "q" "r" "t" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "h" "u" 3;
"a" "d" "f" "g" "i" "o" "q" "r" "t" "u" 1; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "h" "u" 3;
"a" "i" 2; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "h" "u" "v" 3;
"a" "i" "t" 2; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "u" "v" 3;
"a" "i" "t" 2; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "u" "v" 3;
"a" "i" "t" 2; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "u" "v" 3;
"a" "i" "t" 2; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "u" "v" 3;
"a" "i" "t" 2; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "r" 3; "c" "c" 2; "d" "e" "h" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "c" "f" "r" 2; "d" "e" "h" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "c" "f" "k" "r" 2; "d" "e" "h" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "c" "f" "k" "r" 2; "d" "e" "h" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "f" "i" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "o" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "o" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "e" "h" "r" 3; "e" "m" "o" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "r" 4; "e" "m" "o" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "r" 4; "e" "m" "o" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "r" 4; "e" "m" "o" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "r" 3; "d" "r" 4; "e" "m" "o" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "f" "r" 3; "d" "r" 4; "e" "h" "m" "o" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "f" "r" 3; "d" "r" 4; "e" "h" "m" "o" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "f" "r" 3; "d" "r" 4; "e" "h" "m" "o" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "f" "q" "r" 3; "d" "r" 4; "e" "h" "m" "o" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "f" "q" "r" 3; "d" "r" 4; "e" "h" "m" "o" "u" "v" 3;
"a" "f" "t" 2; "b" "q" "r" 3; "c" "f" "q" "r" 3; "d" "r" 4; "e" "h" "m" "o" "u" "v" 3;
"a" "f" "i" "t" 2; "b" "q" "r" 3; "c" "q" 4; "d" "r" 4; "e" "h" "m" "o" "u" "v" 3;
"a" "f" "i" "t" 2; "b" "q" "r" 3; "c" "q" 4; "d" "r" 4; "e" "h" "m" "o" "u" "v" 3;
"a" "f" "i" "t" 2; "b" "q" "r" 3; "c" "q" 4; "d" "r" 4; "e" "h" "m" "o" "u" "v" 3;
"a" "f" "i" "t" 2; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "h" "m" "o" "u" "v" 3;
"a" "f" "i" "t" 2; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "h" "m" "o" "u" "v" 3;
"a" "f" "i" "t" 2; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "h" "m" "o" "u" "v" 3;
"a" "f" "i" "t" 2; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "h" "m" "o" "u" "v" 3;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "g" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "g" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "g" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "g" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "g" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 4; "e" "g" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "g" "o" 4;
"a" "i" 3; "b" "q" "r" "t" 3; "c" "q" 4; "d" "r" 5; "e" "g" "o" 4;
