"c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1; "d" "a" 1;
"b" "q" 1; "c" "b" 1; "d" "a" 1;
"b" "q" 1; "c" "b" 1; "d" "a" 1;
"b" "q" 1; "c" "b" 1; "d" "a" 1;
"b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "w" "y" 2; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "l" 3; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "l" 3; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "l" 3; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "l" 3; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "l" 3; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "l" 3; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "l" 3; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" "x" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "w" "x" "y" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "w" "x" "y" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "w" "x" "y" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "w" "x" "y" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "w" "x" "y" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "w" "x" "y" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "w" "x" "y" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "w" "x" "y" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "w" "x" "y" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "w" "x" "y" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "w" "x" "y" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "w" "x" "y" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "w" "x" "y" 2; "d" "y" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "w" "x" "y" 2; "d" "e" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "q" "w" "x" "y" 2; "d" "e" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "q" "w" "x" "y" 2; "d" "e" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "q" "w" "x" "y" 2; "d" "e" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "q" "w" "x" "y" 2; "d" "e" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "q" "w" "x" "y" 2; "d" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "q" "w" "x" "y" 2; "d" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "q" "w" "x" "y" 2; "d" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "j" "q" "w" "x" "y" 2; "d" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "g" 3; "d" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "g" 3; "d" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "g" 3; "d" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" 3; "d" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" 3; "d" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" 3; "d" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" 3; "d" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "i" "l" 3; "c" "b" "g" "w" 3; "d" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "a" "i" "l" 3; "c" "b" "g" "w" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "a" "i" "l" 3; "c" "b" "g" "w" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "a" "i" "l" 3; "c" "b" "g" "w" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "a" "i" "l" 3; "c" "b" "g" "w" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "l" 4; "c" "b" "g" "w" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "q" 2; "b" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "d" "q" 2; "b" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "d" "q" 2; "b" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "d" "q" 2; "b" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "d" "q" 2; "b" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "d" "q" 2; "b" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "d" "q" 2; "b" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "d" "q" 2; "b" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "d" "q" 2; "b" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "d" "q" 2; "b" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 3;
"a" "d" "q" "r" 2; "b" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "o" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "o" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "o" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "o" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "o" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "o" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "o" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "o" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "o" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "o" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "o" "q" "r" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "o" "q" "r" "u" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "d" "o" "q" "r" "u" "w" 2; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "u" 3; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" "l" 4; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "b" "g" "w" "x" 3; "d" "e" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "b" "g" "w" "x" 3; "d" "a" "e" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "b" "g" "w" "x" 3; "d" "a" "e" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "b" "g" "w" "x" 3; "d" "a" "e" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "b" "g" "w" "x" 3; "d" "a" "e" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "e" "m" "n" 3; "e" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "c" "e" "m" "n" 3; "e" "u" 4;
"a" "d" "o" "u" 3; "b" "i" 5; "c" "w" 4; "d" "a" "c" "e" "m" "n" 3; "e" "s" "u" 4;
