none
none
none
none
none
none
none
none
"d" "q" 1;
"d" "q" 1;
"d" "q" 1; "e" "j" 1;
"d" "q" 1; "e" "j" 1;
"d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "j" "q" 1; "e" "j" 1;
"a" "u" 1; "d" "j" "q" "u" 1; "e" "j" 1;
"a" "u" 1; "b" "y" 1; "d" "j" "q" "u" 1; "e" "j" 1;
"a" "u" 1; "b" "y" 1; "d" "j" "q" "u" 1; "e" "j" 1;
"a" "u" 1; "b" "y" 1; "d" "j" "q" "u" 1; "e" "j" 1;
"a" "u" 1; "b" "y" 1; "d" "j" "q" "u" 1; "e" "j" 1;
"a" "u" 1; "b" "y" 1; "d" "j" "q" "u" 1; "e" "j" 1;
"a" "u" 1; "b" "y" 1; "d" "j" "q" "u" 1; "e" "j" 1;
"a" "i" "u" "y" 1; "b" "s" "y" 1; "c" "b" "i" "o" "p" "r" "s" 1; "d" "u" 2; "e" "f" "j" "p" "z" 1;
"a" "i" "u" "y" 1; "b" "s" "y" 1; "c" "b" "i" "o" "p" "r" "s" 1; "d" "u" 2; "e" "f" "j" "p" "z" 1;
"a" "i" "k" "u" "y" 1; "b" "s" "y" 1; "c" "b" "i" "o" "p" "q" "r" "s" 1; "d" "u" 2; "e" "f" "j" "p" "z" 1;
"a" "i" "k" "u" "y" 1; "b" "s" "y" 1; "c" "b" "i" "o" "p" "q" "r" "s" 1; "d" "u" 2; "e" "a" "f" "j" "p" "z" 1;
"a" "i" "k" "u" "y" 1; "b" "s" "y" 1; "c" "b" "i" "o" "p" "q" "r" "s" 1; "d" "u" 2; "e" "a" "f" "j" "p" "z" 1;
"a" "i" "k" "u" "y" 1; "b" "s" "y" 1; "c" "b" "i" "o" "p" "q" "r" "s" 1; "d" "u" 2; "e" "a" "f" "j" "p" "z" 1;
"a" "i" "k" "o" "r" "u" "y" 1; "b" "p" "s" "y" 1; "c" "b" "i" "o" "p" "q" "r" "s" 1; "d" "u" 2; "e" "a" "f" "j" "p" "z" 1;
"a" "i" "k" "o" "r" "u" "y" 1; "b" "p" "s" "y" 1; "c" "b" "i" "o" "p" "q" "r" "s" 1; "d" "u" 2; "e" "a" "f" "j" "p" "z" 1;
"a" "i" "j" "k" "o" "r" "u" "y" 1; "b" "o" "p" "s" "y" 1; "c" "b" "i" "o" "p" "q" "r" "s" 1; "d" "u" 2; "e" "a" "f" "j" "p" "z" 1;
"a" "i" "j" "k" "o" "r" "u" "y" 1; "b" "o" "p" "s" "y" 1; "c" "b" "i" "o" "p" "q" "r" "s" 1; "d" "u" 2; "e" "a" "f" "j" "p" "z" 1;
"a" "i" "j" "k" "o" "r" "u" "y" 1; "b" "o" "p" "s" "y" 1; "c" "b" "i" "o" "p" "q" "r" "s" 1; "d" "u" 2; "e" "a" "f" "j" "p" "z" 1;
"a" "i" "j" "k" "o" "r" "u" "y" 1; "b" "o" "p" "s" "y" 1; "c" "b" "e" "i" "o" "p" "q" "r" "s" 1; "d" "u" 2; "e" "a" "f" "j" "p" "z" 1;
"a" "y" 2; "b" "m" "o" "p" "s" "y" 1; "c" "b" "e" "i" "j" "o" "p" "q" "r" "s" 1; "d" "u" 2; "e" "a" "f" "j" "p" "z" 1;
"a" "y" 2; "b" "o" 2; "c" "i" 2; "d" "u" 2; "e" "a" "f" "j" "p" "y" "z" 1;
"a" "y" 2; "b" "o" 2; "c" "i" 2; "d" "u" 2; "e" "a" "f" "j" "p" "y" "z" 1;
"a" "y" 2; "b" "o" 2; "c" "i" 2; "d" "u" 2; "e" "a" "f" "j" "p" "y" "z" 1;
"a" "y" 2; "b" "o" 2; "c" "i" 2; "d" "u" 2; "e" "a" "f" "j" "p" "y" "z" 1;
"a" "y" 2; "b" "o" 2; "c" "i" 2; "d" "u" 2; "e" "a" "f" "j" "p" "y" "z" 1;
"a" "y" 2; "b" "o" 2; "c" "i" 2; "d" "u" 2; "e" "a" "f" "j" "p" "y" "z" 1;
"a" "y" 2; "b" "o" 2; "c" "i" 2; "d" "u" 2; "e" "a" "f" "j" "p" "y" "z" 1;
"a" "y" 2; "b" "o" 2; "c" "i" 2; "d" "u" 2; "e" "z" 2;
"a" "y" 2; "b" "o" 2; "c" "i" 2; "d" "u" 2; "e" "z" 2;
"a" "y" 2; "b" "o" 2; "c" "i" 2; "d" "u" 2; "e" "z" 2;
"a" "y" 2; "b" "o" 2; "c" "i" 2; "d" "u" 2; "e" "z" 2;
"a" "y" 2; "b" "o" 2; "c" "i" "q" 2; "d" "m" "u" 2; "e" "z" 2;
"a" "y" 2; "b" "o" 2; "c" "i" "q" 2; "d" "m" "u" 2; "e" "z" 2;
"a" "y" 2; "b" "o" 2; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "z" 2;
"a" "y" 2; "b" "o" 2; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "z" 2;
"a" "y" 2; "b" "o" 2; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "z" 2;
"a" "x" "y" 2; "b" "o" 2; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "z" 2;
"a" "x" "y" 2; "b" "o" 2; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "z" 2;
"a" "x" "y" 2; "b" "o" 2; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "z" 2;
"a" "o" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "z" 2;
"a" "o" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "z" 2;
"a" "o" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "z" 2;
"a" "o" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "z" 2;
"a" "o" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "z" 2;
"a" "o" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "z" 2;
"a" "o" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "z" 2;
"a" "o" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "a" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "a" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "a" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "a" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "a" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "a" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "a" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "a" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "a" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" "v" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" "v" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" "v" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" 3; "c" "i" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" "z" 3; "c" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" "z" 3; "c" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "x" "y" 2; "b" "o" "z" 3; "c" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "v" "x" "y" 2; "b" "o" "z" 3; "c" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "v" "x" "y" 2; "b" "o" "z" 3; "c" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "v" "x" "y" 2; "b" "o" "z" 3; "c" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "z" 2;
"a" "o" "s" "v" "x" "y" 2; "b" "o" "z" 3; "c" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "t" "z" 2;
"a" "o" "s" "v" "x" "y" 2; "b" "o" "z" 3; "c" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "t" "z" 2;
"a" "o" "s" "v" "x" "y" 2; "b" "o" "z" 3; "c" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "l" "t" "z" 2;
"a" "o" "s" "v" "x" "y" 2; "b" "o" "z" 3; "c" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "l" "t" "z" 2;
"a" "o" "s" "v" "x" "y" 2; "b" "o" "z" 3; "c" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "l" "t" "z" 2;
"a" "o" "p" "s" "v" "x" "y" 2; "b" "o" "z" 3; "c" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "l" "t" "z" 2;
"a" "o" "p" "s" "v" "x" "y" 2; "b" "o" "z" 3; "c" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "l" "t" "z" 2;
"a" "x" 3; "b" "o" "z" 3; "c" "b" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "x" 3; "b" "o" "z" 3; "c" "b" "i" "n" "q" "r" "v" "w" 2; "d" "a" "m" "u" 2; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "x" 3; "b" "o" "z" 3; "c" "b" 3; "d" "a" "m" "u" 2; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" "m" "u" 2; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" "m" "u" 2; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" "m" "u" 2; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" "m" "u" 2; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" "m" "u" 2; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" "m" "u" 2; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" "m" "u" 2; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" "m" "u" 2; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" "m" "u" 2; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "f" "i" "k" "l" "t" "z" 2;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" 3;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" 3;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" 3;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" 3;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" 3;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" 3;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "v" "x" 3; "b" "o" "z" 3; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "v" "x" 3; "b" "o" 4; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "x" 3; "b" "o" 4; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "x" 3; "b" "o" 4; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "x" 3; "b" "o" 4; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "x" 3; "b" "o" 4; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "x" 3; "b" "o" 4; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "x" 3; "b" "o" 4; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "x" 3; "b" "o" 4; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "x" 3; "b" "o" 4; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "x" 3; "b" "o" 4; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "x" 3; "b" "o" 4; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "x" 3; "b" "o" 4; "c" "b" 4; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "x" 3; "b" "o" 4; "c" "b" 5; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "x" 3; "b" "o" 4; "c" "b" 5; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "p" "s" "x" 3; "b" "o" 4; "c" "b" 5; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" 3; "e" "a" "k" "l" 3;
"a" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "l" "y" 3;
"a" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "l" "y" 3;
"a" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "l" "y" 3;
"a" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "y" 3;
"a" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "y" 3;
"a" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "y" 3;
"a" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "t" "y" 3;
"a" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "t" "y" 3;
"a" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "t" "y" 3;
"a" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "t" "y" 3;
"a" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "t" "y" 3;
"a" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "t" "y" 3;
"a" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "t" "y" 3;
"a" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "t" "y" 3;
"a" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "t" "y" 3;
"a" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "t" "y" 3;
"a" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "t" "y" 3;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "t" "y" 3;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "t" "y" 3;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "y" 3;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "a" "k" "l" "y" 3;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "k" 4;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "k" 4;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "k" 4;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "k" 4;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "k" 4;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "k" 4;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "k" 4;
"a" "o" "p" "x" 4; "b" "o" 4; "c" "b" 5; "d" "a" "u" 3; "e" "k" 4;
