none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"e" "q" "y" 1;
"a" "i" 1; "e" "q" "y" 1;
"a" "i" 1; "e" "q" "y" 1;
"a" "i" 1; "e" "q" "y" 1;
"a" "i" 1; "e" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" "o" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" "o" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" "o" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" 1; "c" "g" "o" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" "i" 1; "c" "g" "o" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" "i" 1; "c" "g" "o" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "b" "i" 1; "c" "b" "g" "o" 1; "e" "g" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "g" "i" "o" "p" "s" "w" 1; "d" "s" "u" "y" 1; "e" "g" "i" "p" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "g" "i" "o" "p" "s" "w" 1; "d" "s" "u" "y" 1; "e" "g" "i" "l" "p" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "g" "i" "o" "p" "s" "t" "w" 1; "d" "s" "u" "y" 1; "e" "g" "i" "l" "p" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "g" "i" "o" "p" "s" "t" "w" 1; "d" "s" "u" "y" 1; "e" "g" "i" "l" "p" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "s" "u" "y" 1; "e" "g" "i" "l" "p" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "s" "u" "y" 1; "e" "d" "g" "i" "l" "o" "p" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "s" "u" "y" 1; "e" "d" "g" "i" "l" "o" "p" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "s" "u" "y" 1; "e" "d" "g" "i" "l" "o" "p" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "r" "s" "u" "y" 1; "e" "d" "g" "i" "l" "o" "p" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "r" "s" "u" "y" 1; "e" "d" "g" "i" "l" "o" "p" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "r" "s" "u" "y" 1; "e" "d" "g" "i" "l" "o" "p" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "r" "s" "u" "y" 1; "e" "d" "g" "i" "l" "o" "p" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "r" "s" "u" "y" 1; "e" "d" "g" "i" "l" "o" "p" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "r" "s" "u" "y" 1; "e" "d" "g" "i" "l" "o" "p" "q" "t" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "r" "s" "u" "y" 1; "e" "d" "g" "i" "l" "o" "p" "q" "t" "w" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "g" "r" "s" "u" "y" "z" 1; "e" "d" "g" "i" "l" "o" "p" "q" "t" "w" "y" 1;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "g" "r" "s" "u" "y" "z" 1; "e" "t" 2;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "g" "r" "s" "u" "y" "z" 1; "e" "t" 2;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" 1; "d" "d" "g" "r" "s" "u" "y" "z" 1; "e" "t" 2;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" "y" 1; "d" "d" "g" "r" "s" "u" "y" "z" 1; "e" "t" 2;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" "y" 1; "d" "d" "g" "r" "s" "u" "y" "z" 1; "e" "t" 2;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" "y" 1; "d" "a" "d" "g" "r" "s" "u" "y" "z" 1; "e" "l" "t" 2;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" "y" 1; "d" "a" "d" "g" "r" "s" "u" "y" "z" 1; "e" "l" "t" 2;
"a" "i" 2; "b" "u" 2; "c" "b" "f" "g" "h" "i" "o" "p" "s" "t" "w" "y" 1; "d" "a" "d" "g" "r" "s" "u" "y" "z" 1; "e" "l" "t" 2;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "d" "g" "r" "s" "u" "y" "z" 1; "e" "l" "t" 2;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "d" "g" "r" "s" "u" "y" "z" 1; "e" "l" "t" 2;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "d" "g" "r" "s" "u" "y" "z" 1; "e" "l" "t" 2;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "d" "g" "r" "s" "u" "y" "z" 1; "e" "l" "t" 2;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "d" "g" "r" "s" "u" "y" "z" 1; "e" "l" "t" 2;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "d" "g" "r" "s" "u" "y" "z" 1; "e" "l" "t" 2;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "d" "g" "r" "s" "u" "y" "z" 1; "e" "l" "t" 2;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" "t" 2;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" "t" 2;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" "t" 2;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" "t" 2;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" 3; "b" "u" 2; "c" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" 3; "b" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" 3; "b" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" 3; "b" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" 3; "b" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" 3; "b" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" 3; "b" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" "m" "u" 2; "b" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" "m" "u" 2; "b" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" "m" "u" 2; "b" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "o" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" "m" "u" 2; "b" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "o" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" "m" "u" 2; "b" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "o" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" "m" "u" 2; "b" "p" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "h" "o" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" "m" "u" 2; "b" "p" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "h" "o" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" "m" "u" 2; "b" "p" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "h" "o" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "m" 3; "b" "p" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "h" "o" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "m" 3; "b" "p" "u" 2; "c" "l" "t" 2; "d" "a" "b" "d" "e" "g" "h" "o" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "m" 3; "b" "b" "p" "u" 2; "c" "f" "l" "t" 2; "d" "a" "b" "d" "e" "g" "h" "o" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "m" 3; "b" "b" "p" "u" 2; "c" "f" "l" "t" 2; "d" "a" "b" "d" "e" "g" "h" "o" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "m" 3; "b" "b" "p" "u" 2; "c" "f" "l" "t" 2; "d" "a" "b" "d" "e" "g" "h" "o" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "m" 3; "b" "b" "p" "u" 2; "c" "f" "l" "t" 2; "d" "a" "b" "d" "e" "g" "h" "l" "o" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "m" 3; "b" "b" "p" "u" 2; "c" "f" "h" "l" "s" "t" 2; "d" "a" "b" "d" "e" "g" "h" "l" "o" "r" "s" "u" "y" "z" 1; "e" "l" 3;
"a" "i" "m" 3; "b" "b" "p" "u" 2; "c" "f" "h" "l" "s" "t" 2; "d" "d" 2; "e" "l" 3;
"a" "i" "m" 3; "b" "b" "p" "u" 2; "c" "f" "h" "l" "s" "t" 2; "d" "d" 2; "e" "l" 3;
"a" "i" "m" 3; "b" "b" "i" "p" "u" 2; "c" "f" "h" "l" "s" "t" 2; "d" "d" 2; "e" "l" 3;
"a" "i" "m" 3; "b" "b" "i" "p" "u" 2; "c" "f" "h" "l" "o" "s" "t" 2; "d" "d" 2; "e" "l" 3;
"a" "i" "m" 3; "b" "b" "i" "p" "u" 2; "c" "f" "h" "l" "o" "s" "t" 2; "d" "d" 2; "e" "l" 3;
"a" "i" "m" 3; "b" "b" "i" "p" "u" 2; "c" "f" "h" "l" "o" "s" "t" 2; "d" "d" 2; "e" "l" 3;
"a" "i" "m" 3; "b" "b" "i" "p" "u" 2; "c" "f" "h" "l" "o" "s" "t" 2; "d" "d" 2; "e" "l" 3;
"a" "i" "m" 3; "b" "b" "i" "p" "u" 2; "c" "f" "h" "l" "o" "s" "t" 2; "d" "d" 2; "e" "l" 3;
"a" "i" "m" 3; "b" "b" "i" "p" "u" 2; "c" "f" "h" "l" "o" "s" "t" 2; "d" "d" 2; "e" "l" 3;
"a" "i" "m" 3; "b" "b" "i" "p" "u" 2; "c" "f" "h" "l" "o" "s" "t" 2; "d" "d" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "p" "u" 2; "c" "l" 3; "d" "d" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "p" "u" 2; "c" "l" 3; "d" "d" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "p" "u" 2; "c" "l" 3; "d" "d" "l" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "p" "u" 2; "c" "l" 3; "d" "d" "l" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "p" "u" 2; "c" "l" 3; "d" "d" "l" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "p" "u" 2; "c" "l" 3; "d" "d" "l" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "p" "u" 2; "c" "l" 3; "d" "d" "l" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "p" "u" 2; "c" "l" 3; "d" "d" "l" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "p" "u" 2; "c" "l" 3; "d" "d" "l" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "p" "u" 2; "c" "l" 3; "d" "d" "l" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "p" "u" 2; "c" "l" 3; "d" "d" "l" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "p" "u" 2; "c" "l" 3; "d" "d" "l" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "p" "u" 2; "c" "l" 3; "d" "d" "l" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "j" "p" "u" 2; "c" "l" 3; "d" "d" "l" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "j" "p" "u" 2; "c" "l" 3; "d" "d" "l" "q" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "j" "p" "u" 2; "c" "l" 3; "d" "d" "l" "q" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "j" "p" "u" 2; "c" "l" 3; "d" "d" "l" "q" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "b" "i" "j" "p" "u" 2; "c" "l" 3; "d" "d" "l" "q" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "d" "l" "q" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "d" "l" "q" "r" 2; "e" "l" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "l" 3; "d" "l" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 3; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "i" "p" 3; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "i" "p" 3; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "i" "p" 3; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 4; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 4; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 4; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 4; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 4; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 4; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "p" 4; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "l" "q" 3; "e" "l" "p" "t" 3;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "l" "q" 3; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "l" "q" 3; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
"a" "i" 4; "b" "i" "p" 4; "c" "i" "l" 3; "d" "q" 4; "e" "p" 4;
