none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "k" 1;
"c" "k" 1;
"c" "k" 1;
"c" "k" 1;
"c" "k" "n" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" "s" 1;
"c" "j" "k" "n" "x" 1; "e" "a" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "d" "f" 1; "e" "a" "j" "s" 1;
"c" "j" 2; "d" "f" 1; "e" "a" "j" "s" 1;
"c" "j" 2; "d" "f" 1; "e" "a" "j" "s" 1;
"c" "j" 2; "d" "f" 1; "e" "a" "h" "j" "s" 1;
"b" "k" 1; "c" "j" 2; "d" "f" 1; "e" "a" "h" "j" "s" 1;
"b" "k" 1; "c" "j" 2; "d" "f" 1; "e" "a" "g" "h" "j" "s" 1;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" "x" 2; "d" "f" 1; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" "x" 2; "d" "f" 1; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" "x" 2; "d" "f" 1; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" "x" 2; "d" "f" 1; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" "x" 2; "d" "f" 1; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" 2;
"a" "b" "e" "g" "j" "r" "s" 1; "b" "d" "k" "l" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" "z" 2;
"a" "b" "e" "g" "j" "r" "s" 1; "b" "d" "k" "l" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" "z" 2;
"a" "b" "e" "g" "j" "r" "s" 1; "b" "d" "k" "l" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" "z" 2;
"a" "b" "e" "g" "j" "r" "s" 1; "b" "d" "k" "l" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" "z" 2;
"a" "b" "e" "g" "j" "r" "s" 1; "b" "d" "k" "l" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" "z" 2;
"a" "b" "e" "g" "j" "r" "s" 1; "b" "d" "k" "l" "v" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" "z" 2;
"a" "b" 2; "b" "d" "k" "l" "v" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" "z" 2;
"a" "b" 2; "b" "d" "k" "l" "v" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" "z" 2;
"a" "b" 2; "b" "d" "k" "l" "v" "w" 1; "c" "j" "x" 2; "d" "f" 2; "e" "h" "z" 2;
"a" "b" 2; "b" "k" 2; "c" "j" "x" 2; "d" "f" 2; "e" "h" "z" 2;
"a" "b" 2; "b" "k" 2; "c" "j" "x" 2; "d" "f" 2; "e" "h" "z" 2;
"a" "b" 2; "b" "k" 2; "c" "j" "x" 2; "d" "f" 2; "e" "h" "z" 2;
"a" "b" 2; "b" "k" 2; "c" "j" "x" 2; "d" "f" 2; "e" "h" "s" "z" 2;
"a" "b" 2; "b" "k" 2; "c" "j" "x" 2; "d" "f" 2; "e" "h" "s" "z" 2;
"a" "b" 2; "b" "k" 2; "c" "j" "x" 2; "d" "f" 2; "e" "h" "s" "z" 2;
"a" "a" "b" 2; "b" "k" 2; "c" "j" "x" 2; "d" "f" 2; "e" "h" "s" "z" 2;
"a" "a" "b" 2; "b" "k" 2; "c" "j" "x" 2; "d" "f" 2; "e" "h" "s" "z" 2;
"a" "a" "b" 2; "b" "k" 2; "c" "j" "x" 2; "d" "f" 2; "e" "h" "s" "z" 2;
"a" "a" "b" "r" 2; "b" "k" 2; "c" "j" "x" 2; "d" "f" 2; "e" "h" "s" "z" 2;
"a" "a" "b" "r" 2; "b" "k" 2; "c" "j" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "r" 2; "b" "k" 2; "c" "j" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "r" 2; "b" "k" 2; "c" "j" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "a" "b" "j" "r" 2; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "k" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "k" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "k" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "k" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "k" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "k" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "k" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "k" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "k" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "k" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "k" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "k" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "j" "k" "v" "x" 2; "d" "f" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "v" "x" 2; "d" "f" "i" 2; "e" "s" 3;
"a" "j" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "v" "x" 2; "d" "f" "i" 2; "e" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "v" "x" 2; "d" "f" "i" "t" 2; "e" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "f" "i" "t" 2; "e" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "j" "n" 3; "b" "k" "v" 2; "c" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "a" "j" "n" 3; "b" "k" "v" 2; "c" "d" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "a" "j" "n" 3; "b" "k" "v" 2; "c" "d" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "a" "j" "n" 3; "b" "k" "v" 2; "c" "d" "g" "j" "k" "q" "s" "v" "x" 2; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "a" "j" "n" 3; "b" "k" "v" 2; "c" "k" 3; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "a" "j" "n" 3; "b" "k" "v" 2; "c" "k" 3; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "a" "j" "n" 3; "b" "k" "v" 2; "c" "k" 3; "d" "c" "f" "i" "t" 2; "e" "h" "s" 3;
"a" "a" "j" "n" 3; "b" "k" "v" 2; "c" "k" 3; "d" "c" 3; "e" "h" "s" 3;
"a" "a" "j" "n" 3; "b" "k" "v" 2; "c" "k" 3; "d" "c" 3; "e" "h" "s" 3;
"a" "a" "j" "n" 3; "b" "k" "v" 2; "c" "k" 3; "d" "c" 3; "e" "h" "s" 3;
"a" "j" 4; "b" "k" "q" "v" 2; "c" "k" 3; "d" "c" 3; "e" "h" "s" 3;
"a" "j" 4; "b" "k" "q" "v" 2; "c" "k" 3; "d" "c" 3; "e" "h" "s" 3;
"a" "j" 4; "b" "k" "q" "v" 2; "c" "k" 3; "d" "c" 3; "e" "h" "s" 3;
"a" "j" 4; "b" "k" "q" "v" 2; "c" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "d" "k" "q" "v" 2; "c" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" "v" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" "v" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" "v" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" "v" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" "v" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" "v" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" "v" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" "v" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" "v" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" "v" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" "v" 3; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 4; "b" "q" "v" 3; "c" "g" "j" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "q" "v" 3; "c" "g" "j" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "q" "v" 3; "c" "g" "j" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "q" "v" 3; "c" "g" "j" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "q" "v" 3; "c" "g" "j" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "q" "v" 3; "c" "g" "j" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" "q" "v" 3; "c" "g" "j" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" "q" "v" 3; "c" "g" "j" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" "q" "v" 3; "c" "g" "j" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" "q" "v" 3; "c" "g" "j" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "j" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" 3; "e" "h" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "k" "s" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "j" "k" "s" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "g" "j" "k" "s" "x" 3; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "b" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "b" "c" "v" 3; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "c" 4; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "c" 4; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "c" 4; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "c" 4; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "c" 4; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "c" 4; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "c" 4; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "c" 4; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "c" 4; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "c" 4; "e" "h" "s" 4;
"a" "j" 5; "b" "j" 4; "c" "j" 4; "d" "c" 4; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" 4; "d" "c" 4; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 4; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 4; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 4; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 4; "e" "h" "s" "u" 4;
"a" "j" 5; "b" "j" "w" 4; "c" "j" "q" 4; "d" "c" 4; "e" "h" "s" "u" 4;
