none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"a" "x" 1; "c" "y" 1;
"a" "x" 1; "c" "y" 1;
"a" "x" 1; "c" "b" "y" 1;
"a" "x" 1; "c" "b" "y" 1;
"a" "x" 1; "c" "b" "y" 1;
"a" "x" 1; "c" "b" "d" "y" 1;
"a" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "s" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "s" "x" 1; "c" "b" "d" "y" 1;
"a" "b" "s" "x" 1; "c" "d" 2;
"a" "b" "s" "x" 1; "c" "d" 2;
"a" "b" "s" "x" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "b" "s" "t" "x" 1; "b" "u" 1; "c" "d" 2;
"a" "t" 2; "b" "d" "u" 1; "c" "d" 2;
"a" "t" 2; "b" "d" "u" 1; "c" "d" 2; "d" "q" 1;
"a" "t" 2; "b" "d" "u" 1; "c" "d" 2; "d" "q" 1;
"a" "h" "j" "t" 2; "b" "q" 2; "c" "o" 3; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "q" 2; "c" "o" 3; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "q" 2; "c" "o" 3; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "q" 2; "c" "o" 3; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "q" 2; "c" "o" 3; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "q" 2; "c" "o" 3; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "q" 2; "c" "o" 3; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "q" 2; "c" "o" 3; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "q" 2; "c" "o" 3; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "q" 2; "c" "o" 3; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" 3; "c" "o" 3; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" 3; "c" "o" 3; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" 3; "c" "o" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" 3; "c" "o" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "b" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "b" "n" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "b" "n" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "b" "n" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "o" "t" 4; "d" "q" 3; "e" "b" "n" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "b" "n" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "b" "n" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "b" "n" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "b" "h" "n" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "b" "h" "n" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "b" "h" "i" "n" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "b" "h" "i" "n" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "b" "h" "i" "n" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "b" "h" "i" "n" "u" 2;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "e" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "e" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "e" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "e" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" 3;
"a" "e" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "e" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "e" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "e" "h" "i" "j" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "e" "h" "i" "j" "n" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "e" "h" "i" "j" "n" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "e" "h" "i" "j" "n" "s" "t" 2; "b" "a" "t" 3; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "e" "h" "i" "j" "n" "s" "t" 2; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "e" "h" "i" "j" "n" "s" "t" 2; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "e" "h" "i" "j" "n" "s" "t" 2; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "e" "h" "i" "j" "n" "s" "t" 2; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "e" "h" "i" "j" "n" "s" "t" 2; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "e" "h" "i" "j" "n" "s" "t" 2; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" "s" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" "s" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" "s" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" "s" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" "s" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "q" "s" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "p" "q" "s" 3; "e" "h" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "p" "q" "s" 3; "e" "h" "j" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "p" "q" "s" 3; "e" "h" "j" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "p" "q" "s" 3; "e" "h" "j" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "p" "q" "s" 3; "e" "h" "j" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "p" "q" "s" 3; "e" "h" "j" "n" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 5; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" 3; "b" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" "n" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" "n" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" "n" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" "n" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" "n" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" "n" "t" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" "n" "t" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" "n" "t" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" "n" "t" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" "n" "t" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "u" "z" 3;
"a" "j" "n" "t" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "r" "u" "z" 3;
"a" "j" "n" "t" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "r" "u" "z" 3;
"a" "j" "n" "t" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "r" "u" "z" 3;
"a" "j" "n" "t" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "r" "u" "z" 3;
"a" "j" "n" "t" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "r" "u" "z" 3;
"a" "j" "n" "q" "t" 3; "b" "a" "f" "t" 4; "c" "t" 6; "d" "p" "q" "s" 3; "e" "h" "j" "n" "r" "u" "z" 3;
"a" "j" "n" "q" "t" 3; "b" "a" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "j" "n" "r" "u" "z" 3;
"a" "j" "n" "q" "t" 3; "b" "a" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "u" 4;
"a" "j" "n" "q" "t" 3; "b" "a" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "u" 4;
"a" "j" "n" "q" "t" 3; "b" "a" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "j" "n" "r" "u" "z" 3;
"a" "j" "n" "q" "t" 3; "b" "a" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "j" "n" "r" "u" "z" 3;
"a" "j" "n" "q" "t" 3; "b" "a" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "j" "n" "r" "u" "z" 3;
"a" "j" "n" "q" "t" 3; "b" "a" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "j" "n" "r" "u" "z" 3;
"a" "j" "n" "q" "t" 3; "b" "a" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "j" "n" "r" "u" "z" 3;
"a" "j" "n" "q" "t" 3; "b" "a" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "j" "n" "r" "u" "z" 3;
"a" "j" "n" "q" "t" 3; "b" "a" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "j" "n" "r" "u" "z" 3;
"a" "j" "n" "q" "t" 3; "b" "a" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "r" 4;
"a" "j" "n" "q" "t" 3; "b" "a" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "r" 4;
"a" "j" "n" "q" "t" 3; "b" "a" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "r" 4;
"a" "j" "n" "q" "t" 3; "b" "a" "b" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "r" 4;
"a" "j" "n" "q" "t" 3; "b" "a" "b" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "r" 4;
"a" "j" "n" "q" "t" 3; "b" "a" "b" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "r" 4;
"a" "j" "n" "q" "t" 3; "b" "a" "b" "f" "t" 4; "c" "t" 7; "d" "p" "q" "s" 3; "e" "h" "r" 4;
