none
none
none
none
none
none
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"b" "s" 1; "c" "p" 1;
"b" "s" 1; "c" "p" 1;
"b" "s" 1; "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"a" "d" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "d" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "d" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "d" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "d" "g" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "s" 2;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "s" 2;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "s" 2;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "s" 2;
"a" "g" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "s" 2;
"a" "g" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "s" 2;
"a" "g" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" 2; "e" "s" 2;
"a" "g" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" 2; "e" "s" 2;
"a" "g" "s" 2; "b" "g" "s" 2; "c" "p" 2; "d" "a" 2; "e" "s" 2;
"a" "g" "s" 2; "b" "s" 3; "c" "p" 2; "d" "a" 2; "e" "s" 2;
"a" "g" "s" 2; "b" "s" 3; "c" "p" 2; "d" "a" 2; "e" "s" 2;
"a" "g" "s" 2; "b" "s" 3; "c" "p" 2; "d" "a" 2; "e" "s" 2;
"a" "g" "s" 2; "b" "s" 3; "c" "p" 2; "d" "a" 2; "e" "s" 2;
"a" "g" "s" 2; "b" "s" 3; "c" "p" 2; "d" "a" 2; "e" "s" 2;
"a" "g" "s" 2; "b" "s" 3; "c" "p" 2; "d" "a" 2; "e" "s" 2;
"a" "g" "s" 2; "b" "s" 3; "c" "p" 2; "d" "a" 2; "e" "s" 2;
"a" "g" "s" 2; "b" "s" 3; "c" "p" 2; "d" "a" "v" 2; "e" "s" 2;
"a" "g" "s" 2; "b" "s" 3; "c" "p" 2; "d" "a" 3; "e" "s" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" 2; "d" "a" 3; "e" "s" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" 2; "d" "a" 3; "e" "s" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" 2; "d" "a" 3; "e" "s" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" 2; "d" "a" "q" 3; "e" "s" "y" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" 2; "d" "a" "q" 3; "e" "s" "y" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" 2; "d" "a" "q" 3; "e" "s" "y" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" 2; "d" "a" "q" 3; "e" "s" "y" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" 2; "d" "a" "q" 3; "e" "s" "y" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" 2; "d" "a" "q" 3; "e" "b" "s" "y" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" 2; "d" "a" "q" 3; "e" "b" "s" "y" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" 2; "d" "a" "q" 3; "e" "b" "s" "y" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "y" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "y" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "y" 2;
"a" "g" "p" "s" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "u" "y" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "u" "y" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "u" "y" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "u" "y" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "u" "y" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "u" "y" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "u" "y" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "u" "y" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "p" "t" 2; "d" "a" "q" 3; "e" "b" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "g" "p" "t" 2; "d" "a" "q" 3; "e" "b" "m" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "c" "g" "p" "s" "t" 2; "d" "a" "q" 3; "e" "b" "m" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "c" "g" "p" "s" "t" 2; "d" "a" "q" 3; "e" "b" "m" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "c" "g" "p" "s" "t" 2; "d" "a" "q" 3; "e" "b" "m" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "c" "g" "p" "s" "t" 2; "d" "a" "q" 3; "e" "b" "h" "m" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "c" "g" "p" "s" "t" 2; "d" "a" "q" 3; "e" "b" "h" "m" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "c" "g" "p" "s" "t" 2; "d" "a" "q" 3; "e" "b" "h" "m" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "c" "g" "p" "s" "t" 2; "d" "a" "q" 3; "e" "b" "h" "m" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "w" 2; "b" "g" "s" 3; "c" "c" "g" "p" "s" "t" 2; "d" "a" "q" 3; "e" "b" "h" "m" "s" "u" "y" "z" 2;
"a" "g" "p" "s" "t" "w" 2; "b" "g" "s" 3; "c" "c" "g" "p" "s" "t" 2; "d" "a" "q" 3; "e" "z" 3;
"a" "s" 3; "b" "g" "s" 3; "c" "c" "g" "p" "s" "t" 2; "d" "a" "q" "v" 3; "e" "z" 3;
"a" "s" 3; "b" "g" "s" 3; "c" "c" "g" "p" "s" "t" 2; "d" "a" "q" "v" 3; "e" "z" 3;
"a" "s" 3; "b" "g" "s" 3; "c" "c" "g" "p" "s" "t" 2; "d" "a" "q" "v" 3; "e" "z" 3;
"a" "s" 3; "b" "g" "s" 3; "c" "c" "g" "p" "s" "t" 2; "d" "a" "q" "v" 3; "e" "z" 3;
"a" "s" 3; "b" "g" "s" 3; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" 3; "b" "g" "s" 3; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" 3; "b" "g" "s" 3; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" 3; "b" "g" "s" 3; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" 3; "b" "g" "s" 3; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" 3; "b" "g" "s" 3; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "g" "s" 3; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "g" "s" 3; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "g" "s" 3; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "g" "s" 3; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "g" "s" 3; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "g" "s" 3; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "g" "s" 3; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "s" "u" 3; "b" "s" 4; "c" "g" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "g" "z" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "g" "z" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "g" "z" 3; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "a" "n" "q" "v" 3; "e" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "a" "n" "q" "v" 3; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "a" "n" "q" "v" 3; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "a" "n" "q" "v" 3; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "a" "n" "q" "v" 3; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "a" "n" "q" "v" 3; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "a" "n" "q" "v" 3; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "h" "z" 3;
"a" "p" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "h" "z" 3;
"a" "p" "q" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "h" "z" 3;
"a" "p" "q" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "z" 4;
"a" "g" "p" "q" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 4; "e" "z" 4;
"a" "g" "p" "q" "s" "u" 3; "b" "s" 4; "c" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "z" 4; "d" "v" 6; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "z" 4; "d" "v" 6; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "z" 4; "d" "v" 6; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "z" 4; "d" "v" 6; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "g" "z" 4; "d" "v" 6; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "g" "z" 4; "d" "v" 6; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "g" "z" 4; "d" "v" 6; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "g" "z" 4; "d" "v" 6; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "g" "z" 4; "d" "v" 6; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "g" "z" 4; "d" "v" 6; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "g" "z" 4; "d" "v" 6; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "g" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "g" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "g" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "g" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "p" 4; "b" "s" 4; "c" "g" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" "z" 4; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 5; "b" "g" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
"a" "s" 6; "b" "g" "i" "s" "u" 4; "c" "g" 6; "d" "v" 5; "e" "z" 4;
