none
none
none
none
none
none
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1; "d" "r" 1;
"a" "h" "p" 1; "b" "c" 1; "d" "r" 1;
"a" "h" "p" "s" 1; "b" "c" "p" 1; "c" "h" 2; "d" "n" "r" 1;
"a" "h" "p" "s" 1; "b" "c" "p" 1; "c" "h" 2; "d" "n" "r" 1;
"a" "d" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" 2;
"a" "d" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "i" "k" 3; "e" "a" 2;
"a" "d" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "i" "k" 3; "e" "a" 2;
"a" "d" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "i" "k" 3; "e" "a" 2;
"a" "p" 3; "b" "t" 3; "c" "h" 2; "d" "i" "k" 3; "e" "a" 2;
"a" "p" 3; "b" "t" 3; "c" "h" 2; "d" "i" "k" 3; "e" "a" 2;
"a" "p" 3; "b" "t" 3; "c" "h" 2; "d" "i" "k" 3; "e" "a" 2;
"a" "p" 3; "b" "t" 3; "c" "h" 2; "d" "i" "k" 3; "e" "a" 2;
"a" "p" 3; "b" "t" 3; "c" "h" 2; "d" "i" "k" 3; "e" "a" 2;
"a" "p" 3; "b" "t" 3; "c" "h" 2; "d" "i" "k" 3; "e" "a" 2;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" 3; "e" "a" 2;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" 3; "e" "a" 2;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "u" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "u" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "u" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "u" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "u" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "u" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "u" "v" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "u" "v" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "u" "v" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "o" "u" "v" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "n" "o" "u" "v" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "n" "o" "u" "v" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "n" "o" "u" "v" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "n" "o" "u" "v" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "n" "o" "u" "v" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "n" "o" "u" "v" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "i" "k" "n" "o" "u" "v" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "d" "i" "k" "n" "o" "u" "v" 3; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" 3; "d" "k" "n" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" "k" 3; "d" "k" "n" "u" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" "k" 3; "d" "k" "n" "u" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" "k" 3; "d" "k" "n" "u" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" "k" 3; "d" "k" "n" "u" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" "k" 3; "d" "k" "n" "u" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" "k" 3; "d" "k" "n" "u" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" "k" 3; "d" "k" "n" "u" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" "k" 3; "d" "k" "n" "u" 4; "e" "a" 3;
"a" "p" 4; "b" "t" 3; "c" "h" "k" 3; "d" "k" "n" "u" 4; "e" "a" 3;
"a" "p" 4; "b" "b" "t" 3; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "z" 3;
"a" "p" 4; "b" "b" "t" 3; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "z" 3;
"a" "p" 4; "b" "b" "t" 3; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "z" 3;
"a" "p" 4; "b" "b" "t" 3; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "z" 3;
"a" "p" 4; "b" "b" "t" 3; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "z" 3;
"a" "p" 4; "b" "b" "t" 3; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "z" 3;
"a" "p" 4; "b" "b" "t" 3; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "z" 3;
"a" "p" 4; "b" "a" "b" "t" 3; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" "b" "t" 3; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "b" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "b" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "b" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "b" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "b" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "b" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" "h" "k" 3; "d" "u" 5; "e" "a" "b" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "a" "b" "m" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "a" "b" "m" "q" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "a" "b" "m" "q" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "a" "b" "m" "q" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "a" "b" "m" "q" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "a" "b" "m" "q" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "a" "b" "m" "q" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "a" "b" "m" "q" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "a" "b" "m" "q" "z" 3;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "a" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "a" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "a" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "a" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "a" "d" 4; "d" "u" 5; "e" "m" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "a" "d" 4; "d" "u" 5; "e" "m" "w" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "a" "d" 4; "d" "u" 5; "e" "m" "w" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "a" "d" 4; "d" "u" 5; "e" "m" "w" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "a" "d" 4; "d" "u" 5; "e" "m" "w" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "a" "d" 4; "d" "u" 5; "e" "m" "w" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "a" "b" "d" 4; "d" "u" 5; "e" "m" "w" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "a" "b" "d" 4; "d" "u" 5; "e" "m" "w" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "a" "b" "d" 4; "d" "u" 5; "e" "m" "w" 4;
"a" "c" "p" 4; "b" "a" 4; "c" "d" 5; "d" "u" 5; "e" "m" "w" 4;
"a" "p" 4; "b" "a" 4; "c" "d" 5; "d" "u" 5; "e" "m" "w" 4;
"a" "p" 4; "b" "a" 4; "c" "d" 5; "d" "u" 5; "e" "m" "w" 4;
"a" "p" 4; "b" "a" 4; "c" "d" 5; "d" "u" 5; "e" "m" "w" 4;
"a" "p" 4; "b" "a" 4; "c" "d" 5; "d" "u" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "a" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "a" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "a" "d" 5; "d" "u" "w" 5; "e" "m" "w" 4;
"a" "p" 5; "b" "a" 4; "c" "a" "d" 5; "d" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" 4; "c" "a" "d" 5; "d" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" 4; "c" "a" "d" 5; "d" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" 4; "c" "a" "d" 5; "d" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" 4; "c" "a" "d" 5; "d" "u" "w" 5; "e" "w" 6;
"a" "p" 5; "b" "a" 4; "c" "a" "d" 5; "d" "u" "w" 5; "e" "w" 6;
