none
none
none
none
none
none
none
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"b" "n" 1; "c" "q" 1;
"b" "n" 1; "c" "q" 1; "d" "j" 1;
"b" "n" 1; "c" "q" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "z" 1; "b" "n" 1; "c" "q" "z" 1; "d" "j" 1;
"a" "o" "z" 1; "b" "k" "n" 1; "c" "q" 2; "d" "j" "r" "u" "z" 1; "e" "t" "y" "z" 1;
"a" "o" "z" 1; "b" "k" "n" "o" "x" 1; "c" "q" 2; "d" "j" "r" "u" "z" 1; "e" "t" "y" "z" 1;
"a" "o" "z" 1; "b" "k" "n" "o" "x" 1; "c" "q" 2; "d" "j" "r" "u" "z" 1; "e" "t" "y" "z" 1;
"a" "o" "z" 1; "b" "k" "n" "o" "x" 1; "c" "q" 2; "d" "j" "r" "u" "z" 1; "e" "t" "y" "z" 1;
"a" "o" "z" 1; "b" "k" "n" "o" "x" 1; "c" "q" 2; "d" "j" "r" "u" "z" 1; "e" "j" "t" "y" "z" 1;
"a" "o" "z" 1; "b" "k" "n" "o" "x" 1; "c" "q" 2; "d" "j" "r" "u" "z" 1; "e" "j" "t" "y" "z" 1;
"a" "o" "z" 1; "b" "k" "n" "o" "x" 1; "c" "q" 2; "d" "j" "r" "u" "z" 1; "e" "j" "t" "y" "z" 1;
"a" "o" "z" 1; "b" "k" "n" "o" "x" 1; "c" "q" 2; "d" "j" "r" "u" "z" 1; "e" "j" "t" "y" "z" 1;
"a" "o" "r" "z" 1; "b" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "j" "r" "u" "z" 1; "e" "j" "t" "y" "z" 1;
"a" "o" "r" "z" 1; "b" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "j" "r" "u" "z" 1; "e" "j" "q" "t" "y" "z" 1;
"a" "o" "r" "z" 1; "b" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "j" "r" "u" "z" 1; "e" "j" "q" "t" "y" "z" 1;
"a" "o" "r" "w" "z" 1; "b" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "j" "r" "u" "z" 1; "e" "j" "q" "t" "y" "z" 1;
"a" "o" "r" "w" "z" 1; "b" "e" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "j" "l" "r" "u" "z" 1; "e" "j" "o" "q" "s" "t" "w" "y" "z" 1;
"a" "o" "r" "w" "z" 1; "b" "e" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "j" "l" "r" "u" "z" 1; "e" "j" "o" "q" "s" "t" "w" "y" "z" 1;
"a" "o" "r" "w" "z" 1; "b" "e" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "j" "l" "r" "u" "z" 1; "e" "j" "o" "q" "s" "t" "w" "y" "z" 1;
"a" "o" "r" "w" "z" 1; "b" "e" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "j" "l" "r" "u" "z" 1; "e" "j" "o" "q" "s" "t" "w" "y" "z" 1;
"a" "o" "r" "u" "w" "z" 1; "b" "e" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "j" "l" "r" "u" "z" 1; "e" "j" "o" "q" "s" "t" "w" "y" "z" 1;
"a" "o" "r" "u" "w" "z" 1; "b" "e" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "j" "l" "r" "u" "z" 1; "e" "j" "o" "q" "s" "t" "w" "y" "z" 1;
"a" "b" "o" "r" "u" "w" "z" 1; "b" "e" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "c" "j" "l" "r" "u" "z" 1; "e" "j" "o" "q" "s" "t" "w" "y" "z" 1;
"a" "b" "o" "r" "u" "w" "z" 1; "b" "e" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "c" "j" "l" "r" "u" "z" 1; "e" "j" "o" "q" "s" "t" "u" "w" "y" "z" 1;
"a" "b" "o" "r" "u" "w" "z" 1; "b" "e" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "c" "j" "l" "r" "u" "z" 1; "e" "j" "o" "q" "s" "t" "u" "w" "y" "z" 1;
"a" "b" "o" "r" "u" "w" "z" 1; "b" "e" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "c" "j" "l" "r" "u" "z" 1; "e" "j" "o" "q" "s" "t" "u" "w" "y" "z" 1;
"a" "b" "o" "r" "u" "w" "z" 1; "b" "e" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "c" "j" "l" "r" "u" "z" 1; "e" "j" "o" "q" "s" "t" "u" "w" "y" "z" 1;
"a" "b" "o" "r" "u" "w" "z" 1; "b" "e" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "c" "j" "l" "r" "u" "z" 1; "e" "j" "o" "q" "s" "t" "u" "w" "y" "z" 1;
"a" "b" "o" "r" "u" "w" "z" 1; "b" "e" "k" "n" "o" "t" "x" 1; "c" "i" 3; "d" "r" 2; "e" "j" "l" "o" "q" "s" "t" "u" "w" "y" "z" 1;
"a" "b" "o" "r" "u" "w" "z" 1; "b" "e" 2; "c" "i" 3; "d" "r" 2; "e" "j" "l" "o" "q" "s" "t" "u" "w" "y" "z" 1;
"a" "b" "o" "r" "u" "w" "z" 1; "b" "e" 2; "c" "i" 3; "d" "r" 2; "e" "j" "l" "o" "q" "s" "t" "u" "w" "y" "z" 1;
"a" "b" "o" "r" "u" "w" "z" 1; "b" "e" 2; "c" "i" 3; "d" "r" 2; "e" "l" 2;
"a" "b" "o" "r" "u" "w" "z" 1; "b" "e" 2; "c" "i" 3; "d" "r" 2; "e" "l" 2;
"a" "b" "o" "r" "t" "u" "w" "z" 1; "b" "e" 2; "c" "i" 3; "d" "r" 2; "e" "l" 3;
"a" "b" "d" "o" "r" "t" "u" "w" "z" 1; "b" "e" 2; "c" "i" 3; "d" "r" 2; "e" "l" 3;
"a" "b" "d" "o" "r" "t" "u" "w" "z" 1; "b" "e" 2; "c" "i" 3; "d" "r" 2; "e" "l" 2;
"a" "b" "d" "o" "r" "t" "u" "w" "z" 1; "b" "e" 2; "c" "i" 3; "d" "r" 2; "e" "l" 2;
"a" "b" "d" "o" "r" "t" "u" "w" "z" 1; "b" "e" 2; "c" "i" 3; "d" "r" 2; "e" "l" 2;
"a" "b" "d" "i" "o" "r" "t" "u" "w" "z" 1; "b" "e" "n" "x" 2; "c" "i" 3; "d" "r" 2; "e" "l" 2;
"a" "b" "d" "i" "o" "r" "t" "u" "w" "z" 1; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "r" 2; "e" "l" 2;
"a" "b" "d" "i" "o" "r" "t" "u" "w" "z" 1; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "r" 2; "e" "l" 2;
"a" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "r" 2; "e" "f" "l" "w" 2;
"a" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "r" "z" 2; "e" "f" "l" "w" 2;
"a" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "r" "z" 2; "e" "f" "l" "w" 2;
"a" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "r" "z" 2; "e" "f" "l" "w" 2;
"a" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "r" "z" 2; "e" "f" "l" "q" "w" 2;
"a" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "r" "z" 2; "e" "f" "l" "q" "w" 2;
"a" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "j" "r" "z" 2; "e" "f" "l" "q" "w" 2;
"a" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "j" "r" "z" 2; "e" "f" "l" "q" "w" 2;
"a" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "j" "r" "z" 2; "e" "f" "l" "q" "w" 2;
"a" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "j" "r" "z" 2; "e" "f" "l" "q" "w" 2;
"a" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "j" "l" "r" "z" 2; "e" "f" "l" "q" "w" 2;
"a" "r" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "j" "l" "r" "z" 2; "e" "f" "l" "q" "w" 2;
"a" "r" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "j" "l" "r" "u" "z" 2; "e" "f" "l" "q" "w" 2;
"a" "h" "r" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "j" "l" "r" "u" "z" 2; "e" "f" "l" "q" "w" 2;
"a" "h" "r" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "j" "l" "r" "u" "z" 2; "e" "f" "l" "q" "w" 2;
"a" "h" "r" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "j" "l" "r" "u" "z" 2; "e" "f" "l" "q" "w" 2;
"a" "h" "r" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "j" "l" "r" "u" "z" 2; "e" "l" 3;
"a" "h" "r" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "j" "l" "r" "u" "z" 2; "e" "l" 3;
"a" "h" "r" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "i" 3; "d" "c" "j" "l" "r" "u" "z" 2; "e" "l" 3;
"a" "h" "r" "u" "w" 2; "b" "e" "n" "t" "x" 2; "c" "g" "i" "q" "z" 2; "d" "c" "j" "l" "r" "u" "z" 2; "e" "l" 3;
"a" "h" "r" "u" "w" 2; "b" "e" "i" "n" "t" "x" 2; "c" "g" "i" "q" "z" 2; "d" "c" "j" "l" "r" "u" "z" 2; "e" "l" 3;
"a" "h" "r" "u" "w" 2; "b" "e" "i" "n" "t" "x" 2; "c" "g" "i" "q" "z" 2; "d" "c" "j" "l" "r" "u" "z" 2; "e" "l" 3;
"a" "h" "j" "r" "u" "w" 2; "b" "e" "i" "n" "t" "x" 2; "c" "g" "i" "q" "z" 2; "d" "c" "j" "l" "r" "u" "z" 2; "e" "l" 3;
"a" "h" "j" "r" "u" "w" 2; "b" "e" "i" "n" "t" "x" 2; "c" "g" "i" "p" "q" "z" 2; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" 3;
"a" "h" "j" "r" "u" "w" 2; "b" "e" "i" "n" "t" "x" 2; "c" "g" "i" "p" "q" "z" 2; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" 3;
"a" "h" "j" "r" "u" "w" 2; "b" "e" "i" "n" "t" "x" 2; "c" "g" "i" "p" "q" "z" 2; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" 3;
"a" "h" 3; "b" "e" "i" "n" "t" "x" 2; "c" "g" "i" "p" "q" "z" 2; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" 3;
"a" "h" 4; "b" "e" "i" "n" "t" "w" "x" 2; "c" "g" "i" "p" "q" "r" "z" 2; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" 3;
"a" "h" 4; "b" "e" "i" "n" "t" "w" "x" 2; "c" "g" "i" "p" "q" "r" "z" 2; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" 3;
"a" "h" 4; "b" "e" "i" "n" "t" "w" "x" 2; "c" "g" "i" "p" "q" "r" "z" 2; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" 3;
"a" "h" 4; "b" "e" "i" "n" "t" "w" "x" 2; "c" "g" "i" "p" "q" "r" "z" 2; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" 3;
"a" "h" 4; "b" "e" "i" "n" "p" "t" "w" "x" 2; "c" "g" "i" "p" "q" "r" "z" 2; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" 3;
"a" "h" 4; "b" "e" "i" "n" "p" "t" "w" "x" 2; "c" "g" "i" "p" "q" "r" "z" 2; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" 3;
"a" "h" 4; "b" "e" "i" "n" "p" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" 3;
"a" "h" 4; "b" "e" "i" "n" "p" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" 3;
"a" "h" 4; "b" "e" "i" "n" "p" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" 3;
"a" "h" 4; "b" "e" "i" "n" "p" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" 3;
"a" "h" 4; "b" "e" "i" "n" "p" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" 3;
"a" "h" 4; "b" "e" "i" "n" "p" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" 3;
"a" "h" 4; "b" "e" "i" "n" "p" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "l" "r" "u" "z" 2; "e" "l" "w" "y" 3;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "c" "g" "j" "k" "l" "r" "u" "z" 2; "e" "l" 4;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 3; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "c" "e" "i" "n" "p" "r" "t" "w" "x" 2; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "b" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" 4; "b" "e" "t" "w" 3; "c" "b" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" "r" 4; "b" "e" "t" "w" 3; "c" "b" "r" 4; "d" "k" 3; "e" "l" 4;
"a" "h" "r" 4; "b" "e" "r" "t" "w" 3; "c" "b" "r" 4; "d" "k" "u" 3; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "w" 3; "c" "b" "r" 4; "d" "k" "u" 3; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "w" 3; "c" "b" "r" 4; "d" "b" "k" "u" 3; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "w" 3; "c" "b" "r" 4; "d" "b" "k" "u" 3; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "w" 3; "c" "b" "r" 4; "d" "b" "k" "u" 3; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
"a" "h" "r" 4; "b" "e" "m" "r" "t" "v" "w" 3; "c" "b" "r" 4; "d" "u" 4; "e" "l" 5;
