none
none
none
none
"a" "d" 1;
"a" "d" 1;
"a" "d" 1;
"a" "d" 1;
"a" "d" 1; "b" "v" 1;
"a" "d" 1; "b" "v" 1;
"a" "d" 1; "b" "v" 1;
"a" "d" 1; "b" "v" 1;
"a" "d" "h" 1; "b" "e" "v" 1;
"a" "d" "h" "z" 1; "b" "e" "v" 1; "d" "f" 1;
"a" "d" "h" "z" 1; "b" "e" "v" 1; "d" "f" 1;
"a" "d" "h" "z" 1; "b" "e" "v" 1; "d" "f" 1;
"a" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 1; "d" "f" "q" 1;
"a" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 1; "d" "f" "q" 1;
"a" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 1; "d" "f" "q" 1;
"a" "b" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 1; "d" "f" "q" 1;
"a" "b" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 1; "d" "f" "q" 1;
"a" "b" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" "q" 1;
"a" "b" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" "p" "q" 1;
"a" "b" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" "p" "q" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" "p" "q" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" "p" "q" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" 2;
"a" "b" "z" 2; "b" "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" "u" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" "s" "u" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" "s" "u" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" "n" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" "n" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "n" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "n" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "n" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "n" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "n" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "z" 2; "b" "b" "c" "e" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "z" 2; "b" "b" "c" "e" "u" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "z" 2; "b" "b" "c" "e" "u" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "z" 2; "b" "b" "c" "e" "u" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "z" 2; "b" "b" "c" "e" "u" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "z" 2; "b" "b" "c" "e" "u" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "z" 2; "b" "b" "c" "e" "u" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "z" 2; "b" "b" "c" "e" "u" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "z" 2; "b" "b" "c" "e" "u" "z" 2; "c" "w" 4; "d" "f" "z" 2; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "z" 2; "b" "b" "c" "e" "u" "z" 2; "c" "w" 4; "d" "f" 3; "e" "s" 3;
"a" "b" "d" "z" 2; "b" "b" "c" "e" "u" "z" 2; "c" "w" 4; "d" "f" 3; "e" "s" 3;
"a" "b" "d" "z" 2; "b" "b" "c" "d" "e" "u" "z" 2; "c" "w" 4; "d" "f" 3; "e" "s" 3;
"a" "b" "d" "h" "z" 2; "b" "b" 3; "c" "w" 4; "d" "f" 3; "e" "s" 3;
"a" "b" "d" "h" "z" 2; "b" "b" 3; "c" "w" 4; "d" "f" 3; "e" "s" 3;
"a" "b" "d" "h" "z" 2; "b" "b" 3; "c" "w" 4; "d" "f" 3; "e" "s" 3;
"a" "b" "d" "h" "z" 2; "b" "b" 3; "c" "w" 4; "d" "f" 3; "e" "s" 3;
"a" "b" "d" "h" "z" 2; "b" "b" 3; "c" "w" 4; "d" "f" 3; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "h" "z" 2; "b" "b" 3; "c" "w" 4; "d" "f" 3; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "h" "z" 2; "b" "b" "c" 3; "c" "w" 4; "d" "f" 3; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "h" "z" 2; "b" "b" "c" 3; "c" "w" 4; "d" "f" 3; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "h" "z" 2; "b" "b" "c" 3; "c" "w" 4; "d" "f" 3; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "h" "z" 2; "b" "b" "c" 3; "c" "w" 4; "d" "f" 3; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "h" "z" 2; "b" "b" "c" 3; "c" "w" 4; "d" "f" 3; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "h" "z" 2; "b" "b" "c" 3; "c" "w" 4; "d" "f" 3; "e" "a" "f" "k" "s" "u" "z" 2;
"a" "b" "d" "h" "z" 2; "b" "b" "c" 3; "c" "w" 4; "d" "f" 3; "e" "a" "f" "k" "s" "t" "u" "z" 2;
"a" "b" "d" "h" "z" 2; "b" "b" "c" 3; "c" "w" 4; "d" "f" 3; "e" "a" "f" "k" "s" "t" "u" "z" 2;
"a" "b" "d" "h" "z" 2; "b" "b" "c" 3; "c" "w" 4; "d" "f" 3; "e" "a" "f" "k" "s" "t" "u" "z" 2;
"a" "b" "d" "h" "z" 2; "b" "b" "c" 3; "c" "w" 4; "d" "f" 3; "e" "z" 3;
"a" "b" "d" "h" "z" 2; "b" "b" "c" 3; "c" "w" 4; "d" "f" 3; "e" "z" 3;
"a" "b" "d" "h" "z" 2; "b" "b" "c" 3; "c" "w" 4; "d" "f" 3; "e" "z" 3;
"a" "b" "d" "h" "z" 2; "b" "b" "c" 3; "c" "w" 4; "d" "f" 3; "e" "z" 3;
"a" "b" "d" "h" "z" 2; "b" "b" "c" 3; "c" "w" 4; "d" "f" 3; "e" "z" 3;
"a" "b" "d" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 3; "e" "z" 3;
"a" "b" "d" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 3; "e" "z" 3;
"a" "b" "d" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 3; "e" "z" 3;
"a" "b" "d" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 3; "e" "z" 3;
"a" "b" "d" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 3; "e" "z" 3;
"a" "b" "d" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 3; "e" "z" 3;
"a" "b" "d" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 3; "e" "k" "z" 3;
"a" "b" "d" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 3; "e" "k" "z" 3;
"a" "b" "d" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 3; "e" "k" "z" 3;
"a" "b" "d" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 3; "e" "k" "z" 3;
"a" "b" "d" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 3; "e" "k" "z" 3;
"a" "b" "d" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "b" "d" "g" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "b" "d" "g" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "b" "d" "g" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "b" "d" "g" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "b" "d" "g" "h" "w" "z" 2; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "z" 3;
"a" "d" "h" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" "s" "z" 3;
"a" "d" "h" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" "u" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" "u" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" "u" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" "u" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" "u" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" "u" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" "u" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" "u" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" "u" 4; "c" "w" 4; "d" "f" 4; "e" "k" 4;
"a" "d" "h" 3; "b" "b" "u" 4; "c" "w" 4; "d" "f" "l" 4; "e" "k" 4;
"a" "d" "g" "h" 3; "b" "b" "u" 4; "c" "w" 5; "d" "f" "l" 4; "e" "k" "s" 4;
"a" "d" "g" "h" 3; "b" "b" "u" 4; "c" "w" 5; "d" "f" "l" 4; "e" "k" "s" 4;
"a" "d" "g" "h" 3; "b" "b" "u" 4; "c" "w" 5; "d" "f" "l" 4; "e" "k" "s" 4;
"a" "d" "g" "h" 3; "b" "b" "u" 4; "c" "w" 5; "d" "f" "l" 4; "e" "k" "s" 4;
"a" "d" "g" "h" "z" 3; "b" "b" "u" 4; "c" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" "g" "h" "z" 3; "b" "b" "u" 4; "c" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" 4; "b" "b" "u" 4; "c" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" 4; "b" "b" "u" 4; "c" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" 4; "b" "b" "u" 4; "c" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" 4; "b" "b" "u" 4; "c" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" 4; "b" "b" "u" 4; "c" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" 4; "b" "b" "u" 4; "c" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" 4; "b" "b" "u" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" 4; "b" "b" "u" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" 4; "b" "b" "u" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" 4; "b" "b" "u" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" 4; "b" "b" "u" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" 4; "b" "b" "u" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" 4; "b" "b" "u" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" "z" 4; "b" "b" "u" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" "z" 4; "b" "b" "u" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" "z" 4; "b" "b" "u" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" "z" 4; "b" "b" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" "z" 4; "b" "b" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" "z" 4; "b" "b" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" "z" 4; "b" "b" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" "z" 4; "b" "b" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "d" "z" 4; "b" "b" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "z" 5; "b" "b" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "z" 5; "b" "b" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "z" 5; "b" "b" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "z" 5; "b" "b" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
"a" "z" 5; "b" "b" 4; "c" "a" "w" 5; "d" "f" 4; "e" "k" "s" 4;
