none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "b" 1;
"d" "b" 1;
"c" "g" 1; "d" "b" 1;
"c" "g" 1; "d" "b" 1;
"c" "g" 1; "d" "b" 1;
"c" "g" 1; "d" "b" 1;
"c" "g" 1; "d" "b" 1;
"a" "a" 1; "c" "g" 1; "d" "b" 1;
"a" "a" 1; "c" "g" 1; "d" "b" 1;
"a" "a" 1; "b" "b" 1; "c" "g" 1; "d" "b" "y" 1;
"a" "a" 1; "b" "b" 1; "c" "g" 1; "d" "b" "y" 1;
"a" "a" 1; "b" "b" 1; "c" "g" 1; "d" "b" "y" 1;
"a" "a" 1; "b" "b" 1; "c" "g" 1; "d" "b" "j" "y" 1;
"a" "a" "s" 1; "b" "b" 1; "c" "g" "l" 1; "d" "b" "j" "y" 1;
"a" "a" "s" 1; "b" "b" "d" "e" "j" "p" "x" 1; "c" "g" "l" 1; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" 1; "b" "b" "d" "e" "j" "p" "x" 1; "c" "g" "l" 1; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" 1; "b" "b" "d" "e" "j" "p" "x" 1; "c" "g" "l" 1; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" 1; "b" "b" "d" "e" "j" "p" "x" 1; "c" "g" "l" 1; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" 1; "b" "b" "d" "e" "j" "p" "x" 1; "c" "g" "l" 1; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" 1; "b" "b" "d" "e" "j" "p" "x" 1; "c" "g" 2; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" 1; "b" "b" "d" "e" "j" "p" "x" 1; "c" "g" 2; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" "y" 1; "b" "b" "c" "d" "e" "j" "p" "x" 1; "c" "g" 2; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" "y" 1; "b" "b" "c" "d" "e" "j" "p" "x" 1; "c" "g" 2; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" "y" 1; "b" "b" "c" "d" "e" "j" "p" "x" 1; "c" "g" 2; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" "y" 1; "b" "b" "c" "d" "e" "j" "p" "x" 1; "c" "g" 2; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" "y" 1; "b" "b" "c" "d" "e" "j" "p" "x" 1; "c" "g" 2; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" "y" 1; "b" "b" "c" "d" "e" "j" "p" "x" 1; "c" "g" 2; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" "y" 1; "b" "b" "c" "d" "e" "j" "p" "x" 1; "c" "g" 2; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" "y" 1; "b" "b" "c" "d" "e" "j" "p" "x" 1; "c" "g" 2; "d" "b" 2; "e" "l" 1;
"a" "a" "p" "s" "y" 1; "b" "b" "c" "d" "e" "j" "p" "x" 1; "c" "g" 2; "d" "b" 2; "e" "l" 1;
"a" "a" "b" "p" "s" "y" 1; "b" "b" "c" "d" "e" "j" "p" "x" 1; "c" "g" 2; "d" "b" 2; "e" "j" "l" 1;
"a" "a" "b" "p" "s" "y" 1; "b" "b" "c" "d" "e" "j" "p" "x" 1; "c" "g" 3; "d" "b" 2; "e" "a" "j" "l" 1;
"a" "a" "b" "p" "s" "y" 1; "b" "b" "c" "d" "e" "j" "p" "x" 1; "c" "g" 3; "d" "b" 2; "e" "a" "j" "l" 1;
"a" "a" "b" "p" "s" "y" 1; "b" "x" 2; "c" "g" 3; "d" "b" 2; "e" "a" "j" "l" 1;
"a" "a" "b" "p" "s" "y" 1; "b" "x" 2; "c" "g" 3; "d" "b" 2; "e" "a" "j" "l" 1;
"a" "a" "b" "p" "s" "y" 1; "b" "x" 2; "c" "g" 3; "d" "b" 2; "e" "a" "j" "l" "o" 1;
"a" "a" "b" "p" "s" "y" 1; "b" "b" "d" "x" 2; "c" "g" 3; "d" "b" 2; "e" "a" "j" "l" "o" "p" "w" "z" 1;
"a" "a" "b" "p" "s" "y" 1; "b" "b" "d" "x" 2; "c" "g" 3; "d" "b" 2; "e" "a" "j" "l" "o" "p" "w" "z" 1;
"a" "a" "b" "p" "s" "y" 1; "b" "b" "d" "x" 2; "c" "g" 3; "d" "b" 2; "e" "a" "j" "l" "o" "p" "w" "z" 1;
"a" "a" "b" "p" "s" "y" 1; "b" "b" "d" "x" 2; "c" "g" 3; "d" "b" 2; "e" "a" "j" "l" "o" "p" "w" "z" 1;
"a" "a" "b" "p" "s" "u" "y" 1; "b" "b" "d" "x" 2; "c" "g" 3; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" "b" "p" "s" "u" "y" 1; "b" "b" "d" "x" 2; "c" "g" 3; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" "b" "p" "s" "u" "y" 1; "b" "b" "d" "p" "x" 2; "c" "g" 3; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" "b" "p" "s" "u" "y" 1; "b" "b" "d" "p" "x" 2; "c" "g" 3; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" "b" "p" "s" "u" "w" "y" 1; "b" "b" "d" "p" "x" 2; "c" "g" 3; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" "b" "p" "s" "u" "w" "y" 1; "b" "b" "d" "p" "x" 2; "c" "g" 3; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" "b" "p" "s" "u" "w" "y" 1; "b" "b" "d" "p" "x" 2; "c" "g" 3; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" "b" "i" "p" "s" "u" "w" "y" 1; "b" "b" "d" "p" "x" 2; "c" "g" 2; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" "b" "i" "p" "s" "u" "w" "y" 1; "b" "b" "d" "p" "x" 2; "c" "g" 2; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" "b" "i" "p" "s" "u" "w" "y" 1; "b" "b" "d" "p" "x" 2; "c" "g" 2; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" "b" "i" "p" "s" "u" "w" "y" 1; "b" "b" "d" "p" "x" 2; "c" "g" 2; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" 2; "b" "b" "d" "p" "x" 2; "c" "g" 2; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" 2; "b" "b" "d" "p" "x" 2; "c" "g" 2; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" 2; "b" "b" "d" "p" "x" 2; "c" "g" "u" 2; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" 2; "b" "b" "d" "p" "x" 2; "c" "g" "u" 2; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" 2; "b" "b" "d" "p" "x" 2; "c" "d" "g" "u" 2; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" 2; "b" "b" "d" "p" "x" 2; "c" "d" "g" "u" 2; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" 2; "b" "b" "d" "e" "p" "x" 2; "c" "d" "g" "u" 2; "d" "b" "h" 2; "e" "a" "j" "k" "l" "o" "p" "w" "z" 1;
"a" "a" 2; "b" "x" 3; "c" "d" "g" "u" 2; "d" "b" "h" 2; "e" "j" 2;
"a" "a" 2; "b" "x" 3; "c" "d" "g" "u" 2; "d" "b" "h" 2; "e" "j" "l" 2;
"a" "a" 2; "b" "x" 3; "c" "d" "g" "u" 2; "d" "b" "h" 2; "e" "j" "l" 2;
"a" "a" 2; "b" "x" 3; "c" "d" "g" "u" 2; "d" "b" "h" 2; "e" "j" "l" 2;
"a" "a" 2; "b" "x" 3; "c" "d" "g" "u" 2; "d" "b" "h" 2; "e" "j" "l" 2;
"a" "a" 2; "b" "x" 3; "c" "d" "g" "u" 2; "d" "b" "h" 2; "e" "j" "l" 2;
"a" "a" 2; "b" "x" 3; "c" "d" "g" "u" 2; "d" "b" "h" 2; "e" "j" "l" 2;
"a" "a" 2; "b" "x" 3; "c" "d" "g" "u" 2; "d" "b" "h" 2; "e" "j" "l" 2;
"a" "a" 2; "b" "x" 3; "c" "d" "g" "u" 2; "d" "b" "h" 2; "e" "j" "l" 2;
"a" "a" 2; "b" "x" 3; "c" "d" "g" "u" 2; "d" "b" "h" 2; "e" "j" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "d" "g" "r" "u" 2; "d" "b" "g" "h" 2; "e" "j" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "d" "g" "r" "u" 2; "d" "b" "g" "h" 2; "e" "j" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "d" "g" "r" "u" 2; "d" "b" "g" "h" 2; "e" "j" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "d" "g" "r" "u" 2; "d" "b" "g" "h" 2; "e" "j" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "d" "g" "n" "r" "u" 2; "d" "b" "g" "h" 2; "e" "j" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "d" "g" "n" "r" "u" 2; "d" "b" "g" "h" 2; "e" "j" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "d" "g" "n" "r" "u" 2; "d" "b" "g" "h" 2; "e" "j" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "g" 3; "d" "b" "g" "h" 2; "e" "j" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "g" 3; "d" "b" "g" "h" "j" 2; "e" "j" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "g" 3; "d" "b" "g" "h" "j" 2; "e" "j" "k" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "g" 3; "d" "b" "g" "h" "j" 2; "e" "j" "k" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "g" 3; "d" "b" "g" "h" "j" 2; "e" "j" "k" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "g" 3; "d" "b" "d" "g" "h" "j" 2; "e" "j" "k" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "g" 3; "d" "b" "d" "g" "h" "j" 2; "e" "j" "k" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "g" 3; "d" "b" "d" "g" "h" "j" 2; "e" "g" "j" "k" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "g" 3; "d" "b" "d" "g" "h" "j" 2; "e" "g" "j" "k" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "g" 3; "d" "b" "d" "g" "h" "j" 2; "e" "g" "j" "k" "l" 2;
"a" "a" "y" 2; "b" "x" 3; "c" "g" 3; "d" "b" "d" "g" "h" "j" "y" 2; "e" "g" "j" "k" "l" 2;
"a" "a" "i" "y" 2; "b" "x" 3; "c" "g" 3; "d" "b" "d" "g" "h" "j" "y" 2; "e" "g" "j" "k" "l" 2;
"a" "a" "i" "y" 2; "b" "x" 3; "c" "g" 3; "d" "b" "d" "g" "h" "j" "y" 2; "e" "g" "j" "k" "l" 2;
"a" "a" "i" "y" 2; "b" "x" 3; "c" "g" 3; "d" "b" "d" "e" "g" "h" "j" "y" 2; "e" "g" "j" "k" "l" 2;
"a" "a" "i" "y" 2; "b" "x" 3; "c" "g" 3; "d" "g" 3; "e" "g" "j" "k" "l" 2;
"a" "a" "i" "y" 2; "b" "x" 3; "c" "g" 3; "d" "g" 3; "e" "g" "j" "k" "l" 2;
"a" "a" "i" "y" 2; "b" "x" 3; "c" "g" 3; "d" "g" 3; "e" "g" "j" "k" "l" 2;
"a" "a" "i" "y" 2; "b" "x" 3; "c" "g" 3; "d" "g" 3; "e" "g" "j" "k" "l" 2;
"a" "a" "i" "y" 2; "b" "x" 3; "c" "g" 3; "d" "g" 3; "e" "g" "j" "k" "l" 2;
"a" "a" "i" "y" 2; "b" "x" 3; "c" "g" 3; "d" "g" 3; "e" "g" "j" "k" "l" 2;
"a" "a" "i" "y" 2; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "g" "j" "k" "l" 2;
"a" "a" "i" "y" 2; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "g" "j" "k" "l" 2;
"a" "a" "i" "s" "y" 2; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "a" "i" "s" "y" 2; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "a" "i" "s" "y" 2; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "a" "i" "s" "y" 2; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "a" "i" "s" "y" 2; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "a" "i" "s" "y" 2; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "a" "i" "s" "y" 2; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "a" "i" "s" "y" 2; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 3; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 4; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 4; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 4; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 4; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 4; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 4; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 4; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" 3; "d" "g" 4; "e" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" "n" 3; "d" "g" 4; "e" "g" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" "n" 3; "d" "g" 4; "e" "g" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" "n" 3; "d" "g" 4; "e" "g" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" "x" 3; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" 4; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" 4; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" 4; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" 4; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" 4; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" 4; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" 4; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" 4; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" 4; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" 4; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" 4; "c" "d" "g" "n" "r" 3; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 4; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" "j" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" "j" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" "j" "w" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" "j" "w" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" "j" "w" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "a" "i" "j" "w" 3; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "g" "j" "l" 3;
"a" "i" 4; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "i" 4; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "i" 4; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "i" 4; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "i" 4; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "i" 4; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
"a" "i" "l" 4; "b" "e" 4; "c" "n" 4; "d" "g" 5; "e" "j" 4;
