none
none
none
none
"d" "k" 1;
"a" "k" 1; "d" "k" 1;
"a" "k" 1; "d" "k" 1;
"a" "k" 1; "d" "k" 1;
"a" "k" 1; "d" "k" 1;
"a" "k" 1; "d" "k" 1;
"a" "k" 1; "d" "k" 1;
"a" "k" 1; "d" "k" 1;
"a" "k" 1; "d" "k" 1;
"a" "k" 1; "d" "k" 1;
"a" "k" 1; "d" "k" "v" 1;
"a" "k" 1; "d" "k" "v" 1;
"a" "k" 1; "d" "k" "v" 1;
"a" "k" 1; "d" "k" "v" 1;
"a" "k" 1; "d" "k" "v" 1;
"a" "k" 1; "d" "k" "v" 1;
"a" "k" 1; "d" "k" "v" 1; "e" "q" "z" 1;
"a" "k" 1; "b" "c" "y" 1; "d" "k" "m" "v" 1; "e" "q" "z" 1;
"a" "k" 1; "b" "c" "y" 1; "d" "k" "m" "v" 1; "e" "q" "z" 1;
"a" "k" 1; "b" "c" "y" 1; "d" "k" "m" "v" 1; "e" "q" "z" 1;
"a" "k" 1; "b" "c" "y" 1; "d" "k" "m" "v" 1; "e" "q" "z" 1;
"a" "k" 1; "b" "c" "y" "z" 1; "d" "k" "m" "v" 1; "e" "q" "z" 1;
"a" "k" 1; "b" "c" "y" "z" 1; "d" "k" "m" "v" 1; "e" "q" "z" 1;
"a" "k" 1; "b" "c" "y" "z" 1; "d" "k" "m" "v" 1; "e" "q" "z" 1;
"a" "k" 1; "b" "c" "y" "z" 1; "d" "k" "m" "v" 1; "e" "q" "z" 1;
"a" "k" "m" 1; "b" "c" "y" "z" 1; "d" "k" "m" "v" 1; "e" "q" "z" 1;
"a" "j" "m" 2; "b" "c" 3; "c" "u" 4; "d" "c" "k" 3; "e" "c" "s" "w" 2;
"a" "j" "m" 2; "b" "c" 3; "c" "u" 4; "d" "c" "k" 3; "e" "c" "s" "w" 2;
"a" "j" "m" 2; "b" "c" 3; "c" "u" 4; "d" "c" "k" 3; "e" "c" "s" "w" 2;
"a" "j" "m" 2; "b" "c" 3; "c" "u" 4; "d" "c" "k" 3; "e" "c" "s" "w" "z" 2;
"a" "j" "m" 2; "b" "c" 3; "c" "u" 4; "d" "c" "k" 3; "e" "c" "s" "w" "z" 2;
"a" "j" "m" 2; "b" "c" 3; "c" "u" 4; "d" "c" 4; "e" "c" "s" "w" "z" 2;
"a" "j" "m" 2; "b" "c" 3; "c" "u" 4; "d" "c" 4; "e" "c" "s" "w" "z" 2;
"a" "j" "m" 2; "b" "c" 3; "c" "u" 4; "d" "c" 4; "e" "c" "s" "w" "z" 2;
"a" "j" "m" 2; "b" "c" 3; "c" "u" 4; "d" "c" 4; "e" "c" "s" "w" "z" 2;
"a" "j" "m" 2; "b" "c" 3; "c" "u" 4; "d" "c" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" 3; "c" "u" 4; "d" "c" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" 3; "c" "u" 4; "d" "c" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "c" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "c" "k" "q" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "c" "k" "q" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "c" "k" "q" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "c" "k" "q" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "c" "k" "q" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "c" "k" "q" "s" "w" "z" 2;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "d" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "d" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "d" "i" 3; "c" "u" 4; "d" "c" "f" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "d" "i" 3; "c" "u" 4; "d" "c" "f" 4; "e" "s" "z" 3;
"a" "m" "y" 3; "b" "c" "d" "i" 3; "c" "u" 4; "d" "c" "f" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" 3; "c" "u" 4; "d" "c" "f" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" "j" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" "j" 3; "c" "u" 4; "d" "c" "f" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" "j" 3; "c" "u" 4; "d" "c" "f" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" "j" 3; "c" "u" 4; "d" "c" "f" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" "j" 3; "c" "u" 4; "d" "c" "f" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" "j" 3; "c" "u" 4; "d" "c" "f" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" "j" 3; "c" "u" 4; "d" "c" "f" 4; "e" "s" "z" 3;
"a" "m" "n" "y" 3; "b" "c" "d" "i" "j" 3; "c" "u" 4; "d" "c" "f" 4; "e" "s" "z" 3;
"a" "k" "m" "n" "y" 3; "b" "c" "d" "i" "j" 3; "c" "u" 4; "d" "c" "f" 4; "e" "s" "z" 3;
"a" "k" "m" "n" "y" 3; "b" "c" "d" "i" "j" 3; "c" "u" 4; "d" "c" "f" 4; "e" "s" "z" 3;
"a" "k" "m" "n" "y" 3; "b" "c" "d" "i" "j" 3; "c" "u" 4; "d" "c" "f" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "y" 3; "b" "c" "d" "i" "j" 3; "c" "u" 4; "d" "c" "f" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" "s" "z" 3;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" 4;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" 4;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" 4;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" 4;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" 4;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" 4;
"a" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "v" 4; "e" "a" 4;
"a" "d" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "k" "v" 4; "e" "a" 4;
"a" "d" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "u" 4; "d" "c" "f" "k" "v" 4; "e" "a" 4;
"a" "d" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "l" "o" "u" 4; "d" "c" "f" "k" "v" 4; "e" "a" 4;
"a" "d" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "l" "o" "u" 4; "d" "c" "f" "k" "v" 4; "e" "a" 4;
"a" "d" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "l" "o" "u" 4; "d" "c" "f" "k" "v" 4; "e" "a" 4;
"a" "d" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "l" "o" "u" 4; "d" "c" "f" "k" "v" 4; "e" "a" 4;
"a" "d" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "l" "o" "u" 4; "d" "c" "f" "k" "v" 4; "e" "a" 4;
"a" "d" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "l" "o" "u" 4; "d" "f" 5; "e" "a" 4;
"a" "d" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "l" "o" "u" 4; "d" "f" 5; "e" "a" 4;
"a" "d" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "l" "o" "u" 4; "d" "f" "v" 5; "e" "a" 4;
"a" "d" "k" "m" "n" "r" "y" 3; "b" "c" "d" "i" "j" "t" 3; "c" "l" "o" "u" 4; "d" "f" "v" 5; "e" "a" 4;
