none
none
none
none
none
none
none
none
none
none
none
none
"d" "p" 1;
"d" "p" 1;
"d" "p" 1;
"d" "p" 1;
"d" "p" 1;
"d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" "y" 1;
"a" "w" 1; "c" "a" "i" 1; "d" "p" "s" "y" 1; "e" "n" 1;
"a" "w" 1; "c" "a" "i" 1; "d" "p" "s" "y" 1; "e" "n" 1;
"a" "w" 1; "c" "a" "i" 1; "d" "p" "s" "y" 1; "e" "n" 1;
"a" "w" 1; "c" "a" "i" 1; "d" "p" "s" "y" 1; "e" "n" 1;
"a" "w" 1; "c" "a" "i" "q" "v" "x" 1; "d" "p" "s" "y" 1; "e" "n" 2;
"a" "w" 1; "c" "a" "i" "q" "v" "x" 1; "d" "p" "s" "y" 1; "e" "n" 2;
"a" "w" 1; "c" "a" "i" "q" "v" "x" 1; "d" "p" "s" "y" 1; "e" "n" 2;
"a" "w" 1; "c" "a" "i" "q" "v" "x" 1; "d" "p" "s" "y" 1; "e" "n" 2;
"a" "d" "w" 1; "c" "a" "i" "q" "v" "w" "x" 1; "d" "y" 2; "e" "n" 2;
"a" "d" "w" 1; "c" "a" "i" "q" "v" "w" "x" 1; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" "q" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" "q" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" "q" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" "q" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" "q" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" "q" 2;
"a" "w" 2; "b" "p" "q" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" "q" 2;
"a" "w" 2; "b" "p" "q" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" "q" 2;
"a" "w" 2; "b" "p" "q" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" "q" 2;
"a" "w" 2; "b" "p" "q" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" "q" 2;
"a" "b" "w" 2; "b" "q" 3; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" "q" 2;
"a" "b" "w" 2; "b" "q" 3; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" "q" 2;
"a" "b" "w" 2; "b" "q" 3; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" "q" 2;
"a" "w" 3; "b" "q" 3; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" "q" 2;
"a" "w" 3; "b" "q" 3; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" "q" 2;
"a" "w" 3; "b" "q" 3; "c" "a" "q" "x" 2; "d" "y" 2; "e" "l" "n" "q" 2;
"a" "w" 3; "b" "q" 3; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" "n" "q" 2;
"a" "w" 3; "b" "q" 3; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" "n" "q" 2;
"a" "w" 3; "b" "q" 3; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" "n" "q" 2;
"a" "w" 3; "b" "q" 3; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" "n" "q" 2;
"a" "w" 3; "b" "q" 3; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" "n" "q" 2;
"a" "w" 3; "b" "q" 3; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" "n" "q" 2;
"a" "w" 3; "b" "q" 3; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" "n" "q" 2;
"a" "w" 3; "b" "q" 3; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" "n" "q" 2;
"a" "w" 3; "b" "q" 3; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" "n" "q" 2;
"a" "w" 3; "b" "q" 3; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" "n" "q" 2;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "q" "x" 2; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" "n" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" "n" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" "n" 3;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "q" 4; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" "q" 4; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "v" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "v" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "v" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "v" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "v" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "h" "s" "v" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "b" "h" "s" "v" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "b" "h" "s" "v" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "b" "h" "s" "v" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "x" 3; "d" "a" "b" "h" "s" "v" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "a" "b" "h" "s" "v" "y" 2; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" "v" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" "v" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" "v" 3; "e" "a" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" "v" 3; "e" "a" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" "v" 3; "e" "a" "l" 4;
"a" "w" 3; "b" "p" 5; "c" "a" "n" "x" 3; "d" "b" "v" 3; "e" "a" "l" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" 3; "e" "a" "l" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" 3; "e" "a" "l" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" 3; "e" "a" "l" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" "y" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" "y" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "n" 4; "d" "b" "v" "y" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "b" "n" 4; "d" "b" "v" "y" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "b" "n" 4; "d" "b" "v" "y" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "b" "n" 4; "d" "b" "v" "y" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "b" "n" 4; "d" "b" "v" "y" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "b" "n" 4; "d" "b" "v" "y" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "b" "n" 4; "d" "b" "v" "y" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "b" "n" 4; "d" "b" "v" "y" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "b" "n" 4; "d" "b" "v" "y" 3; "e" "a" "l" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" 3; "b" "p" 5; "c" "b" "n" "o" 4; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" 3; "b" "p" 5; "c" "b" "f" "n" "o" 4; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" 3; "b" "p" 5; "c" "b" "f" "n" "o" 4; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" "y" 3; "b" "p" 5; "c" "b" "f" "n" "o" 4; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" "y" 3; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" "y" 3; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" "y" 3; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "e" "v" "w" "y" 3; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
"a" "y" 4; "b" "p" 5; "c" "b" 5; "d" "b" "t" "v" "y" 3; "e" "a" "l" "n" "q" "w" 4;
