none
none
none
none
none
none
none
none
none
none
none
none
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" 1;
"e" "m" "v" 1;
"e" "m" "v" 1;
"e" "m" "v" 1;
"e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "m" "v" 1;
"c" "b" 1; "e" "a" "m" "v" "w" 1;
"c" "b" 1; "e" "a" "m" "v" "w" 1;
"c" "b" 1; "e" "a" "m" "v" "w" 1;
"c" "b" 1; "e" "a" "m" "v" "w" 1;
"c" "b" 1; "e" "a" "m" "v" "w" 1;
"c" "b" 1; "e" "a" "m" "v" "w" 1;
"a" "a" "g" 1; "c" "b" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "t" "z" 1; "c" "b" "o" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "t" "z" 1; "c" "b" "o" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" "r" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" "r" 1; "e" "a" "g" "m" "v" "w" 1;
"a" "a" "g" "k" "t" "z" 1; "c" "b" "h" "o" 1; "d" "d" "r" 1; "e" "a" "g" "i" "m" "v" "w" 1;
"a" "k" 2; "b" "a" "s" 1; "c" "b" "h" "o" "s" 1; "d" "d" "q" "r" "z" 1; "e" "v" 2;
"a" "k" "s" 2; "b" "a" "s" 1; "c" "b" "h" "o" "s" 1; "d" "d" "k" "q" "r" "z" 1; "e" "v" 2;
"a" "k" "s" 2; "b" "a" "s" 1; "c" "b" "h" "o" "s" 1; "d" "d" "k" "q" "r" "z" 1; "e" "v" 2;
"a" "k" "s" 2; "b" "a" "s" 1; "c" "b" "h" "o" "s" 1; "d" "d" "k" "q" "r" "z" 1; "e" "v" 2;
"a" "k" "s" 2; "b" "a" "f" "s" "t" 1; "c" "b" "h" "o" "s" 1; "d" "a" "d" "k" "q" "r" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "f" "s" "t" 1; "c" "b" "d" "h" "o" "s" 1; "d" "a" "d" "k" "q" "r" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "f" "s" "t" 1; "c" "b" "d" "h" "o" "s" 1; "d" "a" "d" "k" "q" "r" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "f" "s" "t" 1; "c" "b" "d" "h" "o" "s" 1; "d" "a" "d" "k" "q" "r" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "f" "s" "t" 1; "c" "b" "d" "h" "o" "s" 1; "d" "a" "d" "k" "q" "r" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "f" "s" "t" 1; "c" "b" "d" "h" "o" "s" 1; "d" "a" "d" "k" "q" "r" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "f" "s" "t" 1; "c" "b" "d" "h" "o" "s" 1; "d" "a" "d" "k" "q" "r" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "s" "t" 1; "c" "b" "d" "h" "o" "s" 1; "d" "a" "d" "k" "q" "r" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "s" "t" 1; "c" "b" "d" "h" "o" "s" 1; "d" "a" "d" "k" "q" "r" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "s" "t" 1; "c" "b" "d" "h" "o" "s" 1; "d" "a" "d" "k" "l" "q" "r" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "j" "s" "t" 1; "c" "b" "d" "h" "o" "s" 1; "d" "a" "d" "k" "l" "q" "r" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "j" "s" "t" 1; "c" "b" "d" "h" "o" "s" 1; "d" "a" "d" "k" "l" "q" "r" "w" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "j" "s" "t" 1; "c" "b" "d" "h" "o" "s" 1; "d" "a" "d" "g" "k" "l" "q" "r" "w" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "j" "s" "t" 1; "c" "b" "d" "h" "o" "s" 1; "d" "a" "b" "d" "g" "k" "l" "q" "r" "w" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "j" "s" "t" 1; "c" "b" "d" "h" "o" "s" 1; "d" "a" "b" "d" "g" "k" "l" "q" "r" "w" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "j" "s" "t" 1; "c" "b" "d" "g" "h" "o" "s" 1; "d" "a" "b" "d" "g" "k" "l" "q" "r" "w" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "j" "s" "t" 1; "c" "b" "d" "g" "h" "o" "s" 1; "d" "a" "b" "d" "g" "k" "l" "q" "r" "w" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "j" "s" "t" 1; "c" "b" "d" "g" "h" "o" "s" 1; "d" "a" "b" "d" "g" "k" "l" "q" "r" "w" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "j" "s" "t" 1; "c" "b" "d" "g" "h" "o" "s" 1; "d" "a" "b" "d" "g" "k" "l" "q" "r" "w" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "j" "s" "t" 1; "c" "b" "d" "g" "h" "o" "s" 1; "d" "a" "b" "d" "g" "k" "l" "q" "r" "w" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "j" "s" "t" 1; "c" "b" "d" "g" "h" "o" "s" 1; "d" "a" "b" "d" "g" "k" "l" "q" "r" "w" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "j" "s" "t" 1; "c" "b" "d" "g" "h" "o" "s" 1; "d" "a" "b" "d" "g" "k" "l" "q" "r" "w" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "h" "j" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "g" "k" "l" "q" "r" "w" "z" 1; "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "h" "j" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "h" "j" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "h" "j" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "f" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "e" "v" 2;
"a" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "f" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "f" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "f" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "f" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "f" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "a" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "f" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "a" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "f" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "a" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "f" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "a" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "f" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "a" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "f" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "a" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "b" "d" "f" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "a" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "b" "f" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "a" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "b" "f" "g" "k" "l" "p" "q" "r" "w" "z" 1; "e" "a" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" 2; "e" "a" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" 2; "e" "a" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "v" 2;
"a" "d" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "v" 2;
"a" "d" "n" "s" 3; "b" "a" "b" "f" "h" "j" "n" "s" "t" 1; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "m" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "m" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "m" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "m" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "m" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "m" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" 2; "e" "a" "e" "m" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" "l" 2; "e" "a" "e" "m" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "a" "f" "l" 2; "e" "a" "e" "m" "v" 2;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" "n" "s" 3; "b" "b" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" "n" "s" 3; "b" "b" "c" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" "n" "s" 3; "b" "b" "c" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" "n" "s" 3; "b" "b" "c" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" "n" "s" 3; "b" "b" "c" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" "n" "s" 3; "b" "b" "c" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" "n" "s" 3; "b" "b" "c" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" "n" "s" 3; "b" "b" "c" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" "n" "s" 3; "b" "b" "c" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" "n" "s" 3; "b" "b" "c" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" "n" "s" 3; "b" "b" "c" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" "n" "s" 3; "b" "b" "c" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" "n" "s" 3; "b" "b" "c" "s" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" "n" "s" 3; "b" "b" "c" "s" 2; "c" "d" 2; "d" "l" 3; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "s" 2; "c" "d" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "s" 2; "c" "d" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "s" 2; "c" "d" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "s" 2; "c" "d" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "s" 2; "c" "d" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "s" 2; "c" "d" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "s" 2; "c" "d" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "s" 2; "c" "d" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "s" 2; "c" "d" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "s" 2; "c" "d" "l" "v" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "s" 2; "c" "d" "l" "v" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "s" 2; "c" "d" "l" "v" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "s" 2; "c" "d" "l" "v" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "s" 2; "c" "d" "l" "v" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "f" "s" 2; "c" "d" "l" "v" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "f" "s" 2; "c" "d" "l" "v" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "f" "s" 2; "c" "d" "l" "v" 2; "d" "l" 4; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "f" "s" 2; "c" "d" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "b" "c" "f" "s" 2; "c" "d" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" 3; "c" "d" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" 3; "c" "d" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" 3; "c" "d" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" 3; "c" "d" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "v" 2; "d" "l" 5; "e" "a" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "v" 2; "d" "l" 5; "e" "a" "e" "i" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "v" 2; "d" "l" 5; "e" "a" "e" "i" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "v" 2; "d" "l" 5; "e" "a" "e" "i" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "v" 2; "d" "l" 5; "e" "a" "e" "i" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "v" 2; "d" "l" 5; "e" "a" "e" "i" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "v" 2; "d" "l" 5; "e" "a" "e" "i" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "v" 2; "d" "l" 5; "e" "a" "e" "i" 3;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "i" 4;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "i" 4;
"a" "d" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "e" "i" 4;
"a" "d" "k" 4; "b" "c" "s" 3; "c" "d" "h" "l" "o" "v" 2; "d" "l" 5; "e" "e" "i" 4;
