none
none
none
none
none
none
none
none
none
none
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" "z" 1;
"b" "t" "z" 1;
"b" "t" "z" 1;
"b" "t" "z" 1;
"b" "t" "z" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"a" "r" 2; "b" "z" 3; "c" "x" 2; "d" "a" "k" "l" "o" "t" 1; "e" "m" "z" 2;
"a" "r" 2; "b" "z" 3; "c" "x" 2; "d" "a" "k" "l" "o" "t" 1; "e" "m" "z" 2;
"a" "r" 2; "b" "z" 3; "c" "x" 2; "d" "a" "k" "l" "o" "t" 1; "e" "m" "z" 2;
"a" "r" 2; "b" "z" 3; "c" "x" 2; "d" "a" "k" "l" "o" "t" 1; "e" "m" "z" 2;
"a" "r" 2; "b" "z" 3; "c" "x" 2; "d" "a" "c" "k" "l" "o" "t" 1; "e" "m" "z" 2;
"a" "r" 2; "b" "z" 3; "c" "x" 2; "d" "a" "c" "k" "l" "o" "t" 1; "e" "m" "z" 2;
"a" "h" "r" 2; "b" "z" 3; "c" "j" "x" 2; "d" "l" 2; "e" "m" "z" 2;
"a" "h" "r" 2; "b" "z" 3; "c" "j" "x" 2; "d" "l" 2; "e" "m" "z" 2;
"a" "h" "r" 2; "b" "z" 3; "c" "j" "x" 2; "d" "l" 2; "e" "m" "z" 2;
"a" "h" "r" 2; "b" "z" 3; "c" "j" "x" 2; "d" "l" 2; "e" "m" "z" 2;
"a" "h" "r" 2; "b" "z" 3; "c" "h" "j" "x" 2; "d" "l" 2; "e" "m" "z" 2;
"a" "h" "r" 2; "b" "z" 3; "c" "h" "j" "x" 2; "d" "l" 2; "e" "m" "z" 2;
"a" "h" "r" 2; "b" "z" 3; "c" "h" "j" "x" 2; "d" "l" 2; "e" "m" "z" 2;
"a" "h" "p" "r" 2; "b" "z" 3; "c" "h" "j" "x" 2; "d" "l" 2; "e" "b" "m" "z" 2;
"a" "h" "p" "r" 2; "b" "z" 3; "c" "h" "j" "x" 2; "d" "l" 2; "e" "b" "m" "z" 2;
"a" "h" "p" "r" 2; "b" "z" 3; "c" "h" "j" "x" 2; "d" "l" 2; "e" "b" "m" "z" 2;
"a" "h" "p" "r" 2; "b" "z" 3; "c" "h" "j" "x" 2; "d" "l" 2; "e" "b" "m" "z" 2;
"a" "h" "p" "r" "x" 2; "b" "z" 3; "c" "h" "j" "x" 2; "d" "l" 2; "e" "b" "m" "z" 2;
"a" "h" "p" "r" "x" 2; "b" "z" 3; "c" "h" "j" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "h" "p" "r" "x" 2; "b" "z" 3; "c" "h" "j" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "h" "p" "r" "x" 2; "b" "z" 3; "c" "h" "j" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "h" "p" "r" "x" 2; "b" "z" 3; "c" "h" "j" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "h" "p" "r" "x" 2; "b" "z" 3; "c" "h" "j" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "h" "p" "r" "x" 2; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "f" "h" "p" "r" "x" 2; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "f" "h" "p" "r" "x" 2; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "f" "h" "p" "r" "v" "x" 2; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "f" "h" "p" "r" "v" "x" 2; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 3; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 3; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 3; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 3; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 3; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 3; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 3; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 3; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 4; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 4; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 4; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 4; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 4; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 4; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 4; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 4; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 4; "b" "z" 3; "c" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" 3;
"a" "v" 4; "b" "z" 3; "c" "a" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "a" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "a" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "a" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "a" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "a" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "a" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "a" "h" "j" "l" "x" 2; "d" "l" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "h" 3; "d" "l" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "h" 3; "d" "l" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "h" 3; "d" "l" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "h" 3; "d" "l" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "h" 3; "d" "l" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "h" 3; "d" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "h" 3; "d" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "h" 3; "d" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "h" 3; "d" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "h" 3; "d" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "z" 3; "c" "h" "j" 3; "d" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "r" "v" 4; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 5; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 5; "b" "t" "z" 3; "c" "h" "j" 3; "d" "c" "l" "x" 2; "e" "m" "v" 3;
"a" "v" 5; "b" "t" "z" 3; "c" "h" "j" 3; "d" "l" "n" "x" 2; "e" "m" "v" 3;
"a" "v" 5; "b" "t" "z" 3; "c" "h" "j" 3; "d" "l" "n" "x" 2; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" "j" 3; "d" "l" "m" "n" "x" 2; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" "j" 3; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" "j" 3; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" "j" 3; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" "j" 3; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" "j" 3; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" "j" 3; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" "j" 3; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" "j" 3; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" "j" 3; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" "j" 3; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" "j" 3; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" "j" 3; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" "j" 3; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" 4; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" 4; "d" "n" 3; "e" "m" "v" 3;
"a" "v" 5; "b" "j" "t" "z" 3; "c" "h" 4; "d" "n" 3; "e" "m" "r" "v" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 4; "d" "n" 3; "e" "m" "r" "v" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 4; "d" "n" 3; "e" "m" "r" "v" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 4; "d" "n" 3; "e" "m" "r" "v" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 4; "d" "n" 3; "e" "m" "r" "v" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 4; "d" "n" 3; "e" "m" "r" "v" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 4; "d" "n" 3; "e" "m" "r" "v" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 4; "d" "n" 3; "e" "m" "r" "v" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 4; "d" "n" 3; "e" "h" "m" "r" "v" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 4; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 4; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 5; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "h" "m" "r" "v" "z" 3;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "p" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "r" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "p" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "r" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "p" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "r" "v" 4;
"a" "v" 6; "b" "i" "j" "n" "p" "t" "z" 3; "c" "h" 5; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 5; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 5; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 5; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 5; "d" "n" 3; "e" "r" "v" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 5; "d" "n" 3; "e" "r" "v" "z" 4;
"a" "r" "v" 6; "b" "j" 4; "c" "h" 5; "d" "n" 3; "e" "r" "v" "z" 4;
