none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "a" 1;
"c" "a" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "b" "r" 1; "c" "a" 1; "e" "m" 1;
"b" "b" "r" 1; "c" "a" 1; "e" "h" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "q" 1; "e" "h" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "n" "q" 1; "e" "h" "j" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "n" "q" 1; "e" "h" "j" "k" "m" "q" 1;
"b" "b" "r" "z" 1; "c" "a" 1; "d" "n" "q" 1; "e" "h" "j" "k" "m" "q" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "t" "z" 1;
"a" "z" 2; "b" "y" 2; "c" "u" 2; "d" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "z" 1;
"a" "z" 2; "b" "a" "y" 2; "c" "u" 2; "d" "n" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "z" 1;
"a" "z" 2; "b" "a" "y" 2; "c" "u" 2; "d" "n" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "z" 1;
"a" "z" 2; "b" "a" "y" 2; "c" "u" 2; "d" "n" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "z" 1;
"a" "z" 2; "b" "a" "q" "y" 2; "c" "u" 2; "d" "n" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "z" 1;
"a" "z" 2; "b" "a" "q" "y" 2; "c" "u" 2; "d" "n" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "z" 1;
"a" "z" 2; "b" "a" "q" "y" 2; "c" "u" 2; "d" "n" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "z" 1;
"a" "z" 2; "b" "a" "q" "y" 2; "c" "u" 2; "d" "n" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "z" 1;
"a" "z" 2; "b" "a" "q" "y" 2; "c" "u" 2; "d" "n" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "z" 1;
"a" "z" 2; "b" "a" "q" "y" 2; "c" "u" 2; "d" "n" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "z" 1;
"a" "z" 2; "b" "a" "q" "y" 2; "c" "u" 2; "d" "n" "q" 2; "e" "a" "f" "h" "j" "k" "m" "o" "q" "z" 1;
"a" "a" "z" 2; "b" "a" "l" "q" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "m" 2;
"a" "a" "z" 2; "b" "a" "l" "q" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "m" 2;
"a" "a" "z" 2; "b" "a" "l" "q" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "m" 2;
"a" "a" "z" 2; "b" "a" "l" "q" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "x" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "x" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "x" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "x" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "x" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "x" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "x" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "x" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "x" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "x" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "x" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "x" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "a" "l" "q" "r" "t" "w" "x" "y" "z" 2; "c" "u" 2; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" 2;
"a" "z" 3; "b" "l" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" "q" 2; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "c" "h" "j" "m" "n" 2;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 3;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 3;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 3;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 3;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 3;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 3;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 3;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 3;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 3;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "c" "n" 3;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 4;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 4;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 4;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 5;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 5;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 5;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 5;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 5;
"a" "z" 3; "b" "l" "w" 3; "c" "u" 3; "d" "n" 3; "e" "n" 5;
"a" "z" 3; "b" "l" "w" 3; "c" "u" "z" 3; "d" "n" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "u" "z" 3; "d" "n" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "u" "z" 3; "d" "n" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "u" "z" 3; "d" "n" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "u" "z" 3; "d" "n" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "u" "z" 3; "d" "n" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "u" "z" 3; "d" "n" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "u" "z" 3; "d" "n" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "u" "z" 3; "d" "n" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "u" "z" 3; "d" "n" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "u" "z" 3; "d" "n" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "u" "z" 3; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "u" "z" 3; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "u" "z" 3; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "k" "u" "z" 3; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "k" "u" "z" 3; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "k" "u" "z" 3; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 3; "c" "k" "u" "z" 3; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "k" "u" "z" 3; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "t" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "t" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "t" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "t" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "t" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "t" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "t" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "t" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "t" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "t" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "t" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "t" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "t" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "t" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "k" "t" "u" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 4; "c" "k" "t" "u" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 4; "c" "k" "t" "u" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 4; "c" "k" "t" "u" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 4; "c" "k" "t" "u" "z" 4; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 4; "c" "t" 5; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" "w" 4; "c" "t" 5; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 6;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 5; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
"a" "g" "z" 3; "b" "l" 6; "c" "t" "z" 5; "d" "n" "q" 3; "e" "n" 7;
