none
none
none
none
none
none
none
none
none
none
none
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"d" "g" 1; "e" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "c" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "c" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "c" "e" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "c" "e" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "b" "c" "e" "v" 1;
"a" "o" 1; "b" "h" 1; "d" "a" "g" "o" 1; "e" "b" "c" "e" "v" 1;
"a" "b" "k" "x" 2; "b" "g" "h" "j" "n" "o" "w" 1; "c" "h" "w" 2; "d" "f" "y" 2; "e" "b" "c" 2;
"a" "b" "k" "x" 2; "b" "g" "h" "j" "n" "o" "w" 1; "c" "h" "w" 2; "d" "f" "y" 2; "e" "b" "c" "m" 2;
"a" "b" "k" "x" 2; "b" "g" "h" "j" "n" "o" "w" 1; "c" "h" "w" 2; "d" "f" "y" 2; "e" "b" "c" "m" 2;
"a" "b" "k" "x" 2; "b" "g" "h" "j" "n" "o" "w" 1; "c" "h" "w" 2; "d" "f" "y" 2; "e" "b" "c" "m" 2;
"a" "b" "k" "x" 2; "b" "g" "h" "j" "n" "o" "w" 1; "c" "h" "w" 2; "d" "f" "y" 2; "e" "b" "c" "m" 2;
"a" "b" "k" "r" "x" 2; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "w" 2; "d" "f" "y" 2; "e" "b" "c" "m" "z" 2;
"a" "b" "k" "r" "x" 2; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "w" 2; "d" "f" "y" 2; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "w" 2; "d" "f" "y" 2; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "y" 1; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "x" "y" 1; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "x" "y" 1; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "x" "y" 1; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "x" "y" 1; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "x" "y" 1; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "x" "y" 1; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "x" "y" 1; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "x" "y" 1; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "w" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "w" "x" "y" 1; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "w" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "t" "w" "x" "y" 1; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "w" "z" 2;
"a" "x" 3; "b" "g" "h" "j" "n" "o" "t" "w" "x" "y" 1; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "w" "z" 2;
"a" "x" 3; "b" "x" 2; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "p" "w" "z" 2;
"a" "x" 3; "b" "x" 2; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "p" "w" "z" 2;
"a" "x" 3; "b" "x" 2; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "p" "w" "z" 2;
"a" "x" 3; "b" "x" 2; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "p" "w" "z" 2;
"a" "x" 3; "b" "x" 2; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "p" "w" "z" 2;
"a" "x" 3; "b" "x" 2; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "p" "w" "z" 2;
"a" "x" 3; "b" "x" 2; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "p" "w" "z" 2;
"a" "x" 3; "b" "x" 2; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "p" "w" "z" 2;
"a" "x" 3; "b" "j" "x" 2; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "p" "w" "z" 2;
"a" "x" 3; "b" "j" "x" 2; "c" "h" "s" "w" 2; "d" "f" 3; "e" "b" "c" "m" "p" "w" "z" 2;
"a" "x" 3; "b" "j" "x" 2; "c" "h" "s" "w" 2; "d" "f" 3; "e" "c" 3;
"a" "k" "x" 3; "b" "j" "x" 2; "c" "a" "h" "r" "s" "w" 2; "d" "f" 3; "e" "c" 3;
"a" "k" "x" 3; "b" "j" "x" 2; "c" "a" "h" "r" "s" "w" 2; "d" "f" 3; "e" "c" 3;
"a" "k" "x" 3; "b" "j" "x" 2; "c" "a" "h" "r" "s" "w" 2; "d" "f" "y" 3; "e" "c" 3;
"a" "k" "x" 3; "b" "j" "n" "x" 2; "c" "a" "h" "r" "s" "w" 2; "d" "f" "y" 3; "e" "c" 3;
"a" "k" "x" 3; "b" "j" "n" "x" 2; "c" "a" "h" "r" "s" "w" 2; "d" "f" "y" 3; "e" "c" 3;
"a" "k" "x" 3; "b" "j" "n" "x" 2; "c" "a" "h" "r" "s" "w" 2; "d" "f" "y" 3; "e" "c" 3;
"a" "k" 3; "b" "e" "h" "j" "n" "x" 2; "c" "a" "h" "r" "s" "w" 2; "d" "f" "y" 3; "e" "c" 3;
"a" "k" 3; "b" "e" "h" "j" "n" "x" 2; "c" "a" "h" "r" "s" "w" 2; "d" "f" "y" 3; "e" "c" 3;
"a" "k" 3; "b" "e" "h" "j" "n" "x" 2; "c" "a" "h" "r" "s" "w" 2; "d" "f" "y" 3; "e" "c" 3;
"a" "k" 3; "b" "e" "g" "h" "j" "n" "x" 2; "c" "a" "h" "r" "s" "w" 2; "d" "f" "y" 3; "e" "c" 3;
"a" "k" 3; "b" "e" "g" "h" "j" "n" "x" 2; "c" "a" "h" "r" "s" "w" 2; "d" "f" "y" 3; "e" "c" "p" 3;
"a" "k" 3; "b" "e" "g" "h" "j" "n" "x" 2; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" 3;
"a" "k" 3; "b" "e" "g" "h" "j" "n" "x" 2; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" "z" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" "z" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" "z" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" "z" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" "z" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" "z" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" "z" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" "z" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" "z" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" "z" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "y" 3; "e" "c" "p" "z" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "k" "y" 3; "e" "c" "p" "z" 3;
"a" "k" 3; "b" "h" 3; "c" "a" 3; "d" "f" "k" "y" 3; "e" "c" "p" "z" 3;
"a" "k" "p" 3; "b" "h" 3; "c" "a" 3; "d" "f" "k" "y" 3; "e" "c" "p" "z" 3;
"a" "k" "p" 3; "b" "h" 3; "c" "a" 3; "d" "f" "k" "y" 3; "e" "c" "p" "z" 3;
"a" "k" "p" 3; "b" "h" 3; "c" "a" 3; "d" "f" "k" "y" 3; "e" "c" "p" "z" 3;
"a" "k" "p" 3; "b" "h" 3; "c" "a" 3; "d" "f" "k" "y" 3; "e" "c" "p" "z" 3;
"a" "k" "p" 3; "b" "h" 3; "c" "a" 3; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" 3; "b" "h" 3; "c" "a" 3; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" 3; "b" "h" "j" 3; "c" "a" 3; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" 3; "b" "h" "j" 3; "c" "a" 3; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" 3; "b" "h" "j" 3; "c" "a" 3; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" 3; "b" "h" "j" 3; "c" "a" 3; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" 3; "b" "h" "j" 3; "c" "a" 3; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" 3; "b" "h" "j" 3; "c" "a" 3; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" 3; "b" "h" "j" 3; "c" "a" "r" "s" 3; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" 3; "b" "h" "j" 3; "c" "a" "r" "s" 3; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" "x" 3; "b" "h" "j" 3; "c" "r" 4; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" "x" 3; "b" "h" "j" 3; "c" "r" 4; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" "x" 3; "b" "h" "j" 3; "c" "r" 4; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" "x" 3; "b" "h" "j" 3; "c" "r" 4; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" "r" "x" 3; "b" "h" "j" 3; "c" "r" 4; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" "r" "x" 3; "b" "h" "j" 3; "c" "r" 5; "d" "y" 4; "e" "c" "p" "z" 3;
"a" "k" "p" "r" "x" 3; "b" "h" "j" "n" 3; "c" "r" 5; "d" "y" 4; "e" "c" 4;
"a" "k" "p" "r" "x" 3; "b" "h" "j" "n" 3; "c" "r" 5; "d" "y" 4; "e" "c" 4;
"a" "k" "p" "r" "x" 3; "b" "h" "j" "n" 3; "c" "r" 5; "d" "y" 4; "e" "c" 4;
"a" "r" 4; "b" "h" "j" "n" 3; "c" "r" 5; "d" "y" 4; "e" "c" 4;
"a" "r" 4; "b" "h" "j" "n" 3; "c" "r" 5; "d" "y" 4; "e" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "k" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "k" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "k" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "k" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "k" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "k" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "k" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "k" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "k" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" "x" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" "z" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" "z" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" "z" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" "z" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" "z" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" "z" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" "z" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" "z" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" "z" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "y" 4; "e" "b" "c" "z" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
"a" "h" "k" "r" 4; "b" "j" 4; "c" "r" 5; "d" "h" "y" 4; "e" "b" "c" 4;
