none
none
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1;
"a" "m" 1; "b" "m" 1; "c" "q" 1;
"a" "m" 1; "b" "m" 1; "c" "q" 1;
"a" "m" 1; "b" "m" 1; "c" "q" 1;
"a" "m" 1; "b" "m" 1; "c" "q" 1;
"a" "m" 1; "b" "m" 1; "c" "q" 1;
"a" "m" "v" 1; "b" "m" "o" 1; "c" "q" 1; "d" "u" 1;
"a" "m" "v" 1; "b" "m" "o" 1; "c" "q" 1; "d" "u" 1;
"a" "m" "v" 1; "b" "m" "o" 1; "c" "q" 1; "d" "u" 1;
"a" "m" 2; "b" "m" "o" 1; "c" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" 1; "c" "p" "q" 1; "d" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" "u" 1; "c" "p" "q" 1; "d" "a" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" "u" 1; "c" "p" "q" 1; "d" "a" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" "u" 1; "c" "p" "q" 1; "d" "a" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" "u" 1; "c" "p" "q" 1; "d" "a" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" "u" 1; "c" "p" "q" 1; "d" "a" "u" "v" 1;
"a" "m" 2; "b" "a" "l" "m" "o" "u" 1; "c" "p" "q" 1; "d" "a" "u" "v" 1;
"a" "m" "v" 2; "b" "a" "e" "l" "m" "o" "r" "u" 1; "c" "v" 2; "d" "v" 2; "e" "b" "e" "h" "n" "o" "p" "q" "t" 1;
"a" "m" "v" 2; "b" "a" "e" "l" "m" "o" "r" "u" 1; "c" "v" 2; "d" "v" 2; "e" "o" 2;
"a" "m" "v" 2; "b" "a" "e" "l" "m" "o" "r" "u" 1; "c" "v" 2; "d" "v" 2; "e" "o" 2;
"a" "m" "v" 2; "b" "a" "e" "l" "m" "o" "r" "u" "v" 1; "c" "v" 2; "d" "v" 2; "e" "o" 2;
"a" "m" "v" 2; "b" "a" "e" "l" "m" "o" "r" "u" "v" "w" 1; "c" "v" 2; "d" "v" 2; "e" "o" 2;
"a" "m" "v" 2; "b" "a" "e" "l" "m" "o" "r" "u" "v" "w" 1; "c" "v" 2; "d" "v" 3; "e" "o" 2;
"a" "m" "v" 2; "b" "a" "e" "l" "m" "o" "r" "u" "v" "w" 1; "c" "v" 2; "d" "v" 3; "e" "o" 2;
"a" "m" "v" 2; "b" "a" "e" "l" "m" "o" "r" "u" "v" "w" 1; "c" "v" 2; "d" "v" 3; "e" "o" 2;
"a" "m" "v" 2; "b" "a" "e" "l" "m" "o" "r" "u" "v" "w" 1; "c" "v" 2; "d" "v" 3; "e" "o" 2;
"a" "m" "v" 2; "b" "a" "e" "f" "l" "m" "o" "r" "u" "v" "w" 1; "c" "v" 2; "d" "v" 3; "e" "o" 2;
"a" "m" "v" 2; "b" "a" "e" "f" "l" "m" "o" "r" "u" "v" "w" 1; "c" "v" 2; "d" "v" 3; "e" "o" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "m" "v" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "m" "v" "y" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "m" "v" "y" 2; "b" "a" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "m" "v" "y" 2; "b" "a" "p" "u" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "m" "v" "y" 2; "b" "a" "p" "u" 2; "c" "j" "v" 2; "d" "v" 3; "e" "h" "o" "p" 2;
"a" "y" 3; "b" "a" "p" "u" 2; "c" "j" "v" 2; "d" "v" 3; "e" "o" 3;
"a" "y" 3; "b" "a" "p" "u" 2; "c" "j" "v" 2; "d" "v" 3; "e" "o" 3;
"a" "y" 3; "b" "a" "p" "u" 2; "c" "j" "v" 2; "d" "v" 3; "e" "o" 3;
"a" "y" 3; "b" "a" "p" "u" 2; "c" "j" "v" 2; "d" "v" 3; "e" "o" 3;
"a" "y" 3; "b" "a" "p" "u" 2; "c" "j" "v" 2; "d" "v" 3; "e" "o" 3;
"a" "y" 3; "b" "a" "p" "u" 2; "c" "j" "v" 2; "d" "v" 3; "e" "o" 3;
"a" "y" 3; "b" "a" "p" "u" 2; "c" "j" "v" 2; "d" "v" 3; "e" "o" 3;
"a" "y" 3; "b" "a" "p" "u" 2; "c" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "y" 3; "b" "a" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "y" 3; "b" "a" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "y" 3; "b" "a" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "y" 3; "b" "a" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" "f" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" "f" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" "f" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" "f" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" "f" "p" "u" 2; "c" "b" "j" "v" 2; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" "b" "f" "p" "u" "v" 2; "c" "v" 3; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" 3; "c" "v" 3; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" 3; "c" "v" 3; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" 3; "c" "v" 3; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" 3; "c" "v" 3; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" 3; "c" "v" 3; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" 3; "c" "v" 3; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" 3; "c" "v" 3; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" 3; "c" "v" 3; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" 3; "c" "v" 3; "d" "e" "v" 3; "e" "o" 3;
"a" "v" "y" 3; "b" "a" 3; "c" "g" "v" 3; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" "y" 3; "b" "a" 3; "c" "g" "v" 3; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" "y" 3; "b" "a" 3; "c" "g" "v" 3; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" "y" 3; "b" "a" 3; "c" "g" "v" 3; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" "y" 3; "b" "a" "b" 3; "c" "g" "v" 3; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" "y" 3; "b" "a" "b" 3; "c" "g" "v" 3; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" "y" 3; "b" "a" "b" 3; "c" "g" "v" 3; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" "y" 3; "b" "a" "b" 3; "c" "g" "v" 3; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" "w" "y" 3; "b" "a" "b" 3; "c" "g" "v" 3; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" "w" "y" 3; "b" "a" "b" 3; "c" "g" "v" 3; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" "w" "y" 3; "b" "a" "b" 3; "c" "v" 4; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" "w" "y" 3; "b" "a" "b" 3; "c" "v" 4; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" "w" "y" 3; "b" "a" "b" 3; "c" "v" 4; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" "w" "y" 3; "b" "a" "b" 3; "c" "v" 4; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" "w" "y" 3; "b" "a" "b" 3; "c" "v" 4; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "e" "u" "v" 3; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "u" "x" 4; "e" "c" "e" "l" "o" 3;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "x" 5; "e" "l" 4;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "x" 5; "e" "l" 4;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "x" 5; "e" "l" 4;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "x" 5; "e" "l" 4;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "v" 4; "d" "x" 5; "e" "l" 4;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "i" "v" 4; "d" "x" 5; "e" "l" 4;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "i" "v" 4; "d" "x" 5; "e" "l" 4;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "i" "v" 4; "d" "x" 5; "e" "l" 4;
"a" "v" 4; "b" "a" "b" "c" 3; "c" "g" "i" "v" 4; "d" "x" 5; "e" "l" 4;
"a" "v" 4; "b" "a" "b" "c" "e" 3; "c" "g" "i" "v" 4; "d" "x" 5; "e" "l" 4;
"a" "v" 4; "b" "a" "b" "c" "e" "j" 3; "c" "i" 5; "d" "x" 5; "e" "l" 4;
"a" "v" "w" "y" 3; "b" "a" "b" "c" "e" "j" 3; "c" "i" 5; "d" "x" 5; "e" "l" 4;
"a" "v" "w" "y" 3; "b" "a" "b" "c" "e" "j" 3; "c" "i" 5; "d" "x" 5; "e" "l" 4;
