none
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1; "b" "a" 1; "e" "r" 1;
"a" "h" 1; "b" "a" 1; "e" "r" 1;
"a" "h" 1; "b" "a" 1; "e" "r" 1;
"a" "h" 1; "b" "a" 1; "e" "r" 1;
"a" "h" 1; "b" "a" 1; "e" "r" 1;
"a" "h" 1; "b" "a" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "g" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "g" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "g" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "g" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "g" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "f" "g" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "f" "g" 1; "d" "u" 1; "e" "r" "z" 1;
"a" "h" 1; "b" "a" "c" "f" "g" 1; "c" "g" "z" 1; "d" "u" 1; "e" "h" "r" "z" 1;
"a" "h" 1; "b" "a" "c" "f" "g" 1; "c" "g" "z" 1; "d" "u" 1; "e" "h" "r" "z" 1;
"a" "h" 1; "b" "a" "c" "f" "g" 1; "c" "g" "z" 1; "d" "u" 1; "e" "h" "r" "z" 1;
"a" "h" 1; "b" "a" "c" "f" "g" 1; "c" "g" "z" 1; "d" "u" 1; "e" "h" "r" "z" 1;
"a" "h" 1; "b" "a" "c" "f" "g" 1; "c" "g" "z" 1; "d" "u" 1; "e" "h" "r" "z" 1;
"a" "h" 1; "b" "a" "c" "f" "g" 1; "c" "g" "z" 1; "d" "u" 1; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" 1; "c" "g" "z" 1; "d" "u" 1; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "g" "z" 1; "d" "u" 1; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "g" "z" 1; "d" "u" 1; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "g" "i" "z" 1; "d" "u" 1; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "g" "i" "z" 1; "d" "u" "x" 1; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "g" "i" "z" 1; "d" "u" "x" 1; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "g" "i" "z" 1; "d" "x" 2; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "c" "g" "i" "z" 1; "d" "x" 2; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "c" "g" "i" "z" 1; "d" "x" 2; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "c" "g" "i" "z" 1; "d" "x" 2; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "c" "g" "i" "z" 1; "d" "x" 2; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "c" "g" "i" "z" 1; "d" "x" 2; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "i" 2; "d" "x" 2; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "i" 2; "d" "x" 2; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "i" 2; "d" "x" 2; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "i" 2; "d" "x" 2; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "i" 2; "d" "x" 2; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "i" 2; "d" "x" 2; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "i" 2; "d" "x" 2; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "i" 2; "d" "x" 2; "e" "h" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "i" 2; "d" "x" 2; "e" "h" "r" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "i" 2; "d" "x" 2; "e" "h" "r" 2;
"a" "h" 1; "b" "a" "c" "f" "g" "o" 1; "c" "i" 2; "d" "x" 2; "e" "h" "r" 2;
"a" "h" 1; "b" "f" 2; "c" "i" 2; "d" "x" 2; "e" "h" "r" 2;
"a" "h" 1; "b" "f" 2; "c" "i" 2; "d" "x" 2; "e" "h" "r" 2;
"a" "h" 1; "b" "f" 2; "c" "i" 2; "d" "x" 2; "e" "h" "r" 2;
"a" "h" 1; "b" "f" 2; "c" "i" 2; "d" "x" 2; "e" "h" "r" 2;
"a" "h" 1; "b" "f" 2; "c" "i" 2; "d" "x" 2; "e" "h" "r" 2;
"a" "h" 1; "b" "f" 2; "c" "i" 2; "d" "x" 2; "e" "h" "r" 2;
"a" "h" 1; "b" "f" 2; "c" "i" 2; "d" "x" 2; "e" "h" "r" 2;
"a" "h" "l" 1; "b" "f" 2; "c" "i" 2; "d" "x" 2; "e" "h" "r" 2;
"a" "f" "h" "l" 1; "b" "f" 2; "c" "i" 2; "d" "x" 2; "e" "h" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 2; "d" "x" 2; "e" "h" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 2; "d" "l" "x" 2; "e" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 2; "d" "l" "x" 2; "e" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 2; "d" "l" "x" 2; "e" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 2; "d" "l" "x" 2; "e" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 2; "d" "l" "x" 2; "e" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 2; "d" "l" "x" 2; "e" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 2; "d" "l" "x" 2; "e" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "a" "i" 2; "d" "l" "x" 2; "e" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "a" "i" 2; "d" "l" "x" 2; "e" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "a" "i" 2; "d" "l" "x" 2; "e" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" "r" 2;
"a" "h" 2; "b" "a" "f" 2; "c" "i" 3; "d" "l" "x" 2; "e" "i" 3;
"a" "h" 2; "b" "a" "f" 2; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" 2; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" 2; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" 2; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" 2; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" "k" 2; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" "k" 2; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" "k" 2; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" "k" 2; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" "k" 2; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" "k" 2; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" "k" 2; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" "k" 2; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" "k" 2; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" 3; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" 3; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" 3; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" 3; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" 3; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" 3; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" "w" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" "w" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" "w" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" "w" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" "w" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" "w" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" "w" 3;
"a" "h" 2; "b" "a" "f" 3; "c" "i" 3; "d" "x" 3; "e" "i" "p" "w" 3;
"a" "h" 2; "b" "f" 4; "c" "i" 3; "d" "x" 3; "e" "i" "p" "w" 3;
"a" "h" 2; "b" "f" 4; "c" "i" 3; "d" "x" 3; "e" "i" "p" "w" 3;
"a" "h" 2; "b" "f" 4; "c" "i" 3; "d" "x" 3; "e" "i" "p" "w" 3;
"a" "h" 2; "b" "f" 4; "c" "i" 3; "d" "x" 3; "e" "i" "p" 3;
"a" "h" "u" 2; "b" "f" 4; "c" "i" 3; "d" "p" "x" 3; "e" "i" "p" 3;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" "x" 3; "e" "i" "p" 3;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" "x" 3; "e" "i" "p" 3;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" "x" 3; "e" "p" 4;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" "x" 3; "e" "p" 4;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 3; "b" "f" 4; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 4; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 5; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 5; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 5; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 5; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 5; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 5; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 5; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 5; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 5; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 5; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" "u" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" "l" "u" 3; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 4; "e" "p" 5;
"a" "h" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 5; "e" "p" 5;
"a" "h" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 5; "e" "p" 5;
"a" "h" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 5; "e" "p" 5;
"a" "h" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 5; "e" "p" 5;
"a" "h" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 5; "e" "p" 5;
"a" "h" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 5; "e" "p" 5;
"a" "h" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 5; "e" "p" 5;
"a" "h" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 5; "e" "p" 5;
"a" "h" "k" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 5; "e" "p" 5;
"a" "h" "k" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 5; "e" "p" 5;
"a" "h" "k" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 5; "e" "p" 5;
"a" "h" "k" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 5; "e" "p" 5;
"a" "h" "k" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 5; "e" "p" 5;
"a" "h" "k" 4; "b" "f" 6; "c" "a" "c" "g" "i" 3; "d" "p" 5; "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "p" 5;
"a" "h" "k" "l" 4; "b" "f" 6; "c" "i" 4; "d" "p" 5; "e" "p" 5;
