none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "b" 1;
"c" "b" 1; "d" "b" 1;
"c" "b" 1; "d" "b" 1;
"c" "b" "k" 1; "d" "b" 1;
"c" "b" "k" 1; "d" "b" 1;
"c" "b" "k" 1; "d" "b" 1;
"a" "q" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" "k" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" "k" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "q" 1; "b" "c" "k" 1; "c" "b" "k" 1; "d" "b" "e" 1;
"a" "z" 3; "b" "c" "d" "k" "q" "u" "w" "x" 1; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "c" "d" "k" "q" "u" "w" "x" 1; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "c" "d" "k" "q" "u" "w" "x" 1; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "c" "d" "k" "q" "u" "w" "x" 1; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "c" "d" "k" "q" "u" "w" "x" 1; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "c" "d" "k" "q" "u" "w" "x" 1; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "c" "d" "k" "q" "u" "w" "x" 1; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "c" "d" "k" "q" "u" "w" "x" 1; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "x" 2; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "x" 2; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "x" 2; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "x" 2; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "z" 3; "b" "x" 2; "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "u" "z" 3; "b" "x" 2; "c" "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "u" "z" 3; "b" "x" 2; "c" "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "u" "z" 3; "b" "x" 2; "c" "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "u" "z" 3; "b" "x" 2; "c" "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "u" "z" 3; "b" "x" 2; "c" "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "u" "z" 3; "b" "x" 2; "c" "c" "k" 2; "d" "b" 3; "e" "a" 2;
"a" "u" "z" 3; "b" "x" 2; "c" "c" "k" 2; "d" "b" 3; "e" "a" "r" 2;
"a" "u" "z" 3; "b" "d" "n" "x" 2; "c" "c" "k" 2; "d" "b" 3; "e" "a" "r" 2;
"a" "u" "z" 3; "b" "d" "n" "x" 2; "c" "c" "k" 2; "d" "b" 3; "e" "a" "r" 2;
"a" "u" "z" 3; "b" "d" "n" "x" 2; "c" "c" "k" 2; "d" "b" 3; "e" "a" "r" 2;
"a" "u" "z" 3; "b" "d" "n" "x" 2; "c" "c" "k" 2; "d" "b" 3; "e" "a" "r" 2;
"a" "u" "z" 3; "b" "d" "n" "x" 2; "c" "c" "k" 2; "d" "b" 3; "e" "a" "r" 2;
"a" "u" "z" 3; "b" "d" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "r" 2;
"a" "u" "z" 3; "b" "d" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "r" 2;
"a" "u" "z" 3; "b" "d" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "r" 2;
"a" "u" "z" 3; "b" "d" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "r" 2;
"a" "u" "z" 3; "b" "d" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "r" 2;
"a" "u" "z" 3; "b" "d" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "r" 2;
"a" "u" "z" 3; "b" "d" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" 2; "c" "a" "c" "k" 2; "d" "b" 3; "e" "a" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" 2; "c" "a" "c" "h" "k" 2; "d" "b" 3; "e" "a" "f" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" 2; "c" "a" "c" "h" "k" 2; "d" "b" 3; "e" "a" "f" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" 2; "c" "a" "c" "h" "k" 2; "d" "b" 3; "e" "a" "f" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" 2; "c" "a" "c" "h" "k" 2; "d" "b" 3; "e" "a" "f" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" "y" 2; "c" "a" "c" "h" "k" 2; "d" "b" 3; "e" "a" "f" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" "y" 2; "c" "a" "c" "h" "k" 2; "d" "b" 3; "e" "a" "f" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" "y" 2; "c" "a" "c" "h" "k" 2; "d" "b" 3; "e" "a" "f" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" "y" 2; "c" "a" "c" "h" "k" 2; "d" "b" 3; "e" "a" "f" "j" "r" 2;
"a" "u" "z" 3; "b" "d" "k" "n" "x" "y" 2; "c" "a" "c" "h" "k" 2; "d" "b" 3; "e" "a" "f" "j" "r" 2;
"a" "z" 4; "b" "d" "k" "n" "x" "y" 2; "c" "a" "c" "h" "k" 2; "d" "b" 3; "e" "a" "f" "j" "r" 2;
"a" "z" 4; "b" "d" "k" "n" "x" "y" 2; "c" "a" "c" "h" "k" 2; "d" "b" 3; "e" "a" "f" "j" "r" "s" 2;
"a" "z" 4; "b" "d" "k" "n" "x" "y" 2; "c" "c" 3; "d" "b" 3; "e" "a" "f" "j" "r" "s" 2;
"a" "z" 4; "b" "d" "k" "n" "x" "y" 2; "c" "c" "h" 3; "d" "b" 3; "e" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "x" "y" 2; "c" "c" "h" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "x" "y" 2; "c" "c" "h" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "k" "n" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "n" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "m" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "m" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "m" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "m" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "m" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "m" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "m" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "m" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "m" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "m" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "m" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "m" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "m" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "d" "i" "k" "m" "n" "r" "t" "x" "y" 2; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "m" 3; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "m" 3; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "m" 3; "c" "c" "h" "k" 3; "d" "b" 3; "e" "a" "j" "r" 3;
"a" "z" 4; "b" "m" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" "r" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" "r" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" "r" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" "r" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" "r" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" "r" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" "r" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 4; "b" "m" "r" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "a" "j" 3;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" 3; "c" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "a" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "a" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "a" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "a" "j" 4;
"a" "z" 5; "b" "m" "r" "t" "x" 3; "c" "h" "k" 4; "d" "b" 3; "e" "a" "j" 4;
"a" "z" 5; "b" "m" 4; "c" "h" "k" 4; "d" "b" 3; "e" "a" "j" 4;
"a" "z" 5; "b" "m" 4; "c" "h" "k" 4; "d" "b" 3; "e" "a" "j" 4;
"a" "z" 5; "b" "m" 4; "c" "h" "k" 4; "d" "b" 3; "e" "a" "j" 4;
"a" "z" 5; "b" "m" 4; "c" "h" "k" 4; "d" "b" 3; "e" "a" "j" 4;
"a" "z" 5; "b" "m" 4; "c" "h" "k" 4; "d" "b" 3; "e" "a" "j" 4;
"a" "z" 5; "b" "m" 4; "c" "h" "k" 4; "d" "b" 3; "e" "a" "j" 4;
"a" "z" 5; "b" "m" 4; "c" "h" "k" 4; "d" "b" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" 4; "c" "h" "k" 4; "d" "b" "e" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" 4; "c" "h" "k" 4; "d" "b" "e" 3; "e" "a" "j" 4;
"a" "y" "z" 5; "b" "m" 4; "c" "h" "k" 4; "d" "b" "e" 3; "e" "a" "j" 4;
