none
none
none
none
none
none
none
none
none
none
none
none
"a" "f" 1;
"a" "f" 1;
"a" "f" 1;
"a" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 4; "b" "b" 2; "c" "i" "m" "r" "t" 1; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 2; "c" "i" "j" "m" "r" "t" 1; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 2; "c" "i" "j" "m" "r" "t" 1; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 2; "c" "i" "j" "m" "r" "t" 1; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" "l" "q" 2; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" "l" "q" 2; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" "l" "q" 2; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" "l" "q" 2; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" "l" "q" 2; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" "l" "q" 2; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" "l" "q" 2; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" "l" "q" 2; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" "l" "q" 2; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" "l" "q" 2; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" "l" "q" 2; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" "l" "q" 2; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" "l" "q" 2; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "e" "v" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "e" "v" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "e" "v" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "e" "v" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "e" "v" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "e" "v" "y" 2;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" "x" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" "x" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" "x" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" "x" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" "x" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" "x" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" "x" 3; "c" "k" 3; "d" "b" "m" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" "x" 3; "c" "k" 3; "d" "b" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" "x" 3; "c" "k" 3; "d" "b" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" "x" 3; "c" "k" 3; "d" "b" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" "x" 3; "c" "k" 3; "d" "b" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "k" 3; "d" "b" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "k" "q" 3; "d" "b" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "k" "q" 3; "d" "b" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "k" "q" 3; "d" "b" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "k" "q" 3; "d" "b" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "k" "q" 3; "d" "b" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "k" "q" 3; "d" "b" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "k" "q" 3; "d" "b" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "k" "q" 3; "d" "b" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "k" "q" 3; "d" "b" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "k" "q" 3; "d" "b" "h" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "k" "q" 3; "d" "b" "h" "m" "u" 3; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 4; "d" "h" 4; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 4; "d" "h" 4; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 4; "d" "h" 4; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 4; "d" "h" 4; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 4; "d" "h" 4; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 4; "d" "h" 4; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 4; "d" "h" 4; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 4; "d" "h" 4; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 4; "d" "h" 4; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 4; "d" "h" 4; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 4; "d" "h" 4; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 5; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 5; "e" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 5; "e" "b" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 5; "e" "b" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 5; "e" "b" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 5; "e" "b" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 5; "e" "b" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "v" "y" 3;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "y" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "y" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "y" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "y" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "y" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "y" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "y" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "y" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "y" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "y" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "y" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "y" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "y" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" "y" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
"a" "f" 4; "b" "b" "n" "x" 4; "c" "q" 5; "d" "h" 6; "e" "b" "f" 4;
