none
none
none
none
none
none
none
none
none
none
none
"c" "t" "u" 1;
"c" "t" "u" 1;
"c" "t" "u" 1;
"c" "t" "u" 1;
"c" "t" "u" 1;
"c" "d" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "c" "d" "r" "t" "u" 1;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "t" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "u" 2;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" 1;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" 1;
"a" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "m" "p" "q" "t" "z" 1; "b" "d" 1; "c" "d" "u" 2; "d" "k" "v" 1;
"a" "h" "m" "t" "z" 2; "b" "j" 2; "c" "d" "u" 2; "d" "u" 2; "e" "k" 2;
"a" "h" "m" "t" "z" 2; "b" "j" 2; "c" "d" "u" 2; "d" "u" 3; "e" "k" 2;
"a" "h" "m" "t" "z" 2; "b" "j" 2; "c" "d" "u" 2; "d" "u" 3; "e" "k" 2;
"a" "h" "m" "t" "z" 2; "b" "j" 2; "c" "d" "u" 2; "d" "u" 3; "e" "k" 2;
"a" "a" "h" "m" "t" "z" 2; "b" "j" 2; "c" "d" "u" 2; "d" "u" 3; "e" "k" 2;
"a" "a" "h" "m" "t" "z" 2; "b" "j" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" 2;
"a" "a" "h" "m" "t" "z" 2; "b" "j" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" 2;
"a" "a" "h" "m" "t" "z" 2; "b" "j" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" 2;
"a" "a" "h" "m" "t" "z" 2; "b" "j" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" 2;
"a" "a" "h" "m" "t" "z" 2; "b" "j" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" 2;
"a" "a" "h" "m" "t" "z" 2; "b" "j" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" 2;
"a" "a" "h" "m" "t" "z" 2; "b" "a" "j" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" 2;
"a" "a" "h" "m" "t" "z" 2; "b" "a" "j" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" 3;
"a" "a" "h" "m" "t" "z" 2; "b" "a" "j" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" 3;
"a" "a" "h" "m" "t" "z" 2; "b" "a" "j" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" 3;
"a" "a" "h" "m" "t" "z" 2; "b" "a" "j" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "j" "l" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "j" "l" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "g" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "g" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "g" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "g" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "h" "m" "o" "t" "z" 2; "b" "a" "g" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "c" "h" "m" "o" "t" "z" 2; "b" "a" "g" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "c" "h" "m" "o" "t" "z" 2; "b" "a" "g" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "c" "h" "m" "o" "t" "z" 2; "b" "a" "g" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "c" "h" "m" "o" "t" "z" 2; "b" "a" "g" "j" "l" "q" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "k" "u" 3;
"a" "a" "c" "h" "m" "o" "t" "z" 2; "b" "a" "g" "j" "l" "q" "y" 2; "c" "d" "g" "u" 2; "d" "u" 3; "e" "u" 4;
"a" "m" 3; "b" "a" "g" "j" "l" "q" "y" 2; "c" "d" "g" "n" "u" 2; "d" "u" 3; "e" "u" 4;
"a" "m" 3; "b" "a" "g" "j" "l" "q" "y" 2; "c" "d" "g" "n" "u" 2; "d" "u" 3; "e" "u" 4;
"a" "m" 3; "b" "a" "g" "j" "l" "q" "y" 2; "c" "d" "g" "n" "u" 2; "d" "u" 3; "e" "u" 4;
"a" "m" 3; "b" "a" "g" "j" "l" "q" "y" 2; "c" "d" "g" "n" "u" 2; "d" "u" 3; "e" "u" 4;
"a" "m" 3; "b" "a" "g" "j" "l" "q" "y" 2; "c" "d" "g" "n" "u" 2; "d" "u" 3; "e" "u" 4;
"a" "m" 3; "b" "a" "g" "j" "l" "q" "y" 2; "c" "d" "g" "n" "u" 2; "d" "u" 3; "e" "u" 4;
"a" "m" 3; "b" "a" "g" "j" "l" "q" "y" 2; "c" "d" "g" "n" "u" 2; "d" "u" 3; "e" "u" 4;
"a" "m" 3; "b" "a" "g" "j" "l" "q" "y" 2; "c" "d" "g" "n" "u" 2; "d" "u" 3; "e" "u" 4;
"a" "m" 3; "b" "a" "g" "i" "j" "l" "q" "y" 2; "c" "d" "g" "n" "u" 2; "d" "u" 3; "e" "u" 4;
"a" "m" 3; "b" "a" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "m" 3; "b" "a" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "c" "m" 3; "b" "a" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "c" "m" 3; "b" "a" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "c" "m" 3; "b" "a" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" "v" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" "v" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" "v" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "c" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "c" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "c" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "c" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "c" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "c" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "c" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "c" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "c" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "c" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "c" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "c" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "a" "c" "g" "i" "j" "l" "q" "w" "y" 2; "c" "d" 3; "d" "u" "x" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "y" 3; "c" "d" 3; "d" "u" "x" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "y" 3; "c" "d" 3; "d" "u" "x" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "i" "q" "y" 3; "c" "d" 3; "d" "u" "x" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "i" "q" "y" 3; "c" "d" 3; "d" "u" "x" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" "i" "q" "y" 3; "c" "c" "d" 3; "d" "u" "x" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" "i" "q" "y" 3; "c" "c" "d" 3; "d" "u" "x" 3; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" "i" "q" "y" 3; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" "i" "q" "y" 3; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 4;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 5;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 5;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 5;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 5;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 5;
"a" "a" "c" "m" 3; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "c" "d" 3; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 4; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 5; "b" "d" 4; "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 5; "b" "d" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 5; "b" "d" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 5; "b" "d" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 5; "b" "d" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 5; "b" "d" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 5; "b" "d" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 5; "b" "d" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 5; "b" "d" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 6;
"a" "a" 5; "b" "d" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 6;
"a" "a" 5; "b" "d" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 6;
"a" "a" 5; "b" "d" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 6;
"a" "a" 5; "b" "d" "y" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 6;
"a" "a" 5; "b" "d" "i" "y" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 6;
"a" "a" 5; "b" "d" "i" "y" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 6;
"a" "a" 5; "b" "d" "i" "y" 4; "c" "c" "d" 4; "d" "x" 4; "e" "u" 5;
"a" "a" 5; "b" "d" "i" "y" 4; "c" "c" "d" 4; "d" "x" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "y" 4; "c" "c" "d" 4; "d" "x" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "y" 4; "c" "c" "d" 4; "d" "m" "x" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "y" 4; "c" "c" "d" 4; "d" "m" "x" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "y" 4; "c" "c" "d" 4; "d" "m" "x" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "y" 4; "c" "c" "d" 4; "d" "m" "x" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "y" 4; "c" "c" "d" 4; "d" "m" "x" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "u" "y" 4; "c" "c" "d" 4; "d" "m" "x" "z" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "u" "y" 4; "c" "c" "d" 4; "d" "m" "x" "z" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "u" "y" 4; "c" "c" "d" 4; "d" "m" "x" "z" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "u" "y" 4; "c" "c" "d" 4; "d" "m" "x" "z" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "u" "y" 4; "c" "c" "d" 4; "d" "m" "x" "z" 4; "e" "c" "u" 5;
"a" "a" 5; "b" "a" "d" "i" "u" "y" 4; "c" "c" "d" 4; "d" "m" "x" "z" 4; "e" "c" "u" 5;
