none
none
none
none
none
none
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" "e" 1; "d" "q" 1;
"a" "c" "e" 1; "d" "q" 1;
"a" "c" "e" 1; "d" "l" "q" "u" 1;
"a" "c" "e" 1; "d" "l" "q" "u" 1;
"a" "c" "e" 1; "d" "l" "q" "u" 1;
"a" "c" "e" 1; "d" "l" "q" "u" 1;
"a" "c" "e" "p" 1; "d" "l" "q" "u" 1;
"a" "c" "e" "p" 1; "d" "l" "q" "u" 1;
"a" "c" "e" "p" "x" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "c" "e" "l" "p" "x" 1; "b" "v" 1; "d" "l" "q" "u" 1; "e" "b" "x" 1;
"a" "l" "q" 2; "b" "x" 2; "c" "i" 2; "d" "m" 2; "e" "b" "c" "g" "j" "m" "r" "u" "x" 1;
"a" "l" "q" 2; "b" "x" 2; "c" "i" "w" 2; "d" "m" 2; "e" "b" "c" "g" "j" "m" "r" "u" "x" 1;
"a" "l" "q" 2; "b" "x" 2; "c" "i" "w" 2; "d" "m" 2; "e" "b" "c" "g" "j" "m" "r" "u" "x" 1;
"a" "c" "l" "q" 2; "b" "x" 3; "c" "c" "i" "w" 2; "d" "b" "m" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 3; "c" "c" "f" "i" "w" 2; "d" "b" "m" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 3; "c" "c" "f" "i" "w" 2; "d" "b" "m" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 3; "c" "c" "f" "i" "w" 2; "d" "b" "m" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 3; "c" "c" "f" "i" "w" 2; "d" "b" "m" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 3; "c" "c" "f" "i" "w" 2; "d" "b" "m" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 3; "c" "c" "f" "i" "w" 2; "d" "b" "m" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 3; "c" "c" "f" "i" "w" 2; "d" "b" "m" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 3; "c" "c" "f" "i" "w" 2; "d" "b" "m" "p" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" "i" "w" 2; "d" "b" "m" "p" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" "i" "w" 2; "d" "b" "m" "p" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" "i" "w" 2; "d" "b" "m" "p" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" "i" "w" 2; "d" "b" "m" "p" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" "i" "w" 2; "d" "b" "m" "p" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" "i" "w" 2; "d" "b" "m" "p" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" "i" "w" 2; "d" "b" "m" "p" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" "i" "w" 2; "d" "b" "m" "p" 2; "e" "g" 3;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "f" 3; "d" "b" "m" "p" "u" 2; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "f" 3; "d" "b" "m" "p" "u" 2; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "f" 3; "d" "b" "m" "p" "u" 2; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "f" 3; "d" "b" "m" "p" "u" 2; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "f" 3; "d" "b" "m" "p" "u" 2; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "f" 3; "d" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "f" 3; "d" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "f" 3; "d" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "f" 3; "d" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 4;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 5;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 5;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 5;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 5;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 5;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 5;
"a" "c" "l" "q" 2; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "b" "m" 3; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "c" "l" 3; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 4; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" "x" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" "x" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" "g" "x" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" "g" "x" 3; "d" "m" 4; "e" "g" 5;
"a" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" "g" "x" 3; "d" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" "g" "x" 3; "d" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" "g" "x" 3; "d" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" "g" "x" 3; "d" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" "g" "x" 3; "d" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" "g" "x" 3; "d" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" "g" "x" 3; "d" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "a" "b" "c" "f" "g" "x" 3; "d" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "l" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "l" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "l" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "l" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "l" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "l" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "l" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "l" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "l" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "l" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "l" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "l" "m" 4; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "l" 5; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 4; "d" "l" 5; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 5; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 5; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 5; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 5; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 5; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 5; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 5; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 5; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 5; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 5; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" "l" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
"a" "c" 4; "b" "x" 5; "c" "f" 5; "d" "l" 6; "e" "g" "i" 5;
