none
none
none
none
none
none
none
none
none
"c" "k" 1;
"c" "k" 1;
"c" "k" 1;
"c" "k" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1; "d" "q" 1;
"a" "k" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" 1;
"a" "k" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" 1;
"a" "k" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" 1;
"a" "e" "k" 1; "b" "d" "e" 1; "c" "f" "k" "l" 1; "d" "m" 2; "e" "e" "h" 1;
"a" "e" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" 1; "d" "m" 2; "e" "e" "h" 1;
"a" "e" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" 1; "d" "m" 2; "e" "e" "h" 1;
"a" "e" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" 1; "d" "m" 2; "e" "e" "h" 1;
"a" "e" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" 1; "d" "m" 2; "e" "e" "h" 1;
"a" "e" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" 1; "d" "m" 2; "e" "e" "h" 1;
"a" "e" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" 1; "d" "m" 2; "e" "e" "h" 1;
"a" "e" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" 1; "d" "m" 3; "e" "e" "h" 1;
"a" "e" "f" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" 1; "d" "m" 3; "e" "d" "e" "h" 1;
"a" "e" "f" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" 1; "d" "m" 3; "e" "d" "e" "h" 1;
"a" "e" "f" "i" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" 1; "d" "m" 4; "e" "d" "e" "h" 1;
"a" "e" "f" "i" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" 1; "d" "m" 4; "e" "d" "e" "h" 1;
"a" "e" "f" "i" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" 1; "d" "m" 4; "e" "d" "e" "h" 1;
"a" "e" "f" "i" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" 1; "d" "m" 4; "e" "d" "e" "h" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" 1; "d" "m" 4; "e" "d" "e" "h" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" 1; "c" "a" "f" "k" "l" "o" 1; "d" "m" 4; "e" "d" "e" "h" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" "r" 1; "c" "a" "f" "k" "l" "o" 1; "d" "m" 5; "e" "d" "e" "h" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" "r" 1; "c" "a" "d" "f" "k" "l" "o" 1; "d" "m" 5; "e" "d" "e" "h" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" "r" 1; "c" "a" "d" "f" "k" "l" "o" 1; "d" "m" 5; "e" "d" "e" "h" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" "r" 1; "c" "a" "d" "f" "k" "l" "o" 1; "d" "m" 5; "e" "d" "e" "h" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" "r" 1; "c" "a" "d" "f" "k" "l" "o" 1; "d" "m" 5; "e" "d" "e" "h" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" "r" 1; "c" "a" "d" "f" "k" "l" "o" 1; "d" "m" 5; "e" "d" "e" "h" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" "r" 1; "c" "a" "d" "f" "k" "l" "o" "r" 1; "d" "m" 5; "e" "d" "e" "h" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" "r" 1; "c" "a" "d" "f" "k" "l" "o" "r" 1; "d" "m" 5; "e" "d" "e" "h" "s" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" "r" 1; "c" "a" "d" "f" "k" "l" "o" "r" 1; "d" "m" 5; "e" "d" "e" "h" "s" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" "r" 1; "c" "a" "d" "f" "k" "l" "o" "r" 1; "d" "m" 5; "e" "d" "e" "h" "s" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" "r" 1; "c" "a" "d" "f" "k" "l" "o" "r" 1; "d" "m" 5; "e" "d" "e" "h" "s" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" "r" 1; "c" "a" "d" "f" "k" "l" "o" "r" 1; "d" "m" 5; "e" "d" "e" "h" "s" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" "r" 1; "c" "a" "d" "f" "k" "l" "o" "r" 1; "d" "m" 5; "e" "a" "d" "e" "h" "s" 1;
"a" "a" "e" "f" "i" "k" 1; "b" "d" "e" "r" 1; "c" "a" "d" "f" "k" "l" "o" "r" 1; "d" "m" 5; "e" "a" "d" "e" "h" "s" 1;
"a" "a" "e" "f" "i" "k" "t" 1; "b" "d" "e" "r" 1; "c" "a" "d" "f" "k" "l" "o" "r" 1; "d" "m" 5; "e" "a" "d" "e" "h" "s" 1;
"a" "a" "e" "f" "i" "k" "t" 1; "b" "d" "e" "r" 1; "c" "l" 2; "d" "m" 5; "e" "a" "d" "e" "h" "s" 1;
"a" "a" "e" "f" "i" "k" "t" 1; "b" "d" "e" "r" 1; "c" "l" 2; "d" "m" 5; "e" "a" "d" "e" "h" "s" 1;
"a" "a" "e" "f" "i" "k" "t" 1; "b" "d" "e" "r" 1; "c" "l" 2; "d" "m" 5; "e" "a" "d" "e" "h" "s" 1;
"a" "a" "e" "f" "i" "k" "t" 1; "b" "d" "e" "r" 1; "c" "l" 2; "d" "m" 5; "e" "a" "d" "e" "h" "s" 1;
"a" "a" "e" "f" "i" "k" "t" 1; "b" "d" "e" "r" 1; "c" "l" 2; "d" "m" 5; "e" "a" "d" "e" "h" "s" 1;
"a" "a" "e" "f" "i" "k" "o" "t" 1; "b" "d" "e" "r" 1; "c" "l" 2; "d" "m" 5; "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "t" 1; "b" "d" "e" "r" 1; "c" "l" 2; "d" "m" 5; "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "t" 1; "b" "d" "e" "r" 1; "c" "l" 2; "d" "m" 5; "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "t" 1; "b" "d" "e" "i" "r" 1; "c" "l" 2; "d" "m" 5; "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "t" 1; "b" "d" "e" "i" "r" 1; "c" "l" 2; "d" "m" 5; "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "t" 1; "b" "d" "e" "i" "r" 1; "c" "l" 2; "d" "m" 5; "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" "v" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" "v" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "r" "v" 2; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "v" 3; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "v" 3; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "a" "e" "f" "i" "k" "o" "p" "r" "t" 1; "b" "v" 3; "c" "l" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "o" 2; "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "o" 2; "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "o" 2; "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "o" 2; "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "o" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "o" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "o" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "o" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "e" "s" 2;
"a" "o" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "d" "e" "s" 2;
"a" "o" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "d" "e" "s" 2;
"a" "o" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "d" "e" "s" 2;
"a" "o" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "d" "e" "s" 2;
"a" "o" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "d" "e" "s" 2;
"a" "n" "o" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "d" "e" "s" 2;
"a" "n" "o" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "d" "e" "s" 2;
"a" "n" "o" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "d" "e" "s" 2;
"a" "n" "o" "y" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "d" "e" "s" 2;
"a" "n" "o" "y" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "d" "e" "s" 2;
"a" "n" "o" "y" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "n" "o" "y" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "n" "o" "y" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "n" "o" "y" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" "v" 3; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" 2; "d" "m" 5; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" 2; "d" "m" 6; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" 2; "d" "m" 6; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" 2; "d" "m" 6; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" "y" 2; "d" "m" 6; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" "y" 2; "d" "m" 6; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" "y" 2; "d" "m" 6; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" "y" 2; "d" "m" 6; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" "y" 2; "d" "m" 6; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" "y" 2; "d" "m" 6; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" "y" 2; "d" "m" 6; "e" "s" 3;
"a" "a" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" "y" 2; "d" "m" 6; "e" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" "p" "y" 2; "d" "m" 6; "e" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 4; "c" "l" "o" "p" "y" 2; "d" "m" 6; "e" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 4; "c" "l" 3; "d" "m" 6; "e" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 4; "c" "l" 3; "d" "m" 6; "e" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 4; "c" "l" "y" 3; "d" "m" 6; "e" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 4; "c" "l" "y" 3; "d" "m" 6; "e" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "a" "e" "n" "o" "y" 2; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" "o" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" "o" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" "o" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" "q" "s" 3;
"a" "n" "o" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" 4;
"a" "n" "o" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" 4;
"a" "n" "o" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" 4;
"a" "n" "o" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" 4;
"a" "n" "o" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" 4;
"a" "g" "n" "o" 3; "b" "b" 5; "c" "k" "l" "y" 3; "d" "m" 6; "e" "f" 4;
"a" "g" "n" "o" 3; "b" "b" 5; "c" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" "n" "o" 3; "b" "b" 5; "c" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" "n" "o" 3; "b" "b" 5; "c" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" "n" "o" 3; "b" "b" 5; "c" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 5; "c" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 5; "c" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 5; "c" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 5; "c" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 5; "c" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 5; "c" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 5; "c" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 5; "c" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 5; "c" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 5; "c" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 5; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 5; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 5; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
"a" "g" 4; "b" "b" 6; "c" "l" "y" 4; "d" "m" 6; "e" "f" 4;
