none
none
none
none
none
none
"c" "s" 1;
"c" "s" 1; "e" "f" 1;
"c" "s" 1; "e" "f" 1;
"c" "s" 1; "e" "f" 1;
"c" "s" 1; "e" "f" 1;
"c" "s" 1; "d" "b" 1; "e" "e" "f" "j" "t" 1;
"c" "s" 1; "d" "b" 1; "e" "e" "f" "j" "t" 1;
"c" "s" 1; "d" "b" 1; "e" "e" "f" "j" "t" "w" 1;
"c" "s" 1; "d" "b" 1; "e" "e" "f" "j" "t" "w" 1;
"c" "s" 1; "d" "b" 1; "e" "e" "f" "j" "t" "w" 1;
"c" "s" 1; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"c" "s" 1; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "t" 1; "c" "s" 2; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "t" 1; "c" "s" 2; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "t" 1; "c" "s" 2; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "t" 1; "c" "s" 2; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "t" 1; "c" "s" 2; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "t" 1; "c" "s" 2; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "t" 1; "c" "s" 2; "d" "b" 1; "e" "f" "j" "t" "w" 1;
"a" "f" "t" 1; "c" "s" 2; "d" "b" "r" 1; "e" "f" "j" "t" "w" 1;
"a" "f" "t" 1; "c" "s" 2; "d" "b" "r" 1; "e" "f" "g" "j" "t" "w" "z" 1;
"a" "f" "t" 1; "c" "s" 2; "d" "b" "r" 1; "e" "f" "g" "j" "t" "w" "z" 1;
"a" "f" "t" 1; "c" "s" 2; "d" "b" "r" 1; "e" "f" "g" "j" "t" "w" "z" 1;
"a" "f" "t" 1; "c" "s" 2; "d" "b" "r" 1; "e" "f" "g" "j" "t" "w" "z" 1;
"a" "s" 3; "b" "h" 2; "c" "s" 2; "d" "b" "c" "f" "j" "p" "q" "r" "s" "w" 1; "e" "f" "o" "w" "z" 2;
"a" "s" 3; "b" "h" 2; "c" "s" 2; "d" "b" "c" "f" "j" "p" "q" "r" "s" "w" 1; "e" "f" "h" "o" "w" "z" 2;
"a" "s" 3; "b" "h" 2; "c" "s" 2; "d" "b" "c" "f" "j" "p" "q" "r" "s" "w" 1; "e" "f" "h" "o" "w" "z" 2;
"a" "s" 3; "b" "h" 2; "c" "s" 2; "d" "s" 2; "e" "f" "h" "o" "w" "z" 2;
"a" "s" 3; "b" "h" 2; "c" "s" 2; "d" "s" 2; "e" "f" "h" "o" "w" "z" 2;
"a" "s" 3; "b" "h" 2; "c" "s" 2; "d" "s" 2; "e" "f" "h" "o" "w" "z" 2;
"a" "s" 3; "b" "h" 2; "c" "s" 2; "d" "s" 2; "e" "o" 3;
"a" "s" 3; "b" "h" 2; "c" "s" 2; "d" "s" 2; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" 2; "d" "s" 2; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" 2; "d" "s" 2; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" 2; "d" "s" 2; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" 2; "d" "s" 2; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" 2; "d" "s" 2; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" 2; "d" "s" 2; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" 2; "d" "s" 2; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" 2; "d" "s" 2; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" 2; "d" "s" 2; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "h" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "h" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "h" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "h" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "h" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "h" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "h" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "h" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "h" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "h" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "d" "s" 3; "b" "h" 3; "c" "h" "l" "s" "x" 2; "d" "s" 3; "e" "o" 3;
"a" "s" 4; "b" "h" 3; "c" "h" 3; "d" "s" 3; "e" "o" 3;
"a" "s" 4; "b" "h" 3; "c" "h" 3; "d" "s" 3; "e" "o" 3;
"a" "s" 4; "b" "h" 3; "c" "h" 3; "d" "s" 3; "e" "o" 3;
"a" "s" 4; "b" "h" 3; "c" "h" 3; "d" "s" 3; "e" "o" 3;
"a" "s" 4; "b" "h" 3; "c" "h" 3; "d" "s" 3; "e" "o" 3;
"a" "s" 4; "b" "h" 3; "c" "h" 3; "d" "s" 3; "e" "o" 3;
"a" "s" 4; "b" "h" 3; "c" "h" 3; "d" "s" 3; "e" "o" 3;
"a" "s" 5; "b" "h" 4; "c" "h" 3; "d" "s" 3; "e" "o" "z" 3;
"a" "s" 5; "b" "h" 4; "c" "h" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 4; "c" "h" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "o" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "o" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "o" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "o" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "o" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "o" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" 3; "d" "s" 3; "e" "o" "z" 4;
"a" "s" 5; "b" "h" 5; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 5; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 5; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" "s" "w" 3; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "j" "s" 3; "e" "o" 5;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "j" "s" 3; "e" "o" 6;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "j" "s" 3; "e" "o" 6;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "j" "s" 3; "e" "o" 6;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "j" "s" 3; "e" "o" 6;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "j" "s" 3; "e" "o" 6;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "j" "s" 3; "e" "o" 6;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "j" "s" 3; "e" "o" 6;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "j" "s" 3; "e" "o" 6;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "j" "s" 3; "e" "o" 6;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "j" 4; "e" "o" 6;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "j" 4; "e" "o" 6;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "j" 4; "e" "o" 6;
"a" "s" 5; "b" "h" 6; "c" "h" 4; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 6; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" "j" "s" 5; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
"a" "e" 6; "b" "h" 7; "c" "h" 5; "d" "j" 4; "e" "o" 6;
