none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "d" 1;
"a" "d" 1;
"a" "d" 1;
"a" "d" 1; "e" "w" 1;
"a" "d" 1; "e" "w" 1;
"a" "d" 1; "e" "w" 1;
"a" "d" 1; "e" "w" 1;
"a" "d" 1; "b" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "o" "q" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "o" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "o" "q" 2; "c" "c" 1; "e" "j" "w" 1;
"a" "d" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "w" 1;
"a" "d" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "d" "g" "k" "q" "r" 1; "b" "o" "q" 2; "c" "c" 2; "e" "g" "j" "m" "w" 1;
"a" "r" "z" 3; "b" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" 3;
"a" "r" "z" 3; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" 3;
"a" "r" 4; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 4; "b" "v" "x" 3; "c" "h" 4; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 4; "b" "q" "v" "x" 3; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 4; "b" "q" "v" "x" 3; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 4; "b" "q" "v" "x" 3; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 4; "b" "q" "v" "x" 3; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 4; "b" "q" "v" "x" 3; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 4; "b" "q" "v" "x" 3; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 4; "b" "q" "v" "x" 3; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 4; "b" "j" "q" "v" "x" 3; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 4; "b" "j" "q" "v" "x" 3; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 4; "b" "j" "q" "v" "x" 3; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 4; "b" "j" "q" "v" "x" 3; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 4; "b" "j" "q" "v" "w" "x" 3; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 4; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" "r" "w" 3;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "c" "e" "h" "q" "s" "t" "w" 2; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "q" 4; "c" "h" 5; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "q" "w" 4; "c" "h" 5; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "q" "w" 4; "c" "h" 5; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "q" "w" 4; "c" "h" 5; "d" "s" 3; "e" "p" 4;
"a" "r" 5; "b" "w" 4; "c" "h" 5; "d" "s" 3; "e" "p" 4;
