none
none
none
none
none
none
none
none
"a" "i" 1;
"a" "i" 1;
"a" "i" 1; "c" "h" 1;
"a" "i" 1; "c" "h" 1;
"a" "i" 1; "c" "h" 1;
"a" "i" 1; "c" "h" 1; "d" "k" 1;
"a" "i" 1; "c" "h" 1; "d" "k" 1;
"a" "i" 1; "c" "h" 1; "d" "k" 1;
"a" "i" 1; "c" "f" "h" 1; "d" "k" 1;
"a" "i" 1; "c" "f" "h" 1; "d" "k" 1;
"a" "i" 1; "c" "f" "h" 1; "d" "k" 1;
"a" "i" 1; "c" "f" "h" 1; "d" "k" "n" 1;
"a" "i" 1; "b" "f" 1; "c" "f" "h" 1; "d" "k" "n" 1;
"a" "i" 1; "b" "f" 1; "c" "f" "h" 1; "d" "k" "n" 1;
"a" "i" 1; "b" "f" 1; "c" "f" "h" 1; "d" "k" "n" 1;
"a" "b" "g" "i" "q" 2; "b" "c" "d" "e" "f" "g" "i" "k" "m" "n" "o" "p" "q" "r" "s" "w" "x" 1; "c" "g" "h" "l" "r" "x" 2; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "c" "d" "e" "f" "g" "i" "k" "m" "n" "o" "p" "q" "r" "s" "v" "w" "x" 1; "c" "g" "h" "l" "r" "x" 2; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "c" "d" "e" "f" "g" "i" "k" "m" "n" "o" "p" "q" "r" "s" "v" "w" "x" 1; "c" "g" "h" "l" "r" "x" 2; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "c" "d" "e" "f" "g" "i" "k" "m" "n" "o" "p" "q" "r" "s" "v" "w" "x" 1; "c" "g" "h" "l" "r" "x" 2; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "c" "d" "e" "f" "g" "i" "k" "m" "n" "o" "p" "q" "r" "s" "v" "w" "x" 1; "c" "g" "h" "l" "r" "x" 2; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 2; "c" "g" "h" "l" "r" "x" 2; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 2; "c" "g" "h" "l" "r" "x" 2; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 2; "c" "g" "h" "l" "r" "x" 2; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 2; "c" "g" "h" "l" "r" "x" 2; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 2; "c" "g" "h" "l" "r" "x" 2; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 2; "c" "g" "h" "l" "r" "x" 2; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 2; "c" "c" "g" "h" "l" "r" "x" 2; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "o" "x" 2; "c" "c" "g" "h" "l" "r" "x" 2; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 3; "c" "l" "r" 3; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 3; "c" "l" "r" 3; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 3; "c" "l" "r" 3; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 3; "c" "l" "r" 3; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 3; "c" "l" "r" 3; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 3; "c" "l" "r" 3; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 3; "c" "l" "r" 3; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 3; "c" "l" "r" "x" 3; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 3; "c" "l" "r" "x" 3; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 3; "c" "l" "r" "x" 3; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 3; "c" "l" "r" "x" 3; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "q" 2; "b" "x" 3; "c" "l" "r" "x" 3; "d" "m" 3; "e" "c" 3;
"a" "b" "g" "i" "p" "q" 2; "b" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "c" 3;
"a" "b" "g" "i" "p" "q" 2; "b" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "c" 3;
"a" "a" "b" "g" "i" "k" "p" "q" 2; "b" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" 4;
"a" "a" "b" "g" "i" "k" "p" "q" 2; "b" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" 4;
"a" "a" "b" "g" "i" "k" "p" "q" "t" 2; "b" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" 4;
"a" "a" "b" "g" "i" "k" "p" "q" "t" 2; "b" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" 4;
"a" "a" "b" "g" "i" "k" "p" "q" "t" 2; "b" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" 4;
"a" "a" "b" "g" "i" "k" "p" "q" "t" 2; "b" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" 4;
"a" "a" "b" "g" "i" "k" "p" "q" "t" 2; "b" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" 4;
"a" "a" "b" "g" "i" "k" "p" "q" "t" 2; "b" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" 4;
"a" "a" "b" "g" "i" "k" "p" "q" "t" 2; "b" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" 4;
"a" "a" "b" "g" "i" "k" "p" "q" "t" 2; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" 4;
"a" "a" "b" "g" "i" "k" "p" "q" "t" 2; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" 4;
"a" "a" "b" "g" "i" "k" "p" "q" "t" 2; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" 4;
"a" "a" "b" "g" "i" "k" "p" "q" "t" 2; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" 4;
"a" "a" "b" "g" "i" "k" "p" "q" "t" 2; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "b" "g" "i" "k" "p" "q" "t" 2; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" 3; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" 3; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" 3; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" 3; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" 3; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "q" 3; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "q" 3; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "q" 3; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "q" 3; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "q" 3; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "q" 3; "b" "f" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "q" 3; "b" "f" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "q" 3; "b" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "q" 3; "b" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "h" "q" 3; "b" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "h" "q" 3; "b" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "h" "q" 3; "b" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "h" "q" 3; "b" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "h" "q" 3; "b" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "h" "q" 3; "b" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "h" "q" 3; "b" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "h" "q" 3; "b" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "h" "q" 3; "b" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "a" "h" "q" 3; "b" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "c" "f" "i" "o" "x" 3; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 3; "e" "b" "e" 4;
"a" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" "q" 4; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
"a" "h" 5; "b" "f" 4; "c" "x" 4; "d" "m" 4; "e" "b" "e" 4;
