none
none
none
none
none
none
none
none
none
none
none
none
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "c" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "c" "j" 1; "c" "b" 1;
"a" "p" 1; "b" "c" "j" 1; "c" "b" 1; "d" "l" 1;
"a" "p" 1; "b" "c" "j" 1; "c" "b" 1; "d" "l" 1;
"a" "p" 1; "b" "c" "j" "l" 1; "c" "b" 1; "d" "l" 1;
"a" "p" 1; "b" "c" "j" "l" 1; "c" "b" 1; "d" "l" 1;
"a" "p" 1; "b" "c" "j" "l" 1; "c" "b" 1; "d" "l" 1;
"a" "d" "p" "q" 1; "b" "c" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "i" "p" "z" 1;
"a" "d" "p" "q" 1; "b" "c" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "i" "p" "z" 1;
"a" "d" "p" "q" 1; "b" "c" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "i" "p" "z" 1;
"a" "d" "p" "q" 1; "b" "c" "e" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "i" "p" "r" "z" 1;
"a" "d" "p" "q" 1; "b" "c" "e" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "i" "p" "r" "z" 1;
"a" "d" "p" "q" 1; "b" "c" "e" "j" "k" "l" 1; "c" "b" "i" "z" 1; "d" "e" "l" 1; "e" "i" "p" "r" "z" 1;
"a" "d" "g" "p" "q" 1; "b" "c" "e" "j" "k" "l" 1; "c" "b" "i" "q" "z" 1; "d" "e" "l" 1; "e" "i" "p" "r" "z" 1;
"a" "d" "g" "p" "q" 1; "b" "c" "e" "j" "k" "l" "o" 1; "c" "b" "i" "q" "z" 1; "d" "e" "l" "p" 1; "e" "i" "p" "r" "z" 1;
"a" "d" "g" "p" "q" 1; "b" "c" 2; "c" "b" "i" "q" "z" 1; "d" "p" 2; "e" "i" "k" "n" "p" "r" "z" 1;
"a" "d" "g" "p" "q" 1; "b" "c" 2; "c" "b" "i" "q" "z" 1; "d" "p" 2; "e" "i" "k" "n" "p" "r" "z" 1;
"a" "d" "g" "p" "q" 1; "b" "c" 2; "c" "b" "i" "q" "z" 1; "d" "p" 2; "e" "i" "k" "n" "p" "r" "z" 1;
"a" "d" "g" "p" "q" 1; "b" "c" 2; "c" "b" "i" "q" "z" 1; "d" "p" 2; "e" "i" "k" "n" "p" "r" "z" 1;
"a" "d" "g" "p" "q" 1; "b" "c" 2; "c" "b" "i" "q" "z" 1; "d" "p" 2; "e" "i" "k" "n" "p" "r" "z" 1;
"a" "d" "g" "p" "q" 1; "b" "c" 2; "c" "b" "i" "q" "z" 1; "d" "p" 2; "e" "i" "k" "n" "p" "r" "z" 1;
"a" "d" "g" "p" "q" 1; "b" "c" 2; "c" "b" "i" "q" "z" 1; "d" "p" 2; "e" "i" "k" "n" "p" "r" "z" 1;
"a" "d" "g" "p" "q" 1; "b" "c" 2; "c" "b" "i" "q" "z" 1; "d" "p" 2; "e" "i" "k" "n" "p" "r" "z" 1;
"a" "d" "g" "p" "q" 1; "b" "c" 2; "c" "b" "i" "q" "z" 1; "d" "p" 2; "e" "i" "k" "n" "p" "r" "z" 1;
"a" "d" "g" "p" "q" 1; "b" "c" 2; "c" "b" "i" "q" "z" 1; "d" "p" 2; "e" "i" "k" "n" "p" "r" "z" 1;
"a" "d" "g" "p" "q" "s" "z" 1; "b" "c" 2; "c" "b" "i" "q" "z" 1; "d" "p" 2; "e" "i" "k" "n" "p" "r" "y" "z" 1;
"a" "d" "g" "p" "q" "s" "z" 1; "b" "c" "x" 2; "c" "b" "i" "q" "z" 1; "d" "p" 2; "e" "i" "k" "n" "p" "r" "y" "z" 1;
"a" "d" "g" "p" "q" "s" "z" 1; "b" "c" "e" "x" 2; "c" "b" "i" "q" "z" 1; "d" "l" "p" 2; "e" "i" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "d" "g" "p" "q" "s" "z" 1; "b" "c" "e" "x" 2; "c" "b" "i" "j" "q" "z" 1; "d" "l" "p" 2; "e" "i" "j" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "d" "g" "p" "q" "s" "z" 1; "b" "c" "e" "x" 2; "c" "b" "i" "j" "q" "z" 1; "d" "l" "p" 2; "e" "i" "j" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "d" "g" "p" "q" "s" "z" 1; "b" "c" "e" "x" 2; "c" "b" "i" "j" "q" "z" 1; "d" "l" "p" 2; "e" "i" "j" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "d" "g" "p" "q" "s" "z" 1; "b" "c" "e" "x" 2; "c" "b" "i" "j" "q" "z" 1; "d" "l" "p" 2; "e" "i" "j" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "z" 2; "b" "c" "e" "x" 2; "c" "b" "i" "j" "q" "z" 1; "d" "l" "p" 2; "e" "i" "j" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "z" 2; "b" "c" "e" "x" 2; "c" "b" "i" "j" "q" "z" 1; "d" "l" "p" 2; "e" "i" "j" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "z" 2; "b" "c" "e" "x" 2; "c" "b" "i" "j" "q" "z" 1; "d" "l" "p" 2; "e" "i" "j" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "z" 2; "b" "c" "e" "x" 2; "c" "b" "i" "j" "q" "z" 1; "d" "l" "p" 2; "e" "i" "j" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "z" 2; "b" "c" "e" "x" 2; "c" "b" "i" "j" "q" "z" 1; "d" "l" "p" 2; "e" "i" "j" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "z" 2; "b" "c" "e" "x" 2; "c" "b" "i" "j" "q" "z" 1; "d" "l" "p" 2; "e" "i" "j" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "z" 2; "b" "c" "e" "x" 2; "c" "b" "i" "j" "q" "z" 1; "d" "l" "p" 2; "e" "i" "j" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "z" 2; "b" "c" "e" "x" 2; "c" "b" "i" "j" "q" "z" 1; "d" "l" "p" "q" 2; "e" "i" "j" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "z" 2; "b" "c" "e" "x" 2; "c" "b" "i" "j" "q" "z" 1; "d" "l" "p" "q" 2; "e" "i" "j" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "z" 2; "b" "c" "e" "x" 2; "c" "b" 2; "d" "e" "l" "p" "q" 2; "e" "i" "j" "k" "n" "o" "p" "r" "y" "z" 1;
"a" "q" "z" 2; "b" "c" "e" "x" 2; "c" "b" 2; "d" "e" "l" "p" "q" 2; "e" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "q" "z" 2; "b" "c" "e" "x" 2; "c" "b" "q" 2; "d" "e" "l" "p" "q" "x" 2; "e" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "q" "z" 2; "b" "c" "e" "x" 2; "c" "b" "q" 2; "d" "e" "l" "p" "q" "x" 2; "e" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "q" "z" 2; "b" "c" "e" "l" "x" 2; "c" "b" "q" 2; "d" "e" "l" "p" "q" "x" 2; "e" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "q" "z" 2; "b" "c" "e" "l" "x" 2; "c" "b" "q" 2; "d" "e" "l" "p" "q" "x" 2; "e" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "q" "z" 2; "b" "c" "e" "l" "x" 2; "c" "b" "q" 2; "d" "e" "l" "p" "q" "x" 2; "e" "c" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "q" "z" 2; "b" "c" "e" "l" "x" 2; "c" "b" "q" 2; "d" "e" "l" "p" "q" "x" 2; "e" "c" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "l" "x" 2; "c" "b" "q" 2; "d" "e" "l" "p" "q" "x" 2; "e" "c" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "l" "x" 2; "c" "b" "q" 2; "d" "e" "l" "p" "q" "x" 2; "e" "c" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "l" "x" 2; "c" "b" "q" 2; "d" "e" "h" "l" "p" "q" "x" 2; "e" "c" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "l" "x" 2; "c" "b" "q" 2; "d" "e" "h" "l" "p" "q" "x" 2; "e" "c" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "l" "x" 2; "c" "b" "q" 2; "d" "e" "h" "l" "p" "q" "x" 2; "e" "c" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "l" "x" 2; "c" "b" "q" 2; "d" "e" "h" "l" "p" "q" "x" 2; "e" "c" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "l" "x" 2; "c" "b" "q" 2; "d" "e" "h" "l" "p" "q" "x" 2; "e" "c" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "l" "x" 2; "c" "b" "q" 2; "d" "e" "h" "l" "p" "q" "x" 2; "e" "c" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "l" "x" 2; "c" "b" "q" "r" 2; "d" "p" "x" 3; "e" "c" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "l" "x" 2; "c" "b" "q" "r" 2; "d" "p" "x" 3; "e" "c" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "l" "x" 2; "c" "b" "q" "r" 2; "d" "p" "x" 3; "e" "c" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "q" "r" 2; "d" "p" "x" 3; "e" "b" "c" "i" "j" "k" "n" "o" "p" "r" "v" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "p" "x" 3; "e" "b" "c" "i" "j" "k" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "p" "x" 3; "e" "b" "c" "i" "j" "k" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "p" "x" 3; "e" "b" "c" "i" "j" "k" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "p" "x" 3; "e" "b" "c" "i" "j" "k" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "p" "x" 3; "e" "b" "c" "i" "j" "k" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "p" "x" 3; "e" "b" "c" "i" "j" "k" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "p" "x" 3; "e" "b" "c" "i" "j" "k" "n" "o" "p" "r" "v" "x" "y" "z" 1;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "p" "x" 3; "e" "k" 2;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "p" "x" 3; "e" "k" 2;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "p" "x" 3; "e" "k" 2;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "l" "p" "x" 3; "e" "k" 2;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "l" "p" "x" 3; "e" "k" 2;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "l" "p" "x" 3; "e" "k" 2;
"a" "d" "q" "z" 2; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "l" "p" "x" 3; "e" "k" 2;
"a" "q" 3; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "l" "p" "x" 3; "e" "k" 2;
"a" "q" 3; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "l" "p" "x" 3; "e" "k" 2;
"a" "q" 3; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "l" "p" "x" 3; "e" "k" 2;
"a" "q" 3; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "l" "p" "x" 3; "e" "k" 2;
"a" "q" 3; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "l" "p" "x" 3; "e" "k" 2;
"a" "q" 3; "b" "c" "h" "l" "x" 2; "c" "b" "d" "q" "r" 2; "d" "l" "p" "x" 3; "e" "k" 2;
"a" "q" 3; "b" "c" "h" "l" "t" "x" 2; "c" "b" "d" "q" "r" 2; "d" "l" "p" "x" 3; "e" "k" 2;
"a" "q" 3; "b" "c" "h" "l" "t" "x" 2; "c" "b" "d" "q" "r" 2; "d" "l" "p" "x" 3; "e" "k" "r" 2;
"a" "q" 3; "b" "c" "h" "l" "t" "x" 2; "c" "b" "d" "q" "r" 2; "d" "l" "p" "x" 3; "e" "k" "r" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" 2; "d" "l" "p" "x" 3; "e" "k" "r" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" 2; "d" "l" "p" "x" 3; "e" "k" "r" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" 2; "d" "l" "p" "x" 3; "e" "h" "k" "r" "v" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" 2; "d" "l" "p" "x" 3; "e" "c" "h" "k" "r" "v" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" 2; "d" "l" "p" "x" 3; "e" "c" "h" "k" "r" "v" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" 2; "d" "l" "p" "x" 3; "e" "c" "h" "k" "r" "v" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" 2; "d" "a" "l" "p" "x" 3; "e" "c" "h" "k" "r" "v" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" 2; "d" "a" "l" "p" "x" 3; "e" "c" "h" "k" "r" "v" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" 2; "d" "a" "l" "p" "x" 3; "e" "c" "h" "k" "r" "v" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" "z" 2; "d" "a" "l" "p" "x" 3; "e" "c" "h" "k" "r" "v" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" "z" 2; "d" "a" "l" "p" "x" 3; "e" "c" "h" "k" "o" "r" "v" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" "z" 2; "d" "a" "l" "p" "x" 3; "e" "c" "h" "k" "o" "r" "v" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" "z" 2; "d" "a" "l" "p" "x" 3; "e" "c" "h" "k" "o" "r" "v" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" "z" 2; "d" "l" 4; "e" "c" "h" "k" "o" "r" "v" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" "z" 2; "d" "l" 4; "e" "c" "h" "k" "o" "r" "v" 2;
"a" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" "z" 2; "d" "l" 4; "e" "c" "h" "k" "o" "r" "v" 2;
"a" "p" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" "z" 2; "d" "l" 4; "e" "c" "h" "k" "o" "r" "v" 2;
"a" "p" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" "z" 2; "d" "l" 4; "e" "c" "h" "k" "o" "r" "v" 2;
"a" "p" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" "z" 2; "d" "l" 4; "e" "c" "h" "k" "o" "r" "v" 2;
"a" "p" "q" 3; "b" "l" 3; "c" "b" "d" "q" "r" "u" "z" 2; "d" "l" 4; "e" "c" "h" "k" "o" "r" "v" 2;
"a" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "c" "h" "k" "o" "r" "v" 2;
"a" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "c" "h" "k" "o" "r" "v" 2;
"a" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "c" "h" "k" "o" "r" "v" 2;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" "q" 3; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "q" 4; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "q" 4; "b" "l" 3; "c" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "p" "q" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "p" "q" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "p" "q" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "p" "q" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "p" "q" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "p" "q" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "p" "q" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "p" "q" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "p" "q" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "p" "q" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "p" "q" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "p" "q" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "p" "q" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "p" "q" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "g" "l" 3; "c" "d" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "g" "l" 3; "c" "d" "o" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "g" "l" 3; "c" "d" "o" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "g" "l" 3; "c" "d" "o" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "g" "l" "r" 3; "c" "d" "o" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "g" "l" "r" 3; "c" "d" "o" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "g" "l" "r" 3; "c" "d" "o" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "g" "l" "r" 3; "c" "d" "o" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "g" "l" "r" 3; "c" "d" "o" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "g" "l" "r" 3; "c" "d" "o" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "g" "l" "r" 3; "c" "d" "o" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "g" "l" "r" 3; "c" "d" "o" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "g" "l" "r" 3; "c" "d" "o" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "g" "l" "r" 3; "c" "d" "o" "q" 3; "d" "l" 4; "e" "o" 3;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "a" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "a" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "a" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "a" "l" 4; "e" "o" 4;
"a" "d" "p" 4; "b" "e" "g" "l" "r" 3; "c" "o" 4; "d" "a" "l" 4; "e" "o" 4;
