none
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "e" "t" 1;
"a" "f" 1; "d" "g" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" "f" "g" "o" 1; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "f" "i" "w" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "f" "i" "w" 1; "c" "h" 1; "d" "b" 2; "e" "q" "t" "w" 1;
"a" "c" "e" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" 2; "b" "f" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" 2; "b" "f" "l" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" 2; "b" "f" "l" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" 2; "b" "f" "l" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" 2; "b" "f" "l" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" 2; "b" "f" "l" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" 2; "b" "f" "l" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" 2; "b" "f" "l" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" 2; "b" "f" "l" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "c" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "c" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "c" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "c" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "c" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "c" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "c" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "c" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "c" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "c" "z" 3; "e" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "l" 3; "c" "u" "y" 3; "d" "c" "z" 3; "e" "q" 3;
"a" "z" 3; "b" "f" "l" 3; "c" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "z" 3; "b" "f" "l" 3; "c" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "z" 3; "b" "f" "i" "l" 3; "c" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "z" 3; "b" "f" "i" "l" 3; "c" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "z" 3; "b" "f" "i" "l" 3; "c" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "z" 3; "b" "f" "i" "l" 3; "c" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "z" 3; "b" "f" "i" "l" 3; "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "z" 3; "b" "f" "i" "l" 3; "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "z" 3; "b" "f" "i" "l" 3; "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "z" 3; "b" "f" "i" "l" 3; "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "c" "o" "u" "y" 3; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "c" "e" "s" "u" "w" "z" 2; "b" "f" "i" "l" 3; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "f" "i" "l" 3; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "f" "i" "l" 3; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "f" "i" "l" 3; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "f" "i" "l" 3; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "f" "i" "l" 3; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "f" "i" "l" 3; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "o" "u" 4; "d" "c" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "o" "u" 4; "d" "c" "q" "r" "z" 3; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" 3;
"a" "s" 4; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" "s" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" "s" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" "s" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" "s" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" "s" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" "s" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" "s" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" "s" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "o" "u" 4; "d" "r" 4; "e" "l" "o" "q" "s" 3;
"a" "s" 5; "b" "i" "l" 4; "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
"a" "s" 5; "b" "i" "l" 4; "c" "h" "o" "u" 4; "d" "r" 4; "e" "o" 4;
