none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" "w" 1; "e" "b" "r" 1;
"c" "a" "c" "w" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "f" "h" "u" 1; "b" "o" 2; "c" "a" 2; "e" "b" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "s" "u" "y" 1; "e" "b" "c" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "o" "s" "u" "y" 1; "e" "b" "c" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "o" "s" "u" "y" 1; "e" "b" "c" "f" "k" "r" "x" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "o" "s" "u" "y" 1; "e" "b" "c" "f" "k" "r" "x" 1;
"a" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "s" "u" "y" 1; "e" "b" "c" "f" "h" "k" "r" "x" 1;
"a" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "s" "u" "y" 1; "e" "b" "c" "f" "g" "h" "k" "r" "x" 1;
"a" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "s" "u" "y" 1; "e" "b" "c" "f" "g" "h" "k" "r" "x" 1;
"a" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "s" "u" "y" 1; "e" "b" "c" "f" "g" "h" "k" "r" "x" 1;
"a" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "s" "u" "y" 1; "e" "b" "c" "f" "g" "h" "k" "r" "x" 1;
"a" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "s" "u" "y" 1; "e" "b" "c" "f" "g" "h" "k" "r" "x" 1;
"a" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "s" "u" "y" 1; "e" "c" 2;
"a" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "p" "s" "u" "y" 1; "e" "c" 2;
"a" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "p" "s" "u" "y" 1; "e" "c" 2;
"a" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "p" "s" "u" "y" 1; "e" "c" 2;
"a" "r" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "p" "s" "u" "y" 1; "e" "c" 2;
"a" "r" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "p" "s" "u" "y" 1; "e" "c" 2;
"a" "r" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "p" "s" "u" "y" 1; "e" "c" 2;
"a" "r" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "p" "s" "u" "y" 1; "e" "c" 2;
"a" "r" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "p" "s" "u" "y" 1; "e" "c" 2;
"a" "r" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "p" "s" "u" "y" 1; "e" "c" "r" 2;
"a" "r" "s" 2; "b" "f" "o" 2; "c" "u" 3; "d" "b" "c" "o" "p" "s" "u" "y" 1; "e" "c" "r" 2;
"a" "r" "s" 2; "b" "f" "o" 2; "c" "s" "u" 3; "d" "b" "c" "o" "p" "s" "u" "y" 1; "e" "c" "r" 2;
"a" "r" "s" 2; "b" "f" "o" 2; "c" "s" "u" 3; "d" "b" "c" "h" "o" "p" "s" "u" "v" "y" 1; "e" "c" "r" 2;
"a" "r" "s" 2; "b" "f" "o" 2; "c" "s" "u" 3; "d" "b" "c" "h" "o" "p" "s" "u" "v" "y" 1; "e" "c" "r" 2;
"a" "r" "s" 2; "b" "f" "o" 2; "c" "s" "u" 3; "d" "b" "c" "h" "o" "p" "s" "u" "v" "y" 1; "e" "c" "r" 2;
"a" "r" 3; "b" "f" "o" 2; "c" "s" "u" 3; "d" "b" "c" "h" "o" "p" "s" "u" "v" "y" 1; "e" "c" "r" 2;
"a" "r" 3; "b" "f" "o" 2; "c" "s" "u" 3; "d" "b" "c" "h" "o" "p" "s" "u" "v" "y" 1; "e" "c" "r" 2;
"a" "r" 3; "b" "f" "o" 2; "c" "s" "u" 3; "d" "b" "c" "h" "o" "p" "s" "u" "v" "y" 1; "e" "c" "r" 2;
"a" "r" 3; "b" "f" "o" 2; "c" "s" "u" 3; "d" "b" "c" "h" "o" "p" "s" "u" "v" "y" 1; "e" "c" "r" 2;
"a" "r" 3; "b" "f" "l" "o" "p" "s" 2; "c" "s" "u" 3; "d" "b" "c" "h" "o" "p" "s" "u" "v" "y" 1; "e" "c" "r" 2;
"a" "r" 3; "b" "f" "l" "o" "p" "s" 2; "c" "s" "u" 3; "d" "b" "c" "h" "o" "p" "s" "u" "v" "y" 1; "e" "c" "r" 2;
"a" "r" 3; "b" "p" 3; "c" "s" "u" 3; "d" "p" 2; "e" "c" "r" 2;
"a" "r" 3; "b" "p" 3; "c" "s" "u" 3; "d" "p" 2; "e" "c" "r" 2;
"a" "r" 3; "b" "p" 3; "c" "s" "u" 3; "d" "p" 2; "e" "c" "r" 2;
"a" "r" 3; "b" "l" "p" 3; "c" "s" "u" 3; "d" "p" 2; "e" "c" "r" 2;
"a" "r" 3; "b" "l" "p" 3; "c" "s" "u" 3; "d" "p" 2; "e" "c" "r" 2;
"a" "r" 3; "b" "l" "p" 3; "c" "s" "u" 3; "d" "p" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 3; "b" "l" "o" "p" 3; "c" "s" "u" 3; "d" "p" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 3; "b" "l" "o" "p" 3; "c" "s" "u" 3; "d" "p" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 3; "b" "l" "o" "p" 3; "c" "s" "u" 3; "d" "p" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 3; "b" "l" "o" "p" 3; "c" "s" "u" 3; "d" "p" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 3; "b" "l" "o" "p" 3; "c" "s" "u" 3; "d" "p" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 3; "b" "l" "o" "p" 3; "c" "s" "u" 3; "d" "p" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 3; "b" "l" "o" "p" 3; "c" "s" "u" 3; "d" "p" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 3; "b" "l" "o" "p" 3; "c" "s" "u" 3; "d" "p" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 3; "b" "b" "l" "o" "p" 3; "c" "s" "u" 3; "d" "p" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 3; "b" "b" "l" "o" "p" 3; "c" "s" "u" 3; "d" "p" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" "u" 3; "b" "b" "l" "o" "p" "s" 3; "c" "s" "u" 3; "d" "p" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" "u" 3; "b" "b" "l" "o" "p" "s" 3; "c" "s" "u" 3; "d" "p" "q" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" "u" 3; "b" "b" "l" "o" "p" "s" 3; "c" "s" "u" 3; "d" "p" "q" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" "u" 3; "b" "b" "l" "o" "p" "s" 3; "c" "s" "u" 3; "d" "p" "q" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" "u" 3; "b" "b" "e" "l" "o" "p" "s" 3; "c" "s" "u" 3; "d" "c" "p" "q" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" "u" 3; "b" "b" "e" "l" "o" "p" "s" 3; "c" "s" "u" 3; "d" "c" "p" "q" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" "u" 3; "b" "p" 4; "c" "s" "u" "y" 3; "d" "c" "p" "q" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" "u" 3; "b" "p" 4; "c" "s" "u" "y" 3; "d" "c" "p" "q" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" "u" 3; "b" "p" 4; "c" "s" "u" "y" 3; "d" "c" "p" "q" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" "u" 3; "b" "p" 4; "c" "s" "u" "y" 3; "d" "c" "p" "q" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" "u" 3; "b" "p" 4; "c" "s" "u" "y" 3; "d" "c" "p" "q" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "c" "p" "q" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "b" "c" "p" "q" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "b" "c" "p" "q" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "b" "c" "f" "p" "q" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "b" "c" "f" "p" "q" "s" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "b" "c" "f" "p" "q" "s" "v" 2; "e" "c" "g" "k" "r" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "b" "c" "f" "p" "q" "s" "v" 2; "e" "a" "c" "g" "k" "r" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "b" "c" "f" "p" "q" "s" "v" 2; "e" "a" "c" "g" "k" "r" "x" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "b" "c" "f" "p" "q" "s" "v" 2; "e" "a" "c" "g" "k" "r" "x" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "b" "c" "f" "p" "q" "s" "v" 2; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "b" "c" "f" "p" "q" "s" "v" 2; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "b" "c" "f" "p" "q" "s" "v" 2; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "b" 3; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "b" 3; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 4; "c" "s" "u" "y" 3; "d" "b" 3; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 5; "c" "s" "u" "y" 3; "d" "b" 3; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 5; "c" "s" "u" "y" 3; "d" "b" 3; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 5; "c" "s" "u" "y" 3; "d" "b" 3; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 5; "c" "s" "u" "y" 3; "d" "b" 3; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 5; "c" "s" "u" "y" 3; "d" "b" 3; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 5; "c" "s" "u" "y" 3; "d" "b" 3; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 5; "c" "s" "u" "y" 3; "d" "b" 3; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 5; "c" "s" "u" "y" 3; "d" "b" 3; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 5; "c" "f" "s" "u" "y" 3; "d" "b" "f" 3; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 5; "c" "f" "s" "u" "y" 3; "d" "b" "f" 3; "e" "a" "c" "g" "k" "p" "r" "x" 2;
"a" "r" 4; "b" "p" 5; "c" "f" "s" "u" "y" 3; "d" "b" "f" 3; "e" "a" "c" "g" "k" "p" "r" "x" "y" 2;
"a" "r" 4; "b" "p" 5; "c" "f" "s" "u" "y" 3; "d" "b" "f" 3; "e" "a" "c" "g" "k" "p" "r" "x" "y" 2;
"a" "r" 4; "b" "p" 5; "c" "f" "s" "u" "y" 3; "d" "b" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "f" "s" "u" "y" 3; "d" "b" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "f" "s" "u" "y" 3; "d" "b" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "f" "s" "u" "y" 3; "d" "b" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "f" "s" "u" "y" 3; "d" "b" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "f" "s" "u" "y" 3; "d" "b" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "f" "s" "u" "y" 3; "d" "b" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "g" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "g" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "g" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "e" "f" 3; "e" "g" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "c" "e" "f" 3; "e" "g" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "c" "e" "f" 3; "e" "g" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "c" "e" "f" 3; "e" "g" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "c" "e" "f" 3; "e" "g" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "c" "e" "f" 3; "e" "g" "r" 3;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" "y" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" "y" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" "y" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" "y" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" "y" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" "y" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" "y" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" "y" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" "y" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" "y" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 5; "c" "s" "y" 4; "d" "b" "c" "e" "f" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 6; "c" "s" "y" 4; "d" "b" "c" "e" "f" "y" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 6; "c" "s" "y" 4; "d" "b" "c" "e" "f" "y" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 6; "c" "s" "y" 4; "d" "b" "c" "e" "f" "y" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 6; "c" "s" "y" 4; "d" "b" "c" "e" "f" "y" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 6; "c" "s" "y" 4; "d" "b" "c" "e" "f" "y" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 6; "c" "s" "y" 4; "d" "b" "c" "e" "f" "y" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 6; "c" "s" "y" 4; "d" "b" "c" "e" "f" "y" 3; "e" "r" 5;
"a" "r" 4; "b" "p" 6; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 6; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
"a" "r" 5; "b" "p" 6; "c" "s" "y" 4; "d" "f" 4; "e" "r" 5;
