none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "w" 1; "e" "a" 1;
"b" "q" "w" 1; "d" "u" 1; "e" "a" 1;
"a" "s" 1; "b" "q" "w" 1; "d" "u" 1; "e" "a" "u" 1;
"a" "s" 1; "b" "q" "w" 1; "d" "u" 1; "e" "a" "u" 1;
"a" "l" "s" "v" "z" 1; "b" "w" 2; "c" "s" 1; "d" "l" "r" "u" 1; "e" "a" "f" "l" "u" 1;
"a" "l" "s" "v" "z" 1; "b" "w" 2; "c" "s" 1; "d" "l" "r" "u" 1; "e" "a" "f" "l" "u" 1;
"a" "l" "s" "v" "z" 1; "b" "w" 2; "c" "h" "s" 1; "d" "l" "r" "u" 1; "e" "a" "f" "l" "u" 1;
"a" "l" "s" "v" "z" 1; "b" "w" 2; "c" "h" "s" 1; "d" "l" "r" "u" 1; "e" "a" "f" "l" "u" 1;
"a" "l" "s" "v" "z" 1; "b" "w" 2; "c" "h" "s" "w" 1; "d" "l" "r" "u" "w" 1; "e" "a" "f" "l" "u" 1;
"a" "l" "s" "v" "z" 1; "b" "w" 2; "c" "s" 2; "d" "r" 2; "e" "a" "f" "g" "l" "u" 1;
"a" "l" "s" "v" "z" 1; "b" "w" 2; "c" "s" 2; "d" "r" 2; "e" "a" "f" "g" "l" "u" 1;
"a" "l" "s" "v" "z" 1; "b" "w" 2; "c" "s" 2; "d" "r" 2; "e" "a" "f" "g" "l" "u" 1;
"a" "l" "s" "v" "z" 1; "b" "w" 2; "c" "s" 2; "d" "r" 2; "e" "a" "f" "g" "l" "u" 1;
"a" "l" "s" "v" "z" 1; "b" "w" 2; "c" "s" 2; "d" "r" 2; "e" "a" "f" "g" "l" "u" 1;
"a" "l" "s" "v" "z" 1; "b" "w" 2; "c" "s" 2; "d" "r" 2; "e" "a" "f" "g" "l" "u" 1;
"a" "l" "s" "v" "z" 1; "b" "w" 2; "c" "s" 2; "d" "r" 2; "e" "a" "f" "g" "l" "u" 1;
"a" "l" "s" "v" "z" 1; "b" "w" 2; "c" "s" 2; "d" "r" 2; "e" "a" "f" "g" "l" "n" "u" 1;
"a" "h" "l" "n" "s" "v" "z" 1; "b" "w" 2; "c" "s" 2; "d" "r" 2; "e" "a" "f" "g" "l" "n" "u" 1;
"a" "h" "l" "n" "s" "v" "z" 1; "b" "w" 2; "c" "s" 2; "d" "r" 2; "e" "a" "f" "g" "l" "n" "u" 1;
"a" "h" "l" "n" "s" "v" "z" 1; "b" "w" 2; "c" "s" 2; "d" "r" 2; "e" "a" "f" "g" "l" "n" "u" 1;
"a" "h" "l" "n" "s" "v" "z" 1; "b" "w" 2; "c" "s" 2; "d" "r" 2; "e" "a" "f" "g" "l" "n" "u" 1;
"a" "v" 2; "b" "w" 2; "c" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "u" "x" 1;
"a" "v" 2; "b" "w" 2; "c" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "u" "x" 1;
"a" "v" 2; "b" "w" 2; "c" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "u" "x" 1;
"a" "v" 2; "b" "w" 2; "c" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "u" "x" 1;
"a" "v" 2; "b" "w" 2; "c" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "u" "x" 1;
"a" "v" 2; "b" "w" 2; "c" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "u" "x" 1;
"a" "v" 2; "b" "w" 2; "c" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "u" "x" 1;
"a" "v" 2; "b" "w" 2; "c" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "u" "x" 1;
"a" "v" 2; "b" "w" 2; "c" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "u" "x" 1;
"a" "v" 2; "b" "w" 2; "c" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "u" "x" 1;
"a" "s" "v" 2; "b" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "u" "x" 1;
"a" "s" "v" 2; "b" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "s" "v" 2; "b" "a" "j" "m" "w" 2; "c" "p" "s" 2; "d" "r" 3; "e" "a" "f" "g" "l" "n" "p" "u" "x" 1;
"a" "h" "s" "v" 2; "b" "a" "j" "m" 2; "c" "g" "n" "p" "s" 2; "d" "r" 3; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" 2; "d" "r" 3; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" 2; "d" "r" 3; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" 2; "d" "r" 3; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" 2; "d" "r" 3; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" 2; "d" "r" 3; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 3; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 3; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 3; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 3; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" "m" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" "m" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" "m" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" "m" 3; "c" "g" "n" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" "i" 3; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 2;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "g" "p" "s" "y" 2; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "g" "h" "p" "s" "y" 2; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "g" "h" "p" "s" "y" 2; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "g" "h" "p" "s" "y" 2; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "j" "k" "m" 3; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "e" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "e" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "e" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "e" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "e" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "e" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "e" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "e" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "e" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "e" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "e" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "e" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "e" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "h" 4; "b" "k" 4; "c" "e" "r" "s" 3; "d" "r" "v" 4; "e" "p" 3;
"a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" "v" 4; "e" "p" 3;
"a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" "v" 4; "e" "p" 3;
"a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" "v" 4; "e" "p" 3;
"a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" "v" 4; "e" "p" 3;
"a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" "v" 4; "e" "p" 3;
"a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" "v" 4; "e" "p" 3;
"a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" "v" 4; "e" "p" 3;
"a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" "v" 4; "e" "p" 3;
"a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" "v" 4; "e" "p" 3;
"a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" "v" 4; "e" "p" 3;
"a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" "v" 4; "e" "p" 3;
"a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" "v" 4; "e" "p" 3;
"a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" "v" 4; "e" "p" 3;
"a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" "v" 4; "e" "p" 3;
"a" "a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 4; "d" "r" 5; "e" "p" 3;
"a" "a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "a" "d" "h" 4; "b" "j" "k" 4; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "h" 5; "b" "j" "k" 4; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 3;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
"a" "h" "i" 5; "b" "j" 5; "c" "r" 6; "d" "r" 5; "e" "p" 4;
