none
none
none
none
none
none
none
none
none
"e" "l" 1;
"a" "n" 1; "e" "l" "n" 1;
"a" "n" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "n" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "i" "n" "q" 1; "b" "u" 1; "e" "l" "n" 1;
"a" "i" "n" "q" 1; "b" "u" 1; "c" "t" 1; "e" "l" "n" 1;
"a" "i" "n" "q" 1; "b" "u" 1; "c" "t" 1; "e" "l" "n" 1;
"a" "i" "n" "q" 1; "b" "u" 1; "c" "t" 1; "e" "l" "n" 1;
"a" "i" "n" "q" 1; "b" "u" 1; "c" "n" "t" 1; "e" "l" "n" 1;
"a" "i" "n" "q" 1; "b" "u" 1; "c" "n" "t" 1; "e" "l" "n" 1;
"a" "n" 2; "b" "h" "u" 1; "c" "n" "t" "z" 1; "d" "b" "o" 1; "e" "l" "n" "z" 1;
"a" "n" 2; "b" "h" "u" 1; "c" "m" "n" "t" "z" 1; "d" "b" "o" 1; "e" "l" "n" "z" 1;
"a" "n" 2; "b" "h" "u" 1; "c" "m" "n" "t" "z" 1; "d" "b" "o" 1; "e" "l" "n" "z" 1;
"a" "n" 2; "b" "h" "u" 1; "c" "m" "n" "t" "z" 1; "d" "b" "o" 1; "e" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "u" 1; "c" "m" "n" "t" "z" 1; "d" "b" "o" 1; "e" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "u" 1; "c" "m" "n" "t" "z" 1; "d" "b" "o" 1; "e" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "u" 1; "c" "m" "n" "t" "z" 1; "d" "b" "o" 1; "e" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "f" "m" "n" "t" "z" 1; "d" "b" "o" 1; "e" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "f" "m" "n" "t" "z" 1; "d" "b" "o" 1; "e" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "f" "m" "n" "t" "z" 1; "d" "b" "o" 1; "e" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "t" 2; "d" "b" "o" 1; "e" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "t" 2; "d" "b" "o" 1; "e" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "t" 2; "d" "b" "o" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "t" 2; "d" "b" "o" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "h" "l" "n" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "e" "h" "l" "n" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "n" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "i" "n" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "i" "n" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "i" "l" "n" "r" "z" 1;
"a" "i" "n" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "r" 2;
"a" "i" "n" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "t" 2; "d" "b" "o" "z" 1; "e" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "n" "t" 2; "d" "b" "o" "z" 1; "e" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "n" "t" 2; "d" "b" "o" "z" 1; "e" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "n" "t" 2; "d" "b" "o" "z" 1; "e" "d" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "n" "t" 2; "d" "b" "o" "z" 1; "e" "d" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "n" "t" 2; "d" "b" "o" "z" 1; "e" "d" "r" 2;
"a" "i" "n" "u" 2; "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "n" "t" 2; "d" "b" "o" "z" 1; "e" "d" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "n" "t" 2; "d" "b" "o" 1; "e" "d" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "n" "t" 2; "d" "b" "o" "u" 1; "e" "d" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "b" "e" "h" "l" "n" "q" "u" 1; "c" "f" "n" "t" 2; "d" "b" "o" "u" 1; "e" "d" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 2; "c" "f" "n" "t" 2; "d" "b" 2; "e" "d" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "n" "t" 2; "d" "b" 2; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "n" "t" 2; "d" "b" 2; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "n" "t" 2; "d" "b" 2; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "n" "t" 2; "d" "b" 2; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "n" "t" 2; "d" "b" 2; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "n" "t" 2; "d" "b" 2; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "n" "t" 2; "d" "b" 2; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "n" "t" 2; "d" "b" 2; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "n" "t" 2; "d" "b" 2; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "n" "t" 2; "d" "b" 2; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "l" "n" "t" 2; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "l" "n" "t" 2; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "l" "n" "t" 2; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "l" "n" "t" 2; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "l" "m" "n" "t" 2; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "l" "m" "n" "t" 2; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "l" "m" "n" "t" 2; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "l" "m" "n" "t" 2; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" "l" "m" "n" "t" 2; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" "i" "n" "u" 2; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "m" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "m" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "m" "n" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "e" "s" 3; "c" "f" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "e" "s" 3; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "e" "s" 3; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "e" "s" 3; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "e" "s" 3; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "q" "r" 2;
"a" "e" "u" 3; "b" "e" "s" 3; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "u" 3; "b" "e" "s" 3; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "u" 3; "b" "e" "s" 3; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "u" 3; "b" "e" "s" 3; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "u" 3; "b" "e" "s" 3; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "u" 3; "b" "e" "s" 3; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "u" 3; "b" "e" "s" 3; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "e" "s" 3; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "e" "s" 3; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "e" "s" 3; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" "k" "p" "u" 3; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" 4; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" 4; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "b" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" 4; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "b" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" 4; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "b" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" 4; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "b" "d" "e" "i" "m" "n" "o" "q" "r" 2;
"a" "e" 4; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "e" 3;
"a" "e" "k" 4; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "e" 3;
"a" "e" "k" 4; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "e" 3;
"a" "e" "k" 4; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "e" 3;
"a" "e" "k" 4; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "e" 3;
"a" "e" "k" 4; "b" "s" 4; "c" "f" "l" 3; "d" "b" 3; "e" "e" 3;
"a" "e" "k" 4; "b" "s" 4; "c" "f" 4; "d" "b" 3; "e" "b" "e" 3;
