none
none
none
none
none
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"c" "g" 1; "d" "p" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"b" "y" 1; "c" "g" 1; "d" "p" 1; "e" "i" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "p" "q" 1; "d" "b" "j" "l" "p" "x" "y" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "p" "q" 1; "d" "b" "j" "l" "p" "x" "y" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "p" "q" 1; "d" "b" "j" "l" "p" "x" "y" 1; "e" "i" "p" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "p" "q" 1; "d" "b" "j" "l" "p" "r" "x" "y" 1; "e" "c" "i" "p" "v" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "p" "q" 1; "d" "b" "j" "l" "p" "r" "x" "y" 1; "e" "c" "e" "i" "p" "v" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "p" "q" 1; "d" "b" "j" "l" "p" "r" "x" "y" 1; "e" "c" "e" "i" "p" "v" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "p" "q" 1; "d" "b" "j" "l" "p" "r" "v" "x" "y" 1; "e" "c" "e" "i" "j" "p" "v" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "p" "q" 1; "d" "b" "j" "l" "p" "r" "v" "x" "y" 1; "e" "c" "e" "i" "j" "p" "v" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "p" "q" 1; "d" "b" "j" "l" "p" "r" "v" "x" "y" 1; "e" "c" "e" "i" "j" "p" "v" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "k" "p" "q" 1; "d" "b" "j" "l" "p" "r" "v" "x" "y" 1; "e" "c" "e" "i" "j" "p" "v" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "k" "p" "q" 1; "d" "b" "j" "l" "p" "r" "v" "x" "y" 1; "e" "c" "e" "i" "j" "p" "v" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "k" "p" "q" 1; "d" "b" "j" "l" "p" "r" "v" "x" "y" 1; "e" "c" "e" "i" "j" "p" "v" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "k" "p" "q" 1; "d" "b" "j" "l" "p" "r" "v" "x" "y" 1; "e" "c" "e" "i" "j" "p" "v" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "k" "p" "q" 1; "d" "b" "j" "l" "p" "r" "u" "v" "x" "y" 1; "e" "c" "e" "i" "j" "p" "v" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "k" "p" "q" 1; "d" "b" "j" "l" "p" "r" "u" "v" "x" "y" 1; "e" "c" "e" "i" "j" "p" "s" "v" 1;
"a" "i" 2; "b" "n" 2; "c" "g" "k" "p" "q" 1; "d" "b" 2; "e" "c" "e" "i" "j" "p" "s" "v" 1;
"a" "i" 2; "b" "n" "y" 2; "c" "g" "k" "p" "q" 1; "d" "b" 2; "e" "c" "e" "i" "j" "p" "s" "v" "x" 1;
"a" "i" 2; "b" "n" "y" 2; "c" "g" "k" "p" "q" 1; "d" "b" 2; "e" "c" "e" "i" "j" "p" "s" "v" "x" 1;
"a" "i" 2; "b" "n" "y" 2; "c" "g" "k" "p" "q" 1; "d" "b" 2; "e" "c" "e" "i" "j" "p" "s" "v" "x" 1;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "g" "k" "m" "n" "p" "q" 1; "d" "b" 2; "e" "b" "c" "e" "i" "j" "p" "s" "v" "x" 1;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "g" "k" "m" "n" "p" "q" 1; "d" "b" 2; "e" "b" "c" "e" "i" "j" "p" "s" "v" "x" 1;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "g" "k" "m" "n" "p" "q" 1; "d" "b" 2; "e" "s" "x" 2;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "g" "k" "m" "n" "p" "q" 1; "d" "b" 2; "e" "s" "x" 2;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "g" "k" "m" "n" "p" "q" 1; "d" "b" 2; "e" "s" "x" 2;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "g" "k" "m" "n" "p" "q" 1; "d" "b" 2; "e" "s" "x" 2;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "g" "k" "m" "n" "p" "q" 1; "d" "b" 2; "e" "s" "x" 2;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "g" "k" "m" "n" "p" "q" 1; "d" "b" 2; "e" "s" "x" 2;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "a" "g" "k" "m" "n" "p" "q" 1; "d" "b" 2; "e" "q" "s" "x" 2;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "a" "g" "k" "m" "n" "p" "q" 1; "d" "b" 2; "e" "q" "s" "x" 2;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "a" "g" "k" "m" "n" "p" "q" 1; "d" "b" 2; "e" "q" "s" "x" 2;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "n" 2; "d" "b" "u" 2; "e" "q" "s" "x" 2;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "n" 2; "d" "b" "u" 2; "e" "q" "s" "x" 2;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "n" 2; "d" "b" "u" 2; "e" "q" "s" "x" 2;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "n" "x" 2; "d" "b" "j" "u" 2; "e" "q" "s" "x" 2;
"a" "i" 2; "b" "n" "q" "y" 2; "c" "n" "x" 2; "d" "b" "j" "u" 2; "e" "q" "s" "x" 2;
"a" "i" 2; "b" "n" 3; "c" "a" "n" "x" 2; "d" "b" "j" "u" 2; "e" "q" "s" "x" 2;
"a" "i" 2; "b" "n" 3; "c" "a" "n" "x" 2; "d" "b" "j" "u" 2; "e" "q" "s" "x" 2;
"a" "i" "n" 2; "b" "n" 3; "c" "a" "n" "x" 2; "d" "b" "j" "k" "u" 2; "e" "q" "s" "x" 2;
"a" "i" "n" 2; "b" "n" 3; "c" "a" "n" "x" 2; "d" "b" "j" "k" "u" 2; "e" "q" "s" "x" 2;
"a" "i" "n" 2; "b" "n" 3; "c" "a" "n" "x" 2; "d" "b" "j" "k" "u" 2; "e" "q" "s" "x" 2;
"a" "i" "n" 2; "b" "n" 3; "c" "a" "i" "n" "x" 2; "d" "b" "j" "k" "u" 2; "e" "q" "s" "x" 2;
"a" "i" "n" 2; "b" "n" 3; "c" "a" "i" "n" "x" 2; "d" "b" "j" "k" "u" 2; "e" "q" "s" "x" 2;
"a" "i" "n" 2; "b" "n" 3; "c" "a" "i" "n" "x" 2; "d" "b" "j" "k" "u" 2; "e" "q" "s" "x" 2;
"a" "i" 3; "b" "n" 3; "c" "a" "i" "n" "x" 2; "d" "b" 3; "e" "q" "s" "x" 2;
"a" "i" 3; "b" "n" 3; "c" "a" "i" "n" "x" 2; "d" "b" 3; "e" "q" "s" "v" "x" 2;
"a" "i" 3; "b" "n" 3; "c" "a" "i" "n" "x" 2; "d" "b" 3; "e" "q" "s" "v" "x" 2;
"a" "i" 3; "b" "n" 3; "c" "a" "i" "n" "x" 2; "d" "b" 3; "e" "q" "s" "v" "x" 2;
"a" "i" 3; "b" "n" 3; "c" "a" "i" "n" "x" 2; "d" "b" 3; "e" "q" "s" "v" "x" 2;
"a" "i" 3; "b" "n" 3; "c" "a" "i" "n" "x" 2; "d" "b" 3; "e" "q" "s" "v" "x" 2;
"a" "i" 3; "b" "n" 3; "c" "a" "i" "n" "x" "y" 2; "d" "b" 3; "e" "q" "s" "v" "x" 2;
"a" "i" 3; "b" "n" 3; "c" "a" "i" "n" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" 3; "b" "n" 3; "c" "a" "i" "n" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" 3; "b" "n" 3; "c" "a" "i" "n" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" 3; "b" "g" "n" 3; "c" "a" "i" "n" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "g" "n" 3; "c" "a" "i" "n" "v" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "g" "n" 3; "c" "a" "i" "n" "v" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "g" "n" 3; "c" "a" "i" "n" "v" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "g" "n" 3; "c" "a" "i" "n" "v" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "g" "n" 3; "c" "a" "i" "n" "p" "v" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "g" "n" 3; "c" "a" "i" "n" "p" "v" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "g" "n" 3; "c" "a" "i" "n" "p" "v" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "g" "n" 3; "c" "a" "i" "n" "p" "v" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "g" "n" 3; "c" "a" "i" "n" "p" "v" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "g" "n" 3; "c" "a" "i" "n" "p" "v" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "g" "n" 3; "c" "a" "i" "n" "p" "v" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "a" "i" "n" "p" "v" "x" "y" 2; "d" "b" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "a" "i" "l" "n" "p" "v" "x" "y" 2; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "a" "i" "l" "n" "p" "v" "x" "y" 2; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "a" "i" "l" "n" "p" "v" "x" "y" 2; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "a" "i" "l" "n" "p" "v" "x" "y" 2; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "a" "i" "k" "l" "n" "p" "v" "x" "y" 2; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "a" "i" "k" "l" "n" "p" "v" "x" "y" 2; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "a" "i" "k" "l" "n" "p" "v" "x" "y" 2; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "a" "i" "k" "l" "n" "p" "v" "x" "y" 2; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "y" 3; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "y" 3; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "y" 3; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "y" 3; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "y" 3; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "y" 3; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "y" 3; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "y" 3; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "y" 3; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "y" 3; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "k" "y" 3; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "k" "y" 3; "d" "b" "j" 3; "e" "s" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "k" "y" 3; "d" "b" "j" "k" 3; "e" "s" "v" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "k" "y" 3; "d" "b" "j" "k" 3; "e" "s" "v" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "k" "y" 3; "d" "b" "j" "k" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "k" "y" 3; "d" "b" "j" "k" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "k" "y" 3; "d" "b" "j" "k" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "k" "y" 3; "d" "b" "j" "k" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "y" 4; "d" "b" "j" "k" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "y" 4; "d" "b" "j" "k" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "y" 4; "d" "b" "j" "k" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "y" 4; "d" "b" "j" "k" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "y" 4; "d" "b" "j" "k" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "y" 4; "d" "b" "j" "k" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "y" 4; "d" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "y" 4; "d" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "y" 4; "d" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "y" 4; "d" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "y" 4; "d" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "k" "y" 4; "d" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "k" "y" 4; "d" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "k" "y" 4; "d" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "k" "y" 4; "d" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "k" "y" 4; "d" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "i" "n" 3; "b" "n" 4; "c" "i" "k" "y" 4; "d" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 4; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 4; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 4; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 4; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "b" "j" "k" "v" 3; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" 4; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" 4; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" 4; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" 4; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" 4; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" 4; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" 4; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" 4; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" 4; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" "v" "x" 3;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 4; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" "j" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" "j" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" "j" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" "j" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" "j" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" "j" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" "j" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" 5; "d" "a" "j" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "j" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
"a" "n" 4; "b" "n" 5; "c" "i" "k" "y" 4; "d" "a" "j" "k" 4; "e" "s" 4;
