none
none
none
none
none
none
"c" "y" 1;
"c" "y" 1; "d" "f" 1;
"c" "y" 1; "d" "f" 1;
"a" "q" 1; "c" "y" 1; "d" "f" "r" 1;
"a" "q" 1; "c" "y" 1; "d" "f" "r" 1;
"a" "q" 1; "c" "y" 1; "d" "f" "r" 1;
"a" "q" 1; "c" "v" "y" 1; "d" "f" "r" 1;
"a" "o" "q" 1; "b" "m" 1; "c" "v" "y" 1; "d" "f" "r" 1;
"a" "o" "q" 1; "b" "m" 1; "c" "v" "y" 1; "d" "f" "r" 1;
"a" "i" "m" "o" "q" "t" 1; "b" "i" "m" "p" "u" 1; "c" "v" 2; "d" "f" "o" "p" "r" 1; "e" "l" 1;
"a" "i" "m" "o" "q" "t" 1; "b" "i" "m" "p" "u" 1; "c" "v" 2; "d" "f" "o" "p" "r" 1; "e" "l" 1;
"a" "i" "m" "o" "q" "t" 1; "b" "i" "m" "p" "u" 1; "c" "v" 2; "d" "f" "o" "p" "r" 1; "e" "l" 1;
"a" "i" "m" "o" "q" "t" 1; "b" "i" "m" "p" "u" 1; "c" "v" 2; "d" "f" "o" "p" "r" 1; "e" "l" 1;
"a" "i" "m" "o" "q" "t" 1; "b" "i" "m" "p" "u" 1; "c" "v" 2; "d" "f" "o" "p" "r" 1; "e" "l" 1;
"a" "i" "m" "o" "q" "t" 1; "b" "i" "m" "p" "u" 1; "c" "v" 2; "d" "f" "o" "p" "r" 1; "e" "l" 1;
"a" "i" "m" "o" "q" "t" 1; "b" "i" "m" "p" "u" 1; "c" "v" 2; "d" "f" "o" "p" "r" 1; "e" "f" "l" 1;
"a" "i" "m" "o" "q" "t" "w" 1; "b" "i" "m" "p" "u" 1; "c" "v" 2; "d" "f" "o" "p" "r" 1; "e" "f" "l" 1;
"a" "i" "m" "o" "q" "t" "w" 1; "b" "i" "m" "p" "u" 1; "c" "v" 2; "d" "f" "o" "p" "r" 1; "e" "f" "l" 1;
"a" "i" "m" "o" "q" "t" "w" 1; "b" "i" "m" "p" "u" 1; "c" "v" 2; "d" "f" "o" "p" "r" 1; "e" "f" "l" "w" 1;
"a" "i" "m" "o" "q" "t" "w" 1; "b" "i" "m" "p" "u" 1; "c" "v" 2; "d" "f" "o" "p" "r" 1; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "p" "u" 1; "c" "v" 2; "d" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "p" "u" 1; "c" "v" 2; "d" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "p" "u" 1; "c" "v" 2; "d" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "p" "u" 1; "c" "v" 2; "d" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "p" "u" 1; "c" "v" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "p" "u" 1; "c" "v" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "p" "u" 1; "c" "v" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "p" "u" 1; "c" "v" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "p" "u" 1; "c" "v" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "n" "p" "u" 1; "c" "v" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "n" "p" "u" 1; "c" "v" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "n" "p" "u" 1; "c" "v" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "n" "p" "u" 1; "c" "v" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "n" "p" "u" 1; "c" "v" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "f" "l" "w" 1;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "f" "l" "p" "w" 1;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "f" "l" "p" "w" 1;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "f" "l" "p" "w" 1;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "e" "f" "l" "p" "w" 1;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "e" "f" "l" "p" "w" 1;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "e" "f" "l" "p" "w" 1;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "e" "f" "l" "p" "w" 1;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "e" "f" "l" "p" "w" 1;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "o" "p" 2; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "u" 1; "c" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "t" "u" 1; "c" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "t" "u" 1; "c" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "t" "u" 1; "c" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "t" "u" 1; "c" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "t" "u" 1; "c" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "t" "u" 1; "c" "e" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "t" "u" 1; "c" "e" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "t" "u" 1; "c" "e" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "t" "u" 1; "c" "e" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "t" "u" 1; "c" "e" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "t" "u" 1; "c" "e" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "s" "t" "u" 1; "c" "e" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "s" "t" "u" 1; "c" "e" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "s" "t" "u" 1; "c" "e" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "s" "t" "u" 1; "c" "e" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "s" "t" "u" 1; "c" "e" "g" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "s" "t" "u" 1; "c" "e" "g" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "r" "s" "t" "u" 1; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "r" "s" "t" "u" 1; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "r" "s" "t" "u" 1; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "r" "s" "t" "u" 1; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "r" "s" "t" "u" 1; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "r" "s" "t" "u" 1; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "i" "j" "k" "m" "n" "p" "r" "s" "t" "u" 1; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "r" 2; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "r" 2; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "t" 3; "b" "r" 2; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "m" "t" 3; "b" "n" "r" 2; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" 2;
"a" "m" "t" 3; "b" "m" "n" "r" 2; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" "u" 2;
"a" "m" "t" 3; "b" "m" "n" "r" 2; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" "u" 2;
"a" "m" "t" 3; "b" "m" "n" "r" 2; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" "u" 2;
"a" "m" "t" 3; "b" "m" "n" "r" 2; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" "u" 2;
"a" "m" "t" 3; "b" "m" "n" "r" 2; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" "u" 2;
"a" "m" "t" 3; "b" "m" "n" "r" 2; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" "u" 2;
"a" "m" "t" 3; "b" "j" "m" "n" "r" 2; "c" "e" "g" "k" "v" "y" 2; "d" "p" 3; "e" "p" "u" 2;
"a" "m" "t" 3; "b" "j" "m" "n" "r" 2; "c" "g" 3; "d" "p" 3; "e" "p" "u" 2;
"a" "m" "t" 3; "b" "j" "m" "n" "r" 2; "c" "g" 3; "d" "p" 3; "e" "p" "u" 2;
"a" "m" "t" 3; "b" "j" "m" "n" "r" 2; "c" "g" 4; "d" "p" 3; "e" "p" "u" 2;
"a" "m" "t" 3; "b" "j" "m" "n" "r" 2; "c" "g" 4; "d" "p" 3; "e" "p" "u" 2;
"a" "m" "t" 3; "b" "j" "m" "n" "r" 2; "c" "g" 4; "d" "p" 3; "e" "p" "u" 2;
"a" "m" "t" 3; "b" "j" "m" "n" "r" 2; "c" "g" 4; "d" "p" 3; "e" "p" "u" 2;
"a" "m" "t" 3; "b" "j" "m" "n" "r" 2; "c" "g" 4; "d" "p" 3; "e" "p" "u" 2;
"a" "m" "t" 3; "b" "j" "m" "n" "r" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "n" "r" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "n" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "n" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "n" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "n" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "n" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" "u" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" "u" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" "u" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" "u" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" "u" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" "u" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "p" 3; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "o" "p" 3; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "o" "p" 3; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "o" "p" 3; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" "m" "o" "r" "s" 2; "c" "g" 4; "d" "o" "p" 3; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 3; "c" "g" 4; "d" "o" "p" 3; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 3; "c" "g" 4; "d" "o" "p" 3; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 3; "c" "g" 4; "d" "o" "p" 3; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 3; "c" "g" 4; "d" "o" "p" 3; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 3; "c" "g" 4; "d" "o" "p" 3; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 3; "c" "g" 4; "d" "o" "p" 3; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 3; "c" "g" 4; "d" "o" 4; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 3; "c" "g" 4; "d" "o" 4; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 3; "c" "g" 4; "d" "o" 4; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 3; "c" "g" 4; "d" "o" 4; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 3; "c" "g" 4; "d" "o" 4; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "l" "t" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "l" "t" "y" 4; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "d" "f" "l" "p" "u" 2;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
"a" "m" "t" 5; "b" "j" 4; "c" "g" 4; "d" "o" "r" 4; "e" "p" 3;
