none
none
none
none
none
none
none
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1; "d" "g" 1;
"c" "j" 1; "d" "g" 1;
"c" "j" 1; "d" "g" 1;
"c" "j" 1; "d" "g" 1;
"b" "r" 1; "c" "j" 1; "d" "g" 1;
"b" "r" 1; "c" "j" 1; "d" "g" 1;
"b" "r" 1; "c" "j" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "p" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "p" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "e" "x" 1;
"a" "d" "e" "m" "v" 1; "b" "f" "p" "q" "r" "v" 1; "c" "j" "q" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" 2;
"a" "d" "e" "m" "v" 1; "b" "f" "p" "q" "r" "v" 1; "c" "j" "q" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" "t" 1; "e" "e" 2;
"a" "d" "e" "m" "v" 1; "b" "v" 2; "c" "j" "q" "r" "s" "v" "x" 1; "d" "t" 2; "e" "e" 2;
"a" "d" "e" "m" "v" 1; "b" "v" 2; "c" "b" "j" "q" "r" "s" "v" "x" 1; "d" "t" 2; "e" "e" 2;
"a" "d" "e" "m" "v" 1; "b" "v" 2; "c" "b" "j" "q" "r" "s" "v" "x" 1; "d" "t" 2; "e" "e" 2;
"a" "c" "d" "e" "m" "v" 1; "b" "v" 2; "c" "b" "i" "j" "q" "r" "s" "v" "w" "x" 1; "d" "t" 2; "e" "e" 2;
"a" "c" "d" "e" "m" "v" 1; "b" "v" 2; "c" "b" "e" "i" "j" "q" "r" "s" "v" "w" "x" 1; "d" "t" 2; "e" "e" 2;
"a" "c" "d" "e" "m" "v" 1; "b" "v" 2; "c" "b" "e" "i" "j" "q" "r" "s" "v" "w" "x" 1; "d" "t" 2; "e" "e" 2;
"a" "v" 2; "b" "v" 2; "c" "b" "e" "i" "j" "q" "r" "s" "v" "w" "x" 1; "d" "t" 2; "e" "e" 2;
"a" "v" 2; "b" "v" 2; "c" "b" "e" "i" "j" "q" "r" "s" "v" "w" "x" 1; "d" "t" 2; "e" "e" 2;
"a" "v" 2; "b" "v" 2; "c" "b" "e" "i" "j" "q" "r" "s" "v" "w" "x" 1; "d" "t" 2; "e" "e" 2;
"a" "v" 2; "b" "v" 2; "c" "b" "e" "i" "j" "q" "r" "s" "v" "w" "x" 1; "d" "t" 2; "e" "e" 2;
"a" "v" 2; "b" "v" 2; "c" "b" "e" "i" "j" "q" "r" "s" "v" "w" "x" 1; "d" "t" 2; "e" "e" 2;
"a" "v" 2; "b" "v" 2; "c" "b" "e" "i" "j" "q" "r" "s" "v" "w" "x" 1; "d" "t" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "v" 2; "c" "b" "e" "i" "j" "q" "r" "s" "v" "w" "x" 1; "d" "t" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "v" 2; "c" "b" "e" "i" "j" "q" "r" "s" "t" "v" "w" "x" 1; "d" "t" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "v" 2; "c" "b" "e" "i" "j" "q" "r" "s" "t" "v" "w" "x" 1; "d" "t" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "v" 2; "c" "b" "e" "i" "j" "q" "r" "s" "t" "v" "w" "x" 1; "d" "t" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "p" "v" 2; "c" "b" "e" "i" "j" "q" "r" "s" "t" "v" "w" "x" 1; "d" "t" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "p" "v" 2; "c" "b" "c" "e" "i" "j" "q" "r" "s" "t" "v" "w" "x" 1; "d" "t" "w" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "p" "v" 2; "c" "x" 2; "d" "i" "t" "w" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "p" "v" 2; "c" "x" 2; "d" "i" "t" "w" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "p" "v" 2; "c" "x" 2; "d" "i" "t" "w" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "p" "v" 2; "c" "x" 2; "d" "i" "t" "w" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "p" "v" 2; "c" "x" 2; "d" "e" "i" "t" "w" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "p" "v" 2; "c" "x" 2; "d" "e" "i" "t" "w" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "p" "v" 2; "c" "x" 2; "d" "e" "i" "t" "w" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "p" "v" 2; "c" "x" 2; "d" "e" "i" "t" "w" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "p" "v" 2; "c" "x" 2; "d" "e" "i" "t" "w" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "p" "v" 2; "c" "x" 2; "d" "e" "i" "t" "w" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "p" 3; "c" "x" 2; "d" "e" "i" "t" "w" 2; "e" "e" "x" 2;
"a" "v" 2; "b" "p" 3; "c" "x" 2; "d" "e" "i" "t" "w" 2; "e" "x" 3;
"a" "v" 2; "b" "p" 3; "c" "x" 2; "d" "e" "i" "t" "w" 2; "e" "x" 3;
"a" "v" 2; "b" "p" 3; "c" "x" 2; "d" "a" "e" "i" "t" "w" 2; "e" "x" 3;
"a" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 3;
"a" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 3;
"a" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 3;
"a" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 3;
"a" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 3;
"a" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 3;
"a" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "v" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "v" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "v" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "v" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "v" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "v" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "v" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "d" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "v" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "d" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "v" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "d" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "v" "w" 2; "e" "x" 4;
"a" "m" "v" 2; "b" "d" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "v" "w" 2; "e" "x" 4;
"a" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 3; "d" "a" "d" "e" "g" "i" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "m" "o" "v" 2; "b" "d" "p" 3; "c" "q" "x" 3; "d" "a" "d" "e" "g" "i" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "m" "o" "v" 2; "b" "d" "p" 3; "c" "q" "x" 3; "d" "a" "d" "e" "g" "i" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "m" "o" "v" 2; "b" "d" "p" 3; "c" "q" "x" 3; "d" "a" "d" "e" "g" "i" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 4; "d" "a" "d" "e" "g" "i" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 4; "d" "a" "d" "e" "g" "i" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 4; "d" "a" "d" "e" "g" "i" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 4; "d" "a" "d" "e" "g" "i" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 4; "d" "a" "d" "e" "g" "i" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 4; "d" "a" "d" "e" "g" "i" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 4; "d" "a" "d" "e" "g" "i" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 4; "d" "a" "d" "e" "g" "i" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 4; "d" "a" "d" "e" "g" "i" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 4; "d" "a" "d" "e" "g" "i" "m" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 4; "d" "a" "d" "e" "g" "i" "m" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "p" 3; "c" "x" 4; "d" "a" "d" "e" "g" "i" "m" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "n" "p" 3; "c" "x" 4; "d" "a" "d" "e" "g" "i" "m" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "n" "p" "x" 3; "c" "x" 4; "d" "a" "d" "e" "g" "i" "m" "s" "t" "v" "w" "y" 2; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "n" "p" "x" 3; "c" "x" 4; "d" "y" 3; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "m" "n" "p" "x" 3; "c" "x" 4; "d" "y" 3; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "m" "n" "p" "x" 3; "c" "x" 4; "d" "y" 3; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "m" "n" "p" "x" 3; "c" "x" 4; "d" "y" 3; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "m" "n" "p" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 4;
"a" "k" "m" "o" "v" 2; "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "k" "m" "o" "v" 2; "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "k" "m" "o" "v" 2; "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "h" "k" "m" "o" "v" 2; "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "h" "k" "m" "o" "v" 2; "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "h" "k" "m" "o" "v" 2; "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "h" "k" "m" "o" "v" 2; "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "h" "k" "m" "o" "v" 2; "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "h" "k" "m" "o" "v" 2; "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "h" "k" "m" "o" "v" 2; "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "h" "k" "m" "o" "v" 2; "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "h" "k" "m" "o" "v" 2; "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "h" "k" "m" "o" "v" 2; "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "h" "k" "m" "o" "v" 2; "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "h" "k" "m" "o" "v" 2; "b" "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "h" "k" "m" "o" "v" 2; "b" "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "v" 3; "b" "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "v" 3; "b" "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "v" 3; "b" "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "v" 3; "b" "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "v" 3; "b" "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "v" 3; "b" "b" "d" "m" "n" "x" 3; "c" "x" 4; "d" "g" "y" 3; "e" "x" 5;
"a" "v" 3; "b" "b" "d" "m" "n" "x" 3; "c" "x" 5; "d" "g" "v" "y" 3; "e" "x" 5;
"a" "v" 3; "b" "b" "d" "m" "n" "x" 3; "c" "x" 5; "d" "g" "v" "y" 3; "e" "x" 5;
"a" "v" 3; "b" "x" 4; "c" "x" 5; "d" "g" "v" "y" 3; "e" "x" 5;
"a" "v" 3; "b" "x" 4; "c" "x" 5; "d" "g" "v" "y" 3; "e" "x" 5;
"a" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
"a" "h" "v" 3; "b" "x" 4; "c" "x" 5; "d" "v" 4; "e" "x" 5;
