none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1; "e" "m" 1;
"b" "m" 1; "d" "r" "y" 1; "e" "m" 1;
"b" "m" "s" 1; "d" "r" "u" "y" 1; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" "u" "y" 1; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" "u" "y" 1; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" "u" "y" 1; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" "u" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"a" "e" "i" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" "i" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" "i" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" "i" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" "i" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" "i" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" "i" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" "i" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" "i" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" "x" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" "x" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" "x" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" "x" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" "x" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" "x" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" "x" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" "x" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" "x" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" 4; "b" "s" "x" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
"a" "e" "o" "z" 4; "b" "x" 4; "c" "j" "p" 3; "d" "r" "u" 4; "e" "m" "w" 4;
