none
none
none
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" 1;
"c" "v" 1; "e" "m" "w" 1;
"c" "v" 1; "e" "m" "w" 1;
"c" "v" 1; "e" "m" "w" 1;
"c" "v" 1; "e" "m" "w" 1;
"c" "v" 1; "e" "m" "w" 1;
"c" "v" 1; "e" "m" "w" 1;
"c" "v" 1; "e" "m" "w" 1;
"a" "v" 1; "b" "r" 1; "c" "v" 1; "e" "m" "w" 1;
"a" "v" 1; "b" "r" 1; "c" "v" 1; "e" "m" "w" 1;
"a" "v" 1; "b" "r" 1; "c" "v" 1; "e" "m" "w" 1;
"a" "v" 1; "b" "r" 1; "c" "v" 1; "e" "b" "m" "w" 1;
"a" "v" 1; "b" "r" 1; "c" "v" 1; "e" "b" "m" "w" 1;
"a" "v" 1; "b" "g" "r" 1; "c" "v" 1; "e" "b" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "h" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "h" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "h" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "h" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "h" "m" "w" 1;
"a" "v" 1; "b" "r" 2; "c" "v" 1; "e" "b" "h" "m" "w" 1;
"a" "v" 2; "b" "r" 2; "c" "v" 2; "d" "h" "m" "n" "s" 1; "e" "y" 3;
"a" "v" 2; "b" "r" 2; "c" "v" 2; "d" "h" "m" "n" "s" 1; "e" "y" 3;
"a" "v" 2; "b" "r" 2; "c" "v" 2; "d" "h" "m" "n" "s" 1; "e" "y" 3;
"a" "v" 2; "b" "r" 2; "c" "v" 2; "d" "h" "i" "m" "n" "s" "y" 1; "e" "y" 3;
"a" "v" 2; "b" "r" 2; "c" "v" 2; "d" "h" "i" "k" "m" "n" "s" "y" 1; "e" "y" 3;
"a" "v" 2; "b" "r" 2; "c" "v" 2; "d" "h" "i" "k" "m" "n" "s" "y" 1; "e" "y" 3;
"a" "v" 2; "b" "r" "v" 2; "c" "v" 2; "d" "g" "h" "i" "k" "m" "n" "s" "y" 1; "e" "y" 3;
"a" "v" 2; "b" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" "n" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" "n" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" "n" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" "n" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" "n" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" "n" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" "n" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" "n" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" 2; "c" "v" 2; "d" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" "z" 2; "c" "v" 2; "d" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" "z" 2; "c" "v" 2; "d" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" "z" 2; "c" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" "z" 2; "c" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" "z" 2; "c" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" "z" 2; "c" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" "z" 2; "c" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" "z" 2; "c" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" "z" 2; "c" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "r" "v" "z" 2; "c" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "i" "r" "v" "z" 2; "c" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "i" "r" "v" "z" 2; "c" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "i" "r" "v" "z" 2; "c" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "i" "r" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "i" "r" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "i" "r" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "i" "r" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "i" "r" "u" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "i" "r" "u" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "i" "r" "u" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "i" "r" "u" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "i" "r" "u" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 3;
"a" "v" 2; "b" "c" "i" "r" "u" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "i" "r" "u" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "q" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "q" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "q" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "q" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "q" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "q" "v" 2; "d" "g" "i" "m" "n" "q" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "q" "v" 2; "d" "g" "i" "m" "n" "q" "s" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "q" "v" 2; "d" "g" "i" "m" "n" "q" "s" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "q" "v" 2; "d" "g" "i" "m" "n" "q" "s" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "q" "v" 2; "d" "g" "i" "m" "n" "q" "s" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "q" "v" 2; "d" "g" "i" "m" "n" "q" "s" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "l" "q" "v" 2; "d" "g" "i" "m" "n" "q" "s" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "m" "n" "q" "s" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "y" 4;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "g" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "g" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "g" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "g" "i" "r" "u" "v" "z" 2; "c" "f" "l" "q" "v" 2; "d" "g" "i" "k" "m" "n" "q" "s" 2; "e" "m" "y" 3;
"a" "v" 2; "b" "c" "d" "g" "i" "r" "u" "v" "z" 2; "c" "f" "g" "l" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "v" 2; "b" "d" 3; "c" "f" "g" "l" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "v" 2; "b" "d" 3; "c" "f" "g" "l" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "v" 2; "b" "d" 3; "c" "f" "g" "l" "n" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "v" 2; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "l" "v" 2; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "l" "v" 2; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "l" "v" 2; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "l" "v" 2; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "l" "v" 2; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "l" "p" "v" 2; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "f" "l" "p" "v" 2; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "f" 3; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "f" 3; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "f" 3; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "f" 3; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "f" 3; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "f" 3; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "s" 3; "e" "m" "y" 3;
"a" "f" 3; "b" "d" 3; "c" "f" "g" "l" "n" "o" "q" "v" 2; "d" "g" "m" "s" 3; "e" "m" "y" 3;
"a" "f" 3; "b" "c" "d" 3; "c" "v" 3; "d" "g" "m" "s" 3; "e" "m" "y" 3;
"a" "f" 3; "b" "c" "d" 3; "c" "v" 3; "d" "g" "m" "s" 3; "e" "m" "y" 3;
"a" "f" 3; "b" "c" "d" 3; "c" "v" 3; "d" "g" "m" "s" 3; "e" "m" "y" 3;
"a" "f" 3; "b" "c" "d" 3; "c" "v" 3; "d" "g" "m" "s" 3; "e" "m" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "v" 3; "d" "g" "m" "s" 3; "e" "m" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "v" 3; "d" "g" "m" "s" 3; "e" "m" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "g" "v" 3; "d" "g" "m" "s" 3; "e" "m" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "g" "v" 3; "d" "g" "m" "s" 3; "e" "m" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "g" "v" 3; "d" "g" "m" "s" 3; "e" "m" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "g" "v" 3; "d" "g" "m" "s" 3; "e" "m" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "g" "v" 3; "d" "g" "m" "s" 3; "e" "k" "m" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "g" "v" 3; "d" "g" "m" "s" 3; "e" "k" "m" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "m" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "m" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "m" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" 3; "b" "c" 3; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" "v" 3; "b" "c" 3; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" "v" 3; "b" "c" 3; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "g" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "g" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "g" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "g" "v" 4; "d" "g" "m" "s" 3; "e" "k" "y" 3;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
"a" "f" "p" "v" 3; "b" "c" 4; "c" "g" "v" 4; "d" "s" 4; "e" "k" 4;
