none
none
none
none
none
none
none
none
none
none
none
none
"a" "g" 1;
"a" "g" 1;
"a" "g" 1;
"a" "g" 1;
"a" "g" 1;
"a" "g" 1; "e" "f" 1;
"a" "g" 1; "e" "f" 1;
"a" "g" 1; "e" "f" 1;
"a" "g" 1; "e" "f" 1;
"a" "g" "x" 1; "e" "f" "h" 1;
"a" "g" "x" 1; "e" "b" "f" "h" 1;
"a" "g" "x" 1; "e" "b" "f" "h" 1;
"a" "g" "x" 1; "b" "i" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "f" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "b" "d" "g" "h" "u" "x" 1; "b" "i" 2; "c" "r" 1; "d" "f" "y" 2; "e" "b" "f" "h" 1;
"a" "b" "d" "g" "h" "u" "x" 1; "b" "i" 2; "c" "r" 1; "d" "f" "y" 2; "e" "b" "f" "h" 1;
"a" "b" "d" "g" "h" "u" "x" 1; "b" "i" 2; "c" "r" 1; "d" "f" "y" 2; "e" "b" "f" "h" "o" "v" 1;
"a" "g" 2; "b" "i" 2; "c" "r" 1; "d" "f" "y" 2; "e" "b" "f" "h" "o" "v" 1;
"a" "g" "h" 2; "b" "i" 2; "c" "r" 1; "d" "f" "y" 2; "e" "b" "f" "h" "o" "v" 1;
"a" "g" "h" 2; "b" "i" 2; "c" "r" 1; "d" "f" "y" 2; "e" "b" "f" "h" "o" "v" 1;
"a" "d" "g" "h" 2; "b" "i" 2; "c" "r" 1; "d" "f" "y" 2; "e" "b" "f" "h" "o" "u" "v" 1;
"a" "d" "g" "h" 2; "b" "i" 2; "c" "r" 1; "d" "f" "y" 2; "e" "b" "f" "h" "o" "u" "v" 1;
"a" "d" "g" "h" 2; "b" "i" 2; "c" "r" 1; "d" "f" 3; "e" "b" "f" "h" "o" "u" "v" 1;
"a" "d" "g" "h" 2; "b" "i" 2; "c" "r" 1; "d" "f" 3; "e" "b" "f" "h" "i" "o" "u" "v" 1;
"a" "d" "g" "h" 2; "b" "i" 2; "c" "n" "r" 1; "d" "f" 3; "e" "b" "f" "h" "i" "k" "o" "r" "s" "t" "u" "v" 1;
"a" "d" "g" "h" 2; "b" "i" "t" 2; "c" "n" "r" "y" 1; "d" "f" 3; "e" "b" "f" "h" "i" "k" "o" "r" "s" "t" "u" "v" 1;
"a" "d" "g" "h" 2; "b" "i" "t" 2; "c" "n" "r" "y" 1; "d" "f" 3; "e" "b" "f" "h" "i" "k" "o" "r" "s" "t" "u" "v" 1;
"a" "d" "g" "h" 2; "b" "i" "t" 2; "c" "n" "r" "y" 1; "d" "f" 3; "e" "b" "f" "h" "i" "k" "o" "r" "s" "t" "u" "v" 1;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "n" "r" "y" 1; "d" "f" 3; "e" "b" "f" "h" "i" "k" "o" "p" "r" "s" "t" "u" "v" 1;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "c" "n" "r" "y" 1; "d" "f" 3; "e" "f" "t" 2;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "c" "n" "r" "y" 1; "d" "f" 3; "e" "f" "t" 2;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "c" "n" "r" "y" 1; "d" "f" 3; "e" "f" "t" 2;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "c" "n" "r" "y" 1; "d" "f" 3; "e" "f" "t" 2;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "b" "c" "n" "o" "r" "y" 1; "d" "f" 3; "e" "f" "t" 2;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "b" "c" "n" "o" "r" "y" 1; "d" "f" 3; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "b" "c" "n" "o" "r" "y" 1; "d" "f" 3; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "b" "c" "n" "o" "r" "y" 1; "d" "f" 3; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "b" "c" "n" "o" "r" "t" "y" 1; "d" "f" 3; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "t" 2; "d" "f" 3; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "t" 2; "d" "f" 3; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "t" 2; "d" "f" 3; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "t" 2; "d" "f" 3; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "t" 2; "d" "f" 3; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" 2; "b" "i" "t" 2; "c" "t" 2; "d" "f" 3; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" "u" 2; "b" "i" "t" 2; "c" "t" 2; "d" "f" 3; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" "u" 2; "b" "i" "t" 2; "c" "t" 2; "d" "f" 3; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" "u" 2; "b" "i" "t" 2; "c" "t" 2; "d" "f" 3; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" "u" 2; "b" "i" "t" 2; "c" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" "u" 2; "b" "i" "t" 2; "c" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" "u" 2; "b" "i" "t" 2; "c" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" "u" 2; "b" "i" "t" 2; "c" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" "u" 2; "b" "i" "t" 2; "c" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "b" "d" "g" "h" "u" 2; "b" "i" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "d" 3; "b" "e" "i" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "d" 3; "b" "e" "i" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "d" 3; "b" "e" "i" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "d" 3; "b" "e" "i" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "d" 3; "b" "e" "i" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "d" 3; "b" "e" "i" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "d" 3; "b" "e" "i" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "d" 3; "b" "e" "i" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "d" 3; "b" "e" "i" "j" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "d" 3; "b" "e" "i" "j" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "d" 3; "b" "e" "i" "j" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" 2;
"a" "d" 3; "b" "e" "i" "j" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "e" "i" "j" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "e" "i" "j" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "e" "i" "j" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "e" "i" "j" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "e" "i" "j" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "e" "i" "j" "t" 2; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "c" "n" "t" 2; "d" "f" 4; "e" "f" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "n" 3; "d" "f" 4; "e" "f" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "n" 3; "d" "f" 4; "e" "f" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "n" 3; "d" "f" 4; "e" "f" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "n" 3; "d" "f" 4; "e" "f" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "c" "n" 3; "d" "f" 4; "e" "f" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "c" "n" 3; "d" "f" 4; "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 3; "c" "c" "n" 3; "d" "f" 4; "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "e" "i" 3; "c" "c" "n" 3; "d" "f" 4; "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "e" "i" "j" 3; "c" "c" "n" 3; "d" "f" 4; "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "e" "i" "j" 3; "c" "c" "n" 3; "d" "f" 4; "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 4; "c" "n" 4; "d" "f" 4; "e" "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 4; "c" "n" 4; "d" "f" 4; "e" "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 4; "c" "n" 4; "d" "f" 4; "e" "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 4; "c" "n" 4; "d" "f" 4; "e" "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 4; "c" "n" 4; "d" "f" 4; "e" "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 4; "c" "n" 4; "d" "f" 4; "e" "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 4; "c" "n" 4; "d" "f" 4; "e" "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" 4; "c" "n" 4; "d" "f" 4; "e" "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "e" "f" "g" "t" "w" "x" "z" 2;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 4; "d" "f" 4; "e" "g" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 5; "d" "f" 4; "e" "g" "x" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 5; "d" "f" 4; "e" "g" "x" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 5; "d" "f" 4; "e" "g" "x" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 5; "d" "f" 4; "e" "g" "x" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 5; "d" "f" 4; "e" "g" "x" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 5; "d" "f" 4; "e" "g" "x" 3;
"a" "d" "g" 3; "b" "i" "j" 4; "c" "n" 5; "d" "f" 4; "e" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 5; "c" "n" 5; "d" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 5; "c" "n" 5; "d" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 5; "c" "n" 5; "d" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 5; "c" "n" 5; "d" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 5; "c" "n" 5; "d" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 5; "c" "n" 5; "d" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 5; "c" "n" 5; "d" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 5; "c" "n" 5; "d" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 5; "c" "n" 5; "d" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 5; "c" "n" 5; "d" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 5; "c" "n" 5; "d" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 5; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 5; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 5; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "b" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "b" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "b" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "b" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "b" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "b" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "b" "d" "g" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "b" "d" "g" "q" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "b" "d" "g" "q" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "b" "d" "g" "q" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "b" "d" "g" "q" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "x" 3;
"a" "b" "d" "g" "q" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "t" "x" 3;
"a" "b" "d" "g" "q" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "t" "x" 3;
"a" "b" "d" "g" "q" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "t" "x" 3;
"a" "b" "d" "g" "q" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "t" "x" 3;
"a" "b" "d" "g" "q" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "t" "x" 3;
"a" "b" "d" "g" "q" 3; "b" "j" 6; "c" "n" 5; "d" "e" "f" 4; "e" "f" "g" "t" "x" 3;
