none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "i" 1;
"c" "i" 1;
"b" "x" 1; "c" "i" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" 1; "d" "w" 1;
"b" "x" 1; "c" "i" "m" 1; "d" "h" "w" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "i" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "i" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "i" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "c" "i" "x" 1;
"b" "q" "x" 1; "c" "i" "m" 1; "d" "h" "i" "w" 1; "e" "c" "i" "x" 1;
"b" "q" "x" 1; "c" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" 2;
"b" "q" "x" 1; "c" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "q" "x" 1; "c" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "q" "x" 1; "c" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "h" "i" "w" 1; "e" "m" "x" 2;
"b" "g" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "m" "x" 2;
"a" "t" "z" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "c" "f" "m" "x" 2;
"a" "t" "z" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "c" "f" "m" "x" 2;
"a" "t" "z" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "c" "f" "m" "x" 2;
"a" "t" "z" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "c" "f" "m" "x" 2;
"a" "t" "z" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "c" "f" "m" "x" 2;
"a" "q" "t" "z" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "c" "f" "m" "x" 2;
"a" "q" "t" "z" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "c" "f" "m" "x" 2;
"a" "p" "q" "t" "z" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "c" "f" "m" "x" 2;
"a" "p" "q" "t" "z" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "c" "f" "m" "x" 2;
"a" "p" "q" "t" "z" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "c" "f" "m" "x" 2;
"a" "p" "q" "t" "z" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "c" "f" "m" "x" 2;
"a" "p" "q" "t" "z" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "g" "h" "i" "m" "y" 1; "d" "i" 2; "e" "c" "f" "m" "x" 2;
"a" "p" "q" "t" "z" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "f" "g" "h" "i" "m" "x" "y" 1; "d" "i" 2; "e" "c" "f" "m" "x" 2;
"a" "p" "q" "t" "w" "z" 1; "b" "a" "g" "h" "n" "q" "x" 1; "c" "f" "g" "h" "i" "m" "x" "y" 1; "d" "i" "w" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "g" "h" "n" "q" "x" 1; "c" "f" "g" "h" "i" "m" "x" "y" 1; "d" "i" "w" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "g" "h" "n" "q" "r" "x" 1; "c" "f" "g" "h" "i" "m" "x" "y" 1; "d" "i" "w" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "g" "h" "n" "q" "r" "x" 1; "c" "f" "g" "h" "i" "m" "x" "y" 1; "d" "i" "w" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "g" "h" "n" "q" "r" "x" 1; "c" "f" "g" "h" "i" "m" "x" "y" 1; "d" "i" "w" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "g" "h" "n" "q" "r" "x" 1; "c" "f" "g" "h" "i" "m" "o" "x" "y" 1; "d" "i" "w" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "g" "h" "n" "q" "r" "x" 1; "c" "f" "g" "h" "i" "m" "o" "x" "y" 1; "d" "i" "w" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "g" "h" "n" "q" "r" "x" 1; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "g" "h" "n" "q" "r" "x" 1; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "g" "h" "n" "q" "r" "x" 1; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "g" "h" "n" "o" "q" "r" "x" 1; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "b" "g" "h" "n" "o" "q" "r" "x" 1; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "b" "g" "h" "n" "o" "q" "r" "x" 1; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "b" "g" "h" "n" "o" "q" "r" "x" 1; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "b" "g" "h" "n" "o" "p" "q" "r" "x" 1; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "b" "g" "h" "n" "o" "p" "q" "r" "x" 1; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "b" "e" "g" "h" "j" "n" "o" "p" "q" "r" "x" 1; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "m" "x" 2;
"a" "t" 2; "b" "a" "b" "e" "g" "h" "j" "n" "o" "p" "q" "r" "x" 1; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "x" 2;
"a" "t" 2; "b" "a" "b" "e" "g" "h" "j" "n" "o" "p" "q" "r" "x" 1; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "x" 2;
"a" "t" 2; "b" "a" "b" "e" "g" "h" "j" "l" "n" "o" "p" "q" "r" "x" 1; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "x" 2;
"a" "t" 2; "b" "a" "b" "e" "g" "h" "j" "l" "n" "o" "p" "q" "r" "x" 1; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "x" 2;
"a" "t" 2; "b" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "x" 2;
"a" "t" 2; "b" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "x" 2;
"a" "t" 2; "b" "b" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "t" 2; "b" "b" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "t" 2; "b" "b" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "t" 2; "b" "b" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "t" 2; "b" "b" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "t" 2; "b" "b" "l" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "t" 2; "b" "b" "l" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "t" 2; "b" "b" "l" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "t" 2; "b" "b" "l" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "t" 2; "b" "b" "h" "l" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "t" 2; "b" "b" "h" "l" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "t" 2; "b" "b" "h" "l" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "t" 2; "b" "b" "h" "l" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "t" 2; "b" "b" "h" "l" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "t" 2; "b" "b" "h" "l" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "t" 2; "b" "b" "h" "l" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "c" "t" 2; "b" "b" "h" "l" "p" 2; "c" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "c" "t" 2; "b" "b" "h" "l" "p" 2; "c" "g" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "c" "t" 2; "b" "b" "h" "l" "p" 2; "c" "g" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "c" 3; "b" "b" "h" "l" "p" 2; "c" "g" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "c" 3; "b" "b" "h" "l" "p" 2; "c" "g" "x" 2; "d" "i" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "c" 3; "b" "b" "h" "l" "p" 2; "c" "g" "x" 2; "d" "i" "r" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "c" 3; "b" "b" "h" "l" "p" 2; "c" "g" "x" 2; "d" "r" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "c" 3; "b" "b" "h" "l" "p" 2; "c" "g" "x" 2; "d" "r" "w" "x" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "c" 3; "b" "b" "h" "l" "p" 2; "c" "g" "x" 2; "d" "r" "w" "x" "y" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "c" 3; "b" "b" "h" "l" "p" 2; "c" "g" "x" 2; "d" "r" "w" "x" "y" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "c" 3; "b" "b" "h" "l" "p" 2; "c" "g" "x" 2; "d" "r" "w" "x" "y" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "c" 3; "b" "b" "h" "l" "p" 2; "c" "g" "x" 2; "d" "r" "w" "x" "y" 2; "e" "c" "f" "k" "m" "w" "x" "y" 2;
"a" "c" 3; "b" "b" "h" "l" "p" 2; "c" "g" "x" 2; "d" "r" "w" "x" "y" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "b" "h" "l" "p" 2; "c" "g" "x" 2; "d" "r" "w" "x" "y" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "b" "h" "j" "l" "p" 2; "c" "g" "x" 2; "d" "r" "w" "x" "y" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "b" "h" "j" "l" "p" 2; "c" "g" "x" 2; "d" "r" "w" "x" "y" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "b" "h" "j" "l" "p" "r" 2; "c" "g" "x" 2; "d" "r" "w" "x" "y" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "b" "h" "j" "l" "p" "r" 2; "c" "g" "x" 2; "d" "r" "w" "x" "y" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "b" "h" "j" "l" "p" "r" 2; "c" "g" "x" 2; "d" "r" "w" "x" "y" 2; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "b" "h" "j" "l" "p" "r" 2; "c" "g" "x" 2; "d" "r" 3; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "b" "h" "j" "l" "p" "r" 2; "c" "g" "x" 2; "d" "r" 3; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "b" "h" "j" "k" "l" "p" "r" 2; "c" "g" "x" 2; "d" "r" 3; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "b" "h" "j" "k" "l" "p" "r" 2; "c" "g" "x" 2; "d" "r" 3; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "b" "h" "j" "k" "l" "o" "p" "r" 2; "c" "g" "x" 2; "d" "r" 3; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "b" "h" "j" "k" "l" "o" "p" "r" 2; "c" "g" "x" 2; "d" "r" 3; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "j" "k" 3; "c" "g" "x" 2; "d" "r" 3; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "j" "k" 3; "c" "g" "x" 2; "d" "r" 3; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "j" "k" 3; "c" "g" 2; "d" "r" 3; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "j" "k" 3; "c" "g" 2; "d" "r" 3; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "j" "k" 3; "c" "g" 2; "d" "r" 3; "e" "c" "f" "k" "m" "w" "x" 2;
"a" "c" 3; "b" "j" "k" 3; "c" "g" 2; "d" "r" 3; "e" "m" 3;
"a" "c" 3; "b" "j" "k" 3; "c" "g" 2; "d" "r" 3; "e" "m" 3;
"a" "c" 3; "b" "j" "k" 3; "c" "g" 2; "d" "r" 3; "e" "m" 3;
"a" "c" 3; "b" "j" "k" 3; "c" "g" 2; "d" "r" 3; "e" "m" 3;
"a" "c" 3; "b" "j" "k" 3; "c" "g" 2; "d" "r" 3; "e" "m" 3;
"a" "c" 3; "b" "j" "k" 3; "c" "g" 2; "d" "r" 3; "e" "m" 3;
"a" "c" 3; "b" "j" "k" 3; "c" "g" 2; "d" "r" 3; "e" "m" 3;
"a" "c" 3; "b" "j" "k" 3; "c" "g" "x" 2; "d" "r" 3; "e" "m" 3;
"a" "c" 3; "b" "j" "k" "n" 3; "c" "g" "x" 2; "d" "r" 3; "e" "m" 3;
"a" "c" 3; "b" "j" "k" "n" 3; "c" "g" "x" 2; "d" "r" 3; "e" "m" 3;
"a" "c" 3; "b" "j" "k" "n" 3; "c" "g" "x" 2; "d" "r" 3; "e" "m" 3;
"a" "c" 3; "b" "j" "k" "n" 3; "c" "g" "x" 2; "d" "r" 3; "e" "m" 3;
"a" "c" 3; "b" "j" "k" "n" 3; "c" "g" "x" 2; "d" "r" 3; "e" "m" 3;
"a" "c" 3; "b" "j" "k" "n" 3; "c" "g" "x" 2; "d" "h" "r" 3; "e" "m" 3;
"a" "c" 3; "b" "j" "k" "n" 3; "c" "g" "x" 2; "d" "h" "r" 3; "e" "m" 3;
"a" "c" "t" 3; "b" "j" "k" "n" 3; "c" "g" "x" 2; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" "t" 3; "b" "j" "k" "n" 3; "c" "g" "x" 2; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" "t" 3; "b" "j" "k" "n" 3; "c" "g" "x" 2; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" "t" 3; "b" "j" "k" "n" 3; "c" "g" "x" "z" 2; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" 4; "b" "j" "k" "n" 3; "c" "f" "g" "x" "z" 2; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" 4; "b" "j" "k" "n" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" 4; "b" "j" "k" "n" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" "t" 4; "b" "j" "k" "n" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" "t" 4; "b" "h" "j" "k" "n" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" "t" 4; "b" "h" "k" "n" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" "t" 4; "b" "h" "k" "n" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" "t" 4; "b" "h" "k" "n" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" "t" 4; "b" "h" "k" "n" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" "t" 4; "b" "h" "k" "n" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" "t" 4; "b" "h" "k" "n" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" 3;
"a" "c" "t" 4; "b" "h" "k" "n" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" "w" 3;
"a" "c" "t" 4; "b" "h" "k" "n" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" "w" 3;
"a" "c" "t" 4; "b" "h" "k" "n" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" "w" 3;
"a" "c" "t" 4; "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" "w" "z" 3;
"a" "c" "t" 4; "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" "w" "z" 3;
"a" "c" "t" 4; "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" "w" "z" 3;
"a" "t" 5; "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" "w" "z" 3;
"a" "t" 5; "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" "w" "z" 3;
"a" "t" 5; "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" "w" "z" 3;
"a" "t" 5; "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" "w" "z" 3;
"a" "t" 5; "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "k" "m" "w" "z" 3;
"a" "t" 5; "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "g" "k" "m" "w" "z" 3;
"a" "t" 5; "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "g" "k" "m" "w" "z" 3;
"a" "t" 5; "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "g" "k" "m" "w" "z" 3;
"a" "t" 5; "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "g" "k" "m" "w" "z" 3;
"a" "t" 5; "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "g" "k" "m" "w" "z" 3;
"a" "t" 5; "b" "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "b" "h" "k" "n" "o" "r" 3; "c" "g" 3; "d" "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
"a" "t" 5; "b" "k" 4; "c" "g" 3; "d" "d" "h" "r" "w" 3; "e" "g" "k" "m" "w" "x" "z" 3;
