none
none
none
none
none
none
none
none
"d" "o" 1;
"d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "r" 1; "d" "o" 1;
"c" "c" "r" 1; "d" "o" 1;
"c" "c" "r" 1; "d" "o" 1;
"c" "c" "r" 1; "d" "o" 1;
"c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "z" 1; "c" "c" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "q" "s" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "l" "q" "s" "w" 1;
"a" "i" "s" "z" 1; "c" "c" "j" "r" 1; "d" "o" 1; "e" "i" "l" "q" "s" "w" 1;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "y" "z" 1; "d" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "y" "z" 1; "d" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "y" "z" 1; "d" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "y" "z" 1; "d" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "y" "z" 1; "d" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "y" "z" 1; "d" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "y" "z" 1; "d" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "y" "z" 1; "d" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "y" "z" 1; "d" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "y" "z" 1; "d" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "y" "z" 1; "d" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "w" "y" "z" 1; "d" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "w" "y" "z" 1; "d" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "w" "y" "z" 1; "d" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" 2; "c" "c" "d" "j" "r" "u" "w" "y" "z" 1; "d" "n" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" "v" 2; "c" "y" 2; "d" "n" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" "v" 2; "c" "y" 2; "d" "n" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" "v" 2; "c" "y" 2; "d" "n" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" "v" 2; "c" "y" 2; "d" "n" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" "v" 2; "c" "y" 2; "d" "n" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" "v" 2; "c" "y" 2; "d" "n" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" "v" 2; "c" "y" 2; "d" "n" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" "q" "v" 2; "c" "y" 2; "d" "n" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "a" "q" "v" 2; "c" "y" 2; "d" "k" "n" "o" 2; "e" "w" 2;
"a" "z" 2; "b" "q" 3; "c" "y" 2; "d" "k" "n" "o" 2; "e" "q" "u" "w" 2;
"a" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "k" "n" "o" 2; "e" "i" "q" "u" "w" 2;
"a" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "k" "n" "o" 2; "e" "i" "q" "u" "w" 2;
"a" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "k" "n" "o" 2; "e" "i" "q" "u" "w" 2;
"a" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "k" "n" "o" 2; "e" "i" "q" "u" "w" 2;
"a" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "k" "n" "o" 2; "e" "i" "q" "u" "w" 2;
"a" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "k" "n" "o" 2; "e" "i" "q" "u" "w" 2;
"a" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "k" "n" "o" 2; "e" "i" "q" "u" "w" 2;
"a" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "k" "n" "o" 2; "e" "i" "q" "u" "w" 2;
"a" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "k" "n" "o" 2; "e" "i" "q" "u" "w" 2;
"a" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "k" "n" "o" 2; "e" "i" "q" "u" "w" 2;
"a" "s" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "k" "n" "o" 2; "e" "i" "q" "u" "w" 2;
"a" "s" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "k" "n" "o" 2; "e" "i" "q" "u" "w" 2;
"a" "h" "s" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "i" "k" "n" "o" "q" 2; "e" "i" "q" "u" "w" 2;
"a" "h" "s" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "i" "k" "n" "o" "q" 2; "e" "i" "q" "u" "w" 2;
"a" "h" "s" "z" 2; "b" "q" 3; "c" "t" "y" 2; "d" "n" 3; "e" "i" "q" "u" "w" 2;
"a" "h" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "i" "q" "u" "w" 2;
"a" "h" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "i" "q" "u" "w" 2;
"a" "h" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "i" "q" "u" "w" 2;
"a" "h" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "i" "q" "u" "w" 2;
"a" "h" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "i" "q" "u" "w" 2;
"a" "h" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "u" 3;
"a" "h" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" "q" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" "q" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" "t" "y" 2; "d" "n" "q" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" 3; "d" "n" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" 3; "d" "n" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" 3; "d" "n" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" 3; "d" "n" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" 3; "d" "n" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" 3; "d" "n" "o" 3; "e" "u" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "h" "i" "s" "z" 2; "b" "q" 3; "c" "h" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" 3; "c" "h" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" 3; "c" "h" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" 3; "c" "h" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" 3; "c" "h" "y" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" 3; "c" "h" "y" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" 3; "c" "h" "y" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" 3; "c" "h" "y" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" "v" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" "v" 3; "c" "h" "y" 3; "d" "k" "n" "o" 3; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" "v" 3; "c" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" "v" 3; "c" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "i" 3; "b" "q" "t" "v" 3; "c" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "i" 3; "b" "q" 4; "c" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "i" 3; "b" "q" 4; "c" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "i" 3; "b" "q" 4; "c" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "i" 3; "b" "q" 4; "c" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "i" "z" 3; "b" "q" 4; "c" "c" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "i" "z" 3; "b" "q" 4; "c" "c" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "c" "i" "z" 3; "b" "q" 4; "c" "c" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "c" "i" "z" 3; "b" "q" 4; "c" "c" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "c" "i" "z" 3; "b" "q" 4; "c" "c" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "c" "i" "z" 3; "b" "q" 4; "c" "c" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "c" "i" "z" 3; "b" "q" 4; "c" "c" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "c" "i" "z" 3; "b" "q" 4; "c" "c" "e" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "c" "i" "z" 3; "b" "q" 4; "c" "c" "e" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "c" "i" "z" 3; "b" "q" 4; "c" "c" "e" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "c" "i" "z" 3; "b" "q" 4; "c" "c" "e" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "c" "e" "h" "y" 3; "d" "k" 4; "e" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "c" "e" "h" "y" 3; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "c" "e" "h" "y" 3; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "c" "e" "h" "y" 3; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "c" "e" "h" "y" 3; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "c" "e" "h" "y" 3; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "c" "e" "h" "y" 3; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
"a" "z" 4; "b" "a" "q" 4; "c" "y" 4; "d" "k" 4; "e" "f" "u" "w" 3;
