none
none
none
none
none
none
none
none
none
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"b" "m" "q" 1; "c" "n" 1; "e" "u" "y" 1;
"b" "m" "q" 1; "c" "n" 1; "e" "u" "y" 1;
"b" "m" "q" 1; "c" "n" 1; "e" "u" "y" 1;
"b" "m" "q" 1; "c" "n" 1; "e" "u" "y" 1;
"a" "a" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "f" 2; "b" "k" 3; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" "y" 1; "e" "o" "u" 3;
"a" "d" "f" 2; "b" "k" 3; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" "y" 1; "e" "o" "u" 3;
"a" "d" "f" 2; "b" "k" 3; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" "y" 1; "e" "o" "u" 3;
"a" "d" "f" "g" "n" "t" 2; "b" "k" 3; "c" "p" 2; "d" "d" "h" "k" "l" "p" "q" "r" "v" "w" "y" 1; "e" "o" "u" 3;
"a" "d" "f" "g" "n" "t" 2; "b" "k" 3; "c" "p" 2; "d" "d" "h" "k" "l" "p" "q" "r" "v" "w" "y" 1; "e" "o" "u" 3;
"a" "d" "f" "g" "n" "t" 2; "b" "k" 3; "c" "p" 2; "d" "k" 2; "e" "o" "u" 3;
"a" "d" "f" "g" "n" "t" 2; "b" "k" 3; "c" "p" 2; "d" "k" 2; "e" "o" "u" 3;
"a" "d" "f" "g" "n" "t" 2; "b" "k" 3; "c" "p" 2; "d" "k" 2; "e" "o" "u" 3;
"a" "d" "g" "n" "t" 2; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "o" "u" 3;
"a" "d" "g" "n" "t" 2; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "o" "u" 3;
"a" "d" "g" "n" "t" 2; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "o" "u" 3;
"a" "d" "g" "n" "t" 2; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "o" "u" 3;
"a" "d" "g" "n" "t" 2; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "o" "u" 3;
"a" "d" "g" "n" "t" 2; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "d" "g" "n" "t" 2; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "d" "g" "n" "t" 2; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "d" "g" "n" "t" 2; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "d" "g" "n" "t" 2; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "d" "f" "g" "n" "t" 2; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "d" "f" "g" "n" "t" 2; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "d" "f" "g" "n" "t" 2; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "d" "f" "g" "n" "t" 2; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "m" "p" 2; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "p" 3; "d" "k" 2; "e" "u" 4;
"a" "t" 3; "b" "k" 3; "c" "p" 3; "d" "k" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 3; "c" "p" 3; "d" "k" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 3; "c" "p" 3; "d" "k" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 3; "c" "p" 3; "d" "k" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 3; "c" "p" 3; "d" "k" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 3; "c" "p" 3; "d" "k" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 3; "c" "p" 3; "d" "k" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 3; "c" "p" 3; "d" "k" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 3; "c" "p" 3; "d" "k" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 4; "c" "p" 3; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 4; "c" "p" 3; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 4; "c" "p" 3; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 4; "c" "p" 3; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 4; "c" "p" 3; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 4; "c" "p" 3; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 4; "c" "p" 3; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "d" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" "y" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" "y" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" "y" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" "y" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" "y" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" "y" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" "y" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" "y" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" "y" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" "l" "p" "w" "y" 2; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "h" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "p" 4; "d" "k" 3; "e" "h" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "h" "p" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "h" "p" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "h" "p" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "h" "p" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "h" "p" "u" 4;
"a" "h" "n" "t" 3; "b" "a" "k" 4; "c" "a" "p" 4; "d" "k" 3; "e" "h" "p" "u" 4;
