none
none
none
none
none
none
none
none
none
none
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"a" "u" 1; "c" "y" 1; "d" "v" 1;
"a" "u" 1; "c" "y" 1; "d" "v" 1;
"a" "u" 1; "c" "y" 1; "d" "v" 1;
"a" "u" 1; "c" "y" 1; "d" "v" 1;
"a" "u" 1; "c" "y" 1; "d" "v" 1;
"a" "u" 1; "c" "y" 1; "d" "v" 2;
"a" "u" 1; "c" "y" 1; "d" "v" 2;
"a" "u" 1; "c" "y" 1; "d" "v" 2;
"a" "u" 1; "c" "y" 1; "d" "v" 2;
"a" "u" 1; "c" "a" "n" "y" 1; "d" "v" 2;
"a" "u" 1; "c" "a" "n" "y" 1; "d" "v" 2;
"a" "u" 1; "b" "z" 1; "c" "a" "n" "y" 1; "d" "v" 2;
"a" "u" 1; "b" "r" "z" 1; "c" "a" "n" "y" 1; "d" "v" 2;
"a" "u" 1; "b" "r" "z" 1; "c" "a" "n" "y" 1; "d" "v" 2;
"a" "u" 1; "b" "r" "z" 1; "c" "a" "k" "n" "y" 1; "d" "v" 2;
"a" "u" 1; "b" "r" "t" "z" 1; "c" "a" "k" "n" "v" "y" 1; "d" "v" 2;
"a" "h" "l" "u" 1; "b" "r" "t" "z" 1; "c" "a" "k" "m" "n" "s" "v" "y" 1; "d" "v" 2; "e" "j" "m" "s" 1;
"a" "h" "l" "u" 1; "b" "r" "t" "z" 1; "c" "a" "k" "m" "n" "s" "v" "y" 1; "d" "v" 2; "e" "j" "m" "s" 1;
"a" "h" "l" "u" 1; "b" "r" "t" "z" 1; "c" "a" "k" "m" "n" "s" "v" "y" 1; "d" "v" 2; "e" "j" "m" "s" 1;
"a" "h" "l" "u" 1; "b" "r" "t" "z" 1; "c" "a" "k" "m" "n" "s" "v" "y" 1; "d" "v" 2; "e" "j" "m" "s" "z" 1;
"a" "h" "l" "u" 1; "b" "r" "t" "z" 1; "c" "a" "k" "l" "m" "n" "s" "v" "y" 1; "d" "v" 2; "e" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "u" 1; "b" "r" "t" "z" 1; "c" "a" "k" "l" "m" "n" "q" "s" "v" "y" 1; "d" "v" 2; "e" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "u" 1; "b" "r" "t" "z" 1; "c" "a" "k" "l" "m" "n" "q" "s" "v" "y" 1; "d" "v" 3; "e" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "u" 1; "b" "r" "t" "z" 1; "c" "a" "k" "l" "m" "n" "q" "s" "v" "y" 1; "d" "v" 3; "e" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "u" 1; "b" "r" "s" "t" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "u" 1; "b" "r" "s" "t" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "u" 1; "b" "r" "s" "t" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "u" 1; "b" "r" "s" "t" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "u" 1; "b" "r" "s" "t" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "u" 1; "b" "r" "s" "t" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "u" 1; "b" "r" "s" "t" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "u" 1; "b" "r" "s" "t" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "u" 1; "b" "h" "r" "s" "t" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "u" 1; "b" "h" "r" "s" "t" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "o" "u" 1; "b" "h" "r" "s" "t" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "o" "u" 1; "b" "h" "r" "s" "t" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "o" "u" 1; "b" "h" "r" "s" "t" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "o" "q" "u" 1; "b" "h" "q" "r" "s" "t" "y" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "o" "q" "u" 1; "b" "h" "q" "r" "s" "t" "y" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "o" "q" "u" 1; "b" "h" "q" "r" "s" "t" "y" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "o" "q" "u" 1; "b" "h" "q" "r" "s" "t" "y" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "o" "q" "u" 1; "b" "h" "q" "r" "s" "t" "y" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "o" "q" "u" 1; "b" "h" "q" "r" "s" "t" "y" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "o" "q" "u" 1; "b" "h" "q" "r" "s" "t" "y" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "h" "l" "o" "q" "u" 1; "b" "h" "q" "r" "s" "t" "v" "y" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "l" "m" "s" "z" 1;
"a" "u" 2; "b" "h" "q" "r" "s" "t" "v" "y" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "k" "l" "m" "n" "s" "z" 1;
"a" "u" 2; "b" "h" "q" "r" "s" "t" "v" "x" "y" "z" 1; "c" "q" "v" 2; "d" "v" 3; "e" "h" "j" "k" "l" "m" "n" "s" "z" 1;
"a" "u" 2; "b" "y" 2; "c" "a" "q" "v" 2; "d" "v" 3; "e" "h" "j" "k" "l" "m" "n" "s" "u" "z" 1;
"a" "u" 2; "b" "y" 2; "c" "a" "q" "v" 2; "d" "v" 3; "e" "h" "j" "k" "l" "m" "n" "s" "u" "z" 1;
"a" "u" 2; "b" "y" 2; "c" "a" "q" "v" 2; "d" "v" 3; "e" "d" "h" "j" "k" "l" "m" "n" "s" "u" "z" 1;
"a" "u" 2; "b" "y" 2; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "d" "h" "j" "k" "l" "m" "n" "s" "u" "z" 1;
"a" "u" 2; "b" "y" 2; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "d" "h" "j" "k" "l" "m" "n" "s" "u" "z" 1;
"a" "u" 2; "b" "y" 2; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "d" "h" "j" "k" "l" "m" "n" "s" "u" "z" 1;
"a" "u" 2; "b" "y" 2; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "d" "h" "j" "k" "l" "m" "n" "s" "u" "z" 1;
"a" "u" 2; "b" "f" "y" 2; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "d" "h" "j" "k" "l" "m" "n" "s" "u" "z" 1;
"a" "u" 2; "b" "f" "y" 2; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "d" "h" "j" "k" "l" "m" "n" "s" "u" "z" 1;
"a" "u" 2; "b" "f" "y" 2; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "d" "h" "j" "k" "l" "m" "n" "s" "u" "z" 1;
"a" "u" 2; "b" "f" "y" 2; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "d" "h" "j" "k" "l" "m" "n" "s" "u" "z" 1;
"a" "u" 2; "b" "f" "y" 2; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" 2;
"a" "u" 2; "b" "f" "y" 2; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" 2;
"a" "u" 2; "b" "f" "y" 2; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" 2;
"a" "u" 2; "b" "f" "y" 2; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" 2;
"a" "u" 2; "b" "f" "y" 2; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "k" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" "z" 2;
"a" "u" 2; "b" "f" 3; "c" "a" "k" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" 3;
"a" "u" 2; "b" "f" 3; "c" "a" "k" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" 3;
"a" "u" 2; "b" "f" 3; "c" "a" "k" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" 3;
"a" "u" 2; "b" "f" 3; "c" "a" "k" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" 3;
"a" "u" 2; "b" "f" 3; "c" "a" "k" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" 3;
"a" "u" 2; "b" "f" 3; "c" "a" "k" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" 3;
"a" "q" "u" 2; "b" "f" 3; "c" "a" "k" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" 3;
"a" "q" "u" 2; "b" "f" 3; "c" "a" "k" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" 3;
"a" "q" "u" 2; "b" "f" 3; "c" "a" "k" "q" "s" "v" "y" 2; "d" "v" 3; "e" "s" 3;
"a" "q" "u" 2; "b" "f" 3; "c" "q" 3; "d" "v" 3; "e" "s" 3;
"a" "q" "u" 2; "b" "f" 3; "c" "q" 3; "d" "v" 3; "e" "s" 4;
"a" "j" "q" "u" 2; "b" "f" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "j" "l" "q" "u" 2; "b" "f" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "j" "l" "q" "u" 2; "b" "f" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "j" "l" "q" "u" 2; "b" "f" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "j" "l" "q" "u" 2; "b" "f" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "j" "l" "q" "u" 2; "b" "f" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "j" "l" "q" "u" 2; "b" "f" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "j" "l" "q" "u" 2; "b" "f" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "j" "l" "q" "u" 2; "b" "f" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "e" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "e" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "e" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "e" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" "h" "y" 3; "c" "q" 3; "d" "e" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "e" "v" 3; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "k" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "k" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "k" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "k" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "k" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "k" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "k" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "k" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "k" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "k" "l" "n" "q" "u" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "k" "l" "n" "q" "u" "y" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "k" "l" "n" "q" "u" "y" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "g" "j" "k" "l" "n" "q" "u" "y" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "d" "g" "j" "k" "l" "n" "q" "u" "y" 2; "b" "f" 4; "c" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "d" "g" "j" "k" "l" "n" "q" "u" "y" 2; "b" "f" 4; "c" "a" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "d" "g" "j" "k" "l" "n" "q" "u" "y" 2; "b" "f" 4; "c" "a" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "d" "g" "j" "k" "l" "n" "q" "u" "y" 2; "b" "f" 4; "c" "a" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "d" "g" "j" "k" "l" "n" "q" "u" "y" 2; "b" "f" 4; "c" "a" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "d" "g" "j" "k" "l" "n" "q" "u" "y" 2; "b" "f" 4; "c" "a" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "d" "g" "j" "k" "l" "n" "q" "u" "y" 2; "b" "f" 4; "c" "a" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 4; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 4; "c" "a" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 3; "b" "f" 5; "c" "a" "k" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 4; "b" "f" 5; "c" "a" "k" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 4; "b" "f" 5; "c" "a" "k" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 4; "b" "f" 5; "c" "a" "k" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 4; "b" "f" 5; "c" "a" "k" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 4; "b" "f" 5; "c" "a" "k" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 5; "c" "a" "k" "q" 3; "d" "v" 5; "e" "s" 5;
"a" "k" 5; "b" "f" 4; "c" "a" "k" "q" 3; "d" "v" 5; "e" "s" 5;
