none
none
none
none
none
none
none
none
none
none
none
none
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" "x" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "r" "x" 1; "c" "g" "x" 1; "d" "p" 2; "e" "r" "u" 1;
"a" "r" "x" 1; "c" "g" "x" 1; "d" "p" 2; "e" "r" "u" 1;
"a" "r" "x" 1; "c" "g" "x" 1; "d" "p" 2; "e" "r" "u" 1;
"a" "r" "x" 1; "c" "g" "x" 1; "d" "p" 2; "e" "r" "u" 1;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 2; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 2; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 2; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 2; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 2; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 2; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 2; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 2; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 2; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 2; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 2; "d" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 2; "d" "a" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 2; "d" "a" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 2; "d" "a" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "x" 2; "d" "a" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "x" 2; "d" "a" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "x" 2; "d" "a" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "u" "x" 2; "d" "a" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "u" "x" 2; "d" "a" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "u" "x" 2; "d" "a" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "u" "x" 2; "d" "a" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "u" "x" 2; "d" "a" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "u" "x" 2; "d" "a" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 3; "d" "a" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 3; "d" "a" "d" "p" 2; "e" "p" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" 3; "d" "a" "d" "p" "z" 2; "e" "u" 3;
"a" "f" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "a" "d" "p" "z" 2; "e" "u" 3;
"a" "f" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "a" "d" "p" "z" 2; "e" "u" 3;
"a" "f" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "a" "d" "p" "z" 2; "e" "u" 3;
"a" "f" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "a" "d" "p" "z" 2; "e" "u" 3;
"a" "f" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "a" "d" "p" "z" 2; "e" "u" 3;
"a" "f" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "a" "d" "p" "z" 2; "e" "u" 3;
"a" "f" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "a" "d" "p" "z" 2; "e" "u" 3;
"a" "f" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "p" 3; "e" "u" 3;
"a" "f" "h" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" 3; "d" "d" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" "u" 3; "d" "d" "k" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" "u" 3; "d" "d" "k" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" "u" 3; "d" "d" "k" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" "u" 3; "d" "d" "k" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" "u" 3; "d" "d" "k" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" "u" 3; "d" "d" "k" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" "u" 3; "d" "d" "k" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" "u" 3; "d" "d" "k" "p" 3; "e" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" "u" 3; "d" "d" "k" "p" 3; "e" "j" "u" 3;
"a" "b" "f" "h" "m" "x" "y" 2; "b" "d" 3; "c" "g" "u" 3; "d" "d" "k" "p" 3; "e" "j" "u" 3;
"a" "b" "f" "h" "m" "r" "x" "y" 2; "b" "d" 3; "c" "g" "u" 3; "d" "d" "k" "p" 3; "e" "j" "u" 3;
"a" "b" "c" "f" "h" "m" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "d" "k" "p" 3; "e" "j" "u" 3;
"a" "b" "c" "f" "h" "m" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "d" "k" "p" 3; "e" "j" "u" 3;
"a" "b" "c" "f" "h" "m" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "d" "k" "p" 3; "e" "j" "u" 3;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" 3; "e" "c" "j" "u" 3;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" 3; "e" "c" "j" "u" 3;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" 3; "e" "c" "j" "u" 3;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "d" 3; "c" "g" "p" "u" 3; "d" "a" "d" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "b" "d" "q" 3; "c" "g" "p" "u" 3; "d" "a" "d" "f" "k" "p" "z" 3; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "b" "d" "q" 3; "c" "g" "p" "u" 3; "d" "p" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "b" "d" "q" 3; "c" "g" "p" "u" 3; "d" "p" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "b" "d" "q" 3; "c" "g" "p" "u" 3; "d" "p" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "b" "d" "q" 3; "c" "g" "p" "u" 3; "d" "p" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "b" "d" "q" 3; "c" "g" "p" "s" "u" 3; "d" "p" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "b" "d" "q" 3; "c" "g" "p" "s" "u" 3; "d" "p" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "b" "d" "q" 3; "c" "g" "p" "s" "u" 3; "d" "p" "z" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "b" "d" "q" 3; "c" "g" "p" "s" "u" 3; "d" "p" "z" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "m" "o" "r" "x" "y" 2; "b" "b" "d" "q" 3; "c" "g" "p" "s" "u" 3; "d" "p" "z" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "i" "m" "o" "r" "x" "y" 2; "b" "b" "d" "q" 3; "c" "g" "p" "s" "u" 3; "d" "k" "p" "z" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "i" "m" "o" "r" "x" "y" 2; "b" "b" "d" "q" 3; "c" "g" "p" "s" "u" 3; "d" "k" "p" "z" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "i" "m" "o" "r" "x" "y" 2; "b" "b" "d" "q" 3; "c" "g" "p" "s" "u" 3; "d" "a" "k" "p" "z" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "i" "m" "o" "r" "x" "y" 2; "b" "b" "d" "q" 3; "c" "g" "p" "s" "u" 3; "d" "a" "k" "p" "z" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "i" "m" "o" "r" "x" "y" 2; "b" "b" "d" "k" "q" 3; "c" "g" "p" "s" "u" 3; "d" "a" "k" "p" "z" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "i" "m" "o" "r" "x" "y" 2; "b" "b" "d" "k" "q" 3; "c" "g" "p" "s" "u" 3; "d" "a" "k" "p" "z" 4; "e" "u" 4;
"a" "b" "c" "f" "h" "i" "m" "o" "r" "x" "y" 2; "b" "b" "d" "k" "q" 3; "c" "g" "p" "s" "u" 3; "d" "a" "k" "p" "z" 4; "e" "u" 4;
