none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "b" 1;
"d" "b" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "d" "k" 1; "d" "b" "h" 1;
"c" "d" "k" 1; "d" "b" "h" 1;
"c" "d" "k" 1; "d" "b" "h" 1;
"c" "d" "k" 1; "d" "b" "h" 1;
"c" "f" 2; "d" "b" "h" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"a" "f" "q" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "f" 2; "d" "h" 2; "e" "v" 2;
"a" "f" "h" "j" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "f" 2; "d" "h" 2; "e" "v" 2;
"a" "f" "g" "h" "j" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "f" 2; "d" "h" 2; "e" "v" 2;
"a" "f" "g" "h" "j" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "f" 2; "d" "h" 2; "e" "v" 2;
"a" "f" "g" "h" "j" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "f" 2; "d" "h" 2; "e" "v" 2;
"a" "f" "g" "h" "j" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "f" 2; "d" "h" 2; "e" "v" 2;
"a" "f" "g" "h" "j" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "f" 2; "d" "h" 2; "e" "v" 2;
"a" "f" "g" "h" "j" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "f" 2; "d" "h" 2; "e" "v" 2;
"a" "f" "g" "h" "j" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "d" "f" 2; "d" "h" 2; "e" "v" 2;
"a" "f" "g" "h" "j" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "d" "f" 2; "d" "h" 2; "e" "v" 2;
"a" "f" "g" "h" "j" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "d" "f" 2; "d" "h" 2; "e" "v" 2;
"a" "f" "g" "h" "j" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "d" "f" 2; "d" "h" "z" 2; "e" "v" 2;
"a" "g" 2; "b" "a" "f" "p" "v" "w" 1; "c" "d" "f" 2; "d" "h" "t" "z" 2; "e" "v" 2;
"a" "g" 2; "b" "a" "f" "p" "v" "w" 1; "c" "d" "f" 2; "d" "h" "t" "z" 2; "e" "v" 2;
"a" "g" 2; "b" "f" 2; "c" "d" "f" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 2; "b" "f" 2; "c" "d" "f" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 2; "b" "f" 2; "c" "d" "f" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 2; "b" "f" 2; "c" "d" "f" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 2; "b" "f" 2; "c" "d" "f" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 2; "b" "f" 2; "c" "d" "f" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 2; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 2; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 2; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 2; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 2; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 2; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 2; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" "p" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" "p" 2; "c" "d" "f" "p" 2; "d" "h" 3; "e" "v" 3;
"a" "g" 3; "b" "f" "p" 2; "c" "d" "f" "p" 2; "d" "g" "h" "t" "z" 2; "e" "v" 3;
"a" "g" 3; "b" "f" "p" 2; "c" "p" 3; "d" "g" "h" "t" "z" 2; "e" "v" 3;
"a" "g" 3; "b" "f" "h" "p" 2; "c" "p" 3; "d" "g" "h" "t" "z" 2; "e" "v" 3;
"a" "g" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" "h" "t" "y" "z" 2; "e" "v" 3;
"a" "g" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" "h" "t" "y" "z" 2; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" "h" "t" "y" "z" 2; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" "h" "t" "y" "z" 2; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" "h" "t" "y" "z" 2; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" "h" "t" "y" "z" 2; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" "h" "t" "y" "z" 2; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" "t" 3; "e" "v" 3;
"a" "g" "s" 3; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" "s" 3; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" "s" 3; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" "s" 3; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" "s" 3; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "f" "h" "j" 2; "c" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "f" "h" "j" 2; "c" "l" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "f" "h" "j" 2; "c" "l" "p" 3; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "f" "h" "j" 2; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "f" "h" "j" 2; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "d" "f" "h" "j" 2; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "d" "f" "h" "j" 2; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "d" "f" "h" "j" 2; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "d" "f" "h" "j" 2; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "d" "f" "h" "j" 2; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" 4; "d" "g" "q" "t" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" 4; "d" "g" "q" "t" "y" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" 4; "d" "g" "q" "t" "y" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" 4; "d" "g" "q" "t" "y" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" "p" 4; "d" "g" "q" "t" "y" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" "p" 4; "d" "g" "q" "t" "y" 3; "e" "v" 4;
"a" "g" 4; "b" "g" "j" 3; "c" "d" "p" 4; "d" "g" "q" "t" "y" 3; "e" "v" 4;
"a" "g" "r" 4; "b" "g" "j" 3; "c" "d" "p" 4; "d" "g" "q" "t" "y" 3; "e" "v" 4;
"a" "g" "r" 4; "b" "g" "j" 3; "c" "d" "p" 4; "d" "g" "q" "t" "y" 3; "e" "v" 4;
"a" "g" "r" 4; "b" "g" "j" 3; "c" "d" "p" 4; "d" "g" "q" "t" "y" 3; "e" "v" 4;
"a" "g" "r" 4; "b" "g" "j" 3; "c" "d" "p" 4; "d" "g" "q" "t" "y" 3; "e" "v" 4;
"a" "g" "r" 4; "b" "g" 4; "c" "d" "p" 4; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 4; "b" "g" 4; "c" "d" "p" 4; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 4; "b" "g" 4; "c" "d" "p" 4; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 4; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 4; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 4; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 4; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 4; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 4; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 4; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 4; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 4; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 4; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 4; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 4; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "r" 5; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "p" 5; "d" "g" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" "r" 5; "b" "g" 4; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
