none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1; "e" "n" 1;
"d" "h" "u" 1; "e" "n" 1;
"d" "h" "u" 1; "e" "n" 1;
"d" "h" "u" 1; "e" "n" 1;
"d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" "y" 1;
"a" "b" "e" "f" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "o" 1; "d" "c" "e" "f" "h" "u" 1; "e" "n" "v" "y" 1;
"a" "b" "e" "f" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "o" 1; "d" "c" "e" "f" "h" "u" 1; "e" "n" "v" "y" 1;
"a" "b" "e" "f" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "o" 1; "d" "c" "e" "f" "h" "u" 1; "e" "n" "v" "y" 1;
"a" "b" "e" "f" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "l" "o" 1; "d" "c" "e" "f" "h" "m" "u" 1; "e" "n" "v" "y" 1;
"a" "b" "e" "f" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "l" "o" "y" 1; "d" "c" "e" "f" "h" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "l" "o" "y" 1; "d" "c" "e" "f" "h" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "l" "o" "y" 1; "d" "c" "e" "f" "h" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "y" 1; "d" "c" "e" "f" "h" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "y" 1; "d" "c" "e" "f" "h" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "h" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "y" 1; "d" "c" "e" "f" "h" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "h" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "y" 1; "d" "c" "e" "f" "h" "i" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "h" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "y" 1; "d" "c" "e" "f" "h" "i" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "h" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "y" 1; "d" "b" "c" "e" "f" "h" "i" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "h" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "y" 1; "d" "b" "c" "e" "f" "h" "i" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "h" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "y" 1; "d" "b" "c" "e" "f" "h" "i" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "h" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "y" 1; "d" "b" "c" "e" "f" "h" "i" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "h" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "y" 1; "d" "b" "c" "e" "f" "h" "i" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "h" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "y" 1; "d" "b" "c" "e" "f" "h" "i" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "h" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "y" 1; "d" "b" "c" "e" "f" "h" "i" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "h" "l" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "y" 1; "d" "b" "c" "e" "f" "h" "i" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "q" "y" 1; "d" "b" "e" "f" "h" "i" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "q" "y" 1; "d" "b" "e" "f" "h" "i" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "q" "y" 1; "d" "b" "e" "f" "h" "i" "l" "m" "u" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "q" "y" 1; "d" "b" "e" "f" "h" "i" "l" "m" "u" "v" 1; "e" "j" "m" "n" "v" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "q" "y" 1; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "j" "k" "l" "o" "q" "y" 1; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "c" "f" "g" "j" "k" "l" 1; "c" "j" 2; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "c" "f" "g" "j" "k" "l" 1; "c" "j" "l" 2; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "c" "f" "g" "j" "k" "l" 1; "c" "j" "l" 2; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "c" "f" "g" "j" "k" "l" 1; "c" "j" "l" 2; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "c" "f" "g" "j" "k" "l" 1; "c" "j" "l" 2; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "c" "f" "g" "j" "k" "l" 1; "c" "j" "l" 2; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "c" "f" "g" "j" "k" "l" 1; "c" "j" "l" 2; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "g" 2; "c" "j" "l" 2; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "g" 2; "c" "j" "l" 2; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "g" 2; "c" "j" "l" 2; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "g" 2; "c" "j" "l" 2; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "g" 2; "c" "j" "l" 2; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "g" 2; "c" "j" "l" 2; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "g" 2; "c" "j" "l" 2; "d" "h" 2; "e" "j" "m" "n" "v" "x" "y" 1;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "g" 2; "c" "j" "l" 2; "d" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "l" 1; "b" "g" 2; "c" "j" "l" 2; "d" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "l" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "o" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "o" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "o" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "o" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "o" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "o" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "o" "t" 1; "b" "g" 2; "c" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "o" "t" 1; "b" "g" 2; "c" "g" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "l" "o" "t" 1; "b" "g" 2; "c" "g" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "j" "l" "o" "t" 1; "b" "g" 2; "c" "g" "j" "l" 2; "d" "a" "h" 2; "e" "x" 2;
"a" "b" "e" "f" "g" "h" "i" "j" "l" "o" "t" 1; "b" "g" 2; "c" "g" "j" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "b" "e" "f" "g" "h" "i" "j" "l" "o" "t" 1; "b" "g" 2; "c" "g" "j" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "b" "e" "f" "g" "h" "i" "j" "l" "o" "t" 1; "b" "g" 2; "c" "g" "j" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "b" "e" "f" "g" "h" "i" "j" "l" "o" "t" 1; "b" "g" "i" 2; "c" "g" "j" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "b" "e" "f" "g" "h" "i" "j" "l" "o" "t" 1; "b" "g" "i" 2; "c" "g" "j" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "b" "e" "f" "g" "h" "i" "j" "l" "o" "t" 1; "b" "g" "i" 2; "c" "g" "j" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "b" "e" "f" "g" "h" "i" "j" "l" "o" "t" 1; "b" "g" "i" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "b" "e" "f" "g" "h" "i" "j" "l" "m" "o" "t" 1; "b" "g" "i" "n" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "n" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "n" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "n" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "n" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "n" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "n" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "n" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "n" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "n" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "m" "n" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "m" "n" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" "n" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "m" "n" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" "n" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "j" "k" "l" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "j" "k" "l" "p" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "j" "k" "l" "p" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "j" "k" "l" "o" "p" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "a" "e" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "o" "p" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "a" "e" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "o" "p" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "a" "e" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "o" "p" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "a" "e" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "o" "p" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "a" "e" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "o" "p" 2; "d" "a" "h" "n" "u" 2; "e" "x" 3;
"a" "a" "e" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "o" "p" 2; "d" "a" "h" "n" "u" 2; "e" "r" "x" 3;
"a" "a" "e" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "o" "p" 2; "d" "a" "h" "n" "u" 2; "e" "r" "x" 3;
"a" "a" "e" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "o" "p" 2; "d" "t" 3; "e" "r" "x" 3;
"a" "a" "e" "m" 2; "b" "g" "i" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "o" "p" 2; "d" "t" 3; "e" "r" "x" 3;
"a" "a" "e" "m" 2; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "o" "p" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "a" "e" "m" 2; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "o" "p" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "a" "e" "h" "m" 2; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "a" "e" "h" "m" 2; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "a" "e" "h" "m" 2; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "a" "e" "h" "m" 2; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "a" "e" "g" "h" "m" 2; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "a" "e" "g" "h" "i" "m" "n" 2; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" "x" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "a" "e" "g" "h" "i" "m" "n" 2; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" "x" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "a" "e" "g" "h" "i" "m" "n" 2; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" "x" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "a" "e" "g" "h" "i" "m" "n" 2; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" "x" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "a" "e" "g" "h" "i" "m" "n" 2; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" "x" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "a" "e" "g" "h" "i" "m" "n" 2; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" "x" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" "x" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" "x" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" "x" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "m" "n" "t" 2; "c" "g" "i" "j" "k" "l" "m" "o" "p" "x" 2; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "m" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "m" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "m" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "m" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "m" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "m" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
