none
none
none
none
none
none
none
none
none
none
"d" "b" 1;
"d" "b" 1;
"d" "b" 1;
"d" "b" 1;
"b" "z" 1; "d" "b" 1;
"b" "z" 1; "d" "b" 1;
"b" "z" 1; "d" "b" 1;
"b" "z" 1; "d" "b" 1;
"b" "z" 1; "d" "b" 1;
"a" "p" 1; "b" "z" 1; "c" "q" 1; "d" "b" 1;
"a" "p" "s" 2; "b" "d" "f" 3; "c" "q" 2; "d" "a" "l" "w" 2; "e" "e" "v" 2;
"a" "p" "s" 2; "b" "d" "f" 3; "c" "q" 2; "d" "a" "l" "w" 2; "e" "e" 3;
"a" "p" "s" 2; "b" "d" "f" 3; "c" "q" 2; "d" "a" "l" "w" 2; "e" "e" 3;
"a" "p" "s" 2; "b" "d" "f" 3; "c" "q" 2; "d" "a" "l" "w" 2; "e" "e" 3;
"a" "p" "s" 2; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" "l" "w" 2; "e" "e" "v" 3;
"a" "p" "s" 2; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" "l" "w" 2; "e" "e" "v" 3;
"a" "p" "s" 2; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" "l" "w" 2; "e" "e" "v" 3;
"a" "p" "s" 2; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" "l" "w" 2; "e" "e" "v" 3;
"a" "p" "s" 2; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" "l" "w" 2; "e" "e" "v" 3;
"a" "p" "s" 2; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" "l" "w" 2; "e" "e" "v" 3;
"a" "p" "s" 2; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" "l" "w" 2; "e" "e" "v" 3;
"a" "p" "s" 2; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" "l" "w" 2; "e" "e" "v" 3;
"a" "p" "s" 2; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" "l" "w" "y" 2; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "q" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "p" "q" "r" "y" 2; "d" "a" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "o" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "o" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "o" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "o" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "o" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "o" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "o" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 3; "b" "d" "f" 3; "c" "o" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "p" "s" 3; "b" "d" "f" 3; "c" "o" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "p" "s" 3; "b" "d" "f" 3; "c" "o" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "p" "s" 3; "b" "d" "f" 3; "c" "o" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 4; "b" "d" "f" 3; "c" "o" "p" "q" "r" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 4; "b" "d" "f" 3; "c" "o" "p" "q" "r" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 4; "b" "d" "f" 3; "c" "o" "p" "q" "r" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 4; "b" "d" "f" 3; "c" "o" "p" "q" "r" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 4; "b" "d" "f" 3; "c" "o" "p" "q" "r" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 4; "b" "d" "f" 3; "c" "n" "o" "p" "q" "r" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "n" "o" "p" "q" "r" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "n" "o" "p" "q" "r" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "n" "o" "p" "q" "r" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "n" "o" "p" "q" "r" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "g" "n" "o" "p" "q" "r" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "g" "n" "o" "p" "q" "r" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "g" "n" "o" "p" "q" "r" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "g" "n" "o" "p" "q" "r" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "g" "n" "o" "p" "q" "r" "t" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "g" "n" "o" "p" "q" "r" "t" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "g" "n" "o" "p" "q" "r" "t" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" "w" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "g" "n" "o" "p" "q" "r" "t" "x" "y" 2; "d" "a" "y" 3; "e" "e" "v" "w" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "y" 3; "e" "e" "v" "w" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "y" 3; "e" "e" "v" "w" 3;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "y" 3; "e" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "y" 3; "e" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "y" 3; "e" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "y" 3; "e" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "y" 3; "e" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "y" 3; "e" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "y" 3; "e" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" 3; "e" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" 3; "e" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" "z" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" "z" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" "z" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" "z" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" "z" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" "z" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" "z" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" "z" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" "z" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" "z" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" "l" "y" "z" 3; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 3; "c" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "z" 3; "c" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "z" 3; "c" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "z" 3; "c" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "z" 3; "c" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "z" 3; "c" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "z" 3; "c" "g" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "z" 3; "c" "g" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "z" 3; "c" "g" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "z" 3; "c" "g" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "z" 3; "c" "g" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "z" 3; "c" "g" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "z" 3; "c" "g" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "g" "n" "q" "y" 3; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "y" 4; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "z" 3; "c" "y" 4; "d" "a" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "v" "z" 3; "c" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "v" "z" 3; "c" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "v" "z" 3; "c" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "v" "z" 3; "c" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "v" "z" 3; "c" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "v" "z" 3; "c" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "v" "z" 3; "c" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "f" "n" "v" "z" 3; "c" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "z" 4; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "z" 4; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "z" 4; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "z" 4; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "z" 4; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "z" 4; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "z" 4; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "z" 4; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" "z" 4; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
