none
none
none
none
none
none
none
none
none
none
none
"e" "w" 1;
"e" "w" 1;
"c" "w" 1; "e" "w" 1;
"c" "w" 1; "e" "b" "w" 1;
"c" "w" 1; "e" "b" "w" 1;
"c" "w" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"a" "h" 1; "c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"a" "o" 3; "b" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" "u" "y" 2; "e" "b" "h" 3;
"a" "o" 3; "b" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" "u" "y" 2; "e" "b" "h" 3;
"a" "o" 3; "b" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" "u" "y" 2; "e" "b" "h" 3;
"a" "o" 3; "b" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" "u" "y" 2; "e" "b" "h" 3;
"a" "o" 3; "b" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" 3; "e" "b" "h" 3;
"a" "o" 3; "b" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" 3; "e" "b" "h" 3;
"a" "o" 3; "b" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" 3; "e" "b" "h" 3;
"a" "o" 3; "b" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" 3; "e" "b" "h" 3;
"a" "o" 3; "b" "l" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" 3; "e" "b" "h" 3;
"a" "o" 3; "b" "l" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" 3; "e" "b" "h" 3;
"a" "o" 3; "b" "l" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" 3; "e" "b" "h" 3;
"a" "o" 3; "b" "l" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "l" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "l" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "l" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "l" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "l" "q" "r" 2; "c" "b" "o" "p" 2; "d" "d" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "l" "q" "r" 2; "c" "b" 3; "d" "d" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "l" "q" "r" 2; "c" "b" 3; "d" "d" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "l" "q" "r" 2; "c" "b" 3; "d" "d" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "h" "l" "q" "r" 2; "c" "b" 3; "d" "d" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "h" "l" "q" "r" 2; "c" "b" 3; "d" "d" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "h" "l" "q" "r" 2; "c" "b" 3; "d" "d" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "h" "l" "q" "r" 2; "c" "b" 3; "d" "d" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "r" 3; "c" "b" 3; "d" "d" "u" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "r" 3; "c" "b" 3; "d" "d" "u" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "r" 3; "c" "b" 3; "d" "d" "u" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "r" 3; "c" "b" 3; "d" "d" "u" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "r" 3; "c" "b" 3; "d" "d" "u" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "r" 3; "c" "b" 3; "d" "d" "u" 3; "e" "b" "d" "h" 3;
"a" "o" 3; "b" "r" 3; "c" "b" 3; "d" "d" "u" 3; "e" "b" "d" "h" 3;
"a" "o" "y" 3; "b" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "b" "d" "h" 3;
"a" "o" "y" 3; "b" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "b" "d" "h" "j" 3;
"a" "o" "y" 3; "b" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "b" "d" "h" "j" 3;
"a" "o" "y" 3; "b" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "b" "d" "h" "j" 3;
"a" "o" "y" 3; "b" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "b" "d" "g" "h" "j" 3;
"a" "o" "y" 3; "b" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "b" "d" "g" "h" "j" 3;
"a" "y" 3; "b" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "b" "d" "g" "h" "j" 3;
"a" "y" 3; "b" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "q" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "q" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "q" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "q" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "q" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "q" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "q" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "q" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "q" "r" 3; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "r" 4; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "r" 4; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "r" 4; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "r" 4; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "r" 4; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "r" 4; "c" "b" 4; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "r" 4; "c" "b" 5; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "r" 4; "c" "b" 5; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "r" 4; "c" "b" 5; "d" "d" "u" 3; "e" "d" 4;
"a" "y" 3; "b" "r" 4; "c" "b" 5; "d" "d" "u" 3; "e" "d" 4;
"a" "g" "y" 3; "b" "r" 4; "c" "b" 5; "d" "d" "u" 3; "e" "d" 4;
"a" "g" "y" 3; "b" "r" 4; "c" "b" 5; "d" "d" "u" 3; "e" "d" 4;
"a" "g" "y" 3; "b" "r" 4; "c" "b" 5; "d" "d" "u" 3; "e" "d" 4;
"a" "g" "y" 3; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "g" "y" 3; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "g" "y" 3; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "g" "y" 3; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "u" 4; "e" "d" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "u" 4; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "u" 4; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "u" 4; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "u" 4; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "u" 4; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "u" 4; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "u" 4; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "u" 4; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "u" 4; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "u" 4; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "u" 4; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "y" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "s" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "s" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "s" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "s" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "j" "s" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "j" "s" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "j" "s" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 4;
"a" "j" "s" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" "s" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" "s" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" "s" 4; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
