none
none
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1; "e" "t" 1;
"c" "y" 1; "e" "t" 1;
"c" "y" 1; "e" "t" 1;
"c" "y" 1; "e" "t" 1;
"c" "y" 1; "e" "t" 1;
"c" "y" 1; "e" "t" 1;
"c" "e" "f" "y" 1; "e" "t" 1;
"c" "e" "f" "y" 1; "e" "t" 1;
"c" "e" "f" "y" 1; "e" "t" 1;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"a" "h" 1; "c" "f" 2; "d" "h" 1; "e" "t" 2;
"a" "h" 1; "c" "f" 2; "d" "h" 1; "e" "t" 2;
"a" "h" 1; "c" "f" 2; "d" "h" "m" 1; "e" "t" 2;
"a" "h" "q" 1; "c" "f" 2; "d" "h" "m" "t" 1; "e" "t" 2;
"a" "h" "q" 1; "c" "f" 2; "d" "h" "m" "t" 1; "e" "t" 2;
"a" "h" "q" "x" 1; "b" "c" "n" 1; "c" "f" 2; "d" "a" "h" "m" "t" 1; "e" "a" "e" "l" "o" "q" "s" "t" "u" 1;
"a" "h" "q" "x" 1; "b" "c" "n" 1; "c" "f" 2; "d" "a" "h" "m" "t" 1; "e" "a" "e" "l" "o" "q" "s" "t" "u" 1;
"a" "h" "q" "x" 1; "b" "c" "n" 1; "c" "f" 2; "d" "a" "h" "m" "t" 1; "e" "a" "e" "l" "o" "q" "s" "t" "u" 1;
"a" "h" "q" "x" 1; "b" "c" "n" 1; "c" "f" 2; "d" "a" "h" "m" "t" 1; "e" "a" "e" "l" "o" "q" "s" "t" "u" 1;
"a" "h" "q" "r" "x" 1; "b" "c" "n" 1; "c" "f" 2; "d" "a" "h" "m" "t" 1; "e" "a" "e" "l" "o" "q" "s" "t" "u" 1;
"a" "h" "q" "r" "x" "y" 1; "b" "c" "e" "n" 1; "c" "f" 2; "d" "a" "h" "m" "t" 1; "e" "a" "e" "l" "o" "q" "s" "t" "u" 1;
"a" "h" "q" "r" "x" "y" 1; "b" "c" "e" "n" 1; "c" "f" 2; "d" "a" "h" "m" "t" 1; "e" "a" "e" "l" "o" "q" "s" "t" "u" 1;
"a" "h" "q" "r" "x" "y" 1; "b" "c" "e" "n" 1; "c" "f" 2; "d" "a" "h" "m" "t" 1; "e" "a" "e" "l" "o" "q" "s" "t" "u" 1;
"a" "h" "q" "r" "x" "y" 1; "b" "c" "e" "g" "n" 1; "c" "f" 2; "d" "a" "e" "h" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" 1; "b" "a" "c" "e" "g" "i" "l" "n" 1; "c" "f" 2; "d" "a" "b" "e" "h" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" 1; "b" "a" "c" "e" "g" "i" "l" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "h" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" 1; "b" "a" "c" "e" "g" "i" "l" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "h" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" 1; "b" "a" "b" "c" "e" "g" "i" "l" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "h" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" 1; "b" "a" "b" "c" "e" "g" "i" "l" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "h" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" 1; "b" "a" "b" "c" "e" "g" "i" "l" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "h" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" 1; "b" "a" "b" "c" "e" "g" "i" "l" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" 1; "b" "a" "b" "c" "e" "g" "i" "l" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" 1; "b" "a" "b" "c" "e" "g" "i" "l" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" 1; "b" "a" "b" "c" "e" "g" "i" "l" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" 1; "b" "a" "b" "c" "e" "g" "i" "l" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "k" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" 1; "b" "a" "b" "c" "e" "g" "i" "l" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "k" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" 1; "b" "a" "b" "c" "e" "g" "i" "l" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "k" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" 1; "b" "a" "b" "c" "e" "g" "i" "l" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "k" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" "z" 1; "b" "a" "b" "c" "e" "g" "i" "l" "m" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "k" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "k" "q" "r" "x" "y" "z" 1; "b" "a" "b" "c" "e" "g" "i" "l" "m" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "k" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "i" "k" "q" "r" "x" "y" "z" 1; "b" "a" "b" "c" "e" "g" "i" "l" "m" "n" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "k" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "i" "k" "q" "r" "x" "y" "z" 1; "b" "a" "b" "c" "e" "f" "g" "i" "l" "m" "n" "u" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "k" "m" "t" 1; "e" "q" "t" 2;
"a" "h" "i" "k" "q" "r" "x" "y" "z" 1; "b" "a" "b" "c" "e" "f" "g" "i" "l" "m" "n" "u" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "k" "m" "t" 1; "e" "q" "t" 2;
"a" "x" 2; "b" "a" "b" "c" "e" "f" "g" "i" "l" "m" "n" "u" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "k" "m" "t" 1; "e" "q" "t" 2;
"a" "x" 2; "b" "a" "b" "c" "e" "f" "g" "i" "l" "m" "n" "u" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "k" "m" "t" 1; "e" "q" "t" 2;
"a" "x" 2; "b" "a" "b" "c" "e" "f" "g" "i" "l" "m" "n" "u" 1; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "k" "m" "t" 1; "e" "q" "t" 2;
"a" "x" 2; "b" "f" 2; "c" "a" "f" 2; "d" "a" "b" "e" "f" "h" "k" "m" "t" 1; "e" "q" "t" 2;
"a" "x" 2; "b" "f" 2; "c" "a" "f" "y" 2; "d" "a" "b" "e" "f" "h" "k" "m" "t" 1; "e" "q" "s" "t" 2;
"a" "x" 2; "b" "f" 2; "c" "a" "f" "y" 2; "d" "a" "b" "e" "f" "h" "k" "m" "s" "t" 1; "e" "q" "s" "t" 2;
"a" "x" 2; "b" "f" 2; "c" "a" "f" "y" 2; "d" "a" "b" "e" "f" "h" "k" "m" "s" "t" 1; "e" "q" "s" "t" 2;
"a" "x" 2; "b" "f" 2; "c" "a" "f" "y" 2; "d" "a" "b" "e" "f" "h" "k" "m" "s" "t" 1; "e" "q" "s" "t" 2;
"a" "x" 2; "b" "f" 2; "c" "a" "f" "y" 2; "d" "a" "b" "e" "f" "h" "k" "m" "s" "t" 1; "e" "q" "s" "t" 2;
"a" "x" 2; "b" "f" 2; "c" "a" "f" "y" 2; "d" "a" "b" "e" "f" "h" "k" "m" "p" "s" "t" 1; "e" "a" "q" "s" "t" 2;
"a" "x" 2; "b" "f" 2; "c" "a" "f" "y" 2; "d" "a" "b" "e" "f" "h" "k" "m" "p" "s" "t" 1; "e" "a" "q" "s" "t" 2;
"a" "k" "x" 2; "b" "f" 2; "c" "a" "f" "y" 2; "d" "a" "b" "d" "e" "f" "h" "k" "m" "p" "s" "t" 1; "e" "a" "q" "s" "t" 2;
"a" "k" "x" 2; "b" "f" 2; "c" "a" "f" "y" 2; "d" "a" "b" "d" "e" "f" "h" "k" "m" "p" "s" "t" 1; "e" "a" "q" "s" "t" 2;
"a" "h" "k" "x" 2; "b" "f" "l" 2; "c" "a" "f" "y" 2; "d" "a" "b" "d" "e" "f" "h" "k" "m" "p" "s" "t" 1; "e" "a" "q" "s" "t" 2;
"a" "h" "k" "x" 2; "b" "f" "l" 2; "c" "a" "f" "y" 2; "d" "a" "b" "d" "e" "f" "h" "k" "m" "p" "s" "t" 1; "e" "a" 3;
"a" "h" "k" "x" 2; "b" "f" "l" 2; "c" "a" "f" "y" 2; "d" "a" "b" "d" "e" "f" "h" "k" "m" "p" "s" "t" 1; "e" "a" 3;
"a" "h" "k" "x" 2; "b" "f" "l" 2; "c" "a" "f" "y" 2; "d" "s" 2; "e" "a" 3;
"a" "h" "k" "x" 2; "b" "f" "l" 2; "c" "a" "f" "y" "z" 2; "d" "s" 2; "e" "a" 3;
"a" "h" "k" "x" 2; "b" "f" "l" 2; "c" "a" "f" "y" "z" 2; "d" "s" 2; "e" "a" 3;
"a" "h" "k" "x" 2; "b" "f" "l" 2; "c" "a" "f" "y" "z" 2; "d" "s" 2; "e" "a" 3;
"a" "h" "k" "x" 2; "b" "f" "l" 2; "c" "a" "f" "y" "z" 2; "d" "s" 2; "e" "a" 3;
"a" "h" "k" "x" 2; "b" "f" "l" 2; "c" "a" "f" "i" "y" "z" 2; "d" "s" 2; "e" "a" 3;
"a" "h" "k" "x" 2; "b" "f" "l" 2; "c" "a" "f" "i" "r" "y" "z" 2; "d" "s" "t" 2; "e" "a" 3;
"a" "h" "k" "x" 2; "b" "f" "l" 2; "c" "a" "f" "i" "r" "y" "z" 2; "d" "s" "t" 2; "e" "a" 3;
"a" "h" "k" "x" 2; "b" "f" "l" 2; "c" "a" "f" "i" "r" "y" "z" 2; "d" "s" "t" 2; "e" "a" 3;
"a" "h" "k" "x" 2; "b" "f" "l" 2; "c" "a" "f" "i" "r" "y" "z" 2; "d" "d" "s" "t" 2; "e" "a" 3;
"a" "h" "k" "v" "x" 2; "b" "f" "l" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" 3;
"a" "h" "k" "v" "x" 2; "b" "f" "l" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" 3;
"a" "h" "k" "v" "x" 2; "b" "f" "l" "m" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" 3;
"a" "h" "k" "v" "x" 2; "b" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" 3;
"a" "h" "k" "v" "x" 2; "b" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" 3;
"a" "h" "k" "v" "x" 2; "b" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" 3;
"a" "h" "k" "v" "x" 2; "b" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" 3;
"a" "h" "k" "v" "x" 2; "b" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" 3;
"a" "h" "k" "v" "x" 2; "b" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" 3;
"a" "h" "k" "v" "x" 2; "b" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" "q" 3;
"a" "h" "k" "v" "x" 2; "b" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" "o" "q" 3;
"a" "h" "k" "v" "x" 2; "b" "b" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" "o" "q" 3;
"a" "h" "k" "v" "x" 2; "b" "b" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" "o" "q" 3;
"a" "h" "k" "v" "x" 2; "b" "b" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" "o" "q" 3;
"a" "h" "k" "v" "x" 2; "b" "b" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" "o" "q" 3;
"a" "g" "h" "k" "v" "x" 2; "b" "b" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "a" "o" "q" 3;
"a" "g" "h" "i" "k" "v" "x" 2; "b" "b" "e" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "o" 4;
"a" "g" "h" "i" "k" "v" "x" 2; "b" "b" "e" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "o" 4;
"a" "g" "h" "i" "k" "v" "x" 2; "b" "b" "e" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "o" 4;
"a" "x" 3; "b" "b" "e" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" "t" 2; "e" "o" 4;
"a" "x" 3; "b" "b" "e" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" 2; "e" "o" 4;
"a" "x" 3; "b" "b" "e" "f" "l" "m" "t" 2; "c" "r" 3; "d" "d" "s" 2; "e" "o" 4;
"a" "x" 3; "b" "e" 3; "c" "r" 3; "d" "d" "s" 2; "e" "o" 4;
"a" "x" 3; "b" "e" 3; "c" "r" 3; "d" "d" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "r" 3; "d" "d" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "r" 3; "d" "d" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "r" 3; "d" "d" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "r" 3; "d" "d" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "r" 3; "d" "d" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "r" 3; "d" "d" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "r" 3; "d" "d" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "r" 3; "d" "d" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "r" 3; "d" "d" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "h" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "h" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "h" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "h" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "h" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "h" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "h" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "h" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "h" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "e" "h" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "e" "h" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "i" "r" 3; "d" "d" "e" "h" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "d" "e" "h" "k" "m" "n" "s" 2; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "m" 3; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "m" 3; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "m" 3; "e" "o" 4;
"a" "x" 4; "b" "e" 3; "c" "f" "i" "r" 3; "d" "m" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "g" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 3; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 3; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 3; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" 3; "d" "m" "n" 3; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" "s" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" "s" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" "s" 3; "d" "m" 4; "e" "o" "q" 4;
