none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "i" 1;
"d" "i" 1;
"d" "i" 1;
"b" "r" 1; "d" "i" 1;
"b" "r" 1; "c" "q" 1; "d" "i" 1;
"b" "r" 1; "c" "q" 1; "d" "i" 1;
"a" "h" "r" 1; "b" "r" 1; "c" "q" 1; "d" "i" 1;
"a" "h" "m" "o" "r" "z" 1; "b" "m" "o" "q" "r" 1; "c" "c" "i" "q" 1; "d" "i" "k" 1; "e" "q" "s" "y" 1;
"a" "h" "m" "o" "r" "z" 1; "b" "m" "o" "q" "r" 1; "c" "c" "g" "i" "q" 1; "d" "i" "k" "l" 1; "e" "q" "s" "y" 1;
"a" "h" "m" "o" "r" "z" 1; "b" "m" "o" "q" "r" 1; "c" "c" "g" "i" "q" 1; "d" "i" "k" "l" 1; "e" "q" "s" "y" 1;
"a" "h" "m" "o" "r" "z" 1; "b" "m" "o" "q" "r" 1; "c" "c" "g" "i" "q" 1; "d" "i" "k" "l" 1; "e" "q" "s" "y" 1;
"a" "h" "m" "o" "r" "z" 1; "b" "m" "o" "q" "r" 1; "c" "c" "g" "i" "q" 1; "d" "i" "k" "l" 1; "e" "q" "s" "y" 1;
"a" "h" "m" "o" "r" "z" 1; "b" "m" "o" "q" "r" 1; "c" "c" "g" "i" "q" 1; "d" "i" "k" "l" 1; "e" "q" "s" "y" 1;
"a" "h" "m" "o" "r" "z" 1; "b" "m" "o" "q" "r" 1; "c" "c" "g" "i" "q" 1; "d" "i" "k" "l" 1; "e" "q" "s" "y" 1;
"a" "h" "m" "o" "r" "z" 1; "b" "m" "o" "q" "r" 1; "c" "c" "g" "i" "q" 1; "d" "i" "k" "l" 1; "e" "q" "s" "y" 1;
"a" "h" "m" "n" "o" "r" "z" 1; "b" "m" "o" "q" "r" 1; "c" "c" "g" "i" "q" 1; "d" "i" "k" "l" 1; "e" "q" "s" "y" 1;
"a" "h" "m" "n" "o" "r" "z" 1; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "q" 1; "d" "i" "k" "l" 1; "e" "q" "s" "t" "y" 1;
"a" "h" "m" "n" "o" "r" "z" 1; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "q" 1; "d" "i" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" "l" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" "l" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" "l" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" "l" 2; "e" "i" "q" "r" "s" "t" "x" "y" 1;
"a" "m" 2; "b" "l" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" "l" 2; "e" "s" 2;
"a" "m" 2; "b" "l" "m" "o" "q" "r" "x" 1; "c" "c" "g" "i" "p" "q" 1; "d" "i" "l" 2; "e" "s" 2;
"a" "m" 2; "b" "j" "l" "m" "o" "q" "r" "x" 1; "c" "q" 2; "d" "i" "l" 2; "e" "s" 2;
"a" "m" 2; "b" "j" "l" "m" "o" "q" "r" "x" 1; "c" "q" 2; "d" "i" "l" 2; "e" "s" 2;
"a" "m" 2; "b" "j" "l" "m" "o" "q" "r" "x" 1; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "m" 2; "b" "j" "l" "m" "o" "q" "r" "x" 1; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "m" 2; "b" "j" "l" "m" "o" "q" "r" "x" 1; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "m" 2; "b" "j" "l" "m" "o" "q" "r" "x" 1; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "m" 2; "b" "j" "l" "m" "o" "q" "r" "x" 1; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "m" 2; "b" "j" "l" "m" "o" "q" "r" "x" 1; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "m" 2; "b" "j" "l" "m" "o" "q" "r" "x" 1; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "m" 2; "b" "m" 2; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "m" 2; "b" "m" 2; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "m" 2; "b" "m" 2; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "m" 2; "b" "m" 2; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "m" 2; "b" "m" 2; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "m" 2; "b" "m" 2; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "m" 2; "b" "m" 2; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "m" 2; "b" "m" 2; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" 2;
"a" "f" "m" 2; "b" "l" "m" 2; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "q" 2; "d" "i" "l" "n" 2; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "m" 2; "b" "l" "m" "o" 2; "c" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "i" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "i" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "i" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "i" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "i" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "i" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "i" "p" "q" 2; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "n" 3; "e" "s" "t" 2;
"a" "f" "n" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "l" "n" 3; "e" "g" "s" 2;
"a" "f" "n" "q" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "l" "n" 3; "e" "g" "s" 2;
"a" "f" "n" "q" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "f" "n" "q" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "c" "f" "n" "q" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "c" "f" "n" "q" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "c" "f" "n" "q" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "c" "f" "n" "q" 2; "b" "l" "m" "o" 2; "c" "p" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "l" "m" "o" 2; "c" "p" "q" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "l" "m" "o" 2; "c" "p" "q" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "l" "m" "o" 2; "c" "p" "q" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "l" "m" "o" 2; "c" "p" "q" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "l" "m" "o" 2; "c" "p" "q" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "l" "m" "o" 2; "c" "p" "q" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "l" "m" "o" 2; "c" "p" "q" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "l" "m" "o" 2; "c" "p" "q" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "l" "m" "o" 2; "c" "p" "q" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "l" "m" "o" 2; "c" "p" "q" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "l" "m" "o" 2; "c" "p" "q" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" "y" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" "y" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" "y" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" "n" 3; "e" "g" "o" "s" "y" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "g" "o" "s" "y" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "g" "o" "s" "y" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "g" "o" "s" "u" "y" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "g" "o" "s" "u" "y" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "g" "o" "s" "u" "y" 2;
"a" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "g" "o" "s" "u" "y" 2;
"a" "c" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "g" "o" "s" "u" "y" 2;
"a" "c" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "g" "o" "s" "u" "y" 2;
"a" "c" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "s" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "s" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "s" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "s" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "s" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "m" 3; "c" "p" "q" "y" "z" 3; "d" "l" 4; "e" "o" "s" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "l" "m" 3; "c" "p" 4; "d" "l" 4; "e" "o" "s" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "l" "m" 3; "c" "p" 4; "d" "l" 4; "e" "o" "s" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "l" "m" 3; "c" "p" 4; "d" "l" "n" 3; "e" "o" "s" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "l" "m" 3; "c" "p" 4; "d" "l" "n" 3; "e" "o" "s" "y" 3;
"a" "c" "f" "n" "q" 3; "b" "l" "m" 3; "c" "p" 4; "d" "l" "n" 3; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "j" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "j" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "j" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
"a" "c" "f" "j" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" 4; "e" "s" 4;
