none
none
none
none
none
none
none
none
none
none
none
none
"b" "q" 1;
"a" "l" 1; "b" "q" 1;
"a" "l" 1; "b" "q" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "e" "k" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "e" "k" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "e" "k" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "e" "k" 1;
"a" "c" "d" "e" "g" "h" "i" "l" "m" "p" "r" "x" 1; "b" "q" 2; "c" "e" "f" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "u" "z" 1;
"a" "e" 2; "b" "q" 2; "c" "e" "f" "n" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "u" "z" 1;
"a" "e" 2; "b" "q" 2; "c" "e" "f" "n" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "n" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "n" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "n" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "n" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "n" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "g" "n" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "g" "n" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "g" "n" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "g" "n" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "g" "n" 1; "d" "c" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "g" "n" 1; "d" "c" "e" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "g" "n" 1; "d" "c" "e" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "g" "n" 1; "d" "c" "e" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "g" "h" "n" 1; "d" "c" "e" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "g" "h" "n" 1; "d" "c" "e" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "g" "h" "n" 1; "d" "c" "e" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" 2; "b" "q" 2; "c" "e" "f" "g" "h" "n" 1; "d" "c" "e" 2; "e" "d" "k" "n" "q" "r" "s" "t" "u" "z" 1;
"a" "e" "g" "y" 2; "b" "q" 2; "c" "e" "f" "g" "h" "n" 1; "d" "c" "e" 2; "e" "z" 2;
"a" "e" "g" "y" 2; "b" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "z" 2;
"a" "e" "g" "y" 2; "b" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "z" 2;
"a" "e" "g" "y" 2; "b" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "f" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "f" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "f" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "f" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "f" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "f" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "f" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "f" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "f" "q" 2; "c" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "f" "q" 2; "c" "a" "g" "h" 2; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "f" "q" "v" 2; "c" "g" 3; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "f" "q" "v" 2; "c" "g" 3; "d" "c" "e" "r" 2; "e" "n" "z" 2;
"a" "e" "g" "y" 2; "b" "f" "q" "v" 2; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "w" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "w" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "w" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "w" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" "v" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "x" "y" 2; "b" "f" 3; "c" "g" 4; "d" "e" "r" "v" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "x" "y" 2; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "x" "y" 2; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "x" "y" 2; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "x" "y" 2; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "x" "y" 2; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "x" "y" 2; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "x" "y" 2; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" 2; "e" "d" 3;
"a" "e" "g" "r" "w" "x" "y" 2; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "v" 3; "c" "g" 4; "d" "e" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "j" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "j" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "j" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "j" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "j" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "j" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "j" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "e" "j" "p" "r" "v" "x" "z" 2; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "v" 3; "e" "d" 3;
"a" "e" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "v" 3; "e" "d" 3;
"a" "e" "g" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "v" 3; "e" "d" 3;
"a" "e" "g" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "x" 3; "b" "f" "m" "v" 3; "c" "g" 4; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "x" 3; "b" "f" "m" "v" 3; "c" "g" "m" 4; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "x" 3; "b" "f" "m" "v" 3; "c" "g" "m" 4; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "x" 3; "b" "f" "m" "v" 3; "c" "g" "m" 4; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "x" 3; "b" "f" "m" "v" 3; "c" "g" "m" 4; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "x" 3; "b" "f" "m" "v" 3; "c" "g" "m" 4; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "x" 3; "b" "f" "m" "v" 3; "c" "g" "m" 4; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "e" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "e" "z" 3;
"a" "e" "g" "k" "u" "w" "x" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "e" "z" 3;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "f" "m" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "e" "z" 3;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "f" "m" "t" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "e" "n" "z" 3;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "f" "m" "t" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "e" "n" "z" 3;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "f" "m" "t" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "d" "e" "n" "z" 3;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "f" "m" "t" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "e" 4;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "f" "m" "t" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "e" 4;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "f" "m" "t" "v" 3; "c" "g" 5; "d" "e" "v" 3; "e" "e" 4;
