none
none
none
none
none
none
none
none
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1;
"a" "c" 1; "c" "z" 1;
"a" "c" 1; "c" "z" 1;
"a" "c" 1; "c" "z" 1;
"a" "c" 1; "c" "z" 1;
"a" "c" 1; "c" "z" 1;
"a" "c" 1; "c" "z" 1;
"a" "c" 1; "c" "z" 1; "e" "g" 1;
"a" "c" 1; "c" "z" 1; "e" "g" 1;
"a" "c" 1; "c" "z" 1; "e" "g" 1;
"a" "c" 1; "b" "y" 1; "c" "z" 1; "e" "g" 1;
"a" "c" 1; "b" "y" 1; "c" "z" 1; "e" "g" 1;
"a" "c" 1; "b" "y" 1; "c" "z" 1; "e" "g" 1;
"a" "c" 1; "b" "y" 1; "c" "z" 1; "e" "b" "g" 1;
"a" "c" 1; "b" "y" 1; "c" "z" 1; "e" "b" "g" 1;
"a" "c" 2; "b" "f" "y" "z" 1; "c" "u" "z" 1; "d" "i" 1; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "y" "z" 1; "c" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "y" "z" 1; "c" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "y" "z" 1; "c" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "y" "z" 1; "c" "f" "m" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "y" "z" 1; "c" "f" "m" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "y" "z" 1; "c" "f" "m" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "y" "z" 1; "c" "f" "m" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "y" "z" 1; "c" "f" "m" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "y" "z" 1; "c" "f" "m" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "y" "z" 1; "c" "f" "m" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "y" "z" 1; "c" "f" "m" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "y" "z" 1; "c" "f" "m" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "y" "z" 1; "c" "f" "m" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "y" "z" 1; "c" "f" "m" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "y" "z" 1; "c" "f" "m" "r" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "p" "y" "z" 1; "c" "f" "m" "r" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "p" "y" "z" 1; "c" "f" "m" "r" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "p" "y" "z" 1; "c" "f" "m" "r" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 2; "b" "f" "j" "p" "y" "z" 1; "c" "f" "m" "r" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "j" "m" "p" "y" "z" 1; "c" "f" "m" "r" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "j" "m" "p" "y" "z" 1; "c" "f" "m" "r" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "j" "m" "p" "y" "z" 1; "c" "f" "m" "r" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "j" "m" "p" "y" "z" 1; "c" "f" "m" "r" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "j" "m" "p" "y" "z" 1; "c" "f" "m" "r" "t" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "j" "m" "p" "y" "z" 1; "c" "f" "m" "r" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "j" "m" "p" "y" "z" 1; "c" "f" "m" "r" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "g" "j" "m" "p" "y" "z" 1; "c" "f" "m" "r" "u" "z" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "g" "j" "m" "p" "y" "z" 1; "c" "f" "m" "r" "u" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "g" "j" "m" "p" "y" "z" 1; "c" "f" "m" "r" "u" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "g" "j" "m" "p" "y" "z" 1; "c" "f" "m" "r" "u" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "g" "j" "m" "p" "y" "z" 1; "c" "f" "i" "m" "r" "u" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "g" "j" "m" "p" "s" "y" "z" 1; "c" "f" "i" "m" "r" "u" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "g" "j" "m" "p" "s" "y" "z" 1; "c" "f" "i" "m" "r" "u" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" 2; "c" "f" "i" "m" "r" "u" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "j" 2; "c" "f" "i" "m" "r" "u" 1; "d" "i" 2; "e" "g" "z" 2;
"a" "c" 3; "b" "f" "j" 2; "c" "f" "i" "m" "r" "u" 1; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" 2; "c" "f" "i" "m" "r" "u" 1; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" 2; "c" "e" "f" "i" "m" "r" "u" 1; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" 2; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" 2; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" 2; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" 2; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" 2; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" 2; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" 2; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" 2; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" "v" 2; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" "v" 2; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" "v" 2; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" "v" 2; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "f" "j" "v" 2; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" 2; "d" "i" 2; "e" "b" 3;
"a" "c" 3; "b" "j" 3; "c" "f" 2; "d" "i" 2; "e" "b" 3;
"a" "c" 3; "b" "j" 3; "c" "f" 2; "d" "i" 2; "e" "b" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" 2; "d" "i" 2; "e" "b" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" 2; "d" "i" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" 2; "d" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" 2; "d" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" 2; "d" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" 2; "d" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" 2; "d" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "b" "f" "g" "z" 2;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" 2; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" "q" 2; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" "q" 2; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" "q" 2; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "h" "i" "o" "q" 2; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "o" 3; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "o" 3; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "o" 3; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "o" 3; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "o" 3; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "o" 3; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "m" 2; "d" "o" 3; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" 2; "d" "o" 3; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "o" 3; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "o" 3; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "o" 3; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "o" 3; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "o" 3; "e" "g" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "o" 3; "e" "g" "z" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "o" 3; "e" "g" "z" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "o" 3; "e" "g" "z" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "o" 3; "e" "g" "z" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" 3; "e" "g" "z" 3;
"a" "a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" "q" 3; "e" "g" "z" 3;
"a" "a" "c" "v" 3; "b" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" "q" 3; "e" "g" "z" 3;
"a" "a" "c" "v" 3; "b" "i" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "v" 3; "b" "i" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "v" 3; "b" "i" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "v" 3; "b" "i" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "v" 3; "b" "i" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "v" 3; "b" "i" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "v" 3; "b" "i" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "v" 3; "b" "i" "j" 3; "c" "f" "g" "i" "m" "s" 2; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "v" 3; "b" "i" "j" 3; "c" "f" "g" "i" "m" "r" "s" 2; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "v" 3; "b" "i" "j" 3; "c" "f" 3; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "v" 3; "b" "i" "j" 3; "c" "f" 3; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "v" 3; "b" "i" "j" 3; "c" "f" 3; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "v" 3; "b" "i" "j" 3; "c" "f" 3; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "p" "v" 3; "b" "i" "j" 3; "c" "f" 3; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "p" "v" 3; "b" "i" "j" 3; "c" "f" 3; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "p" "v" 3; "b" "i" "j" 3; "c" "f" 3; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "p" "v" 3; "b" "j" 4; "c" "f" 3; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "p" "v" 3; "b" "j" 4; "c" "f" 3; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "p" "v" 3; "b" "j" 4; "c" "f" 3; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "p" "v" 3; "b" "j" 4; "c" "f" 3; "d" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "a" "c" "p" "v" 3; "b" "j" 4; "c" "f" 3; "d" "a" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "a" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "a" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "a" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "a" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "a" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "a" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "a" "i" "o" "q" 3; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "j" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "i" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "i" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "i" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" 4; "b" "i" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" "r" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" "r" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" "r" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" "r" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" "r" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" "r" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" "r" 3; "d" "q" 4; "e" "g" "k" "z" 3;
"a" "c" "v" 4; "b" "i" 4; "c" "f" "r" 3; "d" "q" 4; "e" "g" "k" "z" 3;
