none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "b" 1;
"a" "u" 1; "d" "b" 1;
"a" "u" 1; "d" "b" "c" 1;
"a" "u" 1; "d" "b" "c" 1; "e" "i" 1;
"a" "u" 1; "d" "b" "c" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "c" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "c" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "b" "c" "d" "e" "g" "k" "m" "u" 1; "b" "d" "e" "i" "j" "n" "s" 1; "c" "c" "g" "h" "i" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "u" 1; "b" "d" "e" "i" "j" "n" "s" 1; "c" "c" "g" "h" "i" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "p" "u" 1; "b" "d" "e" "i" "j" "n" "s" 1; "c" "i" 2; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "p" "u" 1; "b" "d" "e" "i" "j" "n" "s" 1; "c" "i" 2; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "p" "u" 1; "b" "d" "e" "i" "j" "n" "s" 1; "c" "i" "t" 2; "d" "c" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "p" "u" 1; "b" "d" "e" "i" "j" "n" "s" 1; "c" "i" "t" 2; "d" "c" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "p" "u" 1; "b" "d" "e" "g" "i" "j" "n" "s" 1; "c" "i" "r" "t" 2; "d" "c" "r" 2; "e" "h" "x" 2;
"a" "c" 2; "b" "d" "e" "g" "i" "j" "n" "s" 1; "c" "i" "r" "t" 2; "d" "c" "r" 2; "e" "h" "x" 2;
"a" "c" 2; "b" "d" "e" "g" "i" "j" "n" "s" 1; "c" "i" "r" "t" 2; "d" "c" "r" 2; "e" "h" "x" 2;
"a" "c" 2; "b" "d" "e" "g" "i" "j" "n" "s" 1; "c" "i" "r" "t" 2; "d" "c" "r" 2; "e" "h" "x" 2;
"a" "c" 2; "b" "d" "e" "g" "i" "j" "n" "s" 1; "c" "i" "r" "t" 2; "d" "c" "r" 2; "e" "h" "x" 2;
"a" "c" 2; "b" "d" "e" "g" "i" "j" "n" "s" 1; "c" "i" "r" "t" 2; "d" "c" "r" 2; "e" "h" "x" 2;
"a" "c" "m" "u" 2; "b" "d" "e" "g" "i" "j" "n" "s" 1; "c" "i" "r" "t" 2; "d" "c" "r" 2; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" "e" "g" "i" "j" "n" "s" 1; "c" "i" "r" "t" 2; "d" "c" "r" 2; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" "e" "g" "i" "j" "n" "s" 1; "c" "i" "r" "t" 2; "d" "c" "r" 2; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" "e" "g" "i" "j" "n" "s" 1; "c" "i" "r" "t" 2; "d" "c" "r" 2; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" "e" "g" "i" "j" "n" "s" 1; "c" "i" "r" "t" 2; "d" "c" "r" 2; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" "e" "g" "i" "j" "n" "s" 1; "c" "i" "r" "t" 2; "d" "c" "r" 2; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" 2; "c" "i" "r" "t" 2; "d" "c" "r" 2; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" 2; "c" "i" "r" "t" 2; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" 2; "c" "i" "r" "t" 2; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" 2; "c" "i" "r" "t" 2; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" 2; "c" "i" "r" "t" 2; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" 2; "c" "i" "r" "t" "x" 2; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" 2; "c" "i" "r" "t" "x" 2; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" 2; "c" "i" "r" "t" "x" 2; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" 2; "c" "i" "r" "t" "x" 2; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" 2; "c" "i" "r" "t" "x" 2; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" 2; "c" "i" "r" "t" "x" 2; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" "j" 2; "c" "r" 3; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" "j" 2; "c" "r" 3; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" "j" 2; "c" "r" 3; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" "e" "j" 2; "c" "r" 3; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" "e" "j" 2; "c" "r" 3; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" "e" "j" 2; "c" "r" 3; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" "e" "j" 2; "c" "r" 3; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" 3; "e" "h" "k" "x" 2;
"a" "c" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" "l" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" "l" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "g" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" "l" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "g" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" "l" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "g" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" "l" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "g" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" "l" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "g" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" "l" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "g" "k" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" "l" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "g" "k" "l" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" "l" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "g" "k" "l" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" "l" "r" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "g" "k" "l" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" "l" "r" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "g" "k" "l" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" "l" "r" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "g" "k" "l" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" "l" "r" 3; "e" "d" "h" "k" "x" 2;
"a" "c" "g" "k" "l" "m" "u" 2; "b" "d" 3; "c" "r" 3; "d" "b" "c" "l" "r" 3; "e" "h" 3;
"a" "c" "g" "k" "l" "m" "u" 2; "b" "d" "e" 3; "c" "r" 3; "d" "b" "c" "l" "r" 3; "e" "h" 3;
"a" "c" "g" "k" "l" "m" "u" 2; "b" "d" "e" 3; "c" "r" 3; "d" "b" "c" "l" "r" 3; "e" "h" 3;
"a" "c" "g" "k" "l" "m" "u" 2; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" 3;
"a" "c" "f" "g" "k" "l" "m" "u" 2; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" 3;
"a" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" 3;
"a" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" 3;
"a" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" 3;
"a" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" 3;
"a" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" 3;
"a" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" 3;
"a" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" 3;
"a" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" 3;
"a" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" "k" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "l" 4; "e" "h" "k" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "h" "k" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "h" "k" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "h" "k" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "h" "k" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "h" "k" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "h" "k" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "h" "k" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "h" "k" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "h" "k" 3;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "k" 4;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "k" 4;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "k" 4;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "k" 4;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "k" 4;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "k" 4;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "k" 4;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "k" 4;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "k" 4;
"a" "f" "u" 3; "b" "d" "e" 3; "c" "r" 3; "d" "b" "l" 4; "e" "k" 4;
"a" "f" "u" 3; "b" "d" "e" "s" 3; "c" "r" 3; "d" "b" "l" 4; "e" "k" 4;
"a" "f" "u" 3; "b" "d" "e" "s" 3; "c" "r" 3; "d" "b" "l" 4; "e" "k" 4;
"a" "f" "u" 3; "b" "d" "e" "s" 3; "c" "r" 3; "d" "b" "l" 4; "e" "k" 4;
"a" "f" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "o" "r" 3; "d" "b" "l" 4; "e" "h" "k" 3;
"a" "f" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "o" "r" 3; "d" "l" 5; "e" "h" "k" 3;
"a" "f" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "o" "r" 3; "d" "l" 5; "e" "h" "k" 3;
"a" "f" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "o" "r" 3; "d" "l" 5; "e" "h" "k" 3;
"a" "f" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "o" "r" 3; "d" "l" 5; "e" "h" "k" 3;
"a" "f" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "o" "r" 3; "d" "l" 5; "e" "h" "k" 3;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "l" "o" "r" 3; "d" "l" 5; "e" "h" "k" 3;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "l" "o" "r" 3; "d" "l" 5; "e" "h" "k" 3;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "l" "o" "r" "t" "x" 3; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "l" "o" "r" "t" "x" 3; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "l" "o" "r" "t" "x" 3; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "l" "o" "r" "t" "x" 3; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "l" "o" "r" "t" "x" 3; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "l" "o" "r" "t" "x" 3; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "l" "o" "r" "t" "x" 3; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "l" "o" "r" "t" "x" 3; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "l" "o" "r" "t" "x" 3; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "l" "o" "r" "t" "x" 3; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "l" "o" "r" "t" "x" 3; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "l" "o" "r" "t" "x" 3; "d" "l" 5; "e" "h" 4;
