none
none
none
none
none
none
none
none
"a" "k" 1;
"a" "k" 1;
"a" "k" 1; "e" "a" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "e" "k" 1; "e" "a" "f" 1;
"a" "e" "k" 1; "e" "a" "f" 1;
"a" "e" "k" 1; "e" "a" "f" 1;
"a" "e" "k" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "b" "n" "q" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "b" "n" "q" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "e" 3; "b" "f" "i" "n" "q" "v" 1; "c" "b" "k" "l" "n" "r" "x" "y" "z" 1; "d" "e" 2; "e" "a" 3;
"a" "e" 3; "b" "f" "i" "n" "q" "v" 1; "c" "b" "k" "l" "n" "r" "x" "y" "z" 1; "d" "e" 2; "e" "a" 3;
"a" "e" "v" 3; "b" "f" "i" "n" "q" "u" "v" 1; "c" "b" "d" "k" "l" "n" "r" "x" "y" "z" 1; "d" "e" 2; "e" "a" 3;
"a" "e" "v" 3; "b" "f" "i" "n" "q" "u" "v" 1; "c" "b" "d" "k" "l" "n" "r" "x" "y" "z" 1; "d" "e" 2; "e" "a" 3;
"a" "e" "v" 3; "b" "f" "i" "n" "q" "u" "v" 1; "c" "b" "d" "k" "l" "n" "r" "x" "y" "z" 1; "d" "e" 2; "e" "a" 3;
"a" "e" "v" 3; "b" "f" "i" "n" "q" "u" "v" 1; "c" "b" "d" "k" "l" "n" "r" "x" "y" "z" 1; "d" "e" 2; "e" "a" 3;
"a" "e" "v" 3; "b" "f" "i" "n" "q" "u" "v" 1; "c" "b" "d" "k" "l" "n" "r" "v" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" 3;
"a" "e" "v" 3; "b" "f" "i" "n" "q" "u" "v" 1; "c" "b" "d" "j" "k" "l" "n" "r" "v" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" 3;
"a" "e" "v" 3; "b" "f" "i" "n" "q" "u" "v" 1; "c" "b" "d" "j" "k" "l" "n" "r" "v" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" 3;
"a" "e" "v" 3; "b" "f" "i" "n" "q" "u" "v" 1; "c" "b" "d" "j" "k" "l" "n" "r" "v" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" 3;
"a" "e" "v" 3; "b" "f" "i" "n" "q" "u" "v" 1; "c" "b" "d" "j" "k" "l" "n" "r" "v" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" 3;
"a" "e" "v" 3; "b" "f" "g" "i" "l" "n" "q" "u" "v" 1; "c" "b" "d" "j" "k" "l" "n" "r" "v" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" 3;
"a" "e" "v" 3; "b" "f" "g" "i" "l" "n" "q" "u" "v" 1; "c" "b" "d" "j" "k" "l" "n" "r" "v" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" 3;
"a" "e" "v" 3; "b" "f" "g" "i" "l" "n" "q" "u" "v" 1; "c" "b" "d" "j" "k" "l" "n" "r" "v" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "f" "g" "i" "l" "n" "q" "u" "v" "w" 1; "c" "b" "d" "j" "k" "l" "n" "r" "v" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "f" "g" "i" "l" "n" "q" "u" "v" "w" 1; "c" "b" "d" "j" "k" "l" "n" "r" "v" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "f" "g" "i" "l" "n" "q" "u" "v" "w" 1; "c" "b" "d" "j" "k" "l" "n" "r" "v" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "f" "g" "i" "l" "n" "q" "u" "v" "w" 1; "c" "b" "d" "j" "k" "l" "n" "r" "v" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "f" "g" "i" "l" "n" "q" "u" "v" "w" 1; "c" "b" "d" "j" "k" "l" "n" "r" "v" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "f" "g" "i" "l" "n" "q" "u" "v" "w" "x" 1; "c" "b" "d" "j" "k" "l" "n" "r" "v" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "d" "f" "g" "i" "l" "n" "q" "u" "v" "w" "x" 1; "c" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "d" "f" "g" "i" "l" "n" "q" "u" "v" "w" "x" 1; "c" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "d" "f" "g" "i" "l" "n" "q" "u" "v" "w" "x" 1; "c" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "d" "f" "g" "i" "l" "n" "q" "u" "v" "w" "x" 1; "c" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "b" "d" "e" "f" "g" "i" "l" "n" "q" "u" "v" "w" "x" 1; "c" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "b" "d" "e" "f" "g" "i" "l" "n" "q" "u" "v" "w" "x" 1; "c" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "b" "d" "e" "f" "g" "i" "l" "n" "q" "u" "v" "w" "x" 1; "c" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "b" "d" "e" "f" "g" "i" "l" "n" "q" "u" "v" "w" "x" 1; "c" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "b" "d" "e" "f" "g" "i" "l" "n" "q" "u" "v" "w" "x" 1; "c" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "b" "d" "e" "f" "g" "i" "l" "n" "q" "u" "v" "w" "x" 1; "c" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "l" 2; "c" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "l" 2; "c" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "l" 2; "c" "a" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" "e" "j" 2; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "l" "n" 2; "c" "a" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "l" "n" 2; "c" "a" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "l" "n" 2; "c" "a" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "l" "n" 2; "c" "a" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "l" "n" 2; "c" "v" 2; "d" "a" 3; "e" "a" "w" 3;
"a" "e" "v" 3; "b" "n" 3; "c" "v" 2; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" 3; "c" "a" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" 3; "c" "a" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" 3; "c" "a" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" 3; "c" "a" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" "i" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" "i" "v" 3; "b" "n" "q" 3; "c" "a" "b" "c" "d" "f" "j" "k" "l" "n" "q" "r" "v" "w" "x" "y" "z" 1; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" "i" "v" 3; "b" "n" "q" 3; "c" "c" 2; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" "i" "v" 3; "b" "n" "q" 3; "c" "c" 2; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" "i" "v" 3; "b" "n" "q" 3; "c" "c" 2; "d" "a" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" 2; "d" "a" "j" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" 2; "d" "a" "j" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "a" "f" "h" "q" "w" 3;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "c" "n" 2; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "n" 3; "d" "a" "j" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "n" 3; "d" "a" "j" "w" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "n" 3; "d" "a" "j" "w" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "n" 3; "d" "a" "j" "w" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "n" 3; "d" "a" "j" "w" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "n" 3; "d" "a" "j" "w" 3; "e" "h" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "n" 3; "d" "a" "h" "j" "w" 3; "e" "h" "x" 4;
"a" "e" 4; "b" "g" "i" "n" "q" 3; "c" "n" 3; "d" "a" "h" "j" "w" 3; "e" "h" "x" 4;
"a" "e" 4; "b" "g" "i" "l" "n" "q" 3; "c" "n" 3; "d" "a" "h" "j" "w" 3; "e" "h" "x" 4;
"a" "e" 4; "b" "g" "i" "l" "n" "q" 3; "c" "n" 3; "d" "a" "h" "j" "w" 3; "e" "h" "x" 4;
"a" "e" 4; "b" "g" "i" "l" "n" "q" 3; "c" "n" 3; "d" "a" "h" "j" "w" 3; "e" "h" "x" 4;
