none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1; "e" "w" 1;
"b" "p" 1; "e" "w" 1;
"b" "p" 1; "e" "w" 1;
"b" "p" 1; "e" "w" 1;
"b" "p" 1; "e" "u" "w" 1;
"b" "p" 1; "e" "u" "w" 1;
"b" "p" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" 2;
"b" "p" 1; "d" "o" 1; "e" "u" 2;
"b" "p" 1; "d" "o" 1; "e" "u" 2;
"b" "p" 1; "d" "o" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "g" "p" 1; "c" "k" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "g" "p" 1; "c" "k" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "g" "p" "z" 1; "c" "g" "k" 1; "d" "c" "o" "s" 1; "e" "u" 2;
"b" "g" "p" "z" 1; "c" "k" 2; "d" "c" "o" "s" 1; "e" "u" 2;
"b" "g" "p" "z" 1; "c" "k" 2; "d" "c" "o" "s" 1; "e" "u" 2;
"b" "g" "p" "z" 1; "c" "k" 2; "d" "c" "o" "s" 1; "e" "u" 2;
"a" "a" "b" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "o" 3; "d" "c" "g" "i" 2; "e" "l" "s" "u" 2;
"a" "a" "b" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "o" 3; "d" "c" "g" "i" 2; "e" "l" "s" "u" 2;
"a" "a" "b" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "o" 3; "d" "c" "g" "i" 2; "e" "l" "s" "u" 2;
"a" "a" "b" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "o" 3; "d" "c" "g" "i" 2; "e" "l" "s" "u" 2;
"a" "a" "b" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "o" 3; "d" "c" "g" "i" 2; "e" "l" "s" "u" 2;
"a" "a" "b" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "o" 3; "d" "c" "g" "i" 2; "e" "l" "o" "s" "u" 2;
"a" "a" "b" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "o" 3; "d" "c" "g" "i" 2; "e" "l" "o" "s" "u" 2;
"a" "a" "b" "g" "i" "j" "r" "u" "w" 1; "b" "z" 3; "c" "o" 3; "d" "c" "g" "i" 2; "e" "l" "o" "s" "u" 2;
"a" "a" "b" "g" "i" "j" "r" "u" "w" 1; "b" "z" 3; "c" "o" 3; "d" "c" "g" "i" 2; "e" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "i" "j" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "i" "j" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "i" "j" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "i" "j" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "i" "j" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "i" "j" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "i" "j" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "i" "j" "l" "o" "s" "u" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" "g" "h" "i" 2; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" 3; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" 3; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" 3; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" 3; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" 3; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" 3; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" 3; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" 3; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 2; "b" "z" 3; "c" "o" 3; "d" "c" 4; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 2; "b" "z" 4; "c" "o" 3; "d" "c" 4; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 2; "b" "z" 4; "c" "o" 3; "d" "c" 4; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 3; "b" "z" 4; "c" "o" 3; "d" "c" 4; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 3; "b" "z" 4; "c" "o" 3; "d" "c" 4; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 3; "b" "z" 4; "c" "o" 3; "d" "c" 4; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 3; "b" "z" 4; "c" "o" 3; "d" "c" 5; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 3; "b" "z" 4; "c" "o" 3; "d" "c" 5; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 3; "b" "z" 4; "c" "o" 3; "d" "c" 5; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 3; "b" "z" 4; "c" "o" 3; "d" "c" 5; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 3; "b" "z" 4; "c" "o" 3; "d" "c" 5; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 3; "b" "z" 4; "c" "o" 3; "d" "c" 5; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 3; "b" "z" 4; "c" "o" 3; "d" "c" 5; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 3; "b" "z" 4; "c" "o" 3; "d" "c" 5; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 3; "b" "z" 4; "c" "o" 3; "d" "c" 5; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 3; "b" "z" 4; "c" "o" 3; "d" "c" 5; "e" "i" "j" "k" "l" "o" "s" "u" "z" 2;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "i" "j" "k" "l" "o" "q" "s" "u" "z" 2;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "i" "j" "k" "l" "o" "q" "s" "u" "z" 2;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "i" "j" "k" "l" "o" "q" "s" "u" "z" 2;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 5; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 5; "c" "o" "y" 3; "d" "c" 4; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 5; "c" "o" "y" 3; "d" "c" 4; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 5; "c" "o" "y" 3; "d" "c" 4; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 5; "c" "o" "y" 3; "d" "c" 4; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 5; "c" "o" "y" 3; "d" "c" 4; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "j" "o" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "j" "o" "z" 3;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 4;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 4;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 4;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 4;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "q" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "q" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "q" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "q" "x" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "q" "x" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "q" "x" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "q" "x" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "o" "q" "x" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "o" "q" "x" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "o" "x" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "o" "x" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "o" "x" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "o" "x" "y" 3; "d" "c" 4; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "o" "x" "y" 3; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "o" "x" "y" 3; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "o" "x" "y" 3; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "o" "x" "y" 3; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "o" "x" "y" 3; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "o" "x" "y" 3; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "h" "r" "y" 4; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
